"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.63427e+06,1.29738e+06,755802,126033,160595,134767,714989,116422,649534,2493.16,-7055.94,2.18564e+06,14127.8,2005.58,3827.3,7286.03,0.051
1.43443e+06,1.11817e+06,769699,176580,208541,162610,769476,152359,695382,2286.41,-7710.92,2.48503e+06,18219.7,1519.96,4466.36,7956.65,0.0525
1.60495e+06,1.27986e+06,752406,109221,158407,136717,695191,99989,655395,2178.73,-6527.41,1.96131e+06,17833.2,1888.74,3557.98,6401.08,0.3273
1.54057e+06,1.25066e+06,739086,131964,201134,170196,709068,117742,672473,2956.85,-5025.95,1.85065e+06,17865.4,5311.44,3409.42,6345.75,0.5241
1.62967e+06,1.32565e+06,737600,127555,200604,173720,692854,117542,651114,3024.69,-6942.96,2.28e+06,17415.3,1647.55,4061.95,7675.57,0.5974
1.36864e+06,1.12811e+06,727933,123705,146238,131859,665429,119730,619920,1675.79,-5951.89,1.79189e+06,9930.33,1535.83,1611.32,5628.86,0.6464
1.51893e+06,1.19217e+06,764454,105735,152150,129145,706880,98474,644242,2438.6,-5310.89,1.84047e+06,15726.6,1615.26,4449.45,5398.42,0.8391
1.67835e+06,1.28724e+06,782304,422324,1.20898e+06,918198,790016,301022,841781,2167.92,-5440.77,2.03976e+06,15752.3,2363.94,3438.26,8643.5,0.9979
1.31619e+06,1.06907e+06,738688,134491,211242,183430,690973,122813,657052,1573.59,-5830.76,1.93811e+06,17019.5,1786.57,4042.59,6627.88,1.055
1.68204e+06,1.31191e+06,769278,140614,240862,209841,688699,127434,662054,2234.94,-6120.05,1.75962e+06,15993.4,1359.52,2850.41,6075.34,1.1986
1.45746e+06,1.18067e+06,740659,123039,152988,130208,704971,115703,638044,1744.67,-7991.27,2.35515e+06,9097.5,338.364,2876.78,7208.53,1.2583
1.39478e+06,1.08307e+06,772683,162169,216201,176520,734877,147519,659584,3008.63,-6183.12,1.99513e+06,19884.7,2960.68,4965.6,6993.7,1.2919
1.49799e+06,1.22412e+06,734236,107424,136962,119557,687350,99762,646084,1711.25,-6714.38,1.9275e+06,17791.7,965.201,3937.36,6596.04,1.4465
1.3791e+06,1.08629e+06,761734,134109,199330,162941,733995,119039,675960,1957.61,-7655.87,2.21441e+06,14974.7,1367.04,3983.96,7735.66,1.5141
1.60695e+06,1.36204e+06,707887,101941,115653,104593,663447,96659,632790,1712.15,-5838.21,2.54353e+06,15731.6,-125.56,2888.46,8643.11,1.5337
1.51687e+06,1.22486e+06,743041,123483,151290,132723,683936,115412,641960,1696.61,-7398.52,2.08894e+06,14732.4,1994.12,4158.31,7458.8,1.6374
1.4045e+06,1.17107e+06,719598,95657.4,139270,122670,681191,89837,638873,2532.95,-3247.69,968877,20580.2,2357.7,3071.79,3362.18,1.7225
1.48508e+06,1.19658e+06,744664,104306,131181,112941,696899,96792,646576,2417.93,-3319.64,970596,11786.1,561.709,2906.09,3101.31,1.7752
1.66136e+06,1.31167e+06,759960,109963,156851,136179,691079,102280,645068,2559.92,-5506.6,1.94609e+06,17602.2,2108.72,3410.45,6834.83,1.9105
1.54269e+06,1.2004e+06,771091,155319,292147,233897,749424,137311,678690,3097.16,-5288.04,1.6517e+06,13790.5,4111.69,2722.79,4665.87,1.9558
1.57687e+06,1.25062e+06,756524,121362,177333,152659,696975,112018,650050,2196.32,-7699.74,1.9016e+06,15032.8,2413.32,3417.3,7125.26,2.041
1.41777e+06,1.17362e+06,724817,141823,193650,173150,671038,131490,647150,1485,-4038.88,1.57671e+06,13071.4,785.379,2831.18,5012.96,2.0663
1.38859e+06,1.0899e+06,764435,134640,188127,162506,694596,124187,650505,2296.53,-6151.09,1.97779e+06,17035.2,2830.27,3364.47,6225.69,2.1095
1.41783e+06,1.18724e+06,716540,109023,113093,102771,660264,102361,639048,1917.73,-6132.46,1.93968e+06,11050.5,2758.42,3379.68,5691.23,2.1525
1.44684e+06,1.23664e+06,701984,106851,125543,110719,680331,98840,648631,1767.97,-5827.91,1.82371e+06,12361.9,1273.1,3624.67,5882.49,2.153
1.58768e+06,1.23375e+06,772126,130051,213566,181726,705126,121086,644424,2003.77,-5020.14,2.03174e+06,11137.4,1662.87,3642.46,5960.64,2.1566
1.71811e+06,1.36482e+06,755310,182596,284680,245881,694678,168087,651792,2809.7,-9446.31,2.87412e+06,40261.7,5038.79,5384.17,9489.68,2.1906
1.5802e+06,1.32706e+06,714452,112689,132413,121640,653140,108315,624232,2100.13,-8447.2,2.26951e+06,12979.4,576.277,3621.99,7281.95,2.2306
1.57447e+06,1.28367e+06,735920,155288,353679,334019,635315,143232,650503,2646.97,-6238.99,2.00007e+06,17381.7,1943.3,3323.02,6916.7,2.3018
1.44987e+06,1.1743e+06,740800,105252,146426,130484,673306,99271,636147,2079.33,-6032.68,1.75391e+06,11837.9,1333.24,3181.06,5829.97,2.3238
1.49945e+06,1.25358e+06,717683,106017,154766,140555,660665,97787,650495,2234.69,-4283.49,1.76996e+06,20754.4,1474.86,4900.17,5588.82,2.554
1.53773e+06,1.27985e+06,720894,124193,210243,201399,626348,118122,630838,2017.54,-3731.06,1.83884e+06,17577.3,550.921,4734.86,5815.5,2.6055
1.37319e+06,1.12686e+06,731161,133854,163637,138203,710419,118775,676171,2161.57,-6709.81,2.16391e+06,12080,907.921,4270.58,7091.71,2.6165
1.49785e+06,1.25748e+06,714689,103360,159657,149040,642741,98065,632399,2079.08,-4638.74,1.70066e+06,11500.2,926.99,2491.2,5108.29,2.6233
1.34458e+06,1.11759e+06,721861,136054,175077,153723,683347,126075,647490,1866.87,-7724.76,2.43366e+06,17124.1,2737.96,4389.7,8357.99,2.6589
1.53282e+06,1.30953e+06,702310,110092,142596,130690,654661,105713,624857,2555.75,-6936.97,2.07104e+06,11092.7,2777.47,2412.22,6694.4,2.8661
1.43505e+06,1.17507e+06,732744,321743,690665,668511,619883,322126,599286,3625.13,-7326.6,2.26307e+06,20708.3,1556.19,2924.72,7601.43,2.8706
1.52686e+06,1.30238e+06,703416,170560,243217,213178,684546,156495,653926,3016.4,-10097.4,2.95009e+06,9889.21,4052.37,2057.37,9452.54,3.0377
1.13739e+06,817363,834925,133127,226325,178038,762730,108884,733587,2041.28,-4855.09,2.07018e+06,12997.5,278.66,4259.09,6245.57,3.2932
1.59398e+06,1.31125e+06,729372,155250,203885,184776,662050,142809,652269,3490.97,-6882.4,2.68019e+06,21243.7,2997.86,5176.54,8170.71,3.4408
1.53813e+06,1.31949e+06,699420,93045.6,102692,93750,657228,89509,623707,1997.64,-6075.44,2.12583e+06,14598.8,-204.491,4125.43,6682.52,3.5017
1.25149e+06,1.04082e+06,721448,123956,181114,165920,654946,119402,622882,1885.36,-5075.85,1.49332e+06,16443.3,3384.71,2476.83,5000.7,3.5996
1.40649e+06,1.20626e+06,699599,140845,204749,189395,648641,133872,631252,3493.77,-6802.19,1.82031e+06,14382.6,3662.49,2183.83,6019.05,3.6282
1.40475e+06,1.19816e+06,703450,122238,148822,138702,643777,116962,627064,1594.77,-7871.96,2.50422e+06,12593.7,265.709,3909.84,7452.51,3.8204
1.36611e+06,1.11585e+06,734566,154104,185085,160071,693760,142389,649364,2615.94,-8931.55,2.63498e+06,14250.6,1027.4,3945.84,8448.06,3.8301
1.54497e+06,1.29366e+06,716559,123696,157633,138557,682606,115164,644450,2757.14,-6393.72,2.27892e+06,14534,-499.378,3751.62,7658.86,3.9285
1.64017e+06,1.36996e+06,718342,162090,225986,188166,720595,143747,676564,3298.76,-8392.22,2.45156e+06,21535.6,2469.81,3020.97,8002.37,3.9723
1.44134e+06,1.16440e+06,742700,126948,150074,130785,688490,118719,641590,1931.14,-8812.66,2.32425e+06,13399.8,1027.91,4330,7789.69,3.9924
1.43217e+06,1.133e+06,758434,124736,137980,112801,733928,114447,653939,2608.21,-8248.4,2.26879e+06,16521.5,962.836,4686.2,7314.38,4.0036
1.51829e+06,1.16095e+06,784680,132659,182119,151027,723522,122415,650212,2448.67,-4438.3,1.95826e+06,20103.1,-301.773,4319.77,6185.66,4.0239
1.52387e+06,1.29019e+06,708676,115586,133758,122421,655566,110164,629531,1744.96,-9023.28,2.58049e+06,14751.9,2463.84,3606.28,9007.3,4.1172
1.42804e+06,1.16534e+06,735252,116991,173732,142827,729829,106628,658312,1875.17,-4866.93,1.31418e+06,10944.1,210.985,2665.17,4560.98,4.1736
1.48739e+06,1.21492e+06,734562,109216,157581,142219,664808,100681,650862,2127.82,-6522.68,2.07234e+06,15570.7,1580.78,4106.12,6937.48,4.1825
1.57891e+06,1.28124e+06,739396,105008,166406,146435,681828,99520,633088,2516.13,-5902.6,1.70023e+06,16678.1,503.375,4062.74,5877.25,4.1909
1.30895e+06,1.02532e+06,765972,94629,141848,118435,718610,84525,671723,1831.32,-5154.02,1.79735e+06,24822.1,1451.32,3986.51,6375.02,4.4109
1.65295e+06,1.29556e+06,765515,147211,195620,161099,728571,132452,666858,2975.21,-8869.87,2.66037e+06,20144.6,838.297,5578.22,9088.76,4.5347
1.53802e+06,1.17928e+06,782519,125547,169472,136727,743697,113786,662016,2096.74,-4808.62,2.17236e+06,15231.3,-165.537,4853.89,7083.7,4.5914
1.38824e+06,1.18428e+06,703335,90511.6,114225,105797,647797,85407,635860,2527.54,-7673.71,2.07551e+06,13197.2,5419,2518.16,6553.7,4.594
1.33394e+06,1.11124e+06,720244,143278,205131,184800,666009,134214,640518,2052.64,-6704.48,2.03975e+06,13000.1,1079.38,3061.06,6640.41,4.7095
1.34977e+06,1.09061e+06,742573,148749,231603,203679,682258,136507,653807,1710.29,-5515.08,2.19582e+06,22354.2,1439.82,4972.58,7574.43,4.7172
1.62976e+06,1.26648e+06,772105,121250,183354,155617,706941,112678,645646,7149.61,-7721.42,2.49093e+06,14433,836.725,3967.83,7409.57,4.7808
1.40619e+06,1.13246e+06,745028,114325,134297,116540,691423,107193,639921,1139.43,-6498.06,2.09981e+06,12116.7,2016.73,2783.4,6280.18,4.815
1.53116e+06,1.17626e+06,781028,145946,217415,167741,777680,127722,685611,1083.89,-3505.57,1.42863e+06,10734.6,-69.561,2701.92,4100.24,4.8208
1.60875e+06,1.2307e+06,784309,126755,181926,151506,720472,117277,648490,3374.43,-5322.72,2.17024e+06,11367.4,959.355,3353.57,6245.46,4.8375
