"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.64338e+06,1.08942e+06,905092,467573,795651,548399,870516,347433,807475,20251.9,3256.2,46882.2,88838.9,28273.6,18292.2,2767.91,0
1.17568e+06,819375,860907,333774,523998,352469,891989,242298,826520,23686.4,1865.13,96667.9,139249,36041.1,8274.72,1018.48,0.0121
863353,563596,919119,502293,733405,505066,871258,383182,786509,21756,3060.74,121951,113419,49252.3,11376.4,2597.56,0.02
2.49746e+06,1.70172e+06,880569,286783,549004,392701,838812,220712,779613,8735.02,2881.4,123216,67782.9,9059.19,7101.24,2024.14,0.021
1.44446e+06,939786,922207,388426,694135,466899,892015,282109,826119,16455.2,2527.1,18077.3,92476.2,20387.3,8052.09,1934.96,0.0235
1.63926e+06,1.1319e+06,868947,382264,681960,486059,841824,293818,780613,20121.8,3725.77,9861.36,113704,26184.1,9203.08,1389.3,0.0411
1.68407e+06,1.20575e+06,838023,294495,550706,390418,846332,231751,762443,19382.6,3378.57,11262.9,128695,28367.5,11524.6,947.789,0.0459
1.42007e+06,903840,942688,355318,683802,459184,893501,257312,828530,22697.5,1998.81,21899.6,105644,20817.2,9308.75,721.358,0.0824
1.96596e+06,1.42527e+06,827619,169493,251687,206646,730778,148110,686624,12805.8,2094.53,32072.9,162701,32153.7,13911.7,93.4395,0.0911
1.39445e+06,966720,865474,284384,554806,405553,820814,226921,751936,21165.2,2206.71,7463.22,85363.1,18502.8,10545.8,1332.15,0.0944
2.01666e+06,1.40896e+06,858786,193927,327625,243921,805896,158874,732382,12443.2,1151.36,6790.13,187164,69554.8,97020.5,-216.61,0.0948
1.49139e+06,980216,912897,338636,683491,496662,825701,262772,773224,17606.3,2896.92,100025,96166.9,44934.3,14235.9,1517.88,0.0961
1.01727e+06,676514,902219,298910,568919,413378,825761,226132,793104,9875.45,3351.6,47735.6,60838.3,14747,7900.36,1501.4,0.099
1.58745e+06,1.20718e+06,789000,213816,329622,242994,813902,170643,751800,9254.64,831.004,3993.2,56997.7,6707.34,5344.07,835.18,0.1149
1.03447e+06,717971,864498,455915,553146,383909,864495,339514,805707,18117.2,4425.49,8983.52,80643.6,30880.5,8216.4,1724.42,0.1251
2.13057e+06,1.50045e+06,851971,250304,424779,323699,787358,204946,732790,6090.6,1132.05,28763.9,105451,20497.4,5966.5,712.035,0.1284
1.26858e+06,839042,907163,491773,658333,456131,865979,375692,785387,22464.9,3008.35,98862.8,66440.9,41321.8,7574.75,1948.6,0.1334
670226,415537,967749,338575,437341,289249,907193,249658,813693,15352,2369.46,8469.05,77308.9,38318,6347.71,377.287,0.1516
1.88911e+06,1.14414e+06,990670,387173,692386,458251,906559,276236,840962,13284.3,3123.14,58597.4,157174,22710,13434.9,2452.93,0.1556
1.64547e+06,1.15949e+06,851478,297230,514333,351604,877692,227115,785231,15724.5,1910.68,86153.2,85258.1,37550.7,8419.82,1079.74,0.164
1.37406e+06,1.03117e+06,799516,207688,308981,245178,756139,174847,712698,14436.1,1534.82,2042.97,49169.2,8520.11,4632.02,1238.83,0.1759
1.59579e+06,1.04926e+06,912524,405731,729969,482886,907007,300415,810342,11700.8,3823.53,8965.47,100482,28610.2,8613.33,1216.34,0.1792
1.18009e+06,848514,834464,190773,314182,236576,796822,154873,739080,5872.43,1306.24,1011.1,98212.9,6032.61,3903.45,276.339,0.1809
1.54719e+06,1.03996e+06,892648,362182,659715,474240,834660,283157,767451,19460.1,2226.98,4687.84,69931.5,19955,6785.76,935.537,0.208
2.03933e+06,1.3836e+06,884362,429572,646667,439198,883429,323564,796576,13375.4,1295.73,105593,139253,62978.8,6315.39,978.586,0.2094
1.80672e+06,1.34944e+06,803320,257552,440027,334337,789671,205742,751093,16770.4,2687.74,91609.8,121775,21185.9,7335.13,993.018,0.2192
2.04966e+06,1.2788e+06,961678,328019,607195,424022,859194,250142,786799,8181.22,3311.38,5638.12,261764,11973.3,9383.66,3009.63,0.2206
1.6366e+06,1.1655e+06,842522,315175,642615,469492,821247,242598,779500,14493.5,3196.78,48542.1,89688,13955.6,7646.64,1645.04,0.2339
1.68811e+06,1.24351e+06,814524,228834,445044,329418,810601,185382,740635,11317.2,1948.97,4872.97,43616.9,4439.21,5213.95,270.008,0.2494
1.55445e+06,1.07189e+06,870114,244416,396073,285250,833108,197536,742395,28336.7,1885.34,8351.64,162839,22459,8669.03,193.961,0.2584
1.51197e+06,1.01094e+06,897361,370785,630454,436667,866272,280022,794476,13947.8,2592.52,7570.85,87117.4,24165.3,8112.32,1158.77,0.2791
1.52639e+06,1.05387e+06,869015,334305,536499,379816,847514,263866,760169,16422,2718.95,19305.6,65328.8,15908.4,7103.49,1476.59,0.2827
993871,671804,887644,351098,537845,400391,805980,285201,738634,21128.4,2230.41,7869.15,92281,29911,8198.01,1750.65,0.2894
1.7942e+06,1.07799e+06,998638,573473,840082,506834,994506,375801,915601,21779.5,2476.07,35591.3,118357,25149.5,14523,1943.58,0.2907
1.11672e+06,618611,1.08313e+06,233443,427418,245071,1.04643e+06,152580,917984,14756.1,1652.87,1876.54,87297.2,6690.16,3265.03,632.38,0.3056
1.75634e+06,1.22506e+06,860203,335539,655361,463376,848590,248120,811395,14840.4,2904.16,9019.19,84081.7,12806.4,9295.28,1329.89,0.3185
1.06245e+06,735169,867107,283025,583059,424150,824792,224084,757819,14848.4,2195.58,15191.8,73305.9,20022.7,5436.22,1419.28,0.3343
1.13184e+06,728029,932795,322812,448224,291798,921645,236754,818095,17690.5,2150.4,52431.3,111204,17099.2,7015.93,887.165,0.3344
1.72095e+06,1.22275e+06,844469,339487,537274,380921,846276,263482,773079,17181.8,2108.69,29326.8,92591.4,18618.6,8343.9,1316.9,0.3403
