"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.45357e+06,1.11709e+06,780726,254354,389967,325965,717808,216007,706517,2193.34,-5847.88,1.91513e+06,16862.8,10778.9,3803.19,5453.44,0.6262
1.38997e+06,1.08586e+06,768036,142226,162499,126663,769754,123692,689903,4160,-5572.38,1.77117e+06,20377.9,12176.6,3329.1,6119.63,0.8795
1.49574e+06,1.18025e+06,760389,146924,235818,202963,697127,133637,659656,1351.79,-5205.35,1.71332e+06,26927,9121.45,3532.29,6350.99,0.8797
1.59582e+06,1.16317e+06,823173,153804,228852,179278,765913,134188,687712,5787.75,-3439.15,1.49694e+06,27704.8,11217.8,4502.09,4937.37,0.8913
1.4483e+06,1.09314e+06,794936,177351,279740,221175,758875,153169,694728,3663.7,-4433.76,1.64999e+06,28284.6,6209.67,2801.32,5933.96,1.0904
1.37919e+06,992673,833621,170568,269866,191278,846515,137673,743362,3003.71,-3992.06,1.59326e+06,36666.9,7658.99,3569.07,5738.99,1.1112
1.55276e+06,1.21344e+06,767786,154022,205504,174484,706670,140451,657974,1839.3,-4351.35,1.58472e+06,19278.4,10729.4,2911.25,5623.15,1.6453
1.54553e+06,1.16560e+06,795568,165784,259058,200868,773816,144636,687730,3536.57,-6333.77,1.99758e+06,21046,9696.54,3817.67,6684.22,1.6596
2.17895e+06,1.43191e+06,913026,379629,604623,429295,845045,289927,785638,16962.7,-7962.7,3.41538e+06,81659.8,11768,7877.44,14036.9,1.8202
1.40995e+06,1.06977e+06,790801,204674,409945,294936,833967,174564,703492,2132.66,-4407.93,1.72291e+06,42284.1,14607.7,3674.12,6489.45,1.9726
1.74143e+06,1.28385e+06,813848,322449,428556,309247,831483,257287,751959,2886.31,-10795.3,3.46467e+06,23472.3,12171,4000.95,12682.2,2.1379
1.61141e+06,1.18518e+06,815777,138687,188162,145257,777224,118596,701642,3913.47,-5171.68,1.73541e+06,18330.7,8170.18,3284.54,6287.52,2.2151
1.3712e+06,1.0546e+06,780128,147373,214816,163398,788808,124362,711020,2507.17,-4465.98,1.52695e+06,17688.2,13560.8,2016.66,5576.82,2.2259
1.51348e+06,1.16504e+06,779445,223547,470597,385979,731538,194225,690582,2325.43,-3914.05,1.73282e+06,18766.1,7150.37,3222.75,5957.43,2.4953
1.17893e+06,898792,787011,253903,474653,399560,712764,225441,675750,1260.68,-3946.63,1.48381e+06,13733.7,7495.58,1890.67,5368.86,2.5389
1.44852e+06,1.12194e+06,774651,173379,360087,317130,681274,158489,656369,2395.59,-4047.49,1.58842e+06,43382.8,8499.12,3759.21,6206.73,2.5572
1.49145e+06,1.22939e+06,727897,108617,141440,120017,707098,97180,670614,3465.27,-4188.53,1.69232e+06,20614.5,6020.42,3181.66,6243.67,2.5631
1.46948e+06,1.21478e+06,725804,146980,203955,181357,674764,135916,648840,1977.26,-3223.21,1.2209e+06,24016.9,11205.1,3051.13,3732.7,2.6229
1.34655e+06,1.01416e+06,796647,150383,228790,185883,738498,134495,670878,2414.26,-4058.3,1.19628e+06,26589.6,11894.2,3639.6,3708.29,2.6604
1.45665e+06,1.14911e+06,760583,110511,171748,145111,710139,99893,663776,2033.61,-4162.47,1.57074e+06,18784.8,9683.3,2072.92,5630.82,2.6826
1.6381e+06,1.33989e+06,733539,136534,179526,155764,691531,126746,646334,3049.93,-4323.61,1.81918e+06,21932.6,7306.23,3058.88,5996.62,2.7286
1.36727e+06,1.08309e+06,757430,165344,217935,184303,709488,150837,657705,1314.17,-3602.31,1.56378e+06,15362.7,6598.24,2567.33,5795.72,2.7431
1.28299e+06,1.03188e+06,746010,119090,163040,132006,741058,102339,698209,1538.03,-5129.8,1.78801e+06,14190.5,3501.5,2643.4,5969.28,2.7498
1.3793e+06,1.10958e+06,745852,118014,204927,179451,685179,107334,659703,1746.01,-2612.2,1.18534e+06,22857.5,4576.6,1904.84,4470.96,2.8232
1.35848e+06,963284,846154,241359,336933,247178,817871,196586,736651,6221.96,-7529.23,2.38103e+06,39999.2,10790.7,5076.13,8654.44,2.8704
1.38412e+06,1.0911e+06,761132,195429,303109,250927,724773,171402,684109,2420.95,-3972.58,2.09788e+06,59962,16973.7,3751.38,7689.17,3.0191
1.57023e+06,1.19692e+06,787134,144201,229666,185867,741387,127455,678834,1992.93,-3463.92,1.70772e+06,30597.1,10813.3,3399.09,5900.51,3.0604
1.3129e+06,989271,796282,135426,180244,139495,775273,120516,674233,1507.77,-4243.15,1.5957e+06,21843.1,10567.5,2766.74,5488.94,3.0864
1.31885e+06,1.0835e+06,730326,153873,180014,151799,711521,137272,672560,2278.44,-5443.02,1.77386e+06,15506.1,3770.34,3054.62,6092.37,3.4949
1.50485e+06,1.16308e+06,776310,207935,348608,299151,699195,188344,662411,2340.24,-5459.32,2.4673e+06,18105.9,9569.42,3360.61,8319.93,3.5524
1.30472e+06,1.04863e+06,746531,141835,168457,139517,724457,128510,662212,2235.46,-4550.88,1.39108e+06,20105.8,10731.2,2690.67,5110.73,3.7106
1.50209e+06,1.15297e+06,781685,109976,154574,123912,748468,98732,668330,2789.71,-5312.41,1.66247e+06,32251.5,9928.91,2285.7,5769.51,3.7209
