"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.69396e+06,1.2267e+06,828542,210346,273974,208642,787879,171442,736153,11708.5,-4111.34,1.90133e+06,46110.1,8538.85,6824.75,6538.52,0.0299
1.77902e+06,1.17411e+06,909129,294014,558295,409174,818667,236084,747227,8160.55,-1490.17,987075,56447.6,5499.07,4077.17,3347.8,0.1456
2.48602e+06,1.59885e+06,932929,436316,739431,488883,907494,332017,788483,7276.89,-3347.67,1.43062e+06,29328.1,12084.1,4215.92,5982.96,0.1707
1.67221e+06,1.14128e+06,879126,180421,267680,198781,807963,148157,730660,7567.34,-2520.02,1.26262e+06,39377,11431.8,5550.9,4504.32,0.4847
1.73358e+06,1.16269e+06,894609,253113,416836,263626,948700,182811,830738,11910.4,-269.749,1.43754e+06,70077.8,12419.8,7049.01,5440.83,0.5012
1.24614e+06,866878,862499,196308,244938,176146,834323,156355,753316,6508.29,-4014.33,1.44703e+06,46486.4,14049.6,6233.61,4658.88,0.5427
1.64986e+06,1.1927e+06,829977,180459,218709,166097,790053,148056,731315,5897.04,-1486.07,1.39098e+06,31560.3,49540.3,5819.53,4281.08,0.591
1.39445e+06,1.00051e+06,836240,210592,279871,197638,849648,165018,765706,6121.48,-2499.09,1.25564e+06,40481.8,13247.6,6106.83,4497.74,0.5967
1.02665e+06,654685,940894,276514,454056,338826,804052,202280,820193,7025.33,-2344.32,1.36456e+06,25351.5,10946.6,3899.3,4668.47,0.8284
1.46078e+06,1.0162e+06,862490,305352,512063,348628,881277,231927,789952,13360.8,-3528.14,1.67822e+06,47053.3,12727.3,6684.53,7199.53,0.9145
1.23728e+06,920736,806279,197245,294142,235820,748388,168984,700345,9182.56,-2434,1.31586e+06,30755.9,7980.61,4972.51,4840.09,0.9269
1.4572e+06,1.12426e+06,777688,166880,283276,247131,687755,149002,671989,9128.73,-3068.06,1.50278e+06,47182.5,8301.58,4532.28,5587.43,0.9904
1.48758e+06,1.10041e+06,811107,199511,338402,276894,733280,171765,696920,10497.5,-4188.32,1.78847e+06,48456.4,11483.7,6324.73,6498.67,1.0256
1.43098e+06,1.09779e+06,782107,158783,204641,165848,740346,140505,678055,7355.25,-4028.49,1.79166e+06,44904.5,14481.6,5965.28,6451.94,1.0306
1.42456e+06,1.13158e+06,755346,131358,205527,172642,714290,117223,672349,6814.12,-1920.75,1.33503e+06,29702.9,6220.09,2913.86,5369.93,1.1457
1.76146e+06,1.24968e+06,845717,201624,365567,227300,964982,152584,792837,10369.8,-1943.72,1.56683e+06,74799.7,12153.8,7780.42,5845.24,1.175
1.79518e+06,1.37209e+06,785013,201674,360417,286053,755980,173574,697136,6293.82,-1909.58,1.43413e+06,41455.4,10089.4,4934.16,4685.24,1.6398
