FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.26E+06,795280,951267,351180,657775,474901,831047,266068,791932,1770.11,57966.8,47861.6,21397.4,15151.1,6213.55,1637.44,0.0353
1.70E+06,1.16E+06,878620,244084,435944,294406,888455,184498,793779,2035.49,34819.6,62399.8,16782.6,19902,7000.14,1755.45,0.0499
2.07E+06,1.27E+06,978645,381598,529124,355817,892240,282222,811273,3731.98,25731,140968,34034.4,16002.3,10168.9,4522.29,0.0515
1.88E+06,1.31E+06,858254,204280,379190,281975,806858,163977,747472,806.016,52913.2,49279.7,9574.11,13119.5,6115.67,1921.07,0.0979
1.62E+06,1.11E+06,876949,290808,498820,351206,852183,231983,752145,845.173,149764,53770.3,12476.2,12965.6,5689.56,1878.11,0.0979
2.19E+06,1.55E+06,847999,228913,451613,347200,780437,183130,750001,1754.89,60091.4,47810.7,26716.9,11253.5,6832.66,2200.09,0.1405
1.65E+06,1.22E+06,813533,216143,352447,254828,829847,168191,771063,2300.89,3189.4,83384.2,27201.6,9083.3,6123.3,616.388,0.1772
836704,570380,880155,247294,339632,257256,792127,202741,731853,1492.62,4062.84,34998.9,9984.45,5377.38,4053.51,-73.557,0.1811
2.15E+06,1.31E+06,983357,380731,698783,417079,1.01E+06,251304,909013,3646.89,8491.8,104492,31596.7,31587.1,14611.5,3297.9,0.183
1.56E+06,1.14E+06,825193,177053,267224,209391,765718,148737,714226,1150.43,58159.1,67956.6,21493.6,7738.57,49289.2,270.104,0.2267
1.93E+06,1.35E+06,857594,199453,363228,259321,840413,156512,764618,2447.17,39510,47594.7,13424.6,15022.5,6434.89,1526.32,0.2379
1.48E+06,1.00E+06,886859,387307,572295,384710,892560,289804,801866,2372.35,20800.2,68987.6,31508.1,15191.7,9664.26,2441.01,0.2466
1.50E+06,1.07E+06,838124,247692,428164,295385,869707,185282,802102,2006.5,5752.32,35909.9,9967.02,7779.19,5127.42,807.85,0.2541
1.71E+06,1.25E+06,821132,194089,327449,249571,787229,166389,699886,761.932,67832.8,40532.5,10047.6,7375.49,3369.37,1270.61,0.2605
1.76E+06,1.26E+06,838116,224860,391620,290293,809431,177550,759877,1925.35,73607.1,34324.4,11305.3,9575.21,6458.42,1977.66,0.2672
1.51E+06,1.13E+06,801214,287053,386724,291449,796141,233721,736912,2866.47,317510,45710.7,14785.5,11284.8,5228.53,3080.3,0.2694
1.02E+06,629837,974561,315242,550915,363930,908276,226024,836837,1575.38,10514.9,56847.9,15117.4,15588,5900.95,3684.91,0.2702
1.65E+06,1.05E+06,939131,450971,814766,568494,859920,337907,800761,1584.41,200580,65386.2,25797.6,15155.4,11716.3,2171.66,0.2707
2.17E+06,1.37E+06,947959,316346,551813,356312,929208,227131,835676,3197.53,65362.3,70939.2,34482.9,29187.5,9855.53,3128.61,0.3061
1.40E+06,910297,921850,395122,725458,500965,868872,288191,822626,1980.41,270147,53551.7,20194.5,17626,9899.93,3041.46,0.3216
1.60E+06,947772,1.01E+06,287950,403333,250288,966885,195341,884452,2151.45,125732,74822,23669.6,11638.1,5582.36,2729.29,0.3379
1.73E+06,1.15E+06,900028,314872,502790,351826,857452,232343,813122,2320.33,39213,73230.9,28717.9,13871.5,6283.04,2061.92,0.3463
1.92E+06,1.13E+06,1.02E+06,377091,662741,417548,952333,268274,843371,1849.81,39312.4,76971.6,25904.8,22059.6,11492,3172.72,0.3569
1.58E+06,1.06E+06,893285,233608,413652,295729,839252,185624,755101,1415.94,42892.4,46671.2,18392.6,8708.57,13279.7,1370.07,0.3569
897212,493632,1.09E+06,304028,487170,306498,953683,203793,895108,2460.16,38935.5,61121.9,16561.6,20171.7,9783,1070.3,0.3847
2.13E+06,1.30E+06,987256,305379,546427,374776,874805,228194,802945,3040.87,30283.9,43425,21315.1,18636.7,9176.25,2529.53,0.4096
1.33E+06,888771,898572,363666,592486,414855,856906,281672,774659,1967.31,13504.4,53532.7,17714.2,12717.8,6262.63,1767.93,0.4355
1.19E+06,783057,909369,334063,434008,303525,857935,253673,790143,1511.87,24024.4,50768.4,13583,14896.8,4689.62,1149.32,0.4428
2.30E+06,1.51E+06,915615,338801,509909,308428,991951,223767,908448,1015.08,65779,43963.8,11070.6,8959.9,5587.83,762.163,0.4519
1.41E+06,916719,921318,293190,583409,420793,831871,227620,772840,2509.39,3526.82,57113.1,13387.4,8019.65,8020.95,1589.69,0.475
1.76E+06,1.21E+06,866770,247814,407028,288932,845240,191525,776340,1746.84,17032.9,54660.1,10049.5,14396.6,6218.92,2335.01,0.4813
816472,471217,1.04E+06,393643,561830,325314,1.04E+06,246896,956620,2002.5,44495.9,49676.3,27355.7,12947.4,4278.95,993.797,0.4814
1.51E+06,1.00E+06,903278,471862,805762,548589,881274,354197,799321,2844.75,56326.2,81739.1,24708.1,25668.6,8852.79,2726.07,0.4831
1.38E+06,960396,864423,329120,633555,453281,838626,258991,762467,2615.57,244449,66414.3,11355.7,10010.9,5225.46,1945.66,0.4852
1.46E+06,992259,884439,303567,441839,312473,848403,236131,771352,1506.44,56756.9,37652.3,10104.8,8603.67,5403.66,681.052,0.5063
1.53E+06,1.06E+06,862397,269273,492451,347289,850791,207189,779790,2007.61,73591,91342,41311.7,9680.57,6354.92,1586.51,0.5479
1.61E+06,1.12E+06,859964,238953,394798,296268,799543,192651,744204,1904.64,32384,70998.6,19427.3,17614.4,7440.97,2071.48,0.5637
1.41E+06,959490,878736,289392,536614,369265,871917,221374,784352,2339.4,35198.9,51711.4,17298.8,13367.6,8288.07,1469.07,0.5639
2.41E+06,1.56E+06,926774,359799,633156,419616,905337,261231,826394,1855.03,36389.3,70403.4,21497.2,14946.3,7797.65,3511.55,0.5691
1.85E+06,1.24E+06,893043,213581,370278,272416,815542,173087,740372,1450.27,2500.73,56178.9,14780.2,11704.1,6528.5,1493.47,0.5766
1.70E+06,1.07E+06,950799,318046,554620,391529,849930,243088,785015,2387.48,5919.77,70140,18561.4,14679.2,9581.69,1820.21,0.5843
1.39E+06,954627,872364,274139,444707,325082,820790,215967,761614,1889.54,7930.86,72575.5,14973.6,13595.3,5965.13,2566.26,0.5913
1.27E+06,798873,954768,338347,451108,299706,903101,247552,820063,1888.23,66094.3,77349,23242,23819.8,8446.6,1677.12,0.619
1.19E+06,808591,879311,305755,579152,432825,802844,244144,751413,2251.1,32381.6,42859.2,15746.9,9180.6,9663.45,2084.85,0.6273
1.66E+06,1.08E+06,921190,302440,533878,365952,875325,232931,779047,2324.22,7029.81,55510.6,18118.3,18712.8,7531.86,1710.42,0.634
1.63E+06,1.22E+06,797626,240533,478188,369081,777370,193033,747643,1543.65,226026,53362.4,8257.28,10057.7,7225.36,1357.42,0.6473
1.83E+06,1.26E+06,870337,272959,483038,356591,812760,217557,752794,2506.51,31419.4,102627,29441.3,10019.1,11457.9,1614.81,0.689
1.14E+06,751501,907343,281600,492526,325984,906535,207046,816050,918.576,257975,50986.2,22922.9,10992.7,8422.68,1870.96,0.6947
1.37E+06,961421,854728,197670,327669,240457,817616,162180,731299,1349.21,2033.92,38266.3,9734.83,11872.3,5359.33,2217.45,0.6968
1.72E+06,1.23E+06,839198,212536,312711,239336,783945,176010,724513,2140.05,30382.8,46897.6,18359.6,7900.29,4608.75,1564.81,0.717
2.37E+06,1.59E+06,893958,363974,669228,443247,905898,264735,824918,3299.61,148600,88759.8,20029.2,28518.3,12832.6,3662.79,0.7263
1.57E+06,1.06E+06,887684,296598,493071,327778,902570,218295,815223,2830.43,40783.4,57317.4,21654.8,24835.5,8913.08,1885.18,0.7307
1.71E+06,1.19E+06,857711,263676,454631,326790,834721,219701,720094,1005.55,13181.4,34322.5,9889.74,9137.99,4590.2,890.961,0.7335
1.54E+06,1.05E+06,874576,349058,576469,419093,825309,267164,783919,2731.99,69988.9,70283,41388,15890.8,9592.57,2915.98,0.7446
753645,406801,1.11E+06,369351,642885,377347,1.02E+06,233570,948798,867.145,226700,77546.5,47063.7,21345.5,9448.65,2362.58,0.7606
1.69E+06,1.18E+06,853660,350023,486223,363174,803289,283432,740968,1828.01,176568,74264.7,12901.4,11638.7,8453.07,3141.3,0.7813
1.44E+06,1.05E+06,822558,227527,362752,263656,825513,185730,735026,664.39,151356,38624.4,11190.4,9846.57,8918.23,1663.06,0.8259
1.74E+06,1.19E+06,876135,203850,349064,261655,800436,165659,738324,836.421,29997.2,45474.4,17071.8,10511.4,4576.81,1657.53,0.8443
1.50E+06,1.04E+06,860680,268731,355935,245683,869253,206119,782259,2204.22,21134.3,53699.9,22202.6,13683.8,7290.49,2567.26,0.8854
1.13E+06,804471,841916,377962,502180,362576,831021,295253,768077,1685.05,233200,39767.8,11632.6,11373.8,5658.4,2282.28,0.9176
1.35E+06,931520,869526,374279,606104,437067,832052,303862,739044,1886.23,63618.7,53914.8,34598.6,15081,5288.89,1334.14,0.9258
1.80E+06,1.22E+06,889037,277541,482873,338230,856588,211711,786566,2035.54,4208.18,76874.4,16447.1,21031.2,8806.54,2427.78,0.9349
1.84E+06,1.16E+06,949788,370569,622998,424298,880982,278203,799206,2143.92,59847.2,74014.7,22069.3,17733.2,17665.7,2061.65,0.9426
1.79E+06,1.20E+06,895280,294648,567228,396505,858342,226063,782033,1756.35,66251.8,65685.1,14841.6,18151.5,8773.44,3700.5,0.958
1.74E+06,1.28E+06,816015,286114,443364,313238,849253,216143,794236,1741.03,83803.8,59974.9,17358.6,14167.6,7309.21,2338.36,0.9585
1.26E+06,811745,930549,306162,472677,348959,812720,243915,753121,1938.09,3519.91,57191.1,18114.7,6297.3,5400.34,2946.1,0.9944
1.86E+06,1.23E+06,910535,444858,808614,542198,894817,325358,820372,2136.34,5694.53,56129.6,16023.6,21280,5381.15,3212.7,1.0019
1.69E+06,1.18E+06,858722,243530,343943,255244,808503,197966,738095,1816.6,19920.6,28517.2,16316.5,8563.67,5032.5,2230.22,1.0178
1.52E+06,909074,1.00E+06,522332,977583,605869,968113,356488,879131,3300.7,62017.5,93493.5,22782,34591.4,13409.3,3776.74,1.0539
1.42E+06,988915,863373,360415,655492,459086,856691,275879,783855,1919.14,34548.5,70317.8,21192.2,16075.3,8393.26,2480.85,1.0691
1.40E+06,908577,923258,353198,620041,401617,926316,254193,833692,2483.35,118885,59652.9,17641.6,14601.6,9345.83,3559.09,1.0826
1.38E+06,895512,925797,316239,569527,399555,855242,249784,759630,2513.27,55543.2,49931.7,9224.76,18535.4,7978.82,1989.79,1.0873
782305,467729,1.00E+06,273118,539927,352011,920302,192811,849904,1769.85,115802,89080,17288.3,8909.01,6027.98,3325.64,1.0888
1.30E+06,803992,967290,345697,460548,294919,936965,247045,839596,4020.57,33764.1,71725.9,20580.7,24134.4,14132,2712.54,1.0919
988787,716513,827999,419003,560203,393985,853133,320021,785580,3131.55,118610,52517.6,19904.2,10389,7091.13,1854.84,1.0933
1.59E+06,1.14E+06,834268,224323,293272,226756,776002,187853,716484,1508.11,72259.5,64351.1,27219.6,7071.82,5207.33,1156.1,1.148
1.24E+06,886005,839695,284104,395294,281743,841819,224572,759054,1791.63,15943.5,39876.1,11730.5,9134.41,5694.75,1049.07,1.1566
1.80E+06,1.16E+06,928750,275553,437956,305091,861295,212342,778610,3006.15,35094.6,55286,30274.4,13266.1,8470.91,1950.12,1.1626
1.53E+06,1.09E+06,841436,281561,427026,314520,814625,219772,768690,1650.79,68564.6,62101.1,12648.2,15727,9824.62,1595.57,1.1654
1.62E+06,1.20E+06,812640,299762,539731,387864,834928,235601,763397,2482.31,12507.7,56456.2,22580.2,15226.5,11407.3,1187.07,1.1757
1.25E+06,852844,881609,293040,529966,377226,842942,230991,761173,1757.69,27639.5,68888.8,17750.6,14738.6,7055.46,839.073,1.1832
2.03E+06,1.31E+06,928660,271085,475326,316446,901246,200490,811267,2108.9,16484.5,71783.4,15382.5,25108.2,8719.31,3379.36,1.1845
1.63E+06,1.15E+06,855987,265874,533819,378571,846053,203172,785168,2511.73,128974,91908.9,17993,15550.5,7750.78,3481.88,1.1923
1.32E+06,834925,951903,366755,614998,432043,854078,286683,767583,1976.92,118983,53517.3,17480.9,20337.7,9743.67,3366.89,1.1926
1.87E+06,1.33E+06,843480,400052,558482,417238,803112,334345,717915,967.494,78653.3,34527.1,4753.64,2891.71,2158.86,785.368,1.2069
1.67E+06,1.14E+06,874941,240848,442341,288938,918552,175547,823193,3315.24,8083.27,65873.8,17237.7,25453.1,10167.8,2511.03,1.2092
1.94E+06,1.13E+06,1.03E+06,396146,731050,448354,978311,276104,860862,3528.41,33040.4,132385,47644.1,25387.7,15031.1,2981.9,1.2149
2.42E+06,1.48E+06,982229,393728,660200,439326,901654,297033,795322,3129.67,5997.79,79803,20063,34990.4,11010.1,4037.79,1.2297
870327,589229,886237,396847,498164,361845,826040,310041,767989,2122.05,6253.98,49725.9,18282.6,9333.42,5699.05,1117.54,1.234
1.22E+06,810008,905902,269977,340005,248016,822538,208454,777083,2596.05,69197.8,57665.3,18895.5,12832.4,7495.93,1623.18,1.241
1.12E+06,745627,901450,337470,592649,406477,874808,255262,793232,2159.27,8271.33,54838.4,24734.8,18485.4,10755.3,1519.74,1.2415
723954,349762,1.24E+06,233229,502162,250060,1.20E+06,120824,1.16E+06,1638.68,9676.56,3523.94,3763.75,-53.1099,585.598,1086.44,1.2704
961880,583479,989115,350290,462955,298930,929223,253732,828331,2113.47,29101.5,41970.3,14402,11040.3,6058.27,1856.07,1.2787
1.66E+06,1.15E+06,868227,349516,651827,485167,806106,272426,769786,1895.7,5043.55,73386.3,28539.7,16275.7,8245.83,2146.96,1.293
1.78E+06,1.22E+06,871656,196741,368727,275026,804420,160096,737335,1825.8,19483.2,77384.4,13395.6,10416.2,8742.25,2062.8,1.3081
1.85E+06,1.24E+06,894472,268696,400279,289444,829755,224739,717354,2285.3,32245.3,60557.4,14668.3,16594.1,5579.74,2189.53,1.3187
900408,480992,1.12E+06,354752,768377,463126,995466,220094,967091,2531.52,45941.9,51411.9,19088.5,12722.5,8084.42,1747.02,1.3445
1.67E+06,1.04E+06,964501,507921,886130,593285,896160,378631,804880,3725.43,117788,101460,30187.8,24668.8,14050,4386.02,1.3535
1.63E+06,1.17E+06,833990,152940,304363,236433,772388,126524,725270,1409.17,67091.1,51287.4,17702.4,9118.9,5332.03,3650.4,1.4025
2.20E+06,1.37E+06,964650,301322,492883,312952,944969,221588,815897,3222.35,98026.7,80807.5,17586.6,25989.6,10582,2448.84,1.446
842303,454617,1.11E+06,451331,794234,468291,1.02E+06,286033,946738,2828.44,161222,56589.3,30683.4,22301.7,10895.7,2398.78,1.4485
1.83E+06,1.31E+06,836928,268880,486755,355549,821414,209839,768818,1498.61,67484.2,55409.5,11508.3,14432.6,10250,2680.56,1.4515
1.89E+06,1.37E+06,831521,187441,336857,251443,803817,148698,756329,1969.52,30321.5,43889.5,20480.6,9542.82,21169.5,1739.05,1.4521
1.27E+06,877229,869860,317605,468053,335287,837586,248889,765654,772.233,116510,40557,9509.3,8379.1,7569.32,1973.46,1.4667
1.30E+06,897125,872537,370928,624298,439671,851952,272322,817256,3230.89,18512.8,84443.4,27109.8,14702,16979.1,2132.92,1.4877
1.73E+06,1.20E+06,870725,240198,385813,279927,826958,192496,748684,1991.09,9281.38,39642.1,20638.9,15325.2,7262.7,1316.21,1.5143
1.81E+06,1.11E+06,974754,423563,587750,382086,922960,307708,825905,2911.37,7083.73,69946.2,21402.2,23059.5,13309.5,2411.41,1.5263
1.37E+06,886934,925732,271293,507849,356101,855683,205126,793542,2029.69,63852.9,54482.5,16511.4,12138,8283.84,1772.18,1.5271
1.17E+06,783934,896900,335168,580383,423273,822707,264305,760865,3350.97,26040.1,71012.1,34745.8,12177.9,9596.46,2291.1,1.53
1.87E+06,1.27E+06,884070,283717,489110,340678,861418,213413,797657,1768.66,36527.8,79029.9,35328.8,13622.7,9039.86,2410.85,1.5325
1.57E+06,1.01E+06,931076,375797,485816,328409,887581,283317,795852,2363.07,4856.89,105188,29047.8,17682.2,9383.41,2090,1.5405
2.08E+06,1.46E+06,853990,238156,443262,320439,829977,179394,796535,2513.85,30442.4,60599.2,14698,22721.8,8409.45,3322.64,1.5502
1.50E+06,996116,902182,378142,628609,419489,899107,282994,801731,1115.31,51938.5,47675.2,11570.3,11773.1,5165.28,1696.55,1.5569
1.72E+06,1.17E+06,877659,252471,463353,335302,829138,197245,767992,2849.28,36987.4,81691.4,15203.5,14211.3,4986.83,2128.43,1.56
1.79E+06,1.35E+06,799725,240194,424256,330980,769090,202612,711292,1430.28,8864.03,50406.1,12571.6,14278.5,7051.11,573.085,1.561
1.51E+06,1.04E+06,869128,357000,607322,418008,871738,266087,804999,880.744,221670,76890.5,23639.2,15354.6,11140.1,2453.21,1.5689
1.26E+06,929459,814719,205390,376734,285893,790647,169789,725805,1828.53,32562,52352.1,11502.2,8207.86,6859.72,2343.22,1.571
1.47E+06,995502,884295,276502,455833,341518,800836,233227,711330,1960.68,15169.1,65510.6,24632.1,11400.3,7011.59,1495.12,1.5763
1.59E+06,986321,965494,577368,959942,667371,863036,418436,827894,3385.46,64559.4,61403.5,30658.9,13615.7,12802.4,3121.67,1.5798
1.97E+06,1.25E+06,943962,309078,515831,334941,924038,222162,834736,2956.21,13936.4,63814.1,23454.4,22405.3,9828.89,2621.31,1.5898
1.52E+06,1.11E+06,822775,352212,659821,490862,806525,276253,764977,2932.01,9278.5,66800.3,12932.6,12648.4,7961.95,2086,1.6201
1.72E+06,1.22E+06,844987,213947,337251,236324,856243,162430,790298,1125.54,25198.8,45784.1,7186.91,9299.65,5367.87,1061.98,1.6208
1.94E+06,1.29E+06,904228,245550,417351,310578,806272,197615,745542,2302.15,63550.8,59936.6,23132.7,10208.4,4840.61,4239.15,1.6228
