FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
2.10E+06,1.35E+06,928851,387335,589962,436297,811322,308293,753832,1345.31,120101,175115,51817.9,11414.4,16895,2938.71,0
1.43E+06,934713,919247,381890,552682,397725,833766,278847,821720,1639.88,31185.1,71295.6,21524,14648,8031.75,1701.25,0.0056
1.85E+06,1.30E+06,855165,212027,369889,274225,809311,171914,740000,1334.82,52749,59019.3,24691.7,13027.6,11278.2,1329.89,0.0071
1.01E+06,607525,999704,376384,705695,464089,912362,277533,813707,3932.82,15438,87662.1,23001.1,16304.9,8854.38,1507.52,0.0396
1.77E+06,1.27E+06,838573,183899,270829,199648,813920,153056,720910,1542.88,17472.8,61915.7,10995.4,15444.7,6754.27,903.699,0.0502
1.31E+06,950643,825931,316145,464733,343756,811157,258522,733735,986.528,5246.89,67017.3,17603.4,10197.4,9542.35,882.433,0.0574
1.47E+06,1.09E+06,811685,274648,414313,289924,857424,211312,779835,2352.47,14797,57008.1,14052.5,12541,10205.1,1794.38,0.104
1.93E+06,1.22E+06,953533,422064,700983,451215,932127,298555,848213,2458.4,144112,74372.5,17502.4,14130.3,13891.2,3456.36,0.1545
1.40E+06,984671,853374,235242,384347,285259,808417,182200,774671,1067.55,143257,94580.7,30356.9,21850.8,8973.8,1085.67,0.1605
1.56E+06,1.18E+06,795658,166183,314093,244553,770613,132540,752300,1885.79,21120.5,64176.7,10437.4,10053.2,7794.08,753.964,0.1674
1.78E+06,1.17E+06,915544,392059,440431,298180,886240,298903,786995,2511.2,3250.86,70068.9,25400.4,19668.3,21692.5,579.435,0.1747
1.66E+06,1.20E+06,827451,278402,489661,346938,846828,212267,786939,1910.37,61320.5,80020.4,14788.4,19257.9,10384,1938.51,0.1777
934958,661333,848249,233806,438252,301090,873331,176418,795178,1524.95,7460.49,2789.67,1656.96,-163.754,331.163,540.223,0.1802
2.12E+06,1.38E+06,924104,349324,614102,405520,908614,256527,817045,3779.8,29639,57378.1,27152.1,10499.1,26485.1,2690.17,0.2021
1.61E+06,1.16E+06,831636,228930,386237,291407,795253,184639,743928,1380.95,33212.7,68699.2,12679.2,13096,7699.08,1512.38,0.2076
1.44E+06,964839,893686,336663,594369,401706,887767,250443,806563,1665.35,6363.96,70171.9,14264.1,20372.7,22453.1,2115.3,0.2344
811837,467757,1.04E+06,364952,498994,330564,905713,265751,823970,2608.65,16289,71618.8,15312.5,17968.1,9760.92,1107.95,0.255
1.34E+06,893416,896922,292056,559583,402382,834406,225703,776390,2485.57,3594.2,75681.9,11021.1,13874,7822.41,1955.37,0.2742
1.91E+06,1.27E+06,901685,256377,403544,293961,823668,209234,735187,1142.64,65260.3,149780,21914.4,9321.24,9250.84,1597.37,0.283
1.09E+06,689506,947553,269566,477574,329378,869955,200725,805776,1678.19,10752.8,84897.1,14550.3,19675.3,8688.64,2722.42,0.293
1.67E+06,1.13E+06,881361,263320,427735,295965,867133,205421,769113,2056.52,26762.7,55855,8638.11,15514,7058.45,1299.43,0.296
1.62E+06,1.10E+06,882389,324102,449147,316328,851927,244799,794370,1515.91,32266.8,74668,14080.4,25367.4,9190.06,1877.72,0.3037
1.26E+06,752239,1.01E+06,413750,788576,514221,920121,290142,855616,3555.4,33917,81811.1,14548.1,24353.4,14454,2618.8,0.3261
1.37E+06,903937,906790,309162,535025,373729,858952,233632,793973,1512.81,62525.2,66116.2,14325.4,14133.8,7713.36,2304.39,0.3505
1.33E+06,857525,928329,423429,579373,382379,909108,314689,807329,2813.86,4178.88,78547.4,13590.6,21368.1,10956.4,2642.81,0.3537
1.59E+06,1.07E+06,893060,330558,630775,446039,848502,248600,797807,2675.94,4405.89,87023.6,23268.6,22308.3,25422.2,2099.02,0.3544
1.41E+06,923588,912935,379975,704482,484146,873062,281529,809810,2526.61,9160.89,173610,63143,27487,7991.31,2247.04,0.3678
945611,585935,968310,381485,559413,369205,909110,274377,834221,1626.98,17666.9,55280,14749.2,12855.8,5657.77,2528.97,0.407
1.14E+06,818753,839017,323487,493464,343426,862132,240809,806000,1601.09,59678.3,62431.2,18744.5,16199.3,7977.57,1503.33,0.4281
1.83E+06,1.25E+06,878822,286612,537806,387764,832164,221186,777479,2282.6,3316.06,85690.1,11888.4,20670.2,6575.96,2020.07,0.4418
2.30E+06,1.49E+06,926788,261870,453003,318191,854209,203291,772893,3294.54,11632.1,292092,17548,11533.2,9561.15,2284.03,0.4715
1.90E+06,1.30E+06,878726,283008,462996,339852,817408,221459,766755,2582.84,33579.2,125382,28385.8,14799.6,29689,2055.21,0.4796
1.79E+06,1.20E+06,898660,235939,420686,288804,873989,182977,773667,1870.55,25946.8,63720.4,10905.7,23194.5,8289.1,1718.72,0.5127
1.66E+06,1.10E+06,907584,375284,471565,311805,907422,269306,836113,3367.26,16223.5,73718,24017.7,17832.4,12300,1956.88,0.5128
1.43E+06,925565,929670,431184,735506,494773,891932,326431,792542,4044.73,10978.4,85571.2,16597.4,14910,11111.5,2513.74,0.5296
1.58E+06,1.12E+06,846119,297982,495763,370653,802524,241875,739179,1093.45,22833.3,73318,41591,12032.3,12388.2,1661.94,0.5734
1.36E+06,874060,936130,405686,776874,506592,920118,282158,862678,4194.48,135088,115760,45439.4,16266.3,12431.5,2639.64,0.5788
1.04E+06,734194,846543,296742,386284,275658,840790,236498,752840,2113.7,22160.5,47351.5,10683.9,13139.9,6586.09,1215.1,0.5805
1.47E+06,1.07E+06,825381,318781,603234,443029,816968,251360,760936,2609.25,60855.1,86476.8,19623.8,23743.1,11465,1722.34,0.5828
1.66E+06,1.18E+06,843608,251582,340502,243547,838858,195233,773175,2132.81,17691.6,68419.8,11897.2,14731,6986.25,1667.8,0.5898
1.61E+06,1.22E+06,795706,182208,304460,239200,763696,155231,704270,1119.43,35091.9,102569,27965,11289,11949.7,435.396,0.6169
1.37E+06,954781,859881,299668,545522,404396,809387,239512,750697,3367.65,44609.5,91324.6,15862.5,25988.7,12834.6,1481.83,0.6528
2.08E+06,1.34E+06,936403,315284,484531,330720,879048,237706,795818,2940.46,28417.3,80352,19899,30976,15189.8,2598.86,0.6589
1.16E+06,753973,923972,482284,775508,512849,907295,352851,820092,3207.89,61798.2,80722.2,29349.1,22836.5,15923,2347.79,0.6636
1.71E+06,1.27E+06,809812,270499,477359,375495,762768,225247,720538,1708.54,29340.1,75470.6,23427.6,6638.27,8507.56,1297.47,0.6777
1.20E+06,825257,873949,284564,524938,370166,850869,224840,759378,1469.88,2044.27,56987.6,14880.8,15607.9,9010.35,1226.46,0.6845
1.60E+06,1.10E+06,874266,313462,612602,439552,836218,243371,772802,3027.19,271911,65349.4,35997.8,15019.2,8142.51,2521.72,0.6953
1.37E+06,957270,856132,371201,676035,475259,853473,284073,784027,2962.74,91556.3,91310.7,25420.2,25287.8,14187.9,2618.5,0.7051
1.28E+06,848168,905211,237820,438967,330814,796158,197908,721001,2222.81,1404.55,77488,9286.97,9477.31,9491.73,1113.29,0.7076
1.41E+06,943314,896850,352447,665321,468887,851362,272447,776181,2304.23,42676.6,96342.9,27359.8,21827.7,27490.2,1288.93,0.7105
1.32E+06,1.01E+06,784205,251261,398184,317743,751898,210542,716040,1525.36,31291.3,57741.2,13574.7,13434.1,6824.17,1039.59,0.7144
1.76E+06,1.26E+06,842148,257446,431577,317366,815923,211616,729943,1947.56,7595.62,51862.7,30867.8,6584.33,8609.4,2172.94,0.7192
