FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.72E+06,1.14E+06,906311,256104,436692,288558,908015,195289,786846,1950.82,2704.17,55680.9,3291.47,12538,3235.42,698.884,0
1.77E+06,1.19E+06,889214,322104,576925,400150,865063,251014,769927,1766.19,59984.2,70481.6,8938.01,15750.7,2732.8,1237.62,0.0408
1.42E+06,950175,896982,327789,595586,386446,924713,269494,729787,2552.86,63228.4,78003.1,6944.24,15162.6,2837.76,145.251,0.1922
2.21E+06,1.51E+06,874626,205470,363724,271880,802686,164728,748397,2175.11,35985.4,105109,26504.2,7697.06,11027.1,2133.65,0.4305
673988,441243,916485,347993,600929,415087,868630,275768,757142,1888.63,19550.2,62925.1,9398.8,13909.2,3993.44,1099,0.4306
1.58E+06,901968,1.05E+06,497632,836580,527515,951534,334640,892239,3844.47,55951.6,65635.5,32818,20471.5,7778.38,2000.06,0.4392
1.37E+06,962045,855785,244288,462952,321971,862721,186213,787123,2288.83,40753.8,56289.6,7521.13,11517.1,5197.17,1396.68,0.4539
1.67E+06,1.18E+06,851638,395192,664644,423254,942192,287564,824565,4018.15,597232,66072.8,12213.9,13840.1,7538.35,3156.9,0.4804
1.75E+06,1.22E+06,862207,404709,703828,501201,842570,312884,776088,2361.5,31247.2,135215,19303.4,10605.9,9631.78,1761.67,0.4824
1.62E+06,1.15E+06,844289,314173,522366,371858,842848,240183,784834,2193.26,13170.8,44939.1,15999.4,10184.8,5250.05,1338.99,0.4869
1.86E+06,1.32E+06,843224,216078,370105,274592,808701,171257,757030,2730.46,6381.4,44280.2,11177.8,16417.3,5572.34,1502.8,0.6049
1.43E+06,1.05E+06,819472,260556,464086,353305,788134,212169,736836,1168.33,42678,39182.8,12195.2,9553.16,6518.88,679.117,0.6139
905349,574896,944882,343786,612598,391511,938822,254695,809877,2392.33,52580,62804.2,21041.9,14404.6,9358.49,1186.29,0.6315
1.59E+06,1.21E+06,790664,203847,301252,237903,759768,173683,704205,763.628,60793,36098.9,7901.3,10139.3,5790.58,782.222,0.6641
1.42E+06,994155,857939,375266,625948,448898,836646,291355,772803,2029.44,118160,65158,20234.4,20664.3,11038.1,1586.32,0.7106
1.83E+06,1.22E+06,899735,347260,538190,354248,911547,259808,801962,3609.72,18395,96603.9,21464.5,24371.1,10849.8,1436.86,0.7601
1.50E+06,1.03E+06,871083,280715,470049,350077,805622,234832,717231,2276.76,14342.9,88839.9,11637.4,13951.3,8891.6,364.386,0.7643
1.27E+06,937909,812364,237924,431646,326327,793644,197942,721194,2016.91,14601.6,83858.7,11851.6,11194.1,5129.95,955.653,0.8435
1.43E+06,974853,882324,328261,586001,405301,867505,242228,813104,3928.07,60294.3,117047,30409.1,17995.8,10046.7,1641.32,0.8756
1.82E+06,1.25E+06,870231,251448,386775,280535,827222,199764,755236,3031.31,1693.44,89640.2,23346.3,10434.3,7854.77,1295.54,0.9128
1.44E+06,1.02E+06,846048,269896,427611,309659,828545,215653,750918,1870.12,5940.45,50733,15501.1,9708.01,6474.72,1005.67,0.9388
1.75E+06,1.21E+06,865719,287027,446599,312096,858580,225388,764087,1932.1,9818.97,75498,15552.6,10954.6,6127.41,1259.82,0.9457
1.22E+06,855336,858275,304263,570040,398410,858472,232168,786318,1387.36,13383.6,59466.2,13655.1,14139.1,7135.54,1361.07,0.9513
1.72E+06,1.17E+06,885764,400578,647067,454683,853870,311196,772332,2062.44,122848,74044.1,35466.4,16556.3,8921.46,1418.83,0.9896
2.07E+06,1.40E+06,885933,315891,499172,336957,888848,240703,787420,2099.4,54638.9,63011.3,14963.4,17138.9,9137.71,1318.01,0.9917
1.47E+06,1.01E+06,878753,290475,480000,355453,810234,240600,724376,2505.33,101621,217106,20346.2,9371.42,7116.3,1984.03,1.0904
1.71E+06,1.19E+06,861870,363955,571213,421086,813915,297452,734146,3936.56,35840,69409.5,15229.1,14939.6,8442.05,2809.55,1.0944
1.56E+06,1.08E+06,867299,303500,591445,423232,838469,232091,784605,2249.35,8480.71,111222,23420.5,18629.1,11039,981.389,1.105
1.48E+06,1.01E+06,880337,378594,624280,419814,892224,268108,847256,2380.94,3298.08,63245.5,27895.5,16695.2,12707.3,980.503,1.1241
1.43E+06,986230,869850,206390,364448,265525,823534,162894,760211,2658.48,9950.17,51335.7,21617.4,8843.33,4571.33,957.583,1.181
1.52E+06,1.16E+06,787541,280869,456696,337037,813020,226040,745538,1532.28,18041.5,60815.8,12207.9,15911.4,7843.95,741.579,1.2178
729700,464029,943518,318068,573132,413829,830970,241331,790785,2092.64,19503.2,66315.6,20878.6,12484.9,10083.4,1540.68,1.2245
1.04E+06,706205,886578,302031,492463,337654,875090,227300,797265,1612.65,24499.5,63435.7,13748.7,12361,10089.2,621.289,1.3218
1.68E+06,1.27E+06,794161,151001,253267,213962,710222,134535,673435,1555.3,76328.9,129521,17610.7,7571.2,7048.71,1569.1,1.3398
1.58E+06,999508,951080,367122,569430,383407,891111,270588,814054,2999.79,3794.25,117107,24648,17940.8,9384.22,2341.66,1.3748
1.39E+06,963161,864143,284807,410769,285922,861989,220276,775774,1650.97,17278.9,49603,12007.7,17761.6,7494.6,1276.45,1.4525
1.42E+06,944962,900088,298181,550058,379351,869999,230252,777011,2400.55,9734.94,62100.6,17504.8,14164.5,7613.72,1008.99,1.4906
1.31E+06,880212,889917,295169,504685,354989,853016,228490,775096,2213.96,55414.1,57278.8,11762.4,10115,6522.16,914.94,1.552
1.66E+06,1.29E+06,773573,142507,220027,178097,741260,122604,697403,1922.74,18869.5,146772,8969.7,8415.96,3230.39,766.589,1.6307
1.45E+06,1.03E+06,843603,263321,379442,271835,837513,211213,748025,1977.56,27186.4,60714.3,10302.8,9893.62,6055.53,867.103,1.6485
1.68E+06,1.20E+06,837633,297671,465493,338172,825899,233407,765198,1678.62,29629.3,41650,10964.3,11401.5,7387.35,823.245,1.7789
1.28E+06,949823,807512,210274,330412,240768,823394,169191,745692,1387.68,1738.85,43032,8233.06,9431.31,5936.26,869.366,1.8258
1.65E+06,1.17E+06,846755,297384,497022,361884,824058,240290,742564,2534.98,18646.7,60237.2,16952.6,13091.9,9340.96,1622.62,1.8676
1.46E+06,966793,903641,313275,476036,313902,909907,240189,782571,2695.98,7023.05,99985.2,25633.6,24874,9556.64,1694.97,1.8723
1.15E+06,832917,828778,390392,613456,470456,782377,316992,738932,2249.02,135177,104118,45336,19931.7,8081.97,2230.91,1.8897
1.47E+06,1.11E+06,794932,235146,385530,300615,769483,195940,720056,1668.99,68965.3,53617.8,12154.4,9560.05,5329.26,717.412,1.9449
2.08E+06,1.59E+06,784521,173833,305758,252803,725684,153275,680474,993.819,34404.5,71416,20701.8,5774.13,7201.42,774.983,1.9636
1.38E+06,968434,855087,321049,495530,344979,861843,254200,757787,2059.97,91178.4,115277,22932.2,13030,7040.58,1371.19,1.9906
1.23E+06,887230,833115,242238,366662,279276,787742,201110,722702,991.429,2642.76,44224.2,9127.17,12918.9,6783.42,2305.19,2.1002
1.54E+06,1.04E+06,886502,376591,651782,470246,831627,296922,760989,1844.89,83582.4,79861.2,19695.8,16316.2,8791.12,2071.39,2.1038
1.52E+06,1.11E+06,820533,252652,372670,277362,806174,208541,726913,1995.44,30316.7,70690.4,10809,7756.1,4900.61,2803.84,2.1351
1.27E+06,861407,886745,378281,621141,431585,863526,278236,815741,3626.25,6602.5,98802.9,37053,18773.1,12515.9,927.815,2.14
1.51E+06,1.03E+06,876378,353708,552967,383140,865950,271240,782423,2931.27,3442.36,59695.3,14784,18830.1,8989.95,3884.93,2.1611
1.48E+06,988412,896109,342898,539427,363793,889672,263916,779562,3115.39,9136.22,103949,41576.8,22603.7,11267.7,1471.08,2.3055
1.54E+06,1.13E+06,822221,272349,486733,346995,841625,215040,759903,2233.81,4515.58,76017.6,17812.3,11016.1,8211.44,3297.43,2.3091
803588,558255,863678,232631,300704,221216,815595,185016,754415,1939.21,92478.1,81515.6,27224.7,6232.15,5968.94,73.2315,2.3722
1.20E+06,580088,1.24E+06,576320,1.13E+06,627909,1.08E+06,359041,963099,3162.28,25069.1,170782,136120,6259.83,9605.49,2540.45,2.3966
1.81E+06,1.15E+06,940255,413592,727489,493266,884904,302724,819742,2065.82,126875,83396.5,34852.3,13553.7,9887.61,1684.92,2.4202
1.53E+06,1.05E+06,873436,363148,698775,479821,873794,270140,806578,2603.88,19866,97036.5,28259.1,23635.2,9440.88,1176.82,2.4865
1.73E+06,1.29E+06,803600,163223,269022,221393,729080,144129,679486,1878.19,29685.1,100224,20491.3,7060.66,8052.08,512.034,2.5001
1.91E+06,1.35E+06,849597,293903,484395,343164,846933,226337,779112,2562.95,5098.04,75075.2,22088,16582,8531.31,1466.47,2.5181
1.56E+06,1.15E+06,816815,269223,394619,300002,789234,218721,738537,1239.34,41874.3,47911.2,11941.3,13833.5,6986.6,658.987,2.5271
1.17E+06,819538,854236,483919,683436,495825,827029,375323,773604,2489.9,56297.3,65514.1,41680.3,22651.7,11764.8,1729.5,2.576
1.48E+06,1.02E+06,869572,303417,575181,435539,792371,250777,725946,1502.85,26496,57792.6,20488.7,11921.4,8152.36,1076.18,2.5795
1.12E+06,809472,832879,261067,343414,265408,776347,219430,713850,1965.54,26774.6,119918,20463.7,7517.47,5268.43,888.734,2.6121
1.68E+06,1.18E+06,852879,231070,386764,283871,817479,186917,741729,2444.06,16361.7,58749.2,11388,21637.3,6455.36,744.779,2.6206
1.68E+06,1.16E+06,869101,290022,412312,317759,778536,235343,739402,2562.76,34741.5,104148,32376.8,9058.05,8576.62,1322.62,2.6387
1.06E+06,741350,856736,278818,475616,360628,791312,230691,725174,1603.2,34380.3,59779.6,12723.7,13957.6,8490.47,301.33,2.6412
1.24E+06,871144,855924,339215,556709,408074,818541,268684,757503,2800.42,4520.97,66663.5,16141.2,12966.1,7319.17,1896.62,2.6561
1.50E+06,1.08E+06,834300,288375,516657,377055,822145,230319,751242,2046.25,28550.2,67586.5,18426.6,17710.8,8460.45,1086.98,2.6664
1.35E+06,978520,829964,266795,414704,310813,800553,224724,712327,1975.24,5561.87,43551.5,14450.1,7946.66,6547.45,511.102,2.7158
1.62E+06,1.20E+06,809333,193870,329170,260321,758686,164096,708865,1162.68,15488.6,128032,31564.3,10055.2,4368.7,909.718,2.7416
1.57E+06,936171,1.01E+06,261514,356689,219894,973258,179158,875809,1631.23,30525.4,70807,30325.4,19731,9498.07,1049.29,2.7522
1.20E+06,869401,830660,312538,403529,303843,796850,257617,727913,1449.37,39140.9,57937.5,24818.6,12319.1,8324.12,521.462,2.7608
1.28E+06,915591,838643,283794,368028,273123,808489,227243,749313,1659.56,61308.1,49962,13437.7,8413.32,8085.02,878.624,2.7743
1.44E+06,1.03E+06,839602,257571,407951,294474,831213,205880,750643,2531,6631.38,52286.2,12398.1,12241.8,7459.27,1271.14,2.8088
1.29E+06,936211,827522,282252,457500,353498,776525,233674,724734,1667.04,30173.1,96528.3,23739.1,14236.9,6826.06,1178.29,2.8117
1.38E+06,1.00E+06,828512,220900,370578,284978,780225,184548,718188,1513.43,36185,40104.8,11032.9,7822.55,5311.59,670.983,2.83
1.57E+06,1.11E+06,851654,335709,575153,362503,951970,238306,845239,2619.25,28461.8,66947.5,11403.8,15388.3,6976.21,1951.65,2.8343
1.80E+06,1.12E+06,964368,325164,501039,318324,944394,220305,885582,2787.98,55018.8,86751.4,39849.6,16641,5213.47,2121.94,2.8351
1.38E+06,919961,899979,433730,743611,499390,893423,329263,790365,2302.75,5434.92,79997.2,35453.5,14419.9,12305.8,2002.13,2.9068
