"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.45057e+06,1.17833e+06,138799,181107,154348,125509,2154.83,-6131.21,2.04328e+06,26735,1669.78,3168.59,5271.21,0
1.59984e+06,1.26403e+06,103707,134439,113253,94763,1578.82,-5593.99,1.75869e+06,16603.9,1322.63,2116.17,5128.38,0.1333
1.63917e+06,1.32789e+06,140513,200602,178423,133147,1990.32,-5109.26,1.71834e+06,22017.7,995.937,2712.91,5144.82,1.2882
1.43633e+06,1.16158e+06,147616,244036,205032,130221,1909.72,-5642.7,1.8325e+06,27244.6,202.306,3263.26,4969.47,1.3441
1.47505e+06,1.13032e+06,162088,250596,213832,152294,2225.3,-2546.87,1.23828e+06,29221.1,2346.92,6224.17,3801.79,1.8404
1.62704e+06,1.2702e+06,101525,171729,146760,91168,2378.12,-6180.12,2.17273e+06,21644.1,365.304,3203.84,6292.4,1.9763
1.77619e+06,1.3665e+06,99447.8,122831,95901,84895,2241.87,-8002.15,2.60601e+06,19653,-185.605,3172.52,7635.8,2.0018
1.27761e+06,995719,241915,415494,395247,236158,1258.86,-8719.03,2.4817e+06,24366.6,1960.09,3970.04,8078.97,2.5434
1.37804e+06,1.09909e+06,234665,623073,516214,202245,2230.74,-5373.12,2.09747e+06,27960.5,1730.24,3303.16,6916.42,2.5603
1.72042e+06,1.30449e+06,160474,324213,277401,141579,2120.54,-5440.43,1.60723e+06,28680.2,1608.12,3013.87,5789.55,2.634
1.35606e+06,1.11475e+06,133598,190887,169555,125029,1246.21,-4024.97,1.50717e+06,23946.4,1291.14,3045.63,5035.64,2.6979
1.29381e+06,976625,157028,259072,216188,140050,1457,-5594.17,1.97207e+06,28306.8,3124.61,3685.9,6807.73,3.0845
2.08281e+06,1.49961e+06,189948,234412,175121,160769,4606.31,-13591.2,4.27829e+06,74224.8,3629.09,4722.33,14736.3,3.0918
1.3691e+06,1.10291e+06,161418,211478,184808,146530,2468.2,-6746.29,2.14538e+06,27112.2,3084.94,4587.81,6877.27,3.183
1.61157e+06,1.36039e+06,112032,141949,132802,108010,2101.18,-6017,1.95115e+06,21628.6,41.9795,3460.88,6391.15,3.3121
1.32367e+06,1.08119e+06,153329,212686,188594,140767,2160.73,-5878.39,1.96403e+06,26873,1779.38,3911.06,6147.8,3.3451
1.36687e+06,1.04462e+06,197851,218631,173398,172917,3751.01,-7073.1,2.32306e+06,34898.2,4709.75,5325.37,7183.61,3.4526
1.56619e+06,1.30188e+06,135065,192726,169726,124034,2503.72,-6793.16,2.46341e+06,27146.4,357.572,4377.42,7183.85,3.5527
1.534e+06,1.3037e+06,119498,139253,121431,109863,2062.39,-6595.3,1.91411e+06,18849.7,1420.97,3973.03,5255.01,3.7768
1.26498e+06,1.03691e+06,133823,201101,178515,121504,2469.61,-5634.34,1.86539e+06,29506.3,2239.47,3726.71,6074.91,3.7971
1.0676e+06,832528,237393,576287,519377,205507,2353.95,-4844.23,1.80153e+06,33170.1,4556.55,6735.52,5864.32,3.9
1.53957e+06,1.19106e+06,100502,139876,114291,91387,2246.69,-4964.34,1.85796e+06,20528.6,249.418,2960.54,5672.11,3.9588
1.58262e+06,1.24541e+06,114704,160782,133014,102118,2422.68,-5793.73,2.01776e+06,26113,256.169,3225.93,5852.57,4.2485
1.84701e+06,1.38558e+06,102296,155291,121361,87691,1356.8,-3088.63,1.12533e+06,26920.3,2340.51,2708.12,4621.76,4.2806
1.58867e+06,1.26227e+06,120229,165717,141946,111536,2142.63,-6634.7,2.10765e+06,24412.7,1423.73,2796.01,6775.36,4.3828
1.62334e+06,1.26911e+06,118447,194589,165063,109464,2385.85,-4418.78,1.82544e+06,20596.2,923.513,3177.23,5327.79,4.4649
1.39089e+06,1.10653e+06,215253,291071,228334,176890,1980.31,-4701.04,1.40253e+06,24958.3,1953.78,3208.73,5090,4.5307
1.66765e+06,1.37584e+06,143880,213463,192519,134842,1922.5,-6226.39,2.29927e+06,22486.5,824.87,3750.06,7528.25,4.8579
1.53817e+06,1.19465e+06,198503,320270,266305,173465,2843.75,-7247.65,2.67708e+06,52537.4,5199.33,5457.59,8652.07,4.8773
1.74515e+06,1.36014e+06,161934,247602,197467,140235,2340.21,-6307.07,1.90239e+06,32098.1,1828.66,4358.3,6539.59,4.9026
1.5928e+06,1.29832e+06,125068,189880,153489,107725,2491.22,-5526.87,2.43794e+06,31076.3,3741.03,3514.21,7621.89,4.9158
1.34428e+06,1.05639e+06,128707,189047,157054,115086,1818.7,-5743.94,1.7707e+06,25619.4,948.279,3175.7,7158.53,5.2231
1.54708e+06,1.23974e+06,91025.5,130621,112478,84627,1963.17,-3441.31,1.36139e+06,21309.3,-87.0283,2847.4,3967.45,5.3877
1.37334e+06,1.17535e+06,169521,436173,389337,138557,1502.12,-3546.66,1.23964e+06,17911.5,487.255,1331.57,4493.87,5.4157
1.34667e+06,995491,165957,238079,193629,148345,1576.4,-2737.8,1.97076e+06,25387.1,2896.24,3425.62,5678.23,5.4321
1.3429e+06,1.08274e+06,146104,234943,202584,132215,1771.61,-6140.89,1.89645e+06,25739.2,-214.999,3525.18,6617.29,5.6924
1.58186e+06,1.31237e+06,135657,192959,173113,127802,2211.74,-6414.2,2.24349e+06,22775.1,1248.08,3423.14,6755.45,5.9886
1.36086e+06,1.12732e+06,163126,242073,190028,135472,2283.39,-4528.21,1.53262e+06,22876.3,3251.03,3079.34,5343.65,6.0516
2.25938e+06,1.69874e+06,201716,287692,224054,171669,6575.23,-12942.2,4.31345e+06,59875.2,3413.32,4266.53,14895.4,6.2428
1.49634e+06,1.16470e+06,126188,209572,181055,119997,1607.19,-4679.16,1.69714e+06,20919.8,684.042,3507.79,4767.03,6.2838
1.45288e+06,1.12777e+06,117408,175183,148924,109601,1448.01,-2506.03,1.69271e+06,23475.8,1808.99,3123.43,5116.29,6.419
1.39933e+06,1.09269e+06,192009,325015,276168,171237,1939.1,-5117.78,1.79248e+06,25842.5,1816.03,2832.49,5930.69,6.4489
1.32133e+06,1.06225e+06,124813,127899,107256,114766,2594.44,-7110.45,2.17613e+06,21266.5,770.245,2659.61,6522.8,6.5295
1.3355e+06,1.11227e+06,169399,296154,274258,162382,1740.33,-4496.19,1.94703e+06,21775.7,2510.58,3748.7,6290.06,6.5499
1.35792e+06,1.11295e+06,112127,175581,146680,102184,1357.25,-4448.25,1.61368e+06,28051.9,661.217,3405.46,5236.13,6.6371
1.59776e+06,1.35462e+06,111017,157359,142770,104115,1505.08,-5376.2,1.95176e+06,21400,-598.488,3456.02,6153.55,6.7196
1.47667e+06,1.23738e+06,106960,182378,159733,98373,2716.64,-5301.68,2.10122e+06,18709.2,680.911,2624.39,6492.28,6.747
1.40879e+06,1.15927e+06,139263,180453,151729,129301,1612.56,-3029.46,1.22694e+06,19613.2,2089.71,2808.33,3517.48,6.9677
986655,756030,168462,208362,179045,155700,1154.08,-6801.38,2.01737e+06,32086.7,2135.85,4205,6314.47,7.0024
1.29318e+06,1.04912e+06,119225,159886,140062,110931,1699.61,-5050.32,1.76194e+06,23561.7,2575.73,2653.72,5960.49,7.0097
1.09626e+06,894800,162121,224531,200051,152111,2328.34,-5819.07,1.87725e+06,34439.4,1511.32,3684.53,6371.73,7.124
1.19104e+06,920148,156787,296874,256605,143884,1970.62,-4250.32,1.73554e+06,37753.3,2002.12,3343.59,5851.85,7.154
1.71856e+06,1.42032e+06,179501,208996,179876,166771,1813.08,-11405.6,3.32273e+06,32150,3113.31,4620.78,10155.8,7.2267
1.30509e+06,1.02573e+06,138034,212695,179988,128027,1774.53,-3108.13,1.09428e+06,25464.3,1238.43,3277.3,4785.13,7.3807
1.54225e+06,1.28739e+06,357993,1.00177e+06,701250,241563,2067.29,-8552.68,2.53418e+06,22224.5,4561.2,3587.05,9742.88,7.553
1.52617e+06,1.32345e+06,109783,201295,183288,102625,1666.76,-4482.73,1.51793e+06,20805,-682.831,3309.05,4507.61,7.5578
1.48309e+06,1.26906e+06,120432,176888,159384,113196,3601.73,-5648.02,1.99697e+06,26644,10805,2036.53,6106.75,7.5823
