"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.32044e+06,1.00262e+06,790197,212894,272314,209859,778564,178663,714958,4193.33,-7960.13,2.54881e+06,48359.3,7921.25,4304.91,8673.76,0.0305
1.43527e+06,1.12206e+06,767480,156749,244249,199569,734329,136381,689609,2087.99,-4507.85,1.69165e+06,24056.9,3539.19,3571.58,6589.65,0.1584
1.42678e+06,1.12849e+06,758593,116724,156814,129728,725276,103780,674836,1572.82,-4828.67,1.63754e+06,17859.5,2022.27,2888.73,5859.78,0.1597
1.30329e+06,1.0167e+06,769130,155974,257929,215374,718551,138042,677941,1978.08,-3931.14,1.73984e+06,20346.6,2378.12,2622.25,5956.12,0.1808
1.46373e+06,1.22015e+06,719778,138502,187794,162450,693607,129148,643456,1758.29,-5097.04,1.54761e+06,19056.5,1795.42,2550.47,4919.32,0.2107
1.39752e+06,1.12756e+06,743650,135493,204518,177872,689882,124227,654412,1750.76,-3798.31,1.96755e+06,23121.7,2739.54,2417.32,5422.42,0.5622
1.33039e+06,1.05794e+06,754518,147594,226447,190878,711806,133334,664170,1615.65,-3221.93,1.50984e+06,33552.9,3704.62,3240.22,5529.26,0.6692
1.41905e+06,1.17636e+06,723785,138340,203793,182298,670747,129446,641223,1541.87,-3866.7,1.44047e+06,22003.4,3825.84,3431.64,5017.16,0.8895
1.36722e+06,1.13801e+06,720846,132251,155433,138500,673358,126817,625709,1931.77,-4110.4,1.70519e+06,25145.8,1067.81,2507.73,5589.93,1.0231
1.21272e+06,977247,744572,140666,257002,233258,661075,132567,636655,1757.3,-4232.33,1.44141e+06,17826.4,1248.45,2659.48,4589.51,1.1492
1.46466e+06,1.10569e+06,794794,234681,347274,274375,759416,203961,690372,4437.13,-7638.23,2.95455e+06,38939.7,10974.7,5098.85,10656.6,1.2931
1.2695e+06,1.04436e+06,729346,126347,174585,149727,699615,116342,651596,2007.3,-4392.63,1.42694e+06,19845.2,1780.95,2949.53,5716.99,1.502
