"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.41052e+06,1.06878e+06,791845,161864,376592,310669,727317,138090,703297,3390.98,-3680.02,1.2248e+06,38813.8,3274.02,3732.51,4470.8,0
1.3615e+06,1.06612e+06,766230,131864,199428,169864,704429,123442,640936,1632.52,-4650.43,1.12853e+06,26308,1896.39,2169.93,3504.67,0.5647
1.39804e+06,1.15492e+06,726308,100596,153725,132719,694963,92172,654836,2619.82,-2786.6,985376,23643.3,1934.89,2171.54,3285.71,0.7113
1.47238e+06,1.23854e+06,713286,157542,263444,220956,715374,143557,658451,2707.4,-3988.59,1.17904e+06,22878.1,1096.43,2578.2,4254.68,1.1344
1.43595e+06,1.0969e+06,785459,159779,273447,228505,718008,145905,657055,5930.63,-3335.1,1.28843e+06,100188,2732.86,2830.95,4609.36,1.2865
1.42065e+06,1.14099e+06,747062,120081,184216,157324,702562,112192,642190,2152.57,-3016.44,1.02269e+06,28323.2,1609.43,2851.05,3108.01,1.3506
1.13428e+06,912199,746075,172327,245352,195886,751516,154707,668336,2200.63,-3494.63,1.13676e+06,21509.4,1695.36,3220.86,3443.19,1.397
1.34382e+06,1.0306e+06,782353,219069,308544,246797,750115,189073,695189,3207.84,-2461.94,1.19624e+06,42528,7619.26,3864.48,4413.95,1.4802
1.435e+06,1.1709e+06,735333,140983,208739,182943,684602,132637,637754,1954.81,-2956.67,1.44881e+06,23640,1503.24,3321.31,4243.07,1.5415
1.51364e+06,1.19687e+06,758799,119667,203523,175415,696142,111725,642652,2063.46,-3386.22,1.27149e+06,23370.5,3076.78,2709.34,3509.48,1.6578
1.4449e+06,1.18124e+06,733921,155386,251685,209008,722512,139043,670522,2749.12,-3336.83,1.07553e+06,21878.2,2187.01,3726.99,3278.53,2.2014
1.21321e+06,1.01601e+06,716454,149299,267943,215610,745632,127289,703750,2073.79,-3296.22,1.02581e+06,23508.5,1602.15,3545,3081.11,2.3668
1.31247e+06,1.07347e+06,733588,173816,261807,230679,680965,163271,638751,1491.42,-2834.49,1.03328e+06,23845.8,2176.7,3243.12,2824.33,2.3671
1.67889e+06,1.15491e+06,872218,105173,155931,112113,834500,86249,731647,1766.9,-1897.36,929640,24045.9,586.396,3257.61,3276.81,2.5086
1.30107e+06,1.02088e+06,764671,165711,282843,243846,695955,153152,649202,2196.74,-2038.09,714768,26138.5,2583.06,2808.06,2748.87,2.7227
