FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.04E+06,697534,893180,504588,761311,520675,877297,372103,813627,3799.47,11448.5,67313.5,28672.8,23491.7,8688.95,1655.25,0.0001
1.43E+06,991653,867925,495526,883428,637584,831352,383500,775269,3257.02,16254.7,66974.5,18000,14474.7,12493.6,1686.94,0.0092
1.50E+06,1.01E+06,888621,419784,799940,571303,840122,318498,790807,2258.66,60948.9,53661.2,20006.5,8495,7812.88,909.175,0.0284
1.66E+06,1.19E+06,832678,416718,677893,475205,855917,312875,799141,3940.49,67561.6,64881.1,20697.2,11495.3,8101.14,1553.37,0.0651
1.55E+06,1.05E+06,889661,383586,578373,391467,886470,276893,831193,3790.73,7159.01,64323.5,23241.4,14334.2,7560.93,1316.49,0.0772
1.47E+06,1.03E+06,851122,307786,490479,354593,829929,242322,762091,3268.46,32928.3,29147.7,11942.7,7467.51,6005.15,2289.65,0.0817
1.48E+06,1.05E+06,846981,417418,646668,464150,835938,318290,786864,4741.31,14038.9,67247.7,19978.4,16300.4,10194.6,1390.76,0.1364
1.29E+06,876179,883608,505662,935090,677933,827595,385304,787422,4422.55,249550,58200.3,28162.1,13366.4,9010.82,2381.09,0.1717
1.57E+06,1.09E+06,861703,440645,825354,602053,822539,346053,764008,4024.3,38469.7,61086.4,20942.5,14497.4,9181.87,1491.07,0.1893
1.66E+06,1.12E+06,890596,472904,780756,543344,862167,346963,817789,4909.77,8254.25,64680.6,22002.5,18707,10879.6,1762.61,0.1991
1.35E+06,939848,861366,532550,747754,538405,833299,404431,790072,3412.68,43597.4,58160.1,25182.4,17271.8,6456.51,2604.51,0.3025
1.80E+06,1.36E+06,790842,243651,484541,380409,764241,203107,719771,2489.79,271237,28134.4,9937.98,8179.96,7473.69,1281.51,0.3527
1.70E+06,1.23E+06,830335,310001,513269,373772,823928,246498,754572,1681.04,121877,61650.9,12167.8,12537.9,9967,1012.79,0.4204
1.74E+06,1.22E+06,855112,467872,800932,568105,845898,352891,795496,3437.62,35875.4,54485.4,19765.9,15236.8,9895.8,2739.89,0.4401
1.60E+06,1.03E+06,931284,495594,863000,569102,909855,364520,815747,4155.58,35126.1,71501.8,31613,13916,14696,1699.89,0.4434
1.84E+06,1.24E+06,887524,327913,602849,419971,861273,256718,766396,2902.12,9317.7,42211.8,11353.9,12268.7,6169.13,1112.46,0.4508
1.79E+06,1.27E+06,850028,291625,534576,378527,847351,220674,792912,2964.66,8408.96,59316.1,14018.7,13783.9,7860.63,944.441,0.4674
1.58E+06,1.18E+06,804754,282148,410393,300747,818747,225295,751408,2183.8,31402.2,67354.3,11008.9,10827.8,6261.74,2228.09,0.5047
1.49E+06,977993,914914,484851,841806,536792,940929,341069,852937,2528.61,8495.62,86601.1,30347.2,14279.2,12057.3,1582.07,0.5076
1.00E+06,606248,990480,199208,375085,245724,915869,141878,842449,1942.4,10783.6,3198.7,2405.8,-497.509,290.511,944.41,0.5592
1.63E+06,1.19E+06,821255,355695,608327,460673,792310,283717,752217,2669.7,57767.1,42232.4,17966.8,12918.6,9173.24,1366.96,0.5638
1.22E+06,843855,868810,508267,736112,483369,913726,385427,791226,3941.95,107077,38529.5,21823.2,12643.6,10020.9,1880.34,0.6379
1.64E+06,1.23E+06,799101,303539,549925,412786,799337,239181,761445,1539.55,54069.9,51562.9,14925.7,12091.7,8334.98,605.674,0.6455
1.66E+06,1.22E+06,818638,463172,619613,454774,817478,374187,742685,4170.54,58188.9,17456.8,31348.5,3382.95,7928.57,1826.26,0.6528
