"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
2.47659e+06,1.3869e+06,1.07142e+06,453198,860297,547731,942394,317497,856446,30001.9,3377.96,191621,99914,49544.1,27117.4,4370.08,0
2.20059e+06,1.23595e+06,1.06829e+06,450461,745152,422900,1.0572e+06,291795,926255,41081.3,4755.4,153681,87076.7,25176.1,29789.7,5878.99,0.001
1.56981e+06,1.10630e+06,851380,257793,432972,306319,848081,199565,775064,10571.4,1206.88,399262,49394.3,9957.25,12065.1,2472.76,0.0106
1.57006e+06,972999,968176,399563,693154,471508,882047,295377,811634,19374.5,1485.77,160720,69749.8,18923.8,13417.8,3457.94,0.0249
1.36883e+06,943967,870052,323713,514647,385602,800796,261755,742021,13070.8,2613.49,88747.7,42890.5,11339.2,9808.07,1220.42,0.0283
1.2613e+06,784386,964804,293597,504820,348595,868893,222511,791683,21986.2,2255.78,151512,87163.9,20448.8,15783,5490.99,0.0309
1.28061e+06,820821,936096,277010,498992,338708,883933,201079,826570,20417.9,1688.64,212378,70719.6,11678.4,14918.5,5590.6,0.0357
1.85938e+06,1.17523e+06,949287,273961,474238,310650,915959,197561,832028,28919.4,2661.74,98011.8,61350.8,15716.7,15508.2,1802.06,0.0373
2.66281e+06,1.67344e+06,954732,393499,633025,388082,978697,263251,896861,26935.1,4381.25,207774,72909.7,23360.5,22510.3,4341.69,0.0542
1.4717e+06,984670,896768,348242,600421,419373,859026,262974,794548,15448.8,2153.28,140303,44509.5,15577.3,12074.2,2759,0.0561
2.49418e+06,1.48644e+06,1.00677e+06,358995,617722,400576,925250,258867,832076,22050.4,3168.69,108430,55171.8,31504.7,17470.8,2989.05,0.0654
1.37498e+06,982597,839602,246953,334878,257968,778882,203510,728081,11255.9,1981.42,157394,39152.8,11444.9,12307.3,4186.35,0.0793
1.71367e+06,1.05107e+06,978246,341425,579851,365055,953036,232273,881958,24359.5,2425.98,107695,57858.4,15273.6,16739.1,2216.75,0.1116
1.9206e+06,1.21198e+06,950805,273035,510279,353994,864895,200916,815372,29331.8,2134.27,53260,56443.6,13668.9,11636.8,1874.66,0.1248
1.07199e+06,706278,910683,367334,599496,402866,892847,270572,814571,27646.1,3046.81,193451,63921.4,22349.6,31234.4,5386.33,0.1285
1.74057e+06,1.22319e+06,853784,264637,504239,375526,805652,206572,768652,10433.7,2812.68,291154,38978.6,9391.77,9058.89,1934.57,0.1324
2.39684e+06,1.43596e+06,1.00149e+06,553364,691017,428879,966730,365357,908751,29074.3,3954.48,295348,93061.1,25057.1,18255.9,4124.76,0.1342
1.57641e+06,1.05883e+06,893294,230538,315090,219785,860176,179713,769689,14160.8,1558.06,87542.6,49939.9,7178.96,8486.8,1763.15,0.1538
1.71642e+06,1.01308e+06,1.01655e+06,322285,565606,376738,900795,234324,825229,19423.7,3930.49,52489.4,69399.5,16671.1,15111.1,8260.43,0.1571
1.14762e+06,786157,875873,270516,483452,353761,819964,217079,747698,15353,793.628,384287,52521.4,10857.2,8948.33,1688.66,0.1751
1.48921e+06,969178,921942,349594,631130,420540,900457,259588,808035,19113.7,1683.25,201086,71555.3,18208.2,11098,1539.56,0.1953
1.79023e+06,1.17782e+06,911971,297164,355642,219808,970781,205486,867692,23040.6,3098.66,90952.8,64878.8,22089.2,16612,1305.06,0.1995
1.68939e+06,981289,1.03296e+06,255236,458384,320341,858555,188236,813560,26772.3,3443.63,101820,56651.6,14652.1,14721.5,4958.81,0.203
1.1457e+06,765152,898410,328963,460244,330624,835228,255515,772470,12963.1,1548.56,103375,48529.2,7539.23,8317.53,4549.12,0.2038
1.43387e+06,989428,869517,353774,637630,476778,802424,275910,769325,19771.1,1791.46,154268,62524.4,9524.47,12101.8,2998.5,0.2099
2.05028e+06,1.27757e+06,962892,294718,538175,359952,897078,217885,811578,23476.4,2880.47,114943,62853.9,21036.3,12973.7,2787.53,0.223
2.68068e+06,1.51548e+06,1.06132e+06,469632,796562,486090,983227,324912,867248,41447.9,5592.77,92046.6,80650.1,24113,27650.6,4453.01,0.2399
1.90968e+06,1.30843e+06,875713,244566,361074,255255,848738,181767,807296,28851.5,1820.09,182401,57418,10077.1,11446.6,2706.2,0.2743
2.59898e+06,1.45559e+06,1.07131e+06,417886,726602,449998,968807,279936,895676,32949.7,3778.75,184763,103102,21770,18511.8,4648.92,0.3037
1.6764e+06,1.12092e+06,897331,192267,322737,228038,849167,150070,768710,13519.3,1814.65,98395.5,49325.6,8985.14,21139.3,4316.34,0.3107
1.73239e+06,1.07739e+06,964772,354786,565311,364726,929977,258100,824764,22873.3,2275.05,142166,52151.1,9604.05,14969.5,6531.91,0.3119
2.38283e+06,1.39000e+06,1.02855e+06,319746,549924,343111,961654,221850,864762,39430.9,3748.45,99438.6,72211.4,27834.5,18810.2,3339.54,0.3297
2.33531e+06,1.46104e+06,959030,362941,657010,418854,941154,251499,865866,30828.5,2503.92,283069,82962.5,21875.1,17971,3641.16,0.3325
2.50112e+06,1.45214e+06,1.03342e+06,441581,712261,399244,1.07041e+06,271616,975453,43042.7,4960.18,183406,116859,59663.2,100788,4155.91,0.362
1.48739e+06,1.01994e+06,874988,334121,571103,386015,887690,248396,807067,18719.4,2051.39,155158,51997.1,10039.3,10909,2789.62,0.3714
1.47372e+06,940583,940090,348515,645634,454118,853040,269585,775669,17929.1,2673.99,346040,42807.1,16514.9,12097.1,5029.54,0.374
1.68297e+06,1.024e+06,986121,534306,859076,579239,889867,389562,822934,33562.8,3665.92,361614,110189,23551.1,28136.9,5536.07,0.3839
1.54033e+06,993716,930041,391472,457665,310206,885215,296827,791313,15676.5,5583.97,1.43132e+06,66971.2,25840.3,15763.5,6865.34,0.397
1.30225e+06,825356,946682,326816,640832,428837,896609,231944,845417,21884.2,2971.02,157521,77921.9,16698.9,16305.4,2853.76,0.4219
1.2831e+06,879316,875523,272792,401700,286645,840830,211549,773698,14169.6,2303.25,157948,46456.9,9930.43,9419.29,4166.9,0.4376
1.38631e+06,919258,904843,282473,525419,386946,814717,217696,778535,19165.4,2009.4,182034,64372.9,14488.9,12588.7,2634.85,0.4423
2.51208e+06,1.45361e+06,1.0369e+06,378525,611692,383959,955872,269356,843177,45470.9,4350.9,95375.1,90871.5,22621.9,31526,3754.98,0.4553
1.37256e+06,913860,901159,362365,615821,428184,862930,278500,780678,9431.02,1366.51,462577,53353.3,10972.7,10727.6,2799.64,0.463
2.08695e+06,1.38988e+06,900921,346038,607925,408123,893737,243543,852509,31978.1,4135.49,92888.9,85692.5,19849.4,21963,3435.87,0.464
1.74956e+06,1.09056e+06,962566,321247,501381,344591,873001,236708,814286,25142.1,2825.07,78404.7,75960.1,20010,18261,2137.03,0.4738
1.90502e+06,1.28992e+06,886114,246333,408071,291104,841083,198877,743171,15291.5,1449.29,156621,35773.4,11944.4,9223.51,2114.55,0.4852
2.46476e+06,1.50288e+06,984013,562928,823824,563952,876483,397360,850002,14646.7,1377.3,319156,51262.1,13846.2,15885.5,2487.27,0.4911
2.25882e+06,1.39872e+06,968951,305270,558138,370243,904495,222831,821978,23649.6,1604.45,160387,51694.2,12934.5,13671,2736.88,0.4917
1.66868e+06,1.13809e+06,879725,277032,509820,351125,871176,209602,793023,18927.1,1480.36,163031,59523.3,16110.6,15932.9,2217.94,0.5244
2.5784e+06,1.51162e+06,1.02343e+06,366771,669670,440612,911918,260733,844016,29217,3810.7,101405,68405.6,25275.7,20737.8,4180.55,0.5416
1.68107e+06,1.14644e+06,879805,231669,383209,267698,858898,183108,759121,18219.9,1628.8,182408,53764.4,14373.9,11876.7,1389.46,0.5455
1.76355e+06,1.22544e+06,863468,222408,373139,257184,870518,166433,801795,25312.3,2277.6,203271,53723,18613.2,13545.2,7044.14,0.5484
1.30577e+06,820969,954310,384635,521364,390022,802053,310822,742487,12066.6,1492.43,173718,47975.1,12438.5,12377.5,2101.36,0.5714
1.76931e+06,1.21165e+06,876148,235942,376927,268289,842957,184828,765930,19409.4,2689.38,95898,46740.8,12964.3,12431.6,6299.56,0.5718
1.86775e+06,1.20267e+06,931804,422358,756316,500525,906627,302721,837123,13111.3,3218.34,362745,59985.8,29870.1,14926.9,3658.51,0.5723
2.05738e+06,1.27862e+06,965432,396708,693701,477460,871739,285859,832665,29814.9,5916.88,168247,95940.2,23241.2,20186.2,4074.33,0.5918
1.47993e+06,947824,936839,328393,596030,404615,883848,251601,783129,17437.7,2251.69,45099.3,61269.3,17882.8,15732.4,2036.3,0.6106
1.69726e+06,1.19772e+06,850250,260162,490909,373467,788679,220004,709521,13429,819.931,90285.5,40266.4,10584,8253.23,1664.86,0.6203
1.79693e+06,1.19178e+06,904663,252931,491692,363304,812034,203815,744589,17531.8,1431.84,96545.2,55262.5,26679.7,11030.6,1779.87,0.6393
1.7068e+06,1.09553e+06,934777,463589,859442,547356,942102,319536,870491,35596.7,5039.56,160927,95841.8,27038.9,31900.3,3574.41,0.6514
2.1905e+06,1.32866e+06,989188,348813,614635,400352,921142,259487,806545,27045.5,3808,90193.2,75841.1,18697.6,19631.7,3630.91,0.6516
1.685e+06,1.15626e+06,874375,279478,418081,285986,877135,212438,789345,9449.56,2330.2,292349,55423.5,8554.83,13012.7,1594.05,0.6731
1.38814e+06,895154,930437,375459,630637,414989,911789,272545,826563,17436.9,3660.22,94869.9,65216.4,16602.3,20108.6,2138.91,0.6801
1.10426e+06,617880,1.0723e+06,409563,653827,399025,983137,283675,866265,14223.8,2527.05,296842,46433.8,13569.3,12631,1832.35,0.685
1.72632e+06,1.13761e+06,910498,370324,434213,290068,898161,279535,794871,16709.9,2561.44,191312,62910.4,33781.9,15683.1,3121.8,0.7147
1.85605e+06,1.27111e+06,876107,227605,397441,293788,811690,183130,745717,13498.1,1855.82,81928.9,58155,10427,14544.9,1480.53,0.715
1.83797e+06,1.20852e+06,912507,269579,495541,336354,883963,200056,808511,32851.3,3500.34,82645.4,73465.1,16167.9,24719.3,2677.87,0.7331
1.74114e+06,1.15573e+06,903917,289708,526188,350527,900680,216345,803462,21323.6,2938,168423,62039.4,15431,17172.5,2884.93,0.7345
2.36208e+06,1.45467e+06,974272,228459,383568,255199,901809,167498,818371,20144.9,1677.01,91036.8,96870.9,25462.4,18884.1,3390.37,0.7468
1.39404e+06,984124,849919,384054,449070,320640,840326,289281,796568,14801.4,2231.36,402435,50974,14679.2,14718.2,5677.7,0.7528
2.20281e+06,1.43525e+06,920877,456568,609895,382677,956256,324473,844265,17147.4,2950.45,101331,63557.3,17272.1,18166.6,4634.09,0.7608
1.77157e+06,1.28797e+06,825286,194218,325843,239482,816369,159691,729725,12677.7,2154.56,183267,42918.6,8016.38,11948.7,1869.34,0.7677
1.64551e+06,1.11485e+06,885592,215655,393246,277570,850046,159890,809262,15367.3,1888.42,146800,58371.3,12157,10762.2,2019.37,0.7753
