FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.71E+06,1.18E+06,870488,308404,485720,348326,836665,232680,795265,2153.08,40776.9,81404.8,33381.3,16155.7,14084.3,2196.67,0
1.07E+06,752828,852761,294051,409862,301851,814698,230103,766747,2074.17,71137.8,51069.4,16944.8,10165.4,5832.41,2167.34,0.0012
1.14E+06,822446,834327,241869,397747,292594,815630,190907,760168,1901.81,35083.4,92323.1,23612.6,18389.5,9026.77,2101.9,0.01
1.87E+06,1.29E+06,871297,222593,331018,233306,851290,168315,793487,1166.42,68955.2,70058,11919.7,18070.3,6747.43,1250.1,0.0127
1.27E+06,858717,884454,374356,499868,348967,859452,281835,796969,3141.87,20835.3,61563.4,19635.1,23295.5,11883,2059.73,0.0341
1.63E+06,1.08E+06,907901,413990,692232,481525,862550,314806,789038,3314.07,264643,79007,16331.7,19657,15843.4,3059.27,0.0444
1.69E+06,1.23E+06,823104,240443,327520,240723,816341,189650,760694,1474.48,77892.6,69704.1,13340.9,13698.7,7217.23,1367.25,0.0591
1.45E+06,1.05E+06,827754,271409,419510,301556,834690,217592,748397,1596.49,90007.1,64666.3,19717.8,14438.8,8646.83,1968.4,0.0653
1.68E+06,1.28E+06,786559,269639,423534,303994,835939,206623,782989,1202.58,162837,60955.9,12325.2,19926.4,10752.4,1522.51,0.0802
2.12E+06,1.37E+06,924539,319637,395412,268514,883555,233992,819610,4053.23,134385,45507.8,22142,5273.98,9132.54,1936.52,0.0824
1.95E+06,1.38E+06,847746,198064,377797,282494,802418,158019,752051,2241.41,44521.9,75478.3,14142.3,23227.6,8698.29,1242.89,0.0825
1.27E+06,820238,931434,335140,492020,340062,868113,252593,796078,3313.21,14603.4,104531,34294.4,21219.1,11965,4845.38,0.0857
1.95E+06,1.30E+06,903687,355062,683349,473678,865587,266516,799341,2692.23,44751.8,70196.2,14279.3,17549,10652.1,2818.46,0.0891
1.41E+06,975335,868501,445436,662041,453934,875072,332835,802985,3680.3,167255,92260,21233.9,16430.8,10195.3,3544.56,0.0909
1.25E+06,846790,882250,333870,505151,361386,838689,252738,792607,2627.77,35750.8,65235.6,41589.2,15446.1,7603.51,1703.27,0.0928
1.57E+06,963344,975537,550517,949473,604717,942066,373537,884277,3973.31,76516.4,131449,36935.9,32634.2,17698.1,4592.12,0.0935
1.97E+06,1.38E+06,854556,215691,353976,261958,810762,177732,728143,2314,43196.4,91759.6,26487.9,19750.8,9081.4,1338.07,0.0963
1.52E+06,1.05E+06,866706,315595,378707,253100,897764,234797,806470,3764.42,69563.3,93966.6,22427.7,20514.1,12965.2,1508.18,0.0973
1.81E+06,1.30E+06,830884,168889,334344,252842,793405,133612,758418,973.107,11632.1,57475.8,29079.7,10846.3,18064.8,1261.11,0.0985
1.68E+06,1.18E+06,854766,289394,527258,382716,826604,227686,762613,1915.36,42653.9,71753.7,18817.1,20862.4,12027.7,1877.15,0.1139
1.73E+06,1.19E+06,868714,285952,496964,360108,828025,229340,748108,2614.8,21815.2,68779,13176.2,19050.7,9025.88,2726.67,0.1158
1.61E+06,1.04E+06,930771,386649,709148,461569,921832,281379,824474,2773.02,72529.6,135380,45953.8,35636.3,14974.7,2106.56,0.1176
1.55E+06,1.11E+06,841010,265155,475087,359979,791858,219400,725129,801.295,155361,85130.7,26616.7,23022.1,10406.7,1838.23,0.1221
1.38E+06,960804,862898,346287,669810,492680,815714,270152,769093,1524.82,35692.6,72168.9,21861.2,21094.5,9927.67,2063.87,0.1305
2.07E+06,1.39E+06,890305,248976,381389,275914,829365,195598,763737,2126.87,28187.1,85438.9,18133.8,35043.2,12012.8,3106.24,0.1417
1.65E+06,1.18E+06,842095,301209,453384,326423,833367,232628,776886,2559.69,196522,59755.8,17467.4,14450.2,9252.76,1953.08,0.1501
