"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.22808e+06,947775,130135,174037,144566,115217,2460.64,-8474.8,2.41648e+06,27953.2,2908.4,3797.93,5162.47,0.0415
1.61721e+06,1.2413e+06,156075,192322,158809,141142,33031.4,-9508.48,2.82468e+06,34215.3,270.724,5485.97,7281.92,0.089
1.34643e+06,1.05514e+06,193449,362977,320467,175954,2068.17,-6072.71,2.16176e+06,29048.2,847.441,3129.51,5244.21,0.2339
1.4622e+06,1.11950e+06,152987,204411,159794,128880,2225.52,-6960.71,2.42112e+06,31161.8,1231.86,3962.55,6853.55,0.2934
1.61269e+06,1.27622e+06,123041,167204,138188,110160,2191.47,-9229.57,2.88906e+06,22730.6,763.812,3686.67,6548.21,0.5149
1.45780e+06,1.17267e+06,127504,186667,153975,112810,2163.54,-7962.21,2.37941e+06,27493.2,49.5557,3956.21,6176.33,0.6359
1.60334e+06,1.28019e+06,143259,184010,158355,130257,2227.97,-9133.69,2.85258e+06,23491.6,306.842,3670.34,7299.19,1.4961
1.55175e+06,1.17473e+06,136626,212960,174951,121298,2553.04,-7984.57,2.53392e+06,26142.8,696.123,4406.03,7183.75,1.696
1.54207e+06,1.18456e+06,128860,180181,146367,116618,1703.84,-6584.68,1.77057e+06,23258.7,1229.45,2970.88,4989.69,1.7152
1.8058e+06,1.33480e+06,143573,202790,159027,124961,1695.13,-5395.59,2.48597e+06,26412.8,272.209,3517.01,6714.31,1.7313
1.47772e+06,1.16168e+06,168196,261839,221464,150670,2177.74,-6892.61,2.43538e+06,31934.8,1046.3,3485.61,6602.48,1.8515
1.73162e+06,1.38669e+06,171982,236616,199196,156764,2755.4,-9228.41,2.89908e+06,25080.7,172.632,4312.15,8260.14,1.8782
1.52223e+06,1.22653e+06,141689,179025,146422,127392,2719.44,-7617.96,2.5256e+06,25583.5,4498.31,3026.03,7690.71,1.9268
1.53948e+06,1.25101e+06,129518,174046,148214,115945,2308.14,-7339.21,2.46063e+06,29411.5,1298.8,4272.14,6887.84,2.0584
1.62455e+06,1.1933e+06,200562,283907,217456,166868,4631.28,-11124.6,3.85948e+06,68107.3,4817.16,12202.6,11769.9,2.0719
1.29497e+06,1.06167e+06,151983,195508,167905,139297,2216.98,-6756.5,2.33008e+06,28754,785.782,4753.41,6749.22,2.192
1.66751e+06,1.31513e+06,193119,275594,229697,171227,2715.66,-10917.4,3.79584e+06,44870.3,632.627,6085.65,11346.5,2.249
1.6013e+06,1.24298e+06,147415,245380,204027,129828,2933.69,-6032.15,2.39521e+06,35929.8,3918.83,3686.15,7326.21,2.29
1.52156e+06,1.23547e+06,136941,140853,117632,125204,2167.9,-9579.57,2.8506e+06,31813,1182.29,5095.54,9437.65,2.3187
1.71057e+06,1.42397e+06,154566,231463,221052,147092,3236.63,-7902.45,2.8996e+06,31798.7,-258.227,3799.81,8507.43,2.506
