"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.32456e+06,1.07143e+06,741753,160385,237093,209919,677670,148976,645950,2180.6,-5207.9,1.97166e+06,23873.8,3956.14,3503.52,7050.43,0
1.29622e+06,1.05759e+06,735385,134032,182734,159329,688140,125317,641725,2190.52,-4193.75,1.96499e+06,21020.2,3035.02,3433.59,6308.35,0.1084
1.44904e+06,1.19449e+06,727864,159145,247207,217906,680680,144510,660763,2231.27,-3919.53,1.53021e+06,18142.4,3024.95,3292.8,4778.84,0.1538
1.14202e+06,942944,726672,191345,275783,227083,728675,171672,668757,2171.51,-4234.26,1.53502e+06,20490,4538.35,3379.89,4752.58,0.3576
1.17728e+06,926502,762400,167010,217036,184105,707323,156288,641162,2225.14,-5034.58,1.79708e+06,22297.3,2901.94,3527.08,5521.06,0.4913
1.38366e+06,1.20329e+06,689941,90291.3,111029,99362,670450,84162,643696,1566.42,-4017.01,1.82406e+06,28270.1,3038.95,2530.01,7663.67,0.5443
1.39813e+06,1.16217e+06,721824,106450,162870,147311,663373,100416,636056,2385.68,-5066.72,1.66508e+06,20865,4406.65,5035.14,5237.08,0.706
1.452e+06,1.17718e+06,740075,119985,176193,148547,711665,111194,647437,2619.07,-5662.08,1.80703e+06,20876.9,3189.12,3412.32,5469.26,0.7642
1.34704e+06,1.13501e+06,712086,137453,198389,174744,681189,129906,634855,2195.05,-3234.3,1.39412e+06,20440.4,3339.78,2823.38,3935.89,0.9084
1.34037e+06,1.09253e+06,736110,136102,218372,192901,679226,123504,661201,1538.6,-4595.75,1.76001e+06,12700.8,3709.14,3166.69,5890.94,1.0231
1.52545e+06,1.21142e+06,755537,192221,304677,251883,725757,168769,683375,5392.38,-6141,2.49306e+06,34856.6,3538.42,4060.35,7558.78,1.0301
1.19852e+06,964726,745405,155106,188442,163684,690752,143201,649880,2139.39,-5240.96,1.82464e+06,17941.1,2152.74,3822.08,5225.78,1.0608
1.5766e+06,1.23111e+06,768379,141579,232806,187049,746774,125540,676658,4101.19,-4476.09,2.0445e+06,28121.4,5363.73,3256.65,6360.6,1.0763
1.35099e+06,1.12895e+06,718008,171017,184879,145593,761902,151195,678662,2400.61,-5510.05,2.21498e+06,18182.6,5971.78,3135.82,6453.67,1.1169
1.07171e+06,797191,806616,205058,326880,252425,776976,172625,712727,3398.31,-4040.07,2.03876e+06,33400.9,3015.15,4134.18,6013.9,1.4964
1.6296e+06,1.31866e+06,741477,186704,266040,229882,694374,168867,663378,3234.4,-5082.72,1.67135e+06,20476.7,3945.06,2672.55,5344.04,1.5712
1.116e+06,892359,750372,202602,320032,303410,632870,193884,626978,1779.07,-5005.89,1.7199e+06,24126.8,3027.05,3613.41,5479.84,1.5907
1.14284e+06,952871,719619,146658,208229,183754,679916,138249,636495,1706.95,-3882.06,1.38221e+06,17922.2,3105.39,3536.42,4030.86,1.611
1.33476e+06,1.05058e+06,762303,176137,214073,174662,735386,158762,665666,3801.31,-4746.95,2.06403e+06,35413,8911.14,4469.63,6838.17,1.6156
1.16629e+06,891197,785206,151565,222569,179981,741974,133282,682307,2035.6,-4925.23,1.72014e+06,20953.2,2313.93,3275.56,5550.64,1.729
1.35275e+06,1.08693e+06,746741,179089,256838,226294,680985,165012,651184,1962.68,-6266.25,2.17913e+06,28899.3,5516.94,4754.84,7027.06,1.7305
1.46627e+06,1.18958e+06,739555,136059,206966,184863,671739,128941,633120,2697.47,-4675.22,1.76146e+06,21087.2,3775.99,5163.62,5384.54,1.7536
1.15238e+06,924914,747559,162069,179565,148544,725300,146084,665654,2040.53,-7490.32,1.94049e+06,22561.1,2808.96,3832.52,5921.31,1.7873
1.46216e+06,1.19604e+06,733500,264344,555170,432613,769977,179982,881234,2248.26,-5979.08,1.99959e+06,19391.9,902.222,3016.99,6557.07,1.8294
1.30983e+06,978272,803356,133238,167090,132118,758820,115736,690732,2485.98,-5098.71,1.77455e+06,28734.3,3969.97,3302.57,5943.6,1.848
