"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.37682e+06,918523,899370,407351,586964,406838,865648,313421,779815,15694.4,1857.29,3788.12,91726.5,18087.8,11131.2,791.937,0
1.37873e+06,1.0115e+06,817838,281677,475495,357946,797039,221685,762372,7857.67,5203.65,85106.6,51778.8,25124.5,7261.12,1643.26,0.0003
1.92323e+06,1.26023e+06,915658,375846,525742,377349,835951,296781,759845,13371.1,3915.14,13658.1,193365,38667.6,10908,3092.19,0.0137
687773,442380,932826,289319,428259,284648,902713,213590,812731,6943.38,5131.21,31040.4,51183.2,12907,10046.1,1424.06,0.0464
994082,651266,915831,272810,485621,348759,835455,212355,770813,9262.91,1623.66,15111.3,56938.1,16664.5,6175.21,1387.2,0.0468
1.53028e+06,1.2225e+06,751060,158548,202705,166379,731000,138199,688347,3749.24,1627.4,20920.6,64769.1,6956.2,2865.37,305.94,0.0469
1.50563e+06,1.09273e+06,826719,300259,501780,345249,872031,229125,786276,14131.1,2514.03,97578.3,73541.9,16190.3,6767.97,1377.99,0.0628
1.21537e+06,857542,850366,297922,390444,305195,767596,243878,732962,3896.85,2831.66,26604.2,92651.8,8841.81,5938.72,1390.48,0.0817
1.56377e+06,1.14966e+06,816123,308359,562735,424515,795358,255009,725525,10266.1,1968.34,25717.4,95229.8,10202.2,6679.14,574.648,0.134
1.51991e+06,1.01687e+06,896822,425091,729510,494458,885223,321173,794134,21339.3,3314.26,34285.5,162528,30087.5,12988.5,839.157,0.1902
1.28127e+06,720561,1.06689e+06,649487,832102,543164,919172,461974,843537,16966.9,3767.94,26935.9,363549,77880.8,16132.8,2929.98,0.2452
1.61914e+06,1.16357e+06,834917,180504,351611,267613,788328,152437,710474,8150.38,2104.34,12835,59942.3,9348.01,4877.65,434.725,0.2802
1.69514e+06,1.09416e+06,929561,233790,437227,285004,920465,164675,851822,8350.83,1090.18,351.533,62240.2,12846.9,4097.35,1259.21,0.2932
1.63881e+06,1.30068e+06,755980,194376,314288,240287,784780,164358,709582,10760.8,2486.76,15136.6,40098.7,7135.92,4815.52,1513.04,0.3267
1.45263e+06,1.14274e+06,762710,202030,373556,307987,727738,179102,676808,10742.3,764.391,3073.75,30620.3,6092.65,4613.49,315.055,0.3341
1.01285e+06,677194,897397,209289,403047,302107,800472,171710,731311,7725.9,1345.29,3792.49,59929.7,7135.56,6295.39,1316.14,0.4116
1.93762e+06,1.39867e+06,831199,140791,223311,173566,771962,121694,694155,5956.98,2611.48,19545.8,46273.9,18813.5,16800.8,-507.284,0.4633
1.26952e+06,891852,854077,472089,825788,540438,916799,333403,849582,17361.4,3660.55,25140.5,82076.1,15300.5,9631.33,1857.4,0.4925
2.25512e+06,1.61609e+06,837252,254878,429381,326737,788488,213056,717777,7445.78,3451.37,23018.9,291313,11323.4,6403.33,1749.91,0.5368
1.27812e+06,888729,862884,380879,481901,345417,837077,289949,788164,14816,2563.95,47668.9,95547.3,11979.2,10663.9,404.346,0.5556
1.24603e+06,974030,767554,153696,218594,184261,711798,138698,664880,546.032,1604.83,51890.6,5241.7,1941.06,888.601,2721.22,0.5901
659470,521705,758440,93722.4,156916,137074,686852,86378,651016,-122.559,877.923,5176.63,829.752,1010.25,77.8176,388.848,0.5913
1.13959e+06,802674,851844,341015,389360,293223,796717,277269,737945,8801.87,2588.78,3833.01,36112.2,9701.33,5913.57,519.365,0.6065
1.51926e+06,1.11692e+06,816131,255273,510837,379036,808636,205670,744706,8257.64,3318.58,7993.42,82497.3,20566.7,9397.44,1244.22,0.6472
1.35796e+06,1.01495e+06,802780,240064,472706,364653,777791,197670,728682,10753.7,2424.06,1771.63,67033.6,8853.82,6385.82,937.922,0.732
1.14957e+06,829511,831503,223518,426109,335055,763055,187650,714685,6231.08,1738.06,12512.3,44162.7,6366.93,5874.82,701.335,0.7422
1.6472e+06,1.0168e+06,971994,325051,573318,378551,908704,234679,831052,14364.6,4576.41,32108.8,53900.7,16268,8777.96,2383.48,0.7916
772663,536245,864526,252712,369174,271063,817169,198459,764024,3499.38,3689.67,23407.2,65722.7,19716.6,4658.9,473.33,0.7934
1.69278e+06,1.08532e+06,935829,262849,348380,243010,860161,207449,760232,7761.84,1975.19,27014.3,251575,51422.3,20712.2,331.592,0.8282
