"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.46327e+06,1.07137e+06,819474,329844,541265,395846,820417,266307,743152,11350,2814.46,8226.85,115667,18082.3,8925,928.395,0
1.53514e+06,1.2381e+06,743953,96608.1,164452,137986,715080,85971,674237,3543.39,1315.22,19037,54964.4,10739.4,5421.62,151.833,0.0034
1.6899e+06,1.25149e+06,810187,283657,524455,380485,827031,224489,758139,12563.7,3022.46,43490.2,72030.2,8619.33,12562.3,757.174,0.0285
1.68603e+06,1.26127e+06,802066,210780,334102,264385,758216,184272,686312,7560.74,2530.27,21748.3,61190.2,6601.38,3899.25,1141.36,0.0544
1.54219e+06,1.1528e+06,802665,190312,304015,241480,755379,162783,701468,4795.02,1388.61,83107.5,92913,17810.9,14413.3,400.218,0.0962
1.45666e+06,1.08563e+06,805058,136952,238057,182130,784243,110472,743817,1753.52,1774.99,2999.98,21694.4,3699.35,2958.9,-75.8306,0.1003
1.15043e+06,801815,860870,242112,377792,281470,805326,194060,748568,16614.5,1496.39,2207.62,140857,17533.4,7278.63,763.7,0.1389
1.17866e+06,814739,868001,322523,395937,302433,785504,268471,720800,10707.2,1754.23,4370.44,96365.7,21818.5,4587.21,630.545,0.1568
1.51473e+06,1.10262e+06,824253,269839,457169,347930,788380,224323,721742,8051.23,3001.9,4002.94,71139.2,13259.8,8016.43,511.553,0.1797
1.49656e+06,1.10154e+06,815162,119749,207584,166509,748012,107265,669830,1879.67,971.476,45486.2,44640.1,4115.28,3714.07,-58.611,0.2077
1.32412e+06,808447,982715,340038,635574,401758,949190,220456,925458,10845.2,3520.08,49391.7,34777.7,13907.7,9478.69,1466.77,0.284
1.65113e+06,1.18145e+06,838529,323557,582585,420778,830725,250802,774054,7349.66,3458.74,23901.9,153442,10730.7,7852.96,572.58,0.3062
1.42691e+06,1.11368e+06,768759,240043,354480,274715,774213,197965,727531,9346.55,1158.2,4987.11,70071.3,11152.6,3622.38,56.941,0.3082
1.66335e+06,1.04781e+06,952477,703335,950854,609655,935796,493078,855850,33154.5,7520.83,14621.4,415821,130654,16128.9,2205.5,0.3204
876481,566807,927809,228803,413904,308585,804778,186913,734470,10826,1143.92,1514.35,39904,7104.22,5511.87,8.69062,0.3344
1.84356e+06,1.28085e+06,863599,158827,211753,152916,830859,133724,712634,8977.56,1654.35,1494.89,140314,63319.5,15346.2,9.83071,0.3526
1.53476e+06,1.09723e+06,839255,207528,329284,248855,793917,171383,726540,16451.7,1835.38,1040.48,91579.9,18247.3,6256.32,498.896,0.3573
1.35172e+06,958210,846406,257612,492240,376601,784236,220296,701636,10494.8,1281.51,73026.2,94749.9,8357.04,5276.29,624.284,0.3921
1.24417e+06,927924,804488,262860,434183,347447,749783,226650,695858,8689.85,1901.63,-9.35386,39262,11749.5,5873.13,629.335,0.4061
1.60357e+06,1.24957e+06,769978,165719,260633,206568,757038,140686,706762,11529.3,1584.13,14108.4,52920.6,9634.35,6198.36,553.826,0.4422
1.41662e+06,1.11394e+06,763029,238997,339681,286043,712510,214137,669656,5148.56,652.737,23335.3,49165.9,16345.6,5807.39,381.866,0.4524
1.62149e+06,1.0929e+06,890199,325752,410071,290167,847934,243617,802288,15398.1,2727.64,3924.97,109593,32619.8,8678.88,485.847,0.4641
1.74058e+06,1.25869e+06,829709,167306,272407,202269,808054,141827,707791,5945.91,897.044,19343.1,108863,8223.72,6374.33,764.462,0.4851
1.2467e+06,928378,805729,273901,313568,238231,789740,223987,733705,7453.68,1894.65,53873.8,88386.1,10917.5,7065.19,1037.78,0.4852
1.66321e+06,1.09647e+06,910127,316385,563553,386659,874496,242493,782830,8031.67,1685.13,19872.4,59563.4,5628.9,7314.13,701.409,0.4934
1.53204e+06,1.17765e+06,780556,194498,339973,263045,775471,159208,732994,9598.3,1296.35,51049.4,46313.3,10319.1,11111.2,554.464,0.4959
863642,521585,993482,417060,651082,425655,917760,301385,830288,19689.2,3536.52,25756.4,296568,27417.1,12420.3,675.261,0.4989
1.61929e+06,1.12276e+06,865345,245826,302708,207148,876786,188553,782250,9527.28,3488.82,43070.8,181158,88419.6,26952.1,300.496,0.5299
1.50847e+06,1.10698e+06,817610,250436,317239,244790,777577,208571,720434,10736.6,2668.03,11883,85176.8,8681.37,4182.55,796.69,0.5355
1.75081e+06,1.24867e+06,841284,175949,221684,164956,806340,143251,736953,8654.53,1939.75,5558.73,146989,33565.7,13984.9,162.219,0.5386
