"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.38312e+06,982748,844443,230474,299284,222922,805530,185188,746723,11358.7,2818.63,43739.4,33433.8,10486.5,5063.16,2050.25,0.0127
1.49664e+06,1.08067e+06,830947,207819,363230,279350,780162,168610,739527,6485.53,1213.47,65841.1,22147.6,5789.56,4422.31,1893.58,0.0998
1.52781e+06,1.12623e+06,813943,265092,505490,393225,771299,215741,737251,15914.1,2431.86,39161.6,84716.2,19932.1,6757.17,2045.97,0.1035
1.21384e+06,804205,905619,279023,503765,360707,837963,216704,772545,11366.5,2658.16,162645,51747.4,13451.4,7848.97,3526.05,0.1253
1.5842e+06,917828,1.03562e+06,545094,884257,547378,969265,375443,871122,19538.8,4254.14,37657.6,49936.7,17154,12431.4,6020.07,0.1636
1.4643e+06,1.01726e+06,863678,255548,442802,317050,837980,206092,743981,11745.3,814.748,170431,36182.2,14009.9,6753.88,2956.47,0.1997
830233,371600,1.34053e+06,72054.5,135308,80104,1.01349e+06,45406,952136,-19.8013,2093.03,9669.18,2390.98,2606.56,795.818,1159.27,0.2056
1.49036e+06,1.04032e+06,859560,257859,384332,283541,813284,202829,762787,13542.1,2799.61,84901.7,36351.2,10938.6,8695.27,3974.17,0.2261
1.7979e+06,1.24571e+06,865962,210318,377982,280889,807398,165811,761050,12464.6,2636.44,2115.92,54222.5,18516.4,7307.87,1958.81,0.245
1.73855e+06,1.05664e+06,987210,444025,588845,370121,954572,310059,859240,28707.9,3379.72,152330,85250.1,20119.5,13627.8,6353.28,0.3645
1.46094e+06,917133,955768,453725,767731,488272,943406,333126,817213,16523.3,2487.27,146680,43888.3,11253,10469.1,4282.82,0.3846
1.5711e+06,924364,1.01979e+06,314123,514637,332682,928160,226720,831306,16230.4,3845.95,49508.5,50764.2,22460.2,11625.3,4806.2,0.461
2.11173e+06,1.33060e+06,952226,256947,310815,184798,1.00915e+06,169583,909101,13278,2244.49,209128,46449.3,13002.2,7320.91,2197.29,0.4635
1.58883e+06,1.01229e+06,941723,407516,661775,433631,915675,302448,808435,25400.5,2873.05,121452,73343.6,16906.2,11801.3,4899.21,0.4934
999520,704972,850689,356030,412038,295846,835648,281518,758809,11659.7,1876.65,130754,33140.9,11216.5,7875.18,2292.85,0.5836
1.30634e+06,857027,914563,285142,486597,333817,874605,219467,779550,7771.06,1658.43,108059,31198.8,8519.86,6283.77,2964.4,0.6537
1.62597e+06,1.10241e+06,884952,271753,485072,363511,800644,216405,753458,15553.6,1630.54,64617.3,38860.8,8482.71,6765.19,4638.65,0.6683
2.18371e+06,1.27969e+06,1.02386e+06,485066,807432,492626,983421,341004,853478,26631.7,2889.09,179954,56241.6,11432.6,11212.8,7452.68,0.7928
1.89915e+06,1.30556e+06,872795,217016,367736,265689,830450,167088,779287,13818.1,2697.49,71807,82192.5,28403.1,6800.49,4308.12,0.8485
1.51292e+06,878595,1.03319e+06,339689,545618,348683,938878,242585,840173,22323.6,3536.89,65561,55877.7,18380.6,20446.6,5244.61,0.8546
1.24166e+06,837744,889286,390817,510161,359811,850714,288551,812648,23946.4,2530.58,76530.8,67332.6,23304.3,9243.17,3723.68,0.9456
