"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.5041e+06,1.22430e+06,737118,125603,184935,145329,763516,104774,719281,3103.81,-1284.44,1.36191e+06,17982.5,1837.36,2413.55,5667.78,0.1211
1.50189e+06,1.21736e+06,740237,129180,182123,159774,683926,120908,641051,2628.55,-4238.67,1.70585e+06,26293.4,2870.91,1872.65,5859.15,0.5059
1.47501e+06,1.19542e+06,740327,146212,260649,231878,674446,136125,644460,1724.92,-4274.72,1.45192e+06,25363.7,2176.92,2907.87,5112.11,0.6633
1.36361e+06,1.10849e+06,738086,139754,191326,159217,721000,124272,674750,2325.76,-5251.64,1.74847e+06,19877.4,2491.06,3407.4,6009.62,0.7605
1.13071e+06,931302,728473,181854,301573,273875,660681,168760,646552,2628.67,-4576.87,1.74103e+06,14571.2,4546.43,3641.43,5426.71,1.7626
1.4361e+06,1.14743e+06,750945,127006,228149,196586,696335,114433,665922,2643.46,-3790.15,1.63222e+06,22184.8,1022.46,3089.48,5359.51,2.1214
1.54221e+06,1.20687e+06,766718,106198,132528,102661,774557,91967,692846,2027.22,-4475.98,1.44561e+06,17615.1,2891.24,2552.4,5367.35,2.4107
1.38747e+06,1.12453e+06,740295,119352,167317,141316,710395,109159,656026,5093.12,-4169.74,1.89042e+06,78644.5,3504.66,2777.18,6010.04,2.6627
1.63205e+06,1.28467e+06,762241,126762,184240,151612,729122,114981,661474,2123.2,-5012.8,1.81293e+06,16084,1945.97,3164.75,6180.99,3.0121
1.18378e+06,956928,742235,98034.2,99180.1,85871,692994,91254,644580,1534.15,-4350.9,1.40026e+06,8595.23,1274.08,2432.72,4060.13,3.0356
1.39093e+06,1.13833e+06,733141,137749,197933,163949,724371,126460,653560,1501.77,-3283.4,1.38297e+06,17236.9,1198.19,2682.52,4843.18,3.0466
1.22544e+06,956354,768819,127824,139857,112110,748496,115623,663316,2054.3,-4109.16,1.28007e+06,15134.3,1535.66,2250.58,4384.09,3.23
1.50322e+06,1.14253e+06,789412,169612,334444,268062,748581,147700,689014,4339.44,-2908.78,1.70075e+06,32739.3,2783.14,3349.36,5888.44,3.3298
1.18087e+06,869236,815112,160042,246812,196162,754922,142909,671934,2025.75,-3182.12,1.39398e+06,17707.8,3657.95,2787.55,4490.43,3.4437
1.16105e+06,863501,806752,146963,210282,173494,727224,131383,671151,3760.05,-4572.97,1.46244e+06,14887.1,2756.56,2843.45,5772.83,4.1261
1.12014e+06,863323,778487,170345,202492,157325,772255,151456,674829,1555.71,-5400.82,1.69483e+06,15393.1,1810.25,2906.45,6071.88,4.4904
1.26114e+06,990424,764002,148955,258699,223009,696022,136648,654036,2280.81,-3423.51,1.50524e+06,21590.2,4043.49,2588.8,5304,4.7657
1.26288e+06,1.00342e+06,755144,123706,222080,193016,690346,113362,654749,1469.41,-3253,1.45064e+06,31032.5,2341.83,3141.1,5118.05,5.0863
1.24379e+06,986601,756412,147350,216985,181435,717564,131847,670549,4895.34,-4293.99,1.62994e+06,27812.7,13783.7,4150.6,6044.28,7.2686
1.456e+06,1.12124e+06,779135,120857,164035,136510,720982,110845,654193,3161.42,-4538.88,1.55974e+06,16099.2,10610.2,2850.84,5498.77,7.3125
1.30572e+06,991809,789901,248406,356624,263394,812374,204243,729737,3149.57,-3810.43,1.51244e+06,40034,6086.43,4563.83,5716.27,7.4019
1.88898e+06,1.38142e+06,820450,253133,360724,285862,757128,227999,666142,2844.65,-1660.18,1.65391e+06,18508.5,3368.22,3430.9,5832.78,7.4159
