"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.11332e+06,854511,781725,175189,306396,264414,695263,160451,655112,3297.04,-2338.61,1.37908e+06,16874.3,2579.12,5072.6,7177.76,1.3078
1.27132e+06,994166,767267,135721,231400,190000,730736,120325,676774,1664.23,-2753.72,1.17645e+06,19542.8,1507.1,3537.52,4572.8,2.5606
871493,611328,855344,156003,212390,154995,822183,131145,713727,1972.9,-2343.16,1.37915e+06,16682.5,2012.13,3543.39,4666.8,3.0422
1.38917e+06,1.03492e+06,805378,148755,228039,178221,767718,131851,676925,2057.18,-1743.21,1.53561e+06,17460.3,355.397,2722.18,4977.26,3.0812
1.34397e+06,1.06996e+06,753656,134436,214065,182849,702433,120591,668885,2451.84,-3277.52,1.5673e+06,19011.4,978.37,3850.78,5599.53,3.331
1.53606e+06,1.12407e+06,819914,179101,266950,204820,782003,154955,693494,3648.14,-2780.55,1.55823e+06,31740,3522.56,3767.02,5344.26,3.4119
1.34656e+06,1.1024e+06,732888,112977,176430,156987,674312,104354,649580,1134.1,-3067.65,1.58205e+06,19105.3,945.089,1625.92,5170.23,5.2234
1.30628e+06,1.00563e+06,779383,174219,252890,208290,728474,155586,671855,3850.98,-4738.47,1.57726e+06,15187.3,7202.12,3465.01,5108.37,7.5466
1.32045e+06,1.02504e+06,772915,187393,254885,196058,780028,163767,686558,2798.76,-3651.86,1.51771e+06,17269.7,6644.81,3755.26,5463.59,7.6842
1.27038e+06,1.0283e+06,741248,135716,219183,177100,742573,118548,686889,1937.85,-1480.25,1.02479e+06,19021.1,2699.06,2888.68,4048.2,8.0017
1.41403e+06,1.16814e+06,726294,143522,193175,172528,671804,134763,638997,2475.46,-4125.23,1.85303e+06,23061.3,3387.21,2592.9,6788.81,8.3098
1.35187e+06,1.11312e+06,728691,129033,186018,157708,707704,118995,650616,2736.59,-4407.87,1.69972e+06,23156.8,3554.06,2793.52,6322.1,8.4834
1.61869e+06,1.1609e+06,836605,336307,459305,357986,769816,302824,666341,1927.54,-2520.41,1.0725e+06,18710.4,1434.96,2282.54,4406.24,8.5087
1.05843e+06,857095,740941,127273,147816,128291,691318,118011,647089,1492.12,-3511.1,1.31211e+06,19519.7,1806.59,3151.46,4306.29,8.8148
1.46483e+06,1.10849e+06,792880,132673,176744,135626,781904,116721,682000,2681.72,-3310.42,1.54686e+06,23630.7,2320.29,2736.83,5435.08,8.8297
1.57857e+06,1.25175e+06,756655,173471,323678,271379,715631,152461,682684,2750.29,-1966.1,1.43827e+06,22853.8,2658.37,3167.79,5297.37,8.8429
1.38829e+06,1.09606e+06,759973,120936,217172,183892,708586,110089,659117,1493.6,-3474.64,1.60712e+06,16786,2520.06,2187.62,5464.33,8.8916
986293,760946,777684,190371,200500,152363,789561,159176,717588,2087.16,-5418.68,2.00074e+06,15112.7,3323.61,3690.82,7553.7,8.9074
1.33713e+06,1.14041e+06,703500,101034,126224,114118,663648,96687,626974,1933.66,-3715.13,1.2304e+06,14399.8,465.193,2303.87,3847.69,8.9337
1.3377e+06,1.06896e+06,750846,136397,217117,181386,718194,122957,665584,2092.97,-1360.03,1.09058e+06,16251.8,2155.62,2210.08,3189.78,9.2444
1.30482e+06,1.10611e+06,707785,172265,198291,183012,650092,166385,621203,1812.62,-4865.24,1.3806e+06,15709.3,3246.38,2447.72,4679.85,9.844
1.34395e+06,1.09168e+06,738648,178440,243319,198176,736675,154276,693975,2584.35,-4612.52,1.91918e+06,29836.7,2337.34,2261.74,6321.21,9.9431
1.30704e+06,990769,791533,151709,224695,185986,724878,140193,649286,1993.18,-2434.09,1.09342e+06,14083.2,2835.82,3064.12,3804.32,9.9745
1.26554e+06,983399,772144,181468,320491,268263,716814,164472,662001,2760.31,-2251.48,1.05485e+06,15812.1,3729.91,2637.99,3535.77,10.0206
1.18152e+06,861681,822711,314349,767714,663199,694555,294978,639402,3381.14,-1651.18,1.27736e+06,46596.5,2483.34,3337.59,4573.76,10.2146
1.18974e+06,884899,806698,118198,201596,155651,777107,102798,689888,1306.9,-1020.84,1.28063e+06,16020.6,2098.31,2996.21,3757.77,10.3213
1.4728e+06,1.15954e+06,762099,224258,332849,282218,707643,199338,675008,2775.18,-5100.29,1.84468e+06,23522.7,2787.77,3174.98,7004.03,10.3399
1.27973e+06,980602,783025,192568,338214,257392,788403,164070,704218,1493.22,-3758.24,1.50484e+06,18092.2,204.857,2326.1,5174.84,10.4126
1.38649e+06,1.04068e+06,799377,182780,420480,323181,780639,144051,761312,1448.25,-1897.82,1.30287e+06,13938.5,-380.106,2067.68,4481.44,10.4839
1.38921e+06,1.05043e+06,793506,129965,181421,146329,743888,117242,665112,1556.96,-2529.09,1.5306e+06,20589.6,-137.43,3048.7,5068.02,10.5204
1.10644e+06,825264,804425,249365,283027,215008,789814,208686,716959,2803.08,-4771.16,1.79984e+06,21528.2,2443.9,3253.49,6452.99,10.6332
1.23376e+06,984347,752027,152121,170569,152163,672577,139634,653658,3203.7,-5047.98,1.68902e+06,20509.8,3367.56,2124.03,5970.01,10.8663
1.39827e+06,1.13004e+06,742416,137091,162815,135842,719139,121144,678981,1771.11,-3527.5,1.23457e+06,11514.2,1700.89,1893.9,4456.12,10.9258
1.17927e+06,971398,728396,122032,122363,107554,682613,115296,635055,1774.2,-3247.02,1.37554e+06,14297.7,4340.85,2791.85,4586.69,10.9266
1.09155e+06,858393,762973,205749,208679,176302,710186,190499,648031,1940.08,-2793.31,1.37237e+06,11128.2,3638.52,3138.44,5039.02,11.0743
1.14914e+06,848318,812764,137175,179557,138565,777500,122629,671169,1531.82,-1429.62,1.1402e+06,16619,1919.16,1765.35,3562,11.2513
985563,766350,771629,158816,171724,140650,732560,142436,669000,1596.93,-3927.5,1.52067e+06,14899.9,1424.45,2799.63,5274.07,11.3815
1.0586e+06,878611,722911,198414,218553,167451,783105,165769,718158,1720.16,-2997.08,1.15649e+06,14562,1744.04,2170.44,3504.18,11.3889
1.32245e+06,1.08116e+06,733910,121190,168790,148101,683816,113089,642983,1663.62,-3317.59,1.13877e+06,13300.4,1784.44,2769.35,3810.99,11.4633
1.26094e+06,1.05601e+06,716438,120881,147940,120955,733860,107280,676069,2000.07,-5082.88,1.7002e+06,13718.7,1003.36,2551.73,5526.9,11.5034
957152,701657,818479,177417,240333,165569,870935,131184,811458,1613.34,-3054.43,1.59252e+06,18156.2,4023.64,1792.91,6312.47,11.5068
1.05078e+06,866866,727298,136963,153628,123639,745531,122022,673466,1354.1,-3430.84,1.07538e+06,14106.6,996.042,1929.01,4025.98,11.5356
1.10315e+06,881861,750562,158589,171740,144526,712979,144009,660746,2323.46,-4806.53,1.67193e+06,14479.3,1518.89,2223.22,5313.61,11.5563
1.31056e+06,1.03781e+06,757690,147341,146757,112746,780996,127244,694764,738.11,-3640.03,1.35797e+06,10429.5,1444.65,1632.71,4073.39,11.7293
1.28904e+06,1.05342e+06,734201,119738,162401,140019,695910,112023,641324,1716.21,-2886.95,1.15207e+06,17182.3,694.618,2909.9,3747.34,11.7499
1.19024e+06,958697,744914,186153,236230,202221,700907,168827,661577,1879.65,-4350.15,1.42094e+06,16307.6,2864.68,2606.59,5126.76,11.9533
1.49126e+06,1.16562e+06,767626,135735,197276,157264,752655,120190,677604,1606.05,-3872.13,1.38077e+06,15303.6,2091.8,2569.45,4583.36,11.9819
1.36984e+06,1.06136e+06,774391,145698,175151,140085,750190,126939,688670,3040.47,-3823.04,1.4562e+06,21890,2071.35,2636.77,5242.5,12.1267
1.10199e+06,864935,764444,157109,185158,154296,720012,138033,682918,1499.4,-3576.03,1.42184e+06,14928.5,4186.06,2077.44,4255.23,12.1428
1.35564e+06,1.12018e+06,726118,182257,238719,202184,708422,159704,684731,1976.36,-3401.83,1.43197e+06,12405,2588.03,2032.65,5056.14,12.2188
1.35707e+06,1.02182e+06,796858,160469,274166,219948,747902,142419,676042,2174.96,-3743.1,1.82810e+06,27140.3,5422.31,3115.33,6088.82,12.2226
1.12382e+06,890048,757588,127430,140269,115019,731718,116792,654652,1635.48,-3506.89,1.19483e+06,12595.9,2186.26,1898.71,4535.35,12.2612
1.64883e+06,1.23055e+06,803951,139353,236562,185448,765374,118613,704911,2083.26,-2133.7,1.34233e+06,19533.5,2124.51,3239.34,4674.86,12.438
1.53055e+06,1.09809e+06,836299,201553,320484,248603,773483,168617,717196,2078.04,-4040.36,1.55215e+06,20118.7,2839.17,2423.41,5493.37,12.5095
1.46974e+06,1.13922e+06,774074,222954,335576,293285,686518,209683,637976,2537.75,-4090.73,1.37526e+06,15513.5,180.674,2880.1,4971.31,12.5767
1.27482e+06,1.02131e+06,748932,143652,181497,151385,719345,128873,668807,2367.89,-5306.2,1.48003e+06,13519,2446.98,3052.85,4432.69,12.5829
1.39259e+06,1.06653e+06,783427,167659,206523,158179,783375,146921,684690,2262.67,-4342.18,1.64666e+06,16233.7,4579.62,2556.77,5748.22,12.6772
1.26444e+06,1.01219e+06,749526,148353,217831,187285,697858,134067,663937,2314.32,-2666.98,1.42774e+06,22607.6,4575.43,3426.13,4336.97,12.9189
1.37954e+06,1.02452e+06,807913,233298,338385,255694,794038,192886,725708,2834.68,-2116.73,911498,31151.2,5513.94,2955.76,3937.45,13.0135
1.42799e+06,1.097e+06,781034,213051,359301,313816,686966,202427,631490,1906.03,-2719.18,1.13951e+06,15743.3,1083.34,2494.09,3770.36,13.0185
1.31377e+06,1.02087e+06,772144,185352,292859,238747,735990,166234,669005,1488.72,-3049.11,1.17303e+06,13983.3,3738.19,1549.7,3918.08,13.1125
1.38113e+06,1.11208e+06,745165,169311,240939,181982,794384,144538,702836,2326.17,-5108.76,1.57726e+06,18002.5,576.507,2096.69,5198.78,13.1301
1.2707e+06,1.01698e+06,749688,138097,213467,174323,734731,118875,697020,2895.45,-1846.58,1.1924e+06,32803.1,4687.18,3964.31,4111.65,13.2223
