"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.09206e+06,753633,869433,161774,369390,342424,647250,152339,637162,2007.26,-1502.46,819627,16429.7,488.82,3107.62,4224.38,0.2155
1.31878e+06,1.10013e+06,719247,166113,242683,225023,647089,157272,633728,3179.59,-3979.06,1.28177e+06,16260,792.38,2746.5,4511.35,0.4761
1.26453e+06,1.0368e+06,731789,168939,231974,190094,732189,148713,681606,2271.31,-4733.11,1.42279e+06,18156.5,1236.22,3412.57,5523.82,0.6794
1.21161e+06,945870,768566,144161,280119,238365,705102,129730,666742,1626.1,-3826.98,1.44141e+06,19483,3293.43,3415.81,5607.7,0.7491
1.47781e+06,1.20913e+06,733325,115114,182878,154671,709421,103374,668139,2434.41,-4079.5,1.6576e+06,21016.2,528.91,3069.48,5346.8,0.8459
1.41661e+06,1.14274e+06,743802,160701,300255,226072,796884,132742,726374,1593.14,-3026.71,1.44011e+06,22763.8,3352.13,3809.65,5488.01,1.6007
1.22947e+06,924710,797741,158841,212500,163723,778755,140340,679099,2284.27,-3061.74,1.35039e+06,19637.4,2647.57,4495.11,4999,2.0428
1.48228e+06,1.2646e+06,703279,91714.5,114707,102420,671979,85530,643385,1803.05,-2768.72,1.30491e+06,23020.8,3173.9,2405.09,5018.99,2.4242
960687,762766,755687,148398,200295,169760,707923,135067,659217,3716.37,-2804.43,1.02064e+06,16480.3,2109.55,4130.14,3780.27,2.4628
1.28472e+06,1.00645e+06,765892,149850,200778,157266,766008,134223,669855,2498.68,-4985.94,1.34502e+06,16113.8,4822.08,2994.82,4328.01,2.8821
1.45585e+06,1.18044e+06,739986,132831,187748,158649,710050,119581,666484,2621.22,-4698.64,1.40279e+06,42324.7,2458.33,3274.58,4856.74,2.8835
1.21991e+06,979660,747143,113427,192822,172022,672547,102082,666684,1843.62,-2662.33,868448,14713,3329.76,2882.4,3321.14,2.8877
1.36205e+06,1.057e+06,773164,128204,184664,156494,708003,121018,635627,3009.5,-3491.71,1.2343e+06,21018.8,96.3755,3766.83,4495.03,2.9881
1.19809e+06,939083,765488,134106,202316,165218,734726,119857,671329,2865.51,-3142.79,1.27701e+06,25590.1,1725.01,4432.22,4530.5,2.9948
1.37606e+06,1.13573e+06,726967,164456,231432,185740,747601,139229,708714,2767.02,-5316.84,1.82255e+06,25641.3,896.718,4205.34,6657.7,4.3854
1.32448e+06,1.04518e+06,760338,162500,199867,158380,757167,141134,690833,2122.81,-4388.51,1.36051e+06,14409.2,2115.06,3549.03,4955.13,4.4745
1.41614e+06,1.18403e+06,717620,134915,178500,150999,709277,121138,668238,2833.21,-5137.61,1.51896e+06,19208.9,1727.27,3611.94,5879.33,4.9564
1.36873e+06,1.07775e+06,761996,146698,161985,136833,710288,135238,650846,1905.71,-6014.79,1.66027e+06,16101.4,2161.7,3696.94,5902.18,5.0032
1.16022e+06,916310,759710,134155,142591,115032,743745,120510,667937,1559.21,-3551.79,1.28602e+06,15049.3,1683.18,3613.25,4837.69,5.2029
1.51144e+06,1.13787e+06,796984,261923,484401,228973,1.26932e+06,143260,1.09698e+06,3795.26,-2718.17,1.70196e+06,27564.7,12442.5,5111.95,6242.51,7.4186
1.18895e+06,902690,790269,244319,342220,242250,847605,189342,774215,2192.78,-3479.86,1.46782e+06,18676.9,7180.21,2982.73,5488.08,7.4579
1.05756e+06,844935,750987,153120,223070,189337,706898,139347,659302,3692.53,-3288.41,1.26244e+06,41908,8000.2,3654.52,5054.42,7.4922
1.34124e+06,1.00733e+06,798887,178803,214335,173464,741370,164736,651234,1606.09,-2582.92,1.11544e+06,11746,3442.36,2278.47,3733.39,7.5487
1.16421e+06,887164,787371,166516,205204,164020,750656,151905,657711,1838.92,-1816.85,965121,16473.9,3622.42,2366.87,3438.46,7.5555
1.22686e+06,973875,755861,127838,150056,126629,711003,117073,655170,2105.11,-2327.27,1.21944e+06,12922.8,3259.8,3154.52,3972.55,7.6973
1.06056e+06,833196,763730,150687,174780,144775,724350,137458,657745,1794.66,-2938.43,1.18481e+06,17358.8,3492.65,2602.9,4470.35,7.7226
1.1117e+06,843547,790729,107255,143794,114194,755527,96515,666770,2009.29,-1334,954481,14279.1,2538.79,2044.75,3672.75,7.8126
1.27673e+06,1.03921e+06,737134,140682,217771,185815,703187,126540,667057,1450.38,-2417.3,1.59263e+06,14787.2,1260.07,3129.16,4919.4,7.8126
1.33197e+06,1.02127e+06,782537,225105,409392,324409,757177,196530,687238,6077.26,-5066.36,1.95493e+06,53786.5,3848.66,3421.63,7450.41,7.8225
