"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.15466e+06,847986,816993,252448,495109,432350,687095,232158,652438,2052.92,-2891.52,1.36591e+06,17649.7,4194.9,3104.36,5398.22,1.1575
1.16466e+06,898163,778028,189481,298090,246647,725142,170651,666205,1388.36,-2265.77,1.30873e+06,14112.6,3583.79,2578.98,5463.49,2.2228
1.30228e+06,1.07909e+06,724100,159828,229025,198592,691948,146010,656781,3083.63,-4221.78,1.50008e+06,16388.5,2269.36,3377.08,5652.66,2.5237
1.30866e+06,1.02895e+06,763104,149705,242185,205113,708444,135921,660848,2157.61,-2423.85,1.19661e+06,14724.9,1314.98,3216.14,4144.18,4.9725
1.36363e+06,1.10077e+06,743282,137433,212633,185331,688390,125153,658872,2223.95,-1020.49,950982,15108.9,4318.96,3008.9,4079.75,6.4847
1.37002e+06,1.03219e+06,796377,155937,192334,152548,756486,142190,658007,1513.41,-3561.13,1.41008e+06,16202.4,514.434,14123.3,4973.99,6.5955
1.06577e+06,844870,756879,187314,224092,197471,680885,174401,644425,3312.78,-1446.05,1.05489e+06,17326.3,9028.34,2720.49,3324.38,9.4416
1.34629e+06,1.09196e+06,739751,145714,242287,210826,689537,134705,649036,3989.35,-2319.93,1.04942e+06,29761.3,5476.08,3071.66,3678.89,9.5302
1.22699e+06,961929,765329,185785,259357,208815,745224,167725,664606,2334.79,-3123.42,1.04701e+06,20325,4129.14,3421.08,4175.66,9.5683
1.19846e+06,994782,722848,155526,208250,176621,707446,141954,657366,3265.68,-4132.82,1.40518e+06,25656.9,3319.61,4124.83,4984.51,9.6917
1.38554e+06,1.09102e+06,761970,192838,334300,285569,702387,179522,644506,2473.06,-4480.44,1.64225e+06,17195.9,4278.88,3939.65,5612.54,9.7589
1.86665e+06,1.32294e+06,846590,366411,648540,509949,763064,317166,693159,2437.93,-2449.22,1.19947e+06,20424.9,3869.78,3413.49,4749.16,9.7735
1.41955e+06,1.10758e+06,769004,130778,197402,165773,714480,118760,660718,2678.96,-4034.56,1.50037e+06,32392.5,3957.46,3235.12,5169.47,9.809
1.25748e+06,978304,771223,129727,172634,139130,744485,117840,660523,1821.7,-5450.65,1.62258e+06,24431.4,2084.79,3407.49,5577.31,10.102
1.2963e+06,1.05728e+06,735637,96781.7,188210,146614,770227,82767,701597,2181.75,-2723.37,1.39168e+06,18274.8,3540.35,2422.61,4874.95,10.1214
991165,775163,767192,167193,193575,160932,721702,150047,668561,1629.06,-1286.46,685473,15765.2,4061.96,2414.64,2386.22,10.156
1.21467e+06,916008,795627,208013,397206,278641,855308,165986,751918,3698.57,-2386.83,1.10017e+06,43385.6,3603.59,3564.26,4670.79,10.1859
1.53713e+06,1.28344e+06,718601,120414,165693,145615,682729,111145,650037,2915.03,-2926.35,1.04721e+06,14865.6,3570.98,2819.97,3838.95,10.2697
1.19828e+06,944750,761012,221499,368702,322501,685956,199298,666837,2400.93,-3806.55,1.41783e+06,25214.3,412.892,3887.77,5519.39,10.397
1.23126e+06,997755,740417,94368.5,156308,139348,673026,84804,667670,1876.11,-2193.49,1.04091e+06,22098.4,1300.81,2727.77,3686.03,10.4489
