"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.67263e+06,1.29212e+06,776692,263587,535852,455181,706337,219963,718995,2254.61,-5144.77,1.47262e+06,36889.3,1827.49,4684.4,4788.19,4.0347
1.27476e+06,972318,786631,187195,192595,151162,764458,162102,692880,3441.89,-8246.68,2.64706e+06,19276.9,18440.4,4877.82,8750.62,7.4758
1.18845e+06,907386,785848,130034,153363,124966,736342,117121,666152,3899.42,-4692.02,1.56188e+06,23909.8,19097,3395,5258.83,7.4977
1.07152e+06,810812,792924,245224,267000,211215,758467,215676,682200,3176.07,-4478.5,1.68549e+06,27043.8,18685.6,2542.14,5577.82,7.6077
1.30408e+06,1.0351e+06,755917,121912,187852,162724,692653,111342,656959,2165.18,-4185.18,1.45978e+06,14870.1,7012.28,2538.77,4975.55,7.6148
1.37929e+06,1.05305e+06,785879,178886,240350,159227,905689,140546,763678,3337.8,-3306.55,1.69389e+06,30100.9,8713.26,3916.69,7973.08,7.6759
1.26848e+06,1.0322e+06,737351,134669,154713,131644,705142,122683,658621,2653.21,-4747.22,1.70866e+06,17461.6,11062,3480.11,6053.69,7.7233
1.56412e+06,1.25179e+06,749706,123635,183602,150479,732070,105648,702150,5016.01,-3768.27,1.84771e+06,25545.2,7522,4167.19,6596.73,7.8171
1.43056e+06,1.09726e+06,782254,169337,224740,182505,738851,150173,676568,5212.92,-5900.27,1.97058e+06,20609.3,4939.25,4673.86,6509.29,7.8317
1.43671e+06,1.11315e+06,774403,156549,301609,252901,715559,137483,683209,2936.4,-3427.34,1.48464e+06,39153.3,14860.4,3831.89,5423.1,7.8354
1.45432e+06,1.15035e+06,758541,189939,257534,205642,751404,167633,679840,3061.15,-3674.73,1.69978e+06,22978.6,7492.53,3457,6264.3,7.8365
1.29266e+06,975260,795271,127826,189015,150002,756050,113500,675730,1979.28,-3947.85,1.70156e+06,15328.5,6669.26,2582.01,5794.76,8.1464
1.42974e+06,1.14244e+06,750883,157591,211617,169274,750087,135924,695642,4535.62,-5434.93,2.1126e+06,26249.8,7752.92,4357.09,7013.53,8.1941
1.34429e+06,985138,818745,225202,290770,224146,778341,187958,718890,11258.5,-6608.31,2.50058e+06,25516.2,9646.59,6823.44,8686.88,8.1982
1.50296e+06,1.08611e+06,830277,135490,194404,152643,764154,120613,674007,6955.94,-2746.89,1.66329e+06,21462.6,10380.7,4799.96,5514.39,8.2093
1.51932e+06,1.14035e+06,799393,136033,203324,161493,755416,120408,677860,2751.4,-4072.75,1.90215e+06,15741.4,9942.21,3535.24,6361.86,8.3392
1.31593e+06,1.00208e+06,787919,147687,258740,210166,738674,128311,690603,3995.76,-4747.81,2.06146e+06,21887.9,12739.4,3214.5,7148.5,8.3609
1.34224e+06,984425,818084,183472,298268,241451,741188,165206,666340,2245.54,-4313.44,1.78531e+06,21565.4,12064,3514.62,5486.32,8.6076
1.31849e+06,912943,866532,259711,311768,208272,898156,197910,787361,5879.92,-8096.15,2.42017e+06,31466.3,5506.23,5644.21,8529.78,8.6385
1.39066e+06,1.08882e+06,766332,138585,189113,158718,714902,125873,660595,2413.82,-3059.47,1.47366e+06,27733.9,7893.62,3577.34,5317.99,8.6453
1.19027e+06,942491,757739,166384,186787,158053,709078,148572,671934,3523.29,-5469.27,1.76372e+06,21879.4,11141.7,4921.88,5906.59,8.6955
1.26824e+06,974127,781156,206918,350403,295962,710368,187130,663446,3399.49,-4213.42,1.7683e+06,18473.3,10407,3633.33,6545.8,8.7774
1.14237e+06,888358,771562,181567,182163,155381,703416,169703,641946,2339.78,-4299.82,1.64538e+06,15806.4,6912.17,2261.08,5087,8.8285
1.16186e+06,938874,742504,149711,211244,172412,735136,129585,693187,1400.95,-3962.4,2.04981e+06,6528.85,1516.02,1780.15,10553.1,8.8807
1.42736e+06,1.08302e+06,790763,147252,249027,192028,778096,126568,698055,3641.83,-2720.31,2.11705e+06,20471.9,8844.25,4772.13,7059.13,8.8815
1.35486e+06,1.03005e+06,789205,155831,205571,163273,755439,136567,684636,2691.32,-5388.84,1.97946e+06,18718.4,11349.6,3968.1,7317.61,8.8979
1.48185e+06,1.12539e+06,790049,118297,208155,174661,715058,108843,652115,1152.79,-3760.78,1.69784e+06,18801.7,7192.07,2790.72,6115.76,8.9068
1.18496e+06,931408,763337,155465,255387,210252,728803,135326,689289,2238.84,-2846.16,1.53009e+06,19438.2,8452.79,3244.02,4866.74,9.0078
1.50168e+06,1.18789e+06,758493,126649,189624,157477,722481,112497,675481,3189.96,-3229.87,1.4802e+06,26860.5,7915.98,3007.21,5617.18,9.0425
1.34766e+06,1.07028e+06,755497,121300,175490,152176,691924,112441,647272,1472.5,-3461.65,1.42659e+06,17143.8,6553.62,2921.73,5166.56,9.0722
1.26458e+06,997089,760966,162016,216389,183163,708842,146498,663557,2291.79,-5554.68,2.10873e+06,18969,8614.29,3314.77,7651.21,9.1125
1.35351e+06,1.11003e+06,731610,136881,172897,147433,703628,122171,672245,1411.53,-5136.42,1.64946e+06,23131.5,10351.6,2196.8,5982.21,9.1984
1.47857e+06,1.08688e+06,816228,169010,314372,246257,765960,145365,697597,3117.34,-4247.33,1.9211e+06,29572.8,16022.6,3922.43,6476.81,9.2267
1.42775e+06,1.10132e+06,777840,224520,339292,230113,884674,176782,762023,2572.8,-3849.5,1.68687e+06,20270.9,11206.2,3336.02,6093.73,9.2813
1.63053e+06,1.25545e+06,779258,157324,300141,236305,762086,134436,702153,4478.08,-4649.26,1.80462e+06,32833.8,7741.59,3651.28,6572.83,9.2833
1.3887e+06,1.11553e+06,746925,162686,219237,191810,685796,149519,652836,3053.93,-4750.42,1.90807e+06,29514.8,10431,3809.49,6624.55,9.3515
1.20893e+06,888206,816655,213843,223443,175418,764265,189747,676193,2772.55,-5418.97,1.88512e+06,25016.5,8781.24,4676.76,6416.74,9.352
1.44675e+06,1.17584e+06,738239,127725,163683,140930,696869,117667,651285,2225.22,-4113.69,1.3771e+06,22535.3,9938.43,2893.4,5273.52,9.6101
1.47372e+06,1.08728e+06,813251,161788,257604,202200,764403,141116,687895,3536.09,-4370.04,1.86258e+06,29932.3,11228.8,4993.45,6052.34,9.6421
1.58157e+06,1.19539e+06,793835,161414,267806,218512,735355,142976,677375,5490.65,-4510.93,2.16452e+06,22715.3,13559.1,3856,7590.8,9.6512
1.35633e+06,1.06110e+06,766935,142422,223736,181398,740040,122221,699172,3531.38,-3234.78,1.85642e+06,18970,10190,3131.66,6331.31,9.6955
1.54174e+06,1.12327e+06,823529,146055,209266,166390,754610,131401,666913,3486.65,-1565.89,1.88571e+06,19301.1,7056.18,4002.06,5292.65,9.8176
1.48036e+06,1.14776e+06,773872,167307,254274,215076,709351,151672,661852,2448.12,-5042.32,1.68277e+06,16964.8,7876.18,3920.51,5909.66,9.821
1.24431e+06,983763,758911,171501,167873,131095,768327,146751,701192,2094.49,-3658.08,1.93363e+06,13300,7301.98,5357.02,7088.17,9.8298
735042,537108,821111,176469,166001,134324,741494,155068,682808,1879.63,-3944.42,1.43272e+06,12499.5,8504.55,3460.94,5280.54,9.8416
1.45946e+06,1.1785e+06,743047,110148,161403,141505,684371,99214,666126,3155.5,-2375.79,1.53329e+06,18111.6,6201.48,3603.84,5202.45,9.8738
1.29194e+06,1.02851e+06,753675,198159,400611,319872,751447,155804,763109,2963.92,-4301.82,1.59003e+06,19345.5,4813.6,3412.91,5619.34,9.9121
