"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.24001e+06,980712,758638,171610,293274,241506,728614,152132,676821,3836.77,-3414.85,1.49241e+06,31448.2,4146.75,9013.91,4734.59,3.8574
1.56366e+06,1.2488e+06,751275,129499,207567,172873,720414,115560,672371,2874.03,-2200.52,1.0463e+06,42423.4,781.34,2530.13,3573.15,4.2793
1.39679e+06,1.00344e+06,835201,225335,252893,197632,767768,186593,724578,9610.55,-2580.24,1.37292e+06,33717.2,15265.1,8637.55,4521.27,7.3539
1.56446e+06,1.15169e+06,815042,169108,255707,202110,759114,148636,682639,3738.81,-2519.85,1.19945e+06,23797.3,15778,2992.82,3207.29,7.3605
1.59014e+06,1.13407e+06,841290,193798,230119,166411,829700,157679,737440,11008.5,-3707.27,1.60865e+06,43727.2,17879.3,7779.37,5195.85,7.3681
912198,633835,863503,190492,260298,194577,802658,153246,745826,6757.14,-3069.01,1.39669e+06,30487.9,17559.1,5568.03,4829.49,7.4153
1.35808e+06,1.01159e+06,805513,190425,276653,219961,754643,165674,689636,6311.34,-3052.25,1.3024e+06,27635.6,10454,5397.63,5218.14,7.5455
1.4337e+06,1.04156e+06,825895,253977,387311,299033,777127,211970,718904,8236.72,-3093.76,1.58591e+06,38170.6,10435.6,6963.05,6105.78,7.6136
1.51358e+06,1.07543e+06,844445,268754,325260,268470,726919,234519,687589,10438.1,-3900.71,1.61281e+06,35937.7,14528.4,6188.33,5690.16,7.6843
1.62339e+06,1.11065e+06,876995,182082,256254,188929,813811,151598,720650,12360.8,-1097.36,1.41671e+06,52112.1,11060.8,6932.76,4524.41,7.8752
1.33337e+06,929094,861081,247225,324449,255902,760718,209345,708567,9520.35,-3019.66,1.52977e+06,36581.5,9629.93,6941.13,5497.61,7.9142
1.47315e+06,1.04259e+06,847778,301265,738829,577922,767054,220925,818191,18416.8,-2440.32,1.58551e+06,31057.6,8610.68,6660.55,6907.59,7.919
1.50468e+06,1.11699e+06,808250,172248,263577,211629,747280,151809,680783,7425.17,-3074.57,1.62095e+06,29750.2,8799.97,6250.95,5162.35,7.9447
1.5716e+06,1.1179e+06,843514,203314,285201,203685,840125,168111,725641,8348.51,-2852.07,2.34341e+06,32183.9,6884.06,5073.36,6991.43,8.0833
1.23274e+06,915165,808210,191609,276215,211445,783792,164957,696942,3754.79,-4527.07,1.6006e+06,21824.2,5821.52,3441.66,5556.94,8.1179
1.75505e+06,1.22143e+06,862130,181305,271196,200625,811053,149306,728593,10019,-2216.13,1.65108e+06,38123.3,9218.59,6158.61,5449.06,8.161
1.50006e+06,1.06691e+06,843590,191523,210922,160644,787786,162572,706847,9212.68,-4348.29,1.84214e+06,29676.1,7089.55,6835.09,7036.63,8.2083
1.37792e+06,944263,875550,208602,249626,189899,788712,174632,716713,13950.5,-4707.35,1.67382e+06,51480.8,11790.2,8456.55,5798.92,8.2746
1.19432e+06,900506,795766,163410,178938,143966,745750,145228,675120,7142.9,-4024.83,1.44287e+06,34225.9,8215.24,3289.09,4394.07,8.3029
1.69142e+06,1.23803e+06,819735,155752,283938,220317,773262,130861,714125,5858.16,-1911.44,1.67689e+06,48304.8,11917.2,5907.58,6400.24,8.3917
1.7592e+06,1.27845e+06,825626,170839,235273,179406,786841,142575,718945,10014.4,-6116.66,2.07318e+06,31730.1,6590.42,5851.76,6590.73,8.4214
