"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
2.20417e+06,1.45409e+06,909504,469933,707470,510935,830794,350749,803880,22899.5,3944.88,42632.7,89722.2,34833.6,14270,4019.02,0
2.56112e+06,1.50074e+06,1.02394e+06,361638,642805,411520,937216,257714,841952,51939.6,4555.72,21054.4,100877,20664.3,10305.3,5166.5,0.0124
1.8187e+06,1.25675e+06,868290,247711,306337,232686,789915,197313,753254,8510.93,2909.38,32678.9,45652.6,19269.5,9134.36,1273.61,0.0235
1.97782e+06,1.42159e+06,834764,212001,348405,261777,798555,175920,723060,12076.6,1777.12,45623.9,42989.4,11149.3,6705.87,829.318,0.0267
1.47661e+06,1.02548e+06,863957,340496,371822,265737,839527,264646,771966,14928.4,3580.54,157403,48567,15543.9,9768.8,1068.65,0.0268
2.50772e+06,1.56152e+06,963568,298305,524260,343884,914715,223970,799139,22125.9,2668.06,76663.2,66840.5,26657.3,13013.5,2983.74,0.042
1.3743e+06,903366,912788,317164,521120,369143,847022,258022,737527,17551.8,3104.97,56176.2,56007.4,17690.5,7833.07,1550.91,0.0434
1.92074e+06,1.39812e+06,824282,193219,374036,291812,769062,159382,727382,10753,1370.21,31926,34506.2,16624.3,6418.46,1614.45,0.0484
1.53389e+06,1.11263e+06,827169,244319,431996,336879,769408,209054,701212,8544.14,2706.7,7298.29,32257.9,11999.9,6135.67,881.504,0.0586
1.68256e+06,1.18687e+06,850585,306510,515069,359766,859007,238929,769710,14276.8,2839.43,553448,59160.7,20520.4,12930.1,3553.63,0.0774
2.08453e+06,1.48577e+06,841797,177691,256934,193016,798693,143175,744646,12196.3,2775,20286.5,51693.8,25299.2,11672.8,1640.39,0.1053
1.9056e+06,1.23341e+06,926989,248184,382486,263159,872064,196978,755976,15984.1,3126.78,22179.7,46745.5,19074.9,9284.21,1991.88,0.1106
1.75502e+06,1.16014e+06,907659,280351,492083,328981,897467,209907,801358,31553.2,3697.87,70932.6,79708.1,17832.2,10980.5,1663.42,0.1266
1.47029e+06,1.06723e+06,826602,229517,372286,289428,771770,193731,710832,9882.83,2045.75,34235.5,44762.4,13474.5,6134.98,1620.39,0.1374
1.76293e+06,1.25635e+06,841930,183665,311492,234509,796964,147735,745925,7465.47,5275.84,36614.9,77982.6,55516.1,22012.7,2697.04,0.2159
1.48029e+06,1.05327e+06,843256,272316,340108,253789,804072,215399,758544,11050.7,1689.64,232614,37276,13288.6,7717.54,3245.01,0.2566
1.69482e+06,1.19665e+06,849784,266233,323617,237696,816884,211470,755377,15066,2203.02,81295.9,54989.8,12832.9,6588.02,1230.66,0.2742
1.79754e+06,1.24823e+06,864045,226986,384284,263768,874142,174382,780997,8336.52,5676.83,319841,40295,14856,7084.68,2684.1,0.3092
1.74179e+06,1.15836e+06,902204,271175,418122,294049,853169,219442,741448,13630.2,2040.72,82270.1,58337.5,22265.5,7769.51,1306.67,0.3096
1.8933e+06,1.30063e+06,873410,231420,390183,279421,837840,183751,755652,14671.5,2259.44,34582.3,55669.7,11737.2,6725.91,4254.82,0.3151
1.94159e+06,1.36278e+06,854839,255665,479965,336752,855166,194349,789297,36326.2,2766.45,20904.2,65654.8,21395.8,8775.22,2724.12,0.3338
1.90895e+06,1.26527e+06,905238,252899,484839,336427,864686,197901,766745,14754.2,2201.64,76761.9,73287.8,17475.4,10912.6,1962.27,0.3477
1.73766e+06,1.2715e+06,819974,183294,348319,265447,787318,151418,726310,13561.7,1912.58,39913.6,39737.2,10497.2,6346.4,1766.69,0.3532
