FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.63E+06,1.01E+06,964609,390525,468473,297878,943620,270208,867166,3607.7,39252.2,71638.3,21995.7,35011.4,11705.9,2557.55,0.0306
1.37E+06,983256,837506,364171,583133,428746,816054,286065,763822,2697.17,118945,42935.3,15174.2,18374.9,9160.71,2566.91,0.0461
1.64E+06,1.10E+06,897056,317853,511711,362594,846750,252545,755160,2457.39,157456,51188.7,10495.4,8257.64,4809.74,2367.44,0.0543
1.57E+06,1.13E+06,830264,250844,345393,251912,822652,189081,795990,2143.06,132446,50556.6,10170.6,13419,7024.4,2218.3,0.0704
1.28E+06,834705,916907,322145,427508,217890,1.18E+06,172811,1.12E+06,5962.01,25976.1,5333.39,6574.13,-824.888,-409.519,3521.57,0.0712
1.55E+06,1.06E+06,881994,254088,442454,319098,831947,202498,752861,2083.54,17510.6,40492.1,10523,14648.1,5182.61,1284.07,0.0763
1.86E+06,1.07E+06,1.04E+06,540052,985145,633856,932525,393927,822566,4768.91,36516.6,109275,30778.9,21035.4,9908.58,4603.82,0.0776
1.65E+06,1.18E+06,837596,374210,563597,361171,936282,274908,816731,860.646,292366,38905.5,17751.9,12306.5,5132.64,2349.58,0.0807
1.26E+06,743184,1.02E+06,361755,498765,340896,877859,264447,820781,2502.84,65544.8,70407.9,29287.6,16916.6,6168.73,2764.07,0.083
2.17E+06,1.22E+06,1.07E+06,549038,839013,492504,1.02E+06,368798,893234,3709.17,69585,109340,27672.5,34778.7,13095.7,5983.25,0.0897
1.32E+06,861167,920362,248976,407759,280755,871419,192284,776900,1830.42,22188.6,40343,14395.9,12346.6,4751.27,1741.21,0.0962
1.42E+06,1.04E+06,822684,293027,460859,310900,889403,225677,779061,3066.12,68018.6,29267.5,9818.9,5807.56,1153.33,8748.38,0.1156
1.66E+06,1.14E+06,871958,219890,373595,266560,840924,171325,770081,1457.28,40508,41119.4,8963.37,12348.6,4302.09,1607.36,0.1292
1.79E+06,1.30E+06,826389,236046,360624,273357,791546,193915,730359,2451.26,69629.2,69305.9,39434,15875,9224.51,2250.61,0.1413
1.94E+06,1.22E+06,954939,450228,791313,518355,915951,311999,865826,3559.51,119936,79644.7,18453.9,24209.4,9508.02,3123.06,0.1579
467139,195735,1.43E+06,588852,1.11E+06,457413,1.45E+06,277315,1.27E+06,1766.08,6076.88,3941.36,6497.01,1354.57,59.627,1000.45,0.2027
745739,453630,986362,312147,445204,308503,865866,247230,757547,3505.78,228587,40526.2,34959.9,11920.7,6472.94,2296.07,0.2101
1.40E+06,1.08E+06,778847,236060,306181,240048,765299,197815,716003,1487.55,126050,29475,7681.3,9542.79,3050.39,1745.37,0.2129
1.13E+06,807200,839164,254123,318337,228454,836064,205836,740754,541.055,343021,38562.9,10303.5,12160,5105.47,2400.42,0.2207
1.71E+06,1.13E+06,907023,279346,525644,376290,838148,220863,758876,2326.93,85685.5,58350.3,26340.5,11895.9,8237.85,2590.95,0.2244
1.81E+06,1.25E+06,873670,378279,612204,390072,941678,272498,832914,4580.93,148967,82888.8,13354,15762.5,9372.76,3100.9,0.2582
2.24E+06,1.48E+06,906546,214224,378754,275904,823664,173093,742576,2352.87,11663.6,50179.9,12819.4,20168.1,10021,2128.49,0.2592
2.43E+06,1.57E+06,928280,349587,602220,389550,927563,246517,850863,4100.13,74759.4,73087.3,13794.1,29541.8,8042.71,5177.03,0.2729
1.67E+06,1.07E+06,940298,402876,529766,335906,946276,281317,859263,2633.62,81951.6,69836.4,17968.9,27278.8,8236.74,3994,0.2739
1.59E+06,1.05E+06,908671,296756,353916,236277,898731,219301,811915,2058.25,36547.4,44831.8,15999.8,14904.4,5617.28,2191.39,0.3035
2.27E+06,1.31E+06,1.04E+06,534975,896891,531604,1.01E+06,361258,888520,5205.54,36590.7,118712,22588.1,42595.1,12721.7,5565.69,0.3063
1.78E+06,1.32E+06,805036,188060,295760,218706,811391,146603,769671,2728.44,69305.9,51022.7,8770.93,15196,5287.28,2390.17,0.3111
1.06E+06,747981,853073,366440,537151,376172,856764,280646,783421,2053.54,66527.9,51975.9,18230.6,13337.4,6437.77,1955.61,0.3119
