"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.54569e+06,1.10723e+06,837596,250739,484507,340235,854421,195790,768391,15950.2,2545.11,82351.5,41717.4,9044.43,6521.87,2190.03,1.6499
1.42064e+06,1.15253e+06,739577,79155.4,127816,108848,704557,74403,638324,2323.5,732.036,18301.4,8869.88,1374.6,1536.86,437.891,1.7083
1.01023e+06,734844,824853,230831,307314,227471,810602,184631,750139,11635.9,1283.32,129036,56963.9,23027.5,6888.67,1742.59,4.3323
1.47457e+06,1.22528e+06,722075,85443.8,137230,118786,693163,77702,659781,2428.88,4398.91,112695,11304.2,2655.02,1295.59,1108.68,4.9674
792588,466270,1.01991e+06,402812,926836,836781,664572,347774,694954,162.502,3271.41,9071.91,3540.56,2075.8,259.551,1301.07,5.0811
827757,578255,858884,165448,160346,117289,820263,133233,745076,9762.47,1058.6,14407.2,37292.9,7980.54,5696.25,562.547,7.0158
1.71661e+06,1.22279e+06,842312,271961,455439,321945,848789,207081,787986,25369.1,1696.77,117278,66272.6,20209,11311.8,1442.28,7.4007
1.72515e+06,1.25593e+06,824160,193336,327611,250818,783702,159358,727929,21696.6,1820.39,20839.2,46707.6,17710.4,7384.07,232.914,7.4193
1.50457e+06,1.0624e+06,849721,300099,481884,353713,817416,240507,748667,25215.5,2681.85,19434.3,91546,23462.9,11203.9,990.881,7.4218
1.51231e+06,1.1264e+06,805560,238135,337124,269152,751524,204542,698541,14582.2,1205.75,26433.5,66127.7,38079.2,7135.1,756.203,7.4252
2.08946e+06,1.29875e+06,965294,447687,599311,387574,927789,319375,841056,35553.2,4423.88,13876.5,112094,32873.2,18003.8,2511.68,7.4263
1.36154e+06,1.06712e+06,765541,176840,218624,172045,762444,150816,703534,14288.8,2267.67,15302.2,54113.8,20024,7815.14,220.288,7.4292
1.93706e+06,1.26262e+06,920495,342068,530146,359850,883945,257234,797876,32224.8,2441.52,19730.9,94850,33168.8,17497.4,1002.04,7.4369
1.55097e+06,1.08413e+06,858365,231701,398436,295797,808194,191810,724782,26213,1703.44,7484.33,62625.2,24712.6,14043.7,631.6,7.4442
1.65622e+06,1.17348e+06,846822,215607,426577,306168,835966,171518,754230,24639.2,2863.48,37059.2,89956.8,25608.6,11387.3,696.785,7.4456
1.73637e+06,1.2012e+06,867318,266033,454512,324705,839862,210545,758128,27814.6,3073.73,28032.4,78406.4,30477.7,11952.1,519.504,7.4667
1.65183e+06,1.15373e+06,859042,256337,360214,262169,824385,201126,764704,18032.3,2771.48,19319.9,45195.2,18952.1,8096.29,1794.26,7.4744
1.48159e+06,1.0465e+06,849453,286080,544600,401119,814622,217866,787862,14823.8,2296.03,111794,61166.2,19312.3,9976.89,1852.33,7.4817
1.63376e+06,1.20229e+06,815326,250808,386806,292191,794287,202425,743410,19875.2,2812.3,29873.1,76070.8,19160.1,9705.45,991.721,7.4883
1.49848e+06,1.10064e+06,816875,209631,232176,172523,807459,169294,742958,21707,2707.73,19593.5,48317.4,18401.7,7053.27,291.948,7.4912
2.29145e+06,1.57818e+06,871171,340588,575513,397986,867639,242963,841086,32683.4,3865.54,39090,120438,30519,13968.5,1956.9,7.5012
926292,610850,909840,420380,492881,331591,891848,307748,819592,18167.9,3787.55,32433.5,93208.2,34094.5,12853,1246.03,7.5037
1.17885e+06,837353,844696,327453,359099,263420,817930,255100,770176,12185.2,2735.2,52997.1,55354.3,21168.9,15043.3,515.828,7.505
1.47757e+06,976075,908274,370437,558912,360626,929902,272637,815231,25505.1,3531.99,77155.6,90222,20977.3,12882.4,2496.4,7.506
1.65345e+06,1.14209e+06,868643,245119,468189,335124,838238,194270,757046,27898.7,3873.2,16053,65047.6,18970.8,9979.62,2073.07,7.5087
1.84313e+06,1.26947e+06,871133,342935,395129,262221,904112,262008,785324,16683.4,2389.79,137157,53262.1,22798.1,8367.78,1549.87,7.5193
1.68913e+06,1.14108e+06,888173,391338,627382,435545,864272,302697,775703,25570.1,5259.12,143393,100044,28328.1,14431.3,1595.86,7.5262
1.22481e+06,848436,866168,351165,444749,307555,867648,255502,824647,14329.9,2419.02,31250.4,54642.1,25711.8,10713.5,1185.6,7.5293
