"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.1141e+06,856466,780489,119248,220216,190484,693654,110861,645391,1650.6,-1754.71,1.04273e+06,15729.2,2606.34,1714.08,3690.48,0.2113
1.26755e+06,993690,765357,119384,117175,95461,736477,106786,670782,883.845,-4364.03,1.55964e+06,14330.5,3649.64,2179.65,5424.33,0.2464
1.2972e+06,1.05529e+06,737545,113631,136082,117991,691994,106736,638759,1784.18,-4185.57,1.76728e+06,25943.9,3007.49,2288.23,6011.29,0.6617
1.34669e+06,1.11542e+06,724407,154816,210155,187007,674270,144380,643370,2295.23,-5312.1,1.95328e+06,16283.3,2047.9,1858.67,6574.71,0.9043
1.41947e+06,1.12839e+06,754775,133593,221242,185717,714772,121905,657529,1800.91,-4547.85,1.93701e+06,16529.8,2212.64,2449.51,6356.54,0.9615
1.47928e+06,1.19462e+06,742974,114759,192485,164782,700870,105704,651396,2163.06,-3597.24,1.43458e+06,22341,1813.88,1645.15,4995.88,1.1514
1.48198e+06,1.11688e+06,796140,119227,166694,133188,750940,107796,663625,2171.07,-3471.75,1.4255e+06,16812,3407.09,2291.57,4660.56,1.4273
1.5451e+06,1.169e+06,793038,124250,181881,147766,738521,114151,653084,1484.43,-4305.47,1.8814e+06,11423.8,474.276,2867.47,6126.87,1.4702
1.50136e+06,1.20505e+06,747536,147798,211131,181890,696456,135602,653963,1930.71,-4791.29,1.66603e+06,19710.1,2680.83,2438.83,5645.34,1.9502
1.31928e+06,1.02429e+06,772795,135235,188276,152100,742705,120939,670927,2381.65,-4693.4,1.8643e+06,11019.8,2712.4,2047.54,5467.74,2.2028
1.24448e+06,953313,783253,153137,162531,123565,789210,126095,728677,3390.08,-4281.93,1.6069e+06,14298.5,5107.33,2307.48,5416.93,2.4803
1.41229e+06,1.0828e+06,782580,166479,261146,221640,706947,151190,660673,2551.94,-4327.71,1.79745e+06,15104.8,2354.49,2574.86,6456.64,2.8514
1.48529e+06,1.1345e+06,785525,147031,191095,162197,706901,142246,620183,673.747,-2740.52,1.38771e+06,9189.08,799.286,1201.11,4786.58,2.9057
1.32924e+06,1.03405e+06,771283,131979,202185,162316,747377,115994,682686,1862.56,-3967.8,1.39056e+06,15130.8,3597.6,2484.85,4337.85,2.9973
1.50719e+06,1.17993e+06,766415,128419,186250,155927,716681,116485,661469,2751.71,-5931.45,1.85253e+06,20828.1,518.517,2573.65,6443.82,3.5353
1.43054e+06,1.19542e+06,718015,186306,323845,271025,716934,152888,731145,1547.95,-5155.77,1.86547e+06,15859.1,1561.34,2262.97,5883.55,3.6025
1.16824e+06,835609,838841,189701,223688,156713,856426,145639,781526,3255.27,-2612.67,1.3115e+06,28563.8,5978.31,2190.99,4710.9,3.848
1.37959e+06,1.12155e+06,738041,95005.9,144626,126183,687698,87824,649066,1351.35,-2262.82,1.1174e+06,12351.1,2760.92,2252.31,3730.78,4.0141
1.33661e+06,1.05889e+06,757364,111233,184754,160545,690477,102307,652349,1614.56,-2055.79,1.17787e+06,15241.9,1074.75,2545.82,4176.43,4.0877
1.39221e+06,1.0915e+06,765302,108247,114607,92014,747325,98411,659969,1512.81,-4905.94,1.57392e+06,9106.26,2107.22,2027.3,4658.09,4.1005
1.21972e+06,1.01295e+06,722478,108585,105762,90537,700901,100957,645332,1149.46,-5262.97,1.70604e+06,8847.36,1518.56,2139.88,4773.16,4.366
1.13243e+06,849554,799780,145191,221555,178360,745306,129624,672056,2034.42,-2822.51,1.5356e+06,14375.3,2827.01,2383.52,5580.12,4.557
1.3128e+06,1.11629e+06,705621,92762.9,111931,100781,666384,87041,639443,1110.52,-2382.57,991232,14074.9,597.461,1722.35,3033.01,5.3981
1.42825e+06,1.08154e+06,792342,129832,153002,120022,764872,114115,682635,1641.17,-5415.76,1.78797e+06,15417.3,231.887,3182.91,5647.99,5.4693
