"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.31367e+06,985937,799442,147951,199535,160209,747278,130766,678851,1753.12,-3947.91,1.53642e+06,19055.5,2751.85,2819.4,4880.75,1.6779
1.45836e+06,1.16438e+06,751484,124788,197333,171563,690125,113877,657489,2887.22,-4857.47,1.59316e+06,17662.3,3827.38,3453.53,5583.63,2.156
1.34017e+06,1.01427e+06,792786,173427,273306,219761,746190,157370,661221,1622.34,-2546.39,1.15645e+06,14067.3,3363.5,3295.23,3591.02,2.1788
1.48191e+06,1.21571e+06,731378,99478,141518,122674,692166,90490,659595,1959.76,-3334.51,1.50359e+06,13819.7,1886.55,2152.16,5215.28,2.2604
2.02743e+06,1.4853e+06,819001,198438,363910,296320,736859,164904,722012,3977.4,-4183.54,1.49324e+06,24551.3,3215.86,3657.66,4822.32,2.6533
1.19018e+06,958167,745286,128287,138167,114859,721756,117669,654142,2337.99,-4469.53,1.45567e+06,11771.5,264.373,3616.13,8571.95,2.9148
1.34373e+06,1.0378e+06,776874,163496,250983,202116,745065,145754,673035,2792.18,-3786.79,1.31288e+06,16444,1324.53,3131.92,4636.41,3.551
1.17009e+06,877215,800322,289016,855871,799409,642378,269341,643829,2836.68,-3034.15,1.39105e+06,23733,2055.1,3828.73,5132.13,3.6634
1.4576e+06,1.13945e+06,767531,130862,203365,170218,716840,118121,664719,1774.43,-4930.79,1.57562e+06,18018.1,979.617,3702.26,5489.34,4.1667
1.11698e+06,831252,806241,163832,235826,184481,766992,145457,675797,2849.92,-3761.36,1.42343e+06,19568.8,2026.03,3209.74,4866.38,4.2328
1.36551e+06,1.12691e+06,727041,155848,176386,156790,674988,147047,635910,2950.51,-4089.83,1.45387e+06,14418.6,1607.27,2937.66,5002.65,4.3349
1.12793e+06,836785,808763,177503,331514,279812,710866,156567,680233,5387.84,-1502.49,1.09116e+06,21778.8,7593.89,2958.53,3799.57,4.4609
1.29474e+06,1.01864e+06,762628,120717,215255,186593,692164,108410,668112,2096.63,-2981.67,1.20181e+06,15538.7,1768.46,3065.25,4697.03,4.7206
1.28116e+06,1.01462e+06,757621,145203,207508,181351,686540,132084,659592,2074.01,-2748.06,1.40076e+06,17209.9,2208.15,3749.46,4728.81,4.9411
1.44965e+06,1.18793e+06,732191,172057,220183,190421,693778,158542,651148,2791.24,-4798.21,1.66531e+06,18749.7,3724.39,4250.53,5589.68,5.0134
1.36603e+06,1.02471e+06,799852,158380,222178,172905,770982,142533,666707,3609.52,-4583.89,1.45714e+06,17966,320.386,3954.29,4214.65,5.0217
1.38653e+06,1.07437e+06,774331,126495,132731,100589,791724,111474,680852,2118.11,-5185.51,1.60601e+06,15361.7,-213.389,2806.58,5174.55,5.25
1.30919e+06,1.03604e+06,758189,153888,206454,174729,708942,142641,647308,1930.54,-4228.94,1.40491e+06,14409.4,-2948.1,3003.27,4758.79,5.6328
1.35464e+06,1.03087e+06,788448,131150,198733,162209,735101,119664,657591,3536.12,-2602.25,1.35537e+06,17239.3,11119,3424.31,5532.81,7.5653
1.44869e+06,1.13714e+06,764390,111010,162005,133473,728262,101086,658907,2968.15,-3883.21,1.5217e+06,16573.2,9850.37,2542.26,5312.55,7.5995
1.43906e+06,1.07776e+06,801143,114661,170587,137273,745610,103443,665067,2700.36,-2194.43,1.34391e+06,14579.2,3434.1,3415.11,4507.23,7.7727
1.23805e+06,1.01905e+06,728942,198402,420171,351518,717183,157880,753996,2486.69,-1897.67,1.3434e+06,15578.4,2310.46,2209.43,5421.06,7.9854
1.41069e+06,1.05853e+06,799614,128829,181185,140317,774752,115265,670608,1970.21,-3062.97,1.59244e+06,12714.7,1962.61,2971.08,4707.22,8.1078
1.12646e+06,893217,756679,133942,237457,208400,683657,122984,653463,1947.55,-2083.15,1.10868e+06,13402.9,2728.42,3016.69,4276.91,8.1929
1.44734e+06,1.09414e+06,793688,142042,191955,150512,765210,126326,674646,2459.04,-3460.99,1.59777e+06,14592.6,1759.55,2047.11,5633.23,8.4252
1.4742e+06,1.20224e+06,735730,127521,173143,144276,720048,114593,667688,1319.7,-4542.92,1.87834e+06,15525.5,3817.09,2445.81,6890.03,8.566
1.21967e+06,987319,741200,107277,155659,128526,726663,95194,676159,1631.98,-3175.02,1.14601e+06,16757.1,1261.31,2876.46,4529.34,8.6252
1.17058e+06,921974,761790,195389,199794,163098,734995,177594,660119,1828.25,-4889.9,1.59358e+06,9941.78,3104.49,2422.3,6182.8,8.6452
1.2511e+06,1.01083e+06,742622,150885,172393,147805,699811,138786,652306,1868.42,-1842.14,977752,13824.7,1626.07,2628.21,3471.44,8.8182
1.22253e+06,964503,760511,397774,759142,675918,673877,367565,649311,3787.76,-2752.53,1.54935e+06,18145.2,5098.77,2713.18,6172.72,8.826
860179,591576,872428,174052,249863,178415,840276,136127,767160,2938.39,-2036.25,1.3224e+06,23486,9105.94,3144.44,5186.51,8.943
