"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.15493e+06,902700,767651,190106,227709,169831,804478,160970,708602,2509.56,-3566.08,1.50177e+06,16275.9,2595.5,3740.57,4785.02,2.2036
1.30669e+06,1.07743e+06,727671,135252,142861,120265,712733,122517,662365,2775.03,-4156.86,1.40842e+06,13872.9,437.862,3978.55,4230.09,2.3053
834616,657304,761854,156466,159720,132011,725939,142743,657682,1680.6,-2775.13,1.05524e+06,10288.8,5932.51,2326.02,3549.89,7.7034
1.40916e+06,1.06959e+06,790487,169619,224524,171965,783381,146646,693993,3086.7,-4440.63,1.30516e+06,19572.2,4263.02,3737.72,5083.83,8.3271
1.27245e+06,948612,804826,254996,343998,269134,766899,222176,688632,2663.36,-1937.83,1.3131e+06,25331.4,4820.49,5025.44,5030.17,8.5568
1.39405e+06,1.14215e+06,732329,112649,169250,149846,677697,105666,639650,2033.46,-2787.26,1.10475e+06,17189.8,3199.06,2670.59,3625.45,8.5831
1.43257e+06,1.14373e+06,751526,113549,161066,135690,712210,104467,652165,1716.28,-4267.94,1.25702e+06,15413.1,3734.23,3105.03,4695.96,9.0732
1.4212e+06,1.10486e+06,771790,141413,232139,194265,716975,128547,660052,3368.78,-3587.84,997477,16406.1,2465.62,2470.63,4027.33,9.4441
1.09426e+06,827923,793019,184046,296878,215886,825096,148150,745377,2532.64,-1753.4,1.02271e+06,16995.9,4232.54,3724,4449.97,9.7509
1.45315e+06,1.172e+06,743934,190106,399449,368957,649587,173615,656990,1450.82,-3229.09,1.51541e+06,20204.6,-302.701,3973.62,4778.42,10.5606
927816,737319,755019,159215,208350,174127,717924,143407,666138,1771.55,-3243.17,975231,12721.1,1790.31,2502.17,3351.01,10.7873
1.00023e+06,759347,790334,191479,234981,184551,763956,171626,669406,1814.17,-3717.76,1.21693e+06,12953.8,3859.23,2631.53,4209.8,11.7273
1.23327e+06,977121,757288,195494,329181,278803,708416,175948,666655,2613.79,-3362.63,1.49402e+06,19934,-653.042,3851.97,5212.81,12.3233
1.30387e+06,1.06118e+06,737214,164126,230171,202800,680981,150679,653547,2390.91,-4425.38,1.31226e+06,22010,1385.8,4034.89,4146.44,12.3505
1.09792e+06,869329,757770,159927,215793,187247,691471,144404,664498,2139.74,-2634,1.34363e+06,15469.7,615.725,3222.84,4944.61,12.4429
1.21934e+06,1.00059e+06,731174,120591,123020,104759,704589,109003,663783,1360.92,-3384.54,1.29742e+06,11112.3,606.779,2501.01,4347.95,12.5077
1.26445e+06,952799,796256,129170,231392,187788,739320,116102,667532,2020.43,-2026.96,960644,14155.3,3586.65,3108,3470.04,12.8537
1.67192e+06,1.195e+06,839459,115843,188691,139495,811601,95823,725359,2416.31,-3275.72,1.35401e+06,17638.6,-262.312,2773.78,5079.46,13.2641
1.00945e+06,769331,787271,107386,165207,138642,714964,93887,686267,2247.25,-1460.53,1.24949e+06,15434.5,3511.34,3559.56,4586.79,13.3727
1.36389e+06,1.13396e+06,721659,145045,179948,153097,705231,130650,666106,2501.56,-4130.7,1.45578e+06,15749.1,429.748,3018.51,5323.82,13.4023
1.27513e+06,1.04587e+06,731527,281334,512511,417024,737383,227721,741261,1856.02,-2192.07,926113,15864.5,4048.75,3352.54,3361.75,13.4565
1.4908e+06,1.0671e+06,838235,163793,204777,170632,720065,138445,709853,1442.59,-4161.51,1.36148e+06,18411.3,3885.41,3565.22,4509.1,13.5533
1.36362e+06,1.13731e+06,719395,160669,228027,181444,754042,137222,702521,2529.36,-3330.14,1.30528e+06,14882.2,1102.31,3307.38,4534.86,13.7546
1.43444e+06,1.16623e+06,737991,239365,639194,552164,694569,219330,654809,2355.38,-3253.64,1.46171e+06,19900.2,3626.76,2959.7,6556.95,13.777
1.22505e+06,988628,743484,152066,215651,181255,713861,135285,674424,2561.46,-4687.59,1.43994e+06,18168.8,3377.13,3451.14,5561.09,13.9925
1.26082e+06,952370,794327,312470,384579,318780,723846,271257,691159,2207.11,-1182.79,1.69626e+06,28717.7,9247.15,4018.87,6497.85,14.0466
1.19531e+06,878025,816819,158439,233257,177846,786942,139617,680885,1550.25,-1167,1.26559e+06,15493.2,1900.2,3499.71,3715.36,14.3795
1.1247e+06,929435,726056,169530,217830,183484,712314,152781,665778,1854.1,-3742.8,1.22586e+06,14131.6,508.805,3662.01,4553.73,14.6817
1.02665e+06,824636,746984,256689,363952,333030,655711,242721,634528,1719.72,-3486.66,1.37303e+06,14676.5,2127.18,3087.79,4860.43,15.1497
1.21088e+06,959405,757270,114101,156329,134498,697389,103174,663547,1753.27,-1622.43,1.45588e+06,17898.5,1587.58,4292.85,5368.79,15.1822
1.01055e+06,796099,761628,169158,243331,211075,691690,154605,656477,3271.01,-4118.35,1.38295e+06,16055.6,2409.65,3277.44,4728.1,15.3948
963117,718053,804774,157435,337198,291418,694256,139217,678518,2677.55,-3246.97,1.25687e+06,24242.9,3307.44,3784.64,4644.63,15.5914
1.53138e+06,1.19752e+06,767281,166029,252790,200511,756437,142033,701369,6343.39,-3047.39,1.24793e+06,40744.7,7856.57,5281.81,5123.49,17.4587
1.2562e+06,983816,766116,150662,213302,171565,745962,134407,672564,2395.25,-3954.14,1.20979e+06,14944.7,3680.25,3354.53,4639.78,18.6869
1.4697e+06,1.11705e+06,789414,291640,423379,336219,755542,246791,709037,2243.69,-2709.83,1.37956e+06,14304.8,3562.58,2327.69,5202.55,19.0986
1.22402e+06,954175,769681,143005,198165,158711,749154,127253,674270,2439.41,-3286.13,1.43092e+06,20123.8,2374.9,3308.5,5778.49,20.0844
1.23182e+06,962091,768213,149476,172310,141873,728720,138184,649028,2732.39,-3852.31,1.39353e+06,15729.2,2522.96,3172.37,7022.99,20.5562
939056,705736,798363,147201,217561,174997,745936,131282,672756,1817.55,-3783.78,1.24778e+06,15990.6,2674.76,3436.59,4680.1,20.9957
