"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.09484e+06,816389,804648,197692,261264,201849,776612,172478,687710,3221.01,-2662.24,1.31825e+06,20833.7,2839.69,3401.69,5369.98,3.0773
1.84961e+06,1.36458e+06,813266,506776,543666,458017,712200,460782,659890,3342.81,-2061.92,1.38928e+06,20624.7,4085.03,2773.54,4909.43,8.0092
924471,676122,820388,187964,229596,174903,787623,161601,697883,3096.28,-2453.49,1.1844e+06,22736.8,3105.56,4234.25,5802.96,9.4692
1.29428e+06,999417,777023,158585,243841,190103,769608,137029,694387,2547.03,-3289.1,1.37963e+06,22644.2,2606.02,3943.01,5451.79,9.9762
1.35972e+06,1.08346e+06,752985,151874,176870,131467,807215,127622,714019,2355.36,-4014.87,1.1877e+06,15920.2,1778.23,2639.8,4332.92,11.0055
1.19392e+06,946898,756523,156513,257229,218310,706965,140187,669875,1689.62,-3336.24,1.24148e+06,22508.6,3870.16,4480.81,4783.69,12.9105
1.29799e+06,1.01726e+06,765581,230279,396739,319486,745083,205079,673727,2632.97,-3015.81,1.24807e+06,25434.4,1528.75,4312.67,5053.38,17.1066
1.47762e+06,1.15154e+06,769902,192156,344883,265043,780741,162187,710868,3495.58,-1836.85,1.25715e+06,26717.8,5249.45,4283.98,4448.12,17.762
1.46507e+06,1.22955e+06,714929,171910,322374,279599,691792,153794,670678,3619.02,-3285.57,1.37325e+06,20578.1,2234.53,2844.28,5034,17.7765
952082,669349,853440,302929,428471,319615,804350,247049,735714,2889.42,-4061.56,1.37142e+06,20686.9,1262.97,3537.16,4976.69,19.3219
