FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.58E+06,1.17E+06,808612,345055,543751,393039,830072,269375,768568,3042.27,16356.8,111539,15931,17666.8,9660.06,1839.26,0
1.61E+06,1.04E+06,933236,299950,521726,343403,911569,213704,842146,2282.51,31053,55613.2,16770.6,14276.5,11953,2012.87,0.0432
1.84E+06,1.30E+06,845469,194554,340122,261065,781694,166932,699282,1293.86,16866.5,202923,19635.2,6468.1,6138.49,1483.51,0.054
1.79E+06,1.35E+06,793572,244148,406773,307873,792742,195222,750370,4067.85,17787.7,91432.8,14892.4,12036.8,8625.53,1741.11,0.0551
1.84E+06,1.19E+06,927060,330693,545289,381782,856964,252512,785769,2773.08,6737.74,110699,20549.2,27244.9,13977.2,2319.41,0.0784
1.67E+06,1.25E+06,806970,193000,333395,253755,788308,160971,719386,1077.64,65677.8,136912,12303.5,10649.5,5812.2,850.085,0.1043
1.59E+06,1.09E+06,872971,382340,638965,447285,857124,306572,748287,2696.96,42104,73521.2,8995.72,13961.6,9924.4,1646.99,0.1118
1.34E+06,946589,850468,253806,363609,257195,848250,203514,748272,2112.71,16039.7,102644,18855,12565.2,7240.84,264.111,0.1134
1.58E+06,1.10E+06,857946,356470,660449,484909,817203,276572,773332,5423.71,13782.7,69590.5,16186.7,17929.6,14102.2,2440.27,0.1417
2.12E+06,1.38E+06,919413,219181,395430,277031,856430,169417,776243,1536.05,29379.4,181620,308450,10563.4,55929.1,1382.29,0.1954
1.79E+06,1.23E+06,875386,365884,645465,465231,832444,290528,755625,2081.99,18308.4,160416,31027.6,20758.3,7988.38,1724.8,0.2046
1.55E+06,1.12E+06,835457,325443,448238,339859,791336,254368,767650,3038.08,8160.24,106910,26130.4,10208.2,6665.05,1352.76,0.234
1.92E+06,1.39E+06,829160,163852,319338,245979,778939,133224,737941,2565.21,5360.88,85969.4,21938,12576.2,9744.43,910.754,0.2439
1.95E+06,1.40E+06,832495,220628,335257,242426,829755,171709,770938,2840.5,55164.6,217784,26017.7,6799.25,13554.7,1930.93,0.3195
1.47E+06,1.01E+06,872405,469829,664042,460477,865244,344794,817582,2232.84,8966.98,69541.5,20988.2,15722.3,10866.1,1485.05,0.4104
1.26E+06,922371,816443,445167,638434,458356,835727,344857,774524,2715.79,327852,108806,25008.2,16263.7,12955.5,3173.66,0.4121
1.98E+06,1.36E+06,872981,264182,303878,228265,798750,212510,745892,1793.66,13675.6,119401,14349.5,7657.13,6702.89,1079.66,0.4257
1.34E+06,907550,888306,237121,362570,262933,827367,195495,727757,1096.83,48114.4,185981,19618.8,8586.46,8465.03,1394.21,0.4518
1.69E+06,1.20E+06,847242,268122,500661,371250,809148,215203,747542,1643.21,3056.99,106257,18350.3,14998.7,7485.23,1502.81,0.4783
1.59E+06,1.06E+06,893419,283799,418759,305265,823072,220859,770988,2704.6,73618,90717.4,24925.1,6277.16,7429.97,1708.1,0.4923
1.45E+06,1.17E+06,742886,127049,165439,138012,719240,112835,675583,2592.26,55385.5,59587.4,8558.6,6007,5136.58,866.075,0.5053
1.96E+06,1.43E+06,823212,233717,422416,324649,780688,194905,719480,1863.28,27642.5,149796,59746.3,10538.7,22894.8,1169.39,0.5162
1.67E+06,1.14E+06,880647,337306,552645,388271,854009,263171,769018,1681.26,124096,85808.8,15787.4,15680.7,13176.3,1584.57,0.565
1.60E+06,1.07E+06,897839,369318,644912,438397,882640,291895,759145,2659.32,260730,86190.4,16995.1,19043.2,12216.3,2547.24,0.5765
1.95E+06,1.32E+06,886860,293084,544512,390801,835993,236110,744783,2890.1,29519.6,124541,14803,6439.71,6919.34,2966.42,0.6134
961828,579285,996222,322492,523095,344553,910910,234778,824162,1259.31,21868.6,132397,11012,15344.3,8572.21,1199.8,0.6187
1.57E+06,1.15E+06,818744,267344,370996,270433,823116,215342,744890,2137.41,27138.2,91495.5,16810,15923.2,9361.83,947.915,0.6349
1.44E+06,1.02E+06,849307,354404,408933,295873,829274,278444,763681,1603.53,66918,71807.1,15670.8,11324.4,7924.6,837.688,0.6446
1.30E+06,863745,906233,463954,613076,403184,912351,342739,812200,3894.93,65303.9,114082,47239.7,13726,16548,2264.31,0.677
2.47E+06,1.50E+06,988210,415941,646678,432253,897638,307780,810853,3258.47,11631.7,310199,124886,14314.3,12366.1,2871.54,0.733
2.26E+06,1.41E+06,961053,375615,655295,470269,836068,304974,738977,3263.05,21605,108711,14179.5,7261.4,8491.81,3062.04,0.7351
1.64E+06,1.02E+06,960783,319163,390815,265676,882613,236198,810750,4537.5,14139,199708,36398.7,31513.7,15462.2,2349.05,0.7361
620699,415785,895702,280528,335895,240200,839038,214407,785035,1808.2,105497,81073,27767.7,9265.99,6120.93,923.275,0.7996
1.60E+06,1.17E+06,822451,261273,440713,332179,796040,211955,739610,2412.34,14054.2,105057,12453,14315.3,6317.61,1964.45,0.8125
1.93E+06,1.30E+06,889138,271918,333594,225276,888493,217510,750086,4503.6,14454.6,238921,27542.8,8489.13,8941.96,1821.28,0.829
2.02E+06,1.38E+06,880327,219588,397572,298493,799159,187478,702764,782.787,36605.7,55485.5,151010,5492.32,60109.3,2009.84,1.0042
1.61E+06,1.11E+06,868610,303121,528982,386337,821535,246423,738051,1133.23,15227.9,93038.4,14221.8,10264,8793.69,1278.71,1.006
1.20E+06,855722,838304,309052,431424,318572,812545,236017,785670,1491.91,6967.56,69791.5,13187,14535.6,7769.47,697.444,1.0722
2.23E+06,1.40E+06,954818,318726,539332,353219,916143,220873,865817,2584.97,64815.4,425750,44947,26363.2,12462.4,2643.08,1.0966
1.73E+06,1.23E+06,843130,326847,598945,414369,867263,253765,772796,1354.18,19151.9,82341.4,16957.2,16852.2,9995.39,1670.14,1.108
2.32E+06,1.61E+06,863274,224147,435565,328347,795923,181286,741856,1333.49,33968.5,165723,39352.1,8468.31,18118,827.138,1.192
2.18E+06,1.40E+06,934732,201985,366208,259261,847503,158666,763813,1830.47,61080.3,164607,13880.6,8166.48,9016.07,1308.62,1.2045
1.45E+06,1.08E+06,800981,232978,302947,235098,773158,197404,708126,1857.11,4588.23,76735.7,12691,15752,10381.8,172.944,1.2279
2.05E+06,1.46E+06,843731,317499,408481,298195,821908,245480,776029,2083.2,9612.12,75574.5,14487.2,11453.3,9363.95,964.286,1.231
1.35E+06,1.07E+06,756933,176180,203714,158397,771659,147786,715278,1131.16,120948,47499.8,4632.5,5435.53,3143.41,761.24,1.2312
