FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.12E+06,733252,913569,233052,390590,267553,875916,182411,766573,1654.57,59608.8,40403.2,6462.42,10233.5,5635.42,765.245,0
1.34E+06,1.04E+06,778805,167595,313602,237659,791728,135741,740800,1784.17,12683.2,99249.9,14102.7,8190.11,4782.42,156.019,0.01
1.41E+06,937734,902608,363851,659917,434297,911704,264959,823941,3213.68,35496,66708.5,11559.7,13755,10892.7,1033.97,0.0728
1.11E+06,766724,872333,277237,356974,268811,796784,226752,733586,3378.34,18431.1,209402,12132.2,3344.6,4941.52,788.81,0.0997
1.40E+06,956170,880737,305378,572069,428666,800720,239656,764540,1210.2,5399.21,95011.7,13452.9,8966.67,5501.73,1008.85,0.1371
2.06E+06,1.48E+06,838517,320683,539028,413652,781857,259660,741007,2357.05,9138.13,45281.6,5848.84,5508.29,5264.21,837.333,0.1909
1.39E+06,757608,1.10E+06,367592,683064,417894,980724,246000,896566,4593.65,60625,124692,28143.6,9291.38,9496.56,1997.12,0.2179
2.02E+06,1.22E+06,992706,399134,660932,433399,914997,294911,812044,4749.59,29514.6,93438.5,28959.3,15641.5,16125.4,1108.12,0.3389
1.67E+06,1.15E+06,873122,232889,398099,282601,845219,187181,746514,2432.94,5955.43,248054,14845,16447.1,8959.16,962.993,0.4229
1.52E+06,1.21E+06,750990,136190,223312,192486,696088,121522,672424,1158.83,12113.2,58607.9,18562.7,3973.94,9049.91,375.074,0.4608
1.26E+06,965109,781706,169538,219051,174637,752594,146670,693549,543.636,89384.9,42674.2,3313.7,1923.53,4128.02,305.849,0.5181
1.15E+06,870846,794223,206465,247959,193449,769067,173598,713598,3062.78,37217.1,169080,31716.4,4331.57,19235.8,220.813,0.5345
1.69E+06,1.23E+06,829519,152236,282009,217310,778636,131993,692019,1726.03,26615.6,191274,9015.76,4782.71,4853.53,1124.04,0.5377
1.66E+06,1.16E+06,859406,140375,230691,189356,730974,122100,689802,4146.35,24125.9,5921.07,5537.64,-960.65,417.415,3190.46,0.5429
