FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.45E+06,1.07E+06,814740,315133,372407,274072,815275,253240,746642,1674.36,31849.2,77490,10333.6,11325.1,7663.49,267.579,0
1.17E+06,852715,825592,273398,377459,260993,867745,203216,807213,2299.84,6238.3,175586,18831.6,12254.7,7566.37,943.25,0.0041
1.60E+06,1.12E+06,854667,370979,495463,358027,830322,282812,787051,2767.04,13991.9,111232,16075.5,11694.4,8284.35,754.202,0.0043
1.80E+06,1.25E+06,861668,191369,239611,167760,856979,141022,814209,1545.03,3792.17,58073.3,3786.26,5121.04,3345.63,40.3096,0.0335
2.22E+06,1.44E+06,922761,472414,586753,396063,888878,341982,828840,4314.41,11535,327069,362864,21295.5,71830.2,1283.34,0.0556
686536,385240,1.07E+06,650982,968696,559479,1.04E+06,390454,1.00E+06,4711.94,33616,62796.6,23633.7,15667,17152.9,3170.84,0.0639
1.48E+06,1.09E+06,814372,314373,461243,359281,770277,260773,723325,1693.19,12528.3,114060,19605.3,8300.53,8053.86,1538.74,0.0679
1.80E+06,1.33E+06,812271,140762,228490,177958,770373,123483,683958,1341.29,14258,78182.3,17256.2,5007.56,9770.42,275.216,0.091
1.60E+06,1.20E+06,797588,150952,186690,147479,759527,136026,665837,1488.83,12587.7,61706.6,18140.2,3237.96,7167.18,551.784,0.1073
1.36E+06,852357,954858,383177,664331,480227,830022,309423,743015,3471.16,30548.2,88386.4,17942.1,15925.8,7906.94,1036.2,0.1646
2.10E+06,1.40E+06,902917,232545,351997,246251,857654,182126,766101,2296.31,6575.83,166185,28448.4,13953,8618.54,934.914,0.1925
1.99E+06,1.47E+06,814033,212341,352820,252021,839976,165237,771040,987.572,24841.1,89587.2,8315.83,8582.2,5693.47,376.304,0.1984
1.77E+06,1.09E+06,969925,513540,825813,525513,942865,368303,836605,7931.57,23351.8,93806.3,22653.6,13767,12199,1960.53,0.2131
1.38E+06,929107,892749,251548,467219,332258,843716,198028,762160,3306.06,3781.66,110872,36857.3,12327.6,11536.2,561.659,0.2139
1.77E+06,1.33E+06,794601,123047,166239,142743,698762,112569,655851,2535.32,105158,48799.3,10621.1,1669.46,3415.52,396.41,0.2365
1.81E+06,1.36E+06,802005,190229,343254,265021,777116,159906,713779,2028.78,6468.96,61152.4,10580.1,10766.6,5429.88,134.459,0.2409
1.65E+06,1.17E+06,848388,331016,401346,262649,916842,235579,843070,3479.46,30734.3,62279.7,12925.7,10690.7,9168.27,983.097,0.2474
1.94E+06,1.33E+06,872986,370284,548337,376631,873539,289794,766649,3245.82,28653.8,86624.7,18045.8,11639.7,11963.9,392.244,0.2752
1.47E+06,1.05E+06,841423,306432,490013,353448,831828,236824,776354,2482.06,13467.4,66759.9,14814.8,11973.1,11757,1278.72,0.2769
2.00E+06,1.50E+06,797607,417349,727900,514827,848323,306060,818171,5850.41,12646.9,71316.4,49797.2,28660.2,1938.8,2913.06,0.3098
582658,253316,1.38E+06,446354,810332,462445,1.05E+06,281860,950160,3418.79,9454.47,174523,26740.8,16905.5,11566.9,1620.26,0.3424
1.82E+06,1.20E+06,913952,220120,390020,293550,797180,176512,748232,1080.45,10245.5,84979.9,14249.6,7553.82,6180.7,834.783,0.3545
1.27E+06,847574,902495,290099,510943,377100,812956,245801,708132,1790.15,12537.7,83769.4,15121.3,10110.4,6598.88,738.77,0.3771
2.73E+06,1.73E+06,945369,392396,523623,353470,888827,284591,827284,3822.53,4947.44,128149,22729.8,10550.3,20560.8,1190.89,0.3818
1.05E+06,624871,1.00E+06,392611,514465,308457,1.00E+06,269222,874991,2617.63,66221.1,67179.7,15617.7,11080.8,6579.92,961.402,0.3969
1.80E+06,1.33E+06,812986,235380,369956,288579,769195,194509,726074,2375.25,27638.8,163082,8512.11,12984.7,6745.77,964.725,0.4216
