"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.43235e+06,1.03375e+06,831352,213293,306591,231857,793396,173338,738302,8571.25,-2306.25,1.81723e+06,47288.6,11789.3,5151.03,7162.62,0.473
1.54806e+06,1.02321e+06,907768,245093,259233,183037,849772,190813,770679,10758.6,-3923.72,1.72216e+06,65217,8012.99,5420.3,6514.14,0.7414
2.22043e+06,1.51502e+06,879368,176996,233559,159941,876171,138829,764952,4641.32,-7741.25,2.73879e+06,39750.9,4988.33,3217.88,10046.9,0.8724
1.54129e+06,965289,958026,238299,352182,246334,857816,185797,769546,10228.8,-1505.39,1.49441e+06,57816,14998.3,6404.69,6218.99,1.1822
1.88522e+06,1.33458e+06,847557,218538,259847,173194,900195,157973,830033,4078.66,-4816.22,1.71313e+06,21666.9,2990.26,3679.2,6070.61,1.1993
1.6451e+06,1.23235e+06,800956,186415,288449,227942,759270,163468,684227,3108.44,-5106.13,2.09532e+06,65336.5,5185.4,3652.11,7338.37,1.3057
1.43379e+06,1.05546e+06,815075,261097,470727,318327,887253,201202,778611,15871.6,-1794.4,1.90674e+06,48151.1,6940.59,7056.36,7529.81,1.5313
1.54525e+06,1.20509e+06,769358,170700,334336,252985,792939,144906,706802,4795.46,-2711.56,1.5089e+06,65737.2,3195.15,2907.78,5267.98,1.7242
1.48837e+06,1.07591e+06,830013,226841,283656,207252,821192,182424,746091,12259.2,-4037.11,1.97229e+06,37148.8,8893.29,4062.42,7691.67,1.7787
1.19175e+06,882452,810298,195702,192150,144614,797226,168033,698797,4050.59,-8215.96,2.69636e+06,36747.1,2582.25,3860.64,9318.1,2.2736
1.4997e+06,1.02439e+06,878391,264870,304715,216659,843856,215282,738205,6942.43,-1312.02,1.41873e+06,44074.9,6990.14,5190.03,5649.64,2.6369
1.48174e+06,1.12912e+06,787373,155070,240987,189151,764427,132666,701326,3659.12,-4357.94,1.74556e+06,26870,6438.87,2708.04,6530.8,3.2752
1.47131e+06,1.10851e+06,796369,181882,301114,246102,734120,158698,687655,2194.8,-6232.32,2.6076e+06,40316.2,582.416,3104.4,8780.26,3.3019
1.65515e+06,1.22187e+06,812763,179816,238266,182808,782019,147594,730991,6180.32,-3994.29,2.21971e+06,33478,9232.6,4593.56,8091.09,3.5301
1.65849e+06,1.07666e+06,924238,256102,481519,299554,964471,185872,826705,11529.5,-510.764,1.54835e+06,65655.3,17313.1,9125.58,7710.58,3.7504
1.0059e+06,758839,795350,213363,241291,193349,748772,187307,683466,6487.75,-3363.65,1.37724e+06,77373.3,8290.28,3395.54,8390.94,4.6327
1.42325e+06,980580,870860,232210,300419,213929,842575,177188,786318,9516.4,-2128.36,1.61845e+06,48787.7,13855.2,5987.81,6604.82,4.66
1.30101e+06,947023,824274,203018,294252,236569,746298,181222,672162,3444.13,-4201.38,1.76497e+06,36163.6,734.278,3548.69,5792.73,5.3386
1.56205e+06,1.11435e+06,841054,167659,274454,205607,800909,141515,710847,5371,-1514,1.58637e+06,29327.2,2857.63,3509.89,5754.97,5.5147
975535,674753,867460,132742,166055,121007,823367,105093,757854,8676.87,-4271.07,1.58996e+06,38955.9,7788.6,4216.2,5575.4,5.9358
1.85718e+06,1.3154e+06,847120,238338,334291,238525,840894,185409,771282,12843,-2448.18,1.86583e+06,38283.5,7228.09,5466.52,7824.42,6.0599
1.26644e+06,997315,761912,191149,236592,187844,755708,171438,668984,3720.3,-5951.19,1.9925e+06,34692.5,7918.39,3832.45,7620.71,7.7574
1.20285e+06,863640,835662,285807,399939,295573,811857,237840,721007,5201.59,-4284.27,1.56447e+06,23550.7,14534.7,4148.96,5874.41,7.7791
1.13289e+06,768512,884481,280280,292162,200778,873091,202721,829554,7895.73,-1658.66,1.50139e+06,38006.1,13981.5,5667.35,6034.25,7.8067
1.38815e+06,877284,949395,369314,723537,484485,896049,269578,821982,10769.7,-44.5825,1.46222e+06,44161.2,17544.7,7571.65,5912.12,7.9387
1.63269e+06,1.19703e+06,818373,184118,241295,182271,794294,158807,695628,2788.29,-2717.42,1.81515e+06,16879.7,4565.88,2421.63,6335.5,8.2226
837952,544507,923352,204609,257259,173938,887416,156745,783216,6688.82,-2538.27,1.45686e+06,26267.8,7676.01,3044.55,5751.95,8.2379
1.33061e+06,1.04874e+06,761264,341494,593422,565392,629746,330480,619996,3161.86,-4275,1.94235e+06,20638.5,4343.23,3242.99,7564.51,8.4315
1.22867e+06,940006,784252,203613,253478,203776,746344,174241,701142,9077.87,-3695.11,1.66283e+06,36030.5,4544.65,4843.69,5625.11,8.4631
1.34469e+06,1.0759e+06,749899,143658,176909,125879,843232,118229,729048,1700.57,-5453.64,2.01773e+06,18105.5,12630.3,3179.37,6816.68,8.5484
1.37512e+06,888461,928655,347783,412590,300535,823711,260360,801467,10741.5,-4393.75,2.16215e+06,53130.4,10647.6,8798.37,7902.27,8.5662
1.56253e+06,1.06731e+06,878392,219063,407187,299375,816075,168879,778295,11205.1,-1161.46,1.43687e+06,47721.8,11236.9,6218.73,5162.48,8.6827
1.09551e+06,784003,838395,181594,238798,173487,825877,151268,720288,2550.57,-1896.81,1.61024e+06,18352.5,9526.1,3159.79,5105.85,8.9371
1.30122e+06,1.00868e+06,774020,244677,316660,260977,728017,211737,693343,4135,-2397.38,1.48167e+06,45977.4,4903.35,3086.2,5067.91,9.0173
1.48236e+06,1.19111e+06,746711,211574,543945,503403,648322,195534,649218,3860.98,-3700.02,1.75546e+06,27968.5,2780.31,1824.07,6477.81,9.0592
880501,584111,904452,327851,409919,270933,907795,234013,840596,8096.63,-3298.19,1.77672e+06,38427.4,12416,5930.09,7125.44,9.1045
1.21802e+06,802890,910226,230296,358113,248128,865955,170418,810815,3291.28,-4540.53,2.3555e+06,55502.2,6459.39,5371.6,7073.21,9.1247
2.10668e+06,1.49433e+06,845870,271179,441904,312990,847127,206006,789818,6592.29,-3064.14,2.4895e+06,40668.4,12801.5,5231.54,9225.74,9.1812
1.28539e+06,888630,867889,344331,417753,287245,872606,257954,800914,10733.1,-1614.63,1.62694e+06,54071,15249.5,9046.95,6894.47,9.2085
2.19199e+06,1.51589e+06,867606,422850,565344,370131,916449,313914,808216,11788.3,-6679.32,3.42052e+06,59818.1,15870.5,6732.07,12679.4,9.2467
1.40783e+06,912257,925943,246537,324550,216912,897736,185401,797851,10546.1,-733.16,1.50262e+06,49049.5,5601.07,5765.18,5293.78,9.2499
1.42056e+06,1.12219e+06,759531,154889,217965,177814,735481,138597,670528,2207.26,-3436.92,2.0379e+06,21955.3,171.114,2448.44,6813.59,9.3164
1.32679e+06,911678,873195,193917,311573,234652,796684,153896,756033,8296.41,-3730.97,1.56138e+06,43868.4,9621.9,5754.76,6462.1,9.343
1.5275e+06,1.18164e+06,775612,114381,187343,155922,720910,103718,661685,3956.03,-817.804,1.79296e+06,73083,2296.68,1833.86,5077.73,9.5634
1.22185e+06,918813,797888,254683,257016,190004,811613,206849,738751,5614.79,-1899.1,1.55558e+06,32056.3,7347.66,3114.89,5283.25,9.6111
1.2686e+06,976295,779644,198735,265458,217892,730980,171804,694051,4018.06,-5885.85,2.30078e+06,49425.5,5907.13,3922.03,7286.96,9.6372
1.2665e+06,965575,786995,345397,347686,223026,935368,238434,869164,8780.65,-3928.88,2.03798e+06,36256.6,7241.19,4945.57,7404,9.7479
1.53915e+06,1.25197e+06,737626,130380,213798,174446,735348,111815,699621,2808.68,-1513.87,1.20918e+06,18857.4,7625.19,1683.64,3729.24,9.9048
1.29561e+06,957915,811521,201457,202063,148583,815960,163643,738645,6090.11,-3561.53,1.92181e+06,26354.2,6622.75,4739.46,6926.08,9.9243
1.35401e+06,905678,897016,295598,444279,280483,950386,211724,837689,14243.3,-1229.49,1.59752e+06,64182.2,10101.6,6627.94,7089.73,10.0348
1.20903e+06,874471,829554,245717,259073,192393,807948,199375,739462,6020.16,-3535.09,1.80138e+06,27663.6,8371.8,4231.72,6345.83,10.0467
1.37662e+06,1.03226e+06,800162,217800,291522,230812,757816,180185,725253,9189.36,-3401.72,1.61888e+06,32897.7,7803.96,4625.44,5752.51,10.114
1.12112e+06,863337,779155,272100,337676,219919,921273,196155,832302,3597.84,-3965.67,1.79357e+06,29224.7,2512.25,3061.6,6484.49,10.2457
1.45706e+06,1.01405e+06,862121,251930,337440,251917,803692,202133,747816,6743.98,-3864,2.12527e+06,81434.4,8674.52,5382.55,8064.45,10.2543
919326,664908,829582,206588,209232,156018,804644,168863,734042,4303.18,-2630.75,1.43909e+06,36305.3,12359.9,4535.54,4661.25,10.2746
1.74063e+06,1.19094e+06,876937,260281,351694,234504,899841,192539,811101,11274.2,-2131.02,1.76227e+06,52790.3,13623,7594.71,7232.79,10.3072
924759,644220,861282,196577,270792,204986,792616,153233,769719,5311.89,-3195.52,1.51407e+06,49970.2,3926.58,3095.76,6366.59,10.3094
1.57266e+06,1.11122e+06,849150,174131,238678,183223,781597,151666,688874,6206.1,-2776.21,1.83975e+06,25206,7913.06,3909.62,4920.65,10.3822
1.61227e+06,1.1173e+06,865802,274545,356394,249935,855568,205799,800427,14115.3,-2184.03,1.67282e+06,52948.9,12512,8234.62,6725.47,10.5876
1.64963e+06,1.14233e+06,866453,292616,423442,294418,862941,221782,791632,9167.1,-1104.6,1.68867e+06,48051.7,23725.2,8676.61,6556.5,10.7287
1.25926e+06,905532,834376,260375,281042,195795,861232,205445,760424,3583.87,-6267.2,2.33599e+06,73657.4,5121.84,3755.4,7676.92,10.7625
