"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
2.03266e+06,1.2422e+06,981802,556227,835319,426310,1.17565e+06,335998,993268,16243.3,4024.42,1.31526e+06,92208.3,19179.7,15388.4,8424.07,0
1.37834e+06,1.08473e+06,762406,260205,385782,310108,746414,234958,664472,1886.29,1906.85,747239,8488.89,5525.51,54.3725,17332.8,0.1518
1.68809e+06,973294,1.04064e+06,418585,474062,300208,947468,291882,860454,14615.7,2702.65,1.36128e+06,56235.9,22025.8,14286.9,7882.67,0.7345
1.12693e+06,819804,824779,194806,286035,219895,780468,170011,687505,5899.5,-1662.39,1.55058e+06,65749,6790.28,3625.97,4648.52,1.0905
1.23339e+06,1.00752e+06,734513,167312,158479,136193,698182,154191,651057,1836.48,-5139.64,1.88536e+06,39190.9,1327.81,2239.75,7005.92,1.3066
1.2815e+06,847800,906938,334544,547032,384544,853529,241760,830271,12536.3,1994.73,777976,73839.2,20299.2,9288.72,6996.09,1.872
1.55085e+06,1.26804e+06,733816,170062,351655,293792,718172,150308,678855,1668.99,-4622.99,1.74271e+06,15057.9,541.429,2226.35,5651.95,3.0291
849230,617185,825584,265509,382912,244101,941196,187778,848371,4282.6,-5651.83,2.20135e+06,46725.3,3623.74,3633.52,7924.22,3.6154
1.30485e+06,980693,798320,232189,346522,256585,810309,188689,738321,4630.83,-2302.46,1.30447e+06,58871.3,5511.09,4047.98,5522.3,4.8225
1.62693e+06,1.01178e+06,964792,265939,464111,328507,847673,206622,772247,18882.5,1743.56,1.44184e+06,57883.3,9375.55,11705.5,7954.29,4.9762
1.79844e+06,1.09224e+06,987937,557561,604614,344683,1.05247e+06,339902,984215,22995.8,1997.82,1.59673e+06,91620.5,32672.5,16044,11703.2,7.8071
1.42817e+06,1.05801e+06,809923,225805,396032,315812,752408,194123,697924,5640.21,-2560.3,1.8488e+06,26574,11153.3,3175.59,6842.17,7.8578
1.22316e+06,922597,795470,351489,658306,547556,721358,295567,713521,3043.28,-4703.07,1.91223e+06,37311,7769.35,3871.64,6600.86,7.9209
2.21124e+06,1.29542e+06,1.02418e+06,779804,921996,487925,1.13378e+06,451968,1.03521e+06,36829.2,3942.23,1.83876e+06,120956,34785.2,20733.5,13049.5,7.9445
1.28493e+06,974261,791328,217266,334962,277875,723265,192580,676912,3104.21,-5403.77,2.08347e+06,30897.6,6471.15,4577.79,7242.19,8.0115
1.35426e+06,942290,862322,258738,285437,206851,827951,202842,765339,6776.78,-4037.45,1.64278e+06,26169.2,10017.1,5856.63,5269.95,8.0303
1.50085e+06,876776,1.02707e+06,402868,548150,350629,937999,299171,807969,22610,300.509,1.72144e+06,64078.6,19425.5,8455.86,6714.67,8.0666
1.45405e+06,1.0742e+06,812164,155559,218960,167125,786093,136163,685466,3352.77,-2493.09,1.93787e+06,28778.4,3438.1,2857.61,5847.84,8.0886
1.42697e+06,1.11028e+06,771142,151415,205477,168771,730494,131591,690389,2215.83,-4907.02,2.00759e+06,26450.8,3912.36,2808.35,6809.34,8.1102
1.41312e+06,938398,903530,304378,519393,353946,880462,230486,792356,15254.4,1834.33,882894,59137.3,12472.3,10000.6,4405.72,8.1359
1.28002e+06,792599,968980,432116,510735,301996,1.01472e+06,293231,884182,19404.8,1286.61,1.63206e+06,83816.6,19371.5,11667.7,7964.63,8.1681
1.49725e+06,968636,927436,389469,654076,433525,905243,278426,839294,13216.5,1028.11,1.55356e+06,103620,13003,8481.39,7189.27,8.1831
