"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
2.66749e+06,1.53206e+06,1.04466e+06,490116,816927,449457,1.09055e+06,297069,989903,31503.2,6420.27,384048,128218,32882.3,23906,6263.74,0.0614
1.56104e+06,965632,969957,393384,680131,448181,910522,278358,847939,23249.7,4841.01,182813,74424.8,19630.7,11312.2,3438.32,0.1122
439163,280705,938701,451649,1.0177e+06,908673,671988,413350,655593,275.23,1976.76,6565.39,3160.36,4363.74,468.363,1098.05,0.3655
1.08875e+06,778117,839527,420026,582364,400832,871733,317520,793699,10439.2,8555.81,228454,87976,16872.1,9980.62,2963.08,0.511
2.31171e+06,1.32128e+06,1.04976e+06,424730,681781,403116,1.01477e+06,285722,891909,27497.3,6378.45,395364,76630.8,28702.3,17500.9,5513.42,0.9262
1.69817e+06,1.00218e+06,1.01668e+06,351978,559457,348898,962099,244693,863070,27762.1,1808.55,800035,85698.2,16866.5,14406.8,4702.59,1.0346
1.88703e+06,1.2168e+06,930485,350296,622594,464658,803939,278776,753929,23044.8,1981.73,406984,73245.9,16448.7,12254.9,3684.18,1.5805
929090,532383,1.04709e+06,305315,392178,240065,980178,206064,888991,11761,3205.73,317476,44347.5,11403.5,5859.8,2273.18,2.1707
1.89275e+06,1.18683e+06,956877,302216,500739,334280,898778,218504,829870,17430.3,3403.23,223440,75768.5,14937.6,10096.3,2332.15,2.4376
1.68079e+06,1.01133e+06,997173,561808,768332,503886,914888,379232,888861,41730.7,3765.66,421674,117247,22906.1,16470.1,4746.29,2.6814
1.67985e+06,1.10107e+06,915393,247414,423280,287929,882050,187337,792413,14026.5,4107.82,211083,64803.2,10115.6,10329.2,3184.22,2.9598
2.03212e+06,1.31909e+06,924329,354107,482946,307785,941462,239868,885755,25980,4013.33,389372,89913,14915.8,13868.5,5373.4,3.1685
1.39819e+06,915793,916049,374323,405350,270407,899422,267340,840105,13836.9,3240.45,281735,54605.6,14565.9,10817.3,2891.53,3.1799
1.55529e+06,1.10357e+06,845597,334473,550976,412513,801395,269716,744056,16620.2,2037.09,20945.9,70902.3,14714,13320,1613.51,3.2188
1.48327e+06,863872,1.0302e+06,512515,627171,388202,969347,335717,915977,14224.3,4713.93,315112,81211.6,18369.7,12470,4179.42,3.2205
1.43928e+06,967459,892618,314860,474268,330277,861582,243396,776166,15483.2,1368.57,594828,96955.7,14373.1,10756.6,2824.18,4.1654
1.84562e+06,1.09262e+06,1.01351e+06,273309,379872,246766,923641,200071,819637,36465.9,4382.75,64697.6,70788.4,14573.6,9795.99,3303.47,4.4784
1.18895e+06,705198,1.01159e+06,389432,478386,309242,928177,267226,874388,11869.6,3225.51,392851,49679.5,13001.7,9422.28,3892.68,4.532
1.59202e+06,950792,1.00465e+06,474753,835459,505836,990984,323124,881556,18684,4303.65,554127,100441,22763.3,14440.4,4796.4,4.6957
1.27929e+06,915968,837992,279873,551267,409000,808705,226065,742811,9565.65,1912.17,384025,48404.6,9328.61,6456.4,2344.49,4.7151
1.76905e+06,1.1325e+06,937248,275063,530997,362062,879955,204077,808703,23230.8,5062.11,40166.8,57541.1,16446.9,10261.6,2337.24,4.7883
1.52274e+06,977011,935140,333744,436138,266962,980225,233497,857597,19927.7,4083.95,320565,73826.6,17664.6,12235.4,3813.98,4.9093
1.27548e+06,799257,957503,403261,701796,433979,970272,277131,873076,12647.4,2715.16,222109,58467.1,11843,9494.52,2519.9,5.3636
2.69131e+06,1.52134e+06,1.06142e+06,479359,763024,429388,1.0662e+06,311413,923583,25858.5,6060.76,352584,75134.8,34375.4,19047.9,5328.79,7.6286
1.9167e+06,1.15088e+06,999250,337781,653018,411975,951055,238914,848291,23375.2,4940.56,244635,81339.1,24482.8,14645.1,4543.16,7.6386
1.90642e+06,1.22432e+06,934280,527824,807918,482564,1.00453e+06,340763,929369,27944.3,6044.68,236801,112694,23257.3,16274,3992.83,7.6608
2.36415e+06,1.42781e+06,993471,403556,797188,497619,961203,276499,875712,27542.1,2889.66,966876,76349.4,25856.6,15024,7262.46,7.6642
2.08454e+06,1.2446e+06,1.00492e+06,484295,871126,523588,998257,325521,892652,29769,5368.69,336879,90395.1,30891.6,19955.7,5083.91,7.6654
1.56513e+06,936052,1.00323e+06,304930,553355,368377,901285,221125,827397,20830.8,5511.86,195278,55815.1,26996.5,12033.6,3131.15,7.674
1.5548e+06,1.0802e+06,863621,297038,434518,294947,883925,209966,848818,14909.4,3032.03,467787,59333.2,18649.1,11856.2,3704.35,7.6744
1.34813e+06,748968,1.07999e+06,443487,806355,472890,1.0231e+06,280288,949353,36774.5,4934.32,692215,117552,29391,19069.5,5848.17,7.6844
1.44836e+06,929170,935257,474704,908550,552856,986025,311728,913689,18543.5,6388.7,165619,94016.8,32674.6,17392.2,3570.49,7.6847
1.9185e+06,1.31126e+06,877860,270481,414083,276714,897858,199053,815303,17390.6,2487.64,342425,40322.6,16542.7,11108.4,3781.31,7.7117
1.2692e+06,830996,916397,313547,689609,477790,865999,241583,778730,12577.4,1558.7,617073,57894.8,15482.4,9932.74,4042.05,7.7123
1.73874e+06,1.08406e+06,962351,354550,416316,265656,940274,246047,864590,19538.1,3606.44,446866,59619.5,22362.6,12158.6,2784.46,7.7927
1.6736e+06,946985,1.06037e+06,547755,907713,545291,998784,358465,916834,19552.1,5189.89,103586,111371,20549.8,15978.1,3734.25,7.8877
1.25341e+06,919003,818330,278466,483570,331778,874506,218743,763817,-53.4729,5382.09,31923.4,5504.07,7654.51,978.8,3180.4,7.9303
1.8024e+06,1.17784e+06,918156,305852,448722,293622,916938,212892,861992,21244.1,4142.69,214584,128493,38629.3,14110.2,3496.18,7.9548
1.74773e+06,1.13019e+06,927843,336633,461446,299850,923353,234626,860857,20553.1,3660.55,402258,65850,22443.3,11479,3557.56,7.9784
2.3586e+06,1.50912e+06,937739,323648,525605,325978,967437,226546,857172,29407.2,4014.2,343925,85850.4,24440.4,18048.1,4116,8.0582
1.75052e+06,1.15928e+06,906006,298227,492244,340821,866573,236075,757964,20097.6,2234.67,493084,44153.2,11527.5,7994.48,3381,8.0935
1.87728e+06,1.21433e+06,927565,327526,414303,269838,921226,239922,819080,17090.8,2930.43,352657,62817.9,22229.9,13759.1,2882.12,8.0982
2.10037e+06,1.24265e+06,1.01414e+06,423145,782298,491788,954433,284790,891488,33240.6,5092.52,322811,98172.9,23879,16085.6,4396.69,8.0985
1.82944e+06,1.10926e+06,989544,459210,816394,515273,950635,320822,858812,13311,4518.99,301062,54232,22061.1,21115.7,3402.75,8.1078
1.75664e+06,1.1985e+06,879416,216526,375890,266921,844946,167841,774041,18523.1,1368.99,797823,52508.2,12752.3,8008.51,3825.69,8.137
2.05517e+06,1.18533e+06,1.0403e+06,490527,885039,531609,998898,324612,906672,23357.5,5264.74,774863,76386.7,31138.8,27378.9,7782.23,8.1428
1.70363e+06,1.04576e+06,977446,571952,617394,337559,1.0974e+06,343470,999130,10673.7,6742.2,370858,71176.2,25929.3,18888.9,4427.5,8.1586
1.90143e+06,1.17510e+06,970855,401003,659574,426966,926875,281518,854658,23071.4,3480,772654,80480.7,16427.9,14227,5565.59,8.2001
2.39681e+06,1.42959e+06,1.00594e+06,407217,739760,478787,927042,290286,841688,27313.6,5298.05,312965,91959,26681.1,18257.8,5863.64,8.2027
2.01231e+06,1.22744e+06,983667,636584,698020,384807,1.08837e+06,383120,996947,21315,7279.1,41564,77095.7,26321.7,15173.6,3980.44,8.2287
2.91872e+06,1.7632e+06,993209,533886,997614,533394,1.12219e+06,314190,1.01955e+06,35234.1,7428.98,397545,109228,32050,22022.1,6941.62,8.2432
1.89855e+06,1.20472e+06,945560,381096,429374,284584,905267,278040,822392,7899.9,2764.42,672190,61586,16041.2,12578.8,3946.9,8.2498
2.30421e+06,1.41246e+06,978807,370774,684898,421551,974826,247215,899882,25825.9,13774.1,230344,105258,36820.1,17106.7,4964.73,8.2709
843214,530040,954510,265831,497065,313880,950170,181954,876587,-185.748,1992.57,9600.82,2631.88,4302.48,295.393,1881.91,8.2818
2.11681e+06,1.17373e+06,1.08209e+06,514197,677526,386158,1.05272e+06,324221,951567,20641.1,6484.57,371144,83102.2,28764.9,16353.2,5490.81,8.2868
2.11548e+06,1.25106e+06,1.01457e+06,511086,684003,411765,996690,333319,919995,24201,6859.04,379718,115312,38473.9,16691.4,5516.38,8.2873
1.89988e+06,1.16581e+06,977800,559867,1.13333e+06,733776,926714,365676,918628,29155.7,4962.88,461132,88286.4,22392.1,18877.3,5994.03,8.2897
2.30727e+06,1.35308e+06,1.02312e+06,406829,732257,438487,1.00198e+06,271846,897925,44400.6,4434.19,567145,62364.8,26764.5,14551,5123.95,8.3199
1.39168e+06,973409,857816,182034,260549,189009,827102,151111,722781,10674.8,994.307,506434,28108.2,7230.85,5397.27,2207.18,8.352
1.71815e+06,1.03843e+06,992736,429235,631161,383317,987947,297147,866713,22969.5,2327.9,532381,67534.4,17160.7,14410.2,5631.11,8.3634
1.56292e+06,1.02599e+06,913992,429897,683747,449941,911782,316673,814526,21969.2,7485.41,95189,85896.2,23297.5,16549,4415.63,8.3724
2.18109e+06,1.33035e+06,983692,608919,993124,629865,946035,416763,876641,23586.3,5595.35,452202,89052.3,23208,14439.5,5072.1,8.3789
2.40608e+06,1.40112e+06,1.03035e+06,503180,911553,552100,990639,327017,923219,34042.1,7460.97,205124,108877,30105.6,19560.7,5038.86,8.3852
2.24683e+06,1.41324e+06,953904,327746,631459,402482,941348,224086,877553,22456.3,4041.58,213656,73780.3,26933.1,13963,4500.65,8.4503
1.97875e+06,1.17762e+06,1.00818e+06,581348,690001,395081,1.04789e+06,364910,955875,32779.3,4599.4,643012,116118,21773,20620.6,6318.39,8.4538
2.31776e+06,1.41379e+06,983637,313521,534859,327771,979084,223117,843113,22835.6,3003.8,202143,62611.6,29208.7,12499.5,3116.45,8.4656
1.89657e+06,1.11484e+06,1.02073e+06,645205,851506,492174,1.03806e+06,415935,930729,28151.6,6335.73,629798,91748.5,25505.9,19927,6289.79,8.494
1.94591e+06,1.16942e+06,998398,570888,785949,490516,961374,405209,845324,23291.8,4141.82,672875,84355.4,19028.2,11252.7,4572.93,8.5008
1.71543e+06,971875,1.05904e+06,498524,683556,404509,1.0139e+06,329125,908818,18539.2,5525.63,723628,67256.5,17452.5,13997.5,5155.2,8.5017
1.71348e+06,1.00605e+06,1.02191e+06,665066,1.22546e+06,674547,1.09003e+06,401820,993080,23154.4,7627.64,348956,136396,43033.7,19434.3,5481.67,8.5095
1.57705e+06,845205,1.11953e+06,623339,771627,356612,1.29826e+06,330192,1.13268e+06,30378.2,4791.47,1.04477e+06,187655,31823.6,17078.8,6900.46,8.511
