"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.47937e+06,1.04251e+06,851428,300740,366227,272359,806790,238818,755571,14755.3,1912.63,30299.2,79004.8,18280.6,8845.34,2312.45,0.027
1.54369e+06,1.05419e+06,878601,270126,386568,290606,798129,217234,746088,16674.6,2710.38,22178.3,81806.8,24090.3,11529,3076,0.0401
1.40471e+06,938787,897781,457889,550812,382362,864330,343439,799948,12384.1,2737.86,81111.8,73311.1,59794.4,9802.89,2542.69,0.0428
1.45191e+06,924212,942581,390144,629857,425586,887985,286883,815965,16560.6,2697.44,30173.7,104964,28368.8,11369.3,2667.25,0.0505
1.301e+06,884744,882288,243700,347615,256199,814089,198185,737795,12813.9,3427.39,24266.6,57793.3,20440.9,10464.7,1482.99,0.0851
1.69054e+06,1.07524e+06,943350,390812,560224,349397,962042,268097,874636,22455.9,3355.2,31203.5,108471,29494.3,13544.1,3019.81,0.0856
1.28668e+06,899487,858276,231347,273430,199716,821455,184683,751602,18074.9,1789.92,17440.4,66992.7,16768.9,9833.46,278.29,0.0913
1.52298e+06,1.11248e+06,821400,243657,411100,296608,831602,193440,755760,12899.9,2429.19,29114.2,58147.9,18788.6,8551.2,2663.13,0.0928
1.48304e+06,1.09161e+06,815150,265820,392096,279262,842426,203621,783278,19873.2,3094.35,18613.7,66889,18695.8,8988.12,3015.42,0.1306
1.29571e+06,884466,878978,355017,485084,320560,907944,249611,853368,15439.7,3463.03,38264.2,90676.8,16595,11934.9,2548.71,0.1311
1.82714e+06,1.28123e+06,855651,274165,451058,339459,797253,217821,755204,13723,3669.83,36548.6,88606.2,25927.5,8671.66,4795.9,0.1556
1.5442e+06,1.00492e+06,921983,321770,431299,292907,883487,247506,780030,19428,3002.19,128754,74825.9,18721.9,10997.7,3249.89,0.1784
1.48527e+06,984168,905497,406979,703472,477101,884684,292868,833781,23462.6,4678.89,64044.6,87137.5,28244.9,16805.4,4553.39,0.1807
