"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.5274e+06,1.06796e+06,858120,301335,352328,257504,820946,239832,753865,12610.6,2465.99,11042,63048.3,15273.2,8055.81,99.2456,0.0165
1.75826e+06,1.18123e+06,893096,344976,560637,380206,884736,265674,779096,20932.6,3252.22,34975.5,120287,44684.9,6893.99,1866.09,0.0225
1.31166e+06,902556,871963,401005,775676,546264,851979,299768,802630,14148.8,4031.89,12811.6,68099.6,23632.3,10926.3,1689.64,0.04
1.42416e+06,961563,888653,357105,599280,442487,812607,288317,743150,8671.18,3137.77,64070.6,76367,33356,7628.74,1964.68,0.0456
1.76621e+06,1.24199e+06,853248,200946,330637,238328,832391,159275,756976,9673.12,1364.7,53356.8,47872.7,12765,5819.66,1985.43,0.0969
1.77496e+06,1.19919e+06,888078,333075,449557,315513,854907,255197,783102,17262.1,1805.7,23537.1,54739.8,22865.2,20895.7,1802.46,0.1214
1.56021e+06,1.04514e+06,895698,336710,533914,365641,876128,258875,780400,20026.6,2692.41,19621.8,74726.3,33323.1,7105.58,1723.45,0.1214
1.38799e+06,851925,977541,385432,609825,395214,925815,274954,841083,18526.7,3607.01,30944.2,74121.6,21138.3,12692,1635.79,0.1262
1.75646e+06,1.28603e+06,819480,220003,254867,191636,797973,181113,728837,5815.43,1975.44,18064.4,154702,41320.9,10218.3,1116.91,0.1474
700505,449327,935406,244205,350841,246074,855452,178659,820125,13192.3,3892.58,5193.92,107123,31158,7556,381.67,0.1659
521864,285153,1.09807e+06,253153,436765,273475,958255,164091,925655,14325.7,2058.48,75530.7,51879.7,16653.3,7387.14,1534.68,0.1675
2.63383e+06,1.66963e+06,946497,455613,755811,504786,898374,336360,812724,11109.2,3927.99,162800,498571,126223,13073.1,3487.92,0.1697
1.06081e+06,597842,1.06464e+06,528412,840711,494296,1.02049e+06,338924,935453,18916.4,4276.01,18215.4,425555,59698.8,12914,2902.12,0.1761
1.4957e+06,1.07913e+06,831618,246589,382176,266066,861838,188983,782893,19363.9,1179.01,16401.8,53436.6,15514.3,7086.06,1413.36,0.1836
1.08891e+06,728238,897161,289409,511130,357601,857598,220594,787172,9466.33,2413.94,17869.3,53017.6,14617.9,7939.96,1204.59,0.1883
737152,472553,935960,286738,485237,337437,862805,227380,756632,6425.26,1960.3,49978.9,43680.5,9376.09,6696.07,767.501,0.1896
1.93594e+06,1.20279e+06,965723,438345,718789,462015,933462,316903,829929,21904,4034.49,22768.9,91599.1,33005,12351.2,3173.4,0.2144
1.64339e+06,1.14126e+06,863984,211676,315182,240518,786257,175119,725253,6601.39,2199.08,31980.2,106172,81905.1,16513.8,1545.11,0.2198
1.46444e+06,1.03484e+06,849082,297133,509917,392999,778501,240550,741134,9750.04,1581.59,125772,58028.1,13505.9,6007.48,1543.53,0.2308
596597,384836,930158,217060,344958,258696,800070,175378,742603,3954.97,1167.47,15085,41349,19830.6,4780.64,1329.76,0.233
2.15952e+06,1.35002e+06,959771,473289,578383,386707,897398,333465,851583,12147.3,2154.09,25140.6,55276.7,33885.9,6374.14,1096.34,0.2457
1.90425e+06,1.38040e+06,827691,160814,252318,201348,751885,138902,694652,3719.14,1352.64,35626.3,49233.6,26298.4,9613.59,1563.39,0.2532
1.62152e+06,1.1972e+06,812660,221381,282686,221870,764463,190039,698955,8129.13,647.377,8271.66,36249.1,8335.58,5607.92,1032.77,0.2625
2.26188e+06,1.4458e+06,938670,262681,411322,279206,883910,196771,800974,9616.61,2137.86,31527.1,205361,37433.3,17767.4,2557.69,0.2739
814284,500973,975244,423319,740805,501306,886650,307248,826666,17259.4,2214.01,68624.3,127379,40445.7,10089.9,1906.17,0.275
1.60906e+06,1.20045e+06,804225,130189,186785,146403,765497,116578,670051,2762.11,1387.16,330965,35172.8,4838.77,2481.56,1557.32,0.2787
1.52324e+06,1.12014e+06,815924,327416,426327,310388,824117,253442,775126,22024.2,1727.54,27770.9,71947.8,31688.2,7184.89,471.399,0.2852
1.37828e+06,1.03317e+06,800415,254571,402681,306257,788907,211511,722150,14208.4,1693.61,2402.51,60163,13044.5,6582.8,1040.88,0.3029
1.35088e+06,960095,844214,440039,622651,453368,824034,341433,773281,17767.5,2545.76,33855.2,74954.1,23460.8,8392.53,1874.63,0.3052
1.54868e+06,1.04307e+06,890844,451182,551875,397183,833684,346354,781597,9167.91,2304.36,70325.3,85175.9,22087.6,8281.18,1499.37,0.3346
1.81508e+06,1.24894e+06,871976,361070,649113,512310,760218,273240,792863,6296.38,2232.73,32779.1,188292,25199.4,8076.75,1253.75,0.3385
