"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.41936e+06,1.15244e+06,738968,143829,208601,184176,679572,135045,639029,2728.19,-2254.1,961956,36645.6,2594.35,3390.18,3361.09,0.0161
1.77152e+06,1.26338e+06,841326,250904,323822,234822,827406,204415,736453,4130.5,-12178.6,3.86107e+06,81621,5355.37,5873.22,12766.3,0.0746
1.46188e+06,1.14279e+06,767530,224555,447613,361813,742283,182766,737188,2340.72,-5249.46,1.9068e+06,27184,4251.93,2853.68,7108.34,0.0984
1.43962e+06,1.09491e+06,788896,136643,189946,151179,753860,124445,658809,905.138,-2128.61,1.47152e+06,38675.8,1584.27,1871.76,4813.53,0.1235
1.30727e+06,982863,798038,154392,217806,173418,753576,138187,670361,3247.63,-5738.82,1.8773e+06,49446.4,2660.36,2885.58,6287.8,0.3584
1.4969e+06,1.2238e+06,733896,143075,201393,176859,683234,132282,648956,2919.39,-6394.82,2.25223e+06,41783.1,3179.91,2906.91,7791.46,0.4264
1.09234e+06,831599,788128,203519,213792,170542,752161,171236,713119,4183,-6405.79,2.31898e+06,29711.4,4847.09,4467.77,7701.44,0.5132
1.44313e+06,1.16049e+06,746131,134901,151608,121352,749595,119128,679440,2231.75,-6589.02,2.0161e+06,35077.5,2745.25,2686.13,6349.6,0.5548
1.42116e+06,1.09393e+06,779477,214735,261965,175138,897459,168741,763545,3269.15,-7303.98,2.42228e+06,50026.4,3793.6,3039.78,8542.65,0.6411
1.39546e+06,1.10447e+06,758080,196897,258250,201673,768323,170725,691981,4474.38,-7576.99,2.73524e+06,48322.7,2116.63,4513.68,9129.59,0.8543
1.27588e+06,1.04777e+06,730622,151671,174553,155481,673597,143163,635659,1633.37,-5396.64,2.0606e+06,21971.9,1732.81,2178.53,6679.41,0.9848
1.18223e+06,834957,849550,106223,106110,74473,854890,80044,796233,2455.86,-6920.87,2.09911e+06,59007.5,1826.21,3006.81,6318.13,1.3389
1.45924e+06,1.12973e+06,775003,158152,262290,214015,735341,138205,686599,3843.19,-2880.76,1.62986e+06,46205.7,8292.01,4422.92,5974.66,1.3412
710556,483555,881665,181537,241461,171936,842621,130420,835163,4137.17,-8401.77,2.63912e+06,52970.2,2778.56,3800.45,8475.04,1.6636
1.27768e+06,1.05568e+06,726173,141416,146003,127129,689078,132360,641053,1974.68,-5964.12,2.06751e+06,26126.8,1524.84,1780.51,7137.31,1.7238
1.43216e+06,1.20582e+06,712625,134102,170965,157925,649544,128500,626159,1772.1,-6042.87,1.78394e+06,22136.4,3062.29,2169.79,6314.64,1.8002
1.32931e+06,949060,840393,194504,272938,205430,797170,168315,693358,3150.31,-3453.37,2.2138e+06,31256.2,3461.21,4984.12,7331.5,2.0451
1.30014e+06,976822,798591,138860,213036,168686,757749,123697,673547,2245.5,-2595.94,1.41996e+06,31052.6,3866.94,3287.39,4428.82,2.1367
1.66209e+06,1.24459e+06,801274,152887,179989,140173,770429,135010,679447,1603.99,-7568.55,2.65857e+06,26210.1,3577.29,3750.97,8781.55,3.0332
1.84554e+06,1.30806e+06,846538,363376,478576,339847,844927,301393,723393,1668.21,-4163.91,1.7982e+06,26903.5,2272.65,3599.32,6589.29,3.1345
1.45352e+06,1.13583e+06,767815,153213,228091,191815,713472,139265,660091,1955.9,-4821.41,1.91421e+06,32002.7,1005.05,2541.45,6395.59,3.1761
1.53396e+06,1.22496e+06,751352,123090,207895,169630,735347,106872,691052,1998.12,-4376.92,1.95572e+06,25143.4,4039.98,2810.86,7361.09,3.3579
1.45927e+06,1.16712e+06,750190,130585,197971,159241,745929,115600,677776,1739.84,-5531.48,1.79332e+06,26003.6,1318.25,2602.72,5720.09,3.6132
1.37363e+06,1.09367e+06,753584,124247,157122,137907,683600,116960,637382,1356.5,-4651.75,1.84381e+06,21506.4,2460.94,2497.99,6590.83,3.9024
1.3905e+06,1.04466e+06,798634,212216,265460,211735,752243,193411,658338,2934.25,-5496.41,2.08829e+06,52191.8,1394.63,3678.47,7807.5,3.9388
1.45905e+06,1.19892e+06,730181,150633,232455,191257,729243,133182,678620,3051.16,-6704.27,2.41607e+06,34648.1,904.488,2498.5,8398.2,4.0483
1.29459e+06,1.02871e+06,755074,197096,330860,287857,689635,178355,663047,2307.58,-7390.32,2.65718e+06,32601.8,1573.86,2567.53,9084.11,4.309
1.38383e+06,1.05221e+06,789097,133255,150228,117681,765943,121646,657261,2566.92,-5652.84,1.89367e+06,33184.5,739.811,3032,6451.71,4.3668
1.02285e+06,806390,761060,148064,162083,132669,733026,134877,658661,1644.41,-4009.45,1.63244e+06,22350.7,2330.61,1927.11,5944.54,4.5255
1.04782e+06,776164,809995,126441,141103,109310,774514,109277,694242,1942.91,-6633.19,1.8891e+06,27931,4114.1,2355.52,6992.32,4.5444
1.47922e+06,1.12889e+06,786196,182360,299441,243714,737194,163365,669765,2961.43,-2212.28,1.45341e+06,36430.9,9091.46,3414.73,5428.32,4.6228
1.44534e+06,1.10518e+06,784670,174256,242808,200555,726408,156065,669938,3342.36,-4058.15,2.1906e+06,54983.8,6489.63,3286.74,7729.04,5.4641
1.69026e+06,1.29652e+06,782216,189408,343951,292453,705654,169054,672239,3106.53,-4744.64,2.16683e+06,43852.2,919.478,3414.15,7546.8,5.5152
1.36029e+06,1.02903e+06,793147,153625,172445,134733,767943,135550,680008,2955.64,-7865.78,2.30574e+06,30677.3,2976.18,3759.21,7475.55,5.5871
1.37279e+06,1.0246e+06,803901,150442,196053,154086,763415,133154,677901,1998.59,-3759.07,1.71686e+06,41317.6,4017.08,3545.87,5196.18,5.9368
1.17521e+06,943438,747401,197213,258816,177224,876233,153538,770674,2827.52,-5856.94,2.06628e+06,28982.6,1685.85,4017.39,6955.88,6.137
1.3482e+06,1.04708e+06,772547,103817,131717,110877,712774,96733,643941,1592.11,-4384.93,2.16988e+06,19117.6,452.804,1805.34,6810.27,6.1907
1.19602e+06,898254,798896,154954,169592,134102,758788,138872,669484,3089.33,-5312.77,1.9809e+06,31375.1,2395.66,3420.75,6584.12,6.3661
1.2882e+06,1.07606e+06,718287,105199,104528,89430,701295,95593,660294,2841.39,-6056,1.81473e+06,24480.1,11022.3,4359.73,5890.73,7.8829
1.47403e+06,1.13632e+06,778314,131963,212175,175250,726421,115541,685277,2874.6,-4897,2.18101e+06,26590.4,6883.24,3174.34,7365.53,8.1013
1.50358e+06,1.14546e+06,787591,164205,280346,217434,773603,138813,709752,2895.36,-5168.56,2.5517e+06,49389,3605.95,2700.35,9442.44,8.2287
1.27086e+06,976906,780539,169947,199590,160687,745264,151761,671898,2493.07,-5707.14,1.90609e+06,42032,3045.74,2593.94,6123.31,8.4787
1.41595e+06,1.18732e+06,715534,116738,135636,120669,674419,108495,645585,2552.91,-7518.57,2.41284e+06,35567.9,5210.32,3165.92,8577.83,8.4953
1.4796e+06,1.11477e+06,796358,136924,179667,142948,754124,123580,664787,1631.46,-2811.1,1.52509e+06,22706.6,5067.03,2442.42,4883.22,8.6238
1.44607e+06,1.19635e+06,725242,163247,219210,168096,782447,133167,735531,1978.37,-4195.93,1.78721e+06,19064.1,2480.93,2699.14,6278.2,8.6895
1.26712e+06,1.03227e+06,736501,145238,157819,133845,707470,129950,670587,1856.36,-4670.35,1.70432e+06,21815.2,3231.2,3218.54,5773.03,8.7121
1.25353e+06,958500,784682,193619,274881,207428,795113,155649,746367,1653.33,-2262.77,1.55008e+06,24792.2,6660.23,2622.26,5703.39,9.0925
1.91144e+06,1.23946e+06,925295,363763,469835,322373,874455,280644,777703,4976.71,-6971.66,2.89099e+06,78413.5,8783.27,6358.65,13436.6,9.1901
1.45502e+06,1.04228e+06,837596,850802,1.21469e+06,995251,732290,727112,702066,1309.45,-2951.97,2.05514e+06,17861.4,4088.7,1727.57,8894.86,9.2002
1.38218e+06,1.08884e+06,761639,178356,219304,168618,780358,151938,704326,3051.51,-2555.43,1.98752e+06,29433.4,4151.44,3101.69,7459.68,9.4543
1.2473e+06,1.01069e+06,740464,146911,135012,102987,786579,122497,719583,1803.09,-5508.47,2.06016e+06,19734.1,4166.78,3021.54,7313.71,9.73
1.55492e+06,1.25659e+06,742448,149820,190196,163030,699981,133072,675512,1749.62,-3766.95,2.09278e+06,31285.7,3092.9,2739.23,7152.47,9.7538
1.51408e+06,1.21033e+06,750578,142398,289555,265849,653503,134049,637368,2757.41,-3440.99,1.31753e+06,35694.2,1388.41,2378.66,5317.23,9.9782
1.61908e+06,1.2265e+06,792049,290821,406823,333528,731853,257542,677531,1265.46,-4120.67,1.99677e+06,31537.6,2821.77,2666.22,6550.41,10.2037
1.41574e+06,1.05002e+06,808978,143862,209894,166571,756052,130642,660716,2061.88,-2010.02,1.68894e+06,27005.7,4771.05,2240.92,5134.16,10.2728
1.36424e+06,1.09739e+06,745900,135695,152424,120453,759255,120411,676162,1604.19,-2974.98,1.61842e+06,33882,4258.57,2644.97,6181.85,10.305
1.18236e+06,953828,743754,92035.8,92130.7,77558,712736,84018,657258,3129.17,-5243.1,1.66148e+06,44077.9,1617.01,2355.24,5907.56,10.3355
1.25378e+06,877692,857096,116380,168002,115669,871461,88404,789873,2517.87,-2990.38,1.28169e+06,22601,3752.9,1726.16,4819.24,10.513
1.4299e+06,1.15197e+06,744759,113093,151364,126391,718550,104385,650054,1918.48,-5135.32,1.68618e+06,20609,571.918,1959.79,6350.91,10.5277
1.65223e+06,1.26949e+06,780896,203954,247162,194001,764416,171550,713334,3296.94,-7352.25,2.54637e+06,64890.5,4585.43,2933.38,9995.17,10.6808
1.15019e+06,941539,732966,138888,186753,159679,701731,126297,659814,3250.23,-4053.53,1.47728e+06,29229.3,2731.32,2692.54,5198.46,10.7968
1.94238e+06,1.0617e+06,1.0977e+06,368696,754886,522488,866875,280892,787554,3973.72,-1980.73,1.57651e+06,62650.7,4958.61,3860.87,7181.04,10.8198
1.60104e+06,1.2394e+06,775073,205489,277470,220447,755201,174503,706541,5312.57,-5516.09,2.27749e+06,71137.7,5313.91,3375.81,9703.36,10.9488
1.88846e+06,1.38827e+06,816179,199990,221899,170065,782874,160329,748423,5083.11,-9204.22,3.02136e+06,47713,9634.19,3728.26,10882.4,11.0193
1.28261e+06,1.01489e+06,758277,117050,109461,92813,707620,108351,648169,1554.12,-6956.55,1.98729e+06,18897.2,-1415.7,2161.16,5951.28,11.1813
1.38273e+06,1.00772e+06,823281,98858,104036,77710,803267,81357,729068,1816.66,-5623.99,1.79655e+06,21601.6,2591.05,2119.76,6569.84,11.3137
1.33964e+06,1.08867e+06,738316,139544,132431,103870,764981,120686,693754,2768.07,-4359.57,1.69932e+06,42512.6,5359.61,2424.76,5752.6,11.4565
1.46231e+06,1.17708e+06,745392,127630,173647,146455,711402,116230,658850,2916.29,-6142.02,2.15016e+06,23896.1,-1070.82,2500.64,7753.68,11.5301
1.33809e+06,970135,827569,222595,303347,210036,866558,176208,757951,4111.01,-3064.59,2.15093e+06,38418.6,6190.61,3558.34,8346.02,11.6568
1.56542e+06,1.2096e+06,776497,220214,238524,185758,770435,185958,710529,4562.63,-6603.18,2.53024e+06,60247.2,3398.94,2365.04,9093.33,11.6791
1.24364e+06,993185,751305,140288,167263,139301,720438,127460,660384,1346.46,-6758.42,2.09999e+06,31049.7,3112.34,1777.87,7284.21,11.7553
1.27564e+06,1.0427e+06,734042,139988,139606,118427,707303,129111,650548,1175.77,-5403.86,1.96962e+06,21273.8,697.472,2679.22,6544.79,11.8278
1.19943e+06,946106,760650,151899,235408,176153,801829,129146,705708,1735.83,-3104.01,1.41748e+06,27589.5,1106.9,1923.71,5696.4,11.8322
1.13795e+06,918893,743034,123007,126722,109347,695337,115571,638604,2100.72,-6249.18,1.88923e+06,18140.3,299.44,1240.36,6394.91,11.9442
1.46368e+06,1.12424e+06,781158,148301,218411,182377,718548,135506,656652,2505.99,-5072.65,1.64735e+06,32952.9,260.2,1869.34,5975.39,11.9767
1.66472e+06,1.20942e+06,825879,202284,247451,174774,849499,169783,714857,2603.88,-6573.6,2.42739e+06,43934.1,3739.1,2796.39,8719.03,11.9835
1.16187e+06,948007,735354,174654,223860,156345,859101,136464,767913,2268.23,-1169.05,1.91333e+06,74822.4,6510.91,3098.17,6977.79,12.1155
1.19759e+06,988848,726659,121176,114072,97449,702346,111723,650769,1237.2,-5322.23,1.89548e+06,22931.7,2458.77,2575.16,6091.34,12.3595
1.58547e+06,1.24664e+06,763078,124819,166500,139454,716366,113004,662733,4358.14,-4632.14,2.14809e+06,37334.4,7293.84,4038.77,7659.01,12.4324
1.4373e+06,1.20435e+06,716052,95004.4,136336,122266,669045,90217,631839,1564.47,-3181.46,1.25258e+06,17119,2799.84,1791.97,4491.73,12.4853
1.50817e+06,1.17198e+06,772110,182734,238407,204949,697949,169997,644953,955.66,-4717.57,1.66991e+06,20338.6,1992.07,2108.46,5578.37,12.6072
1.26395e+06,1.06653e+06,711061,110135,117783,107468,657590,104856,630208,1694.04,-6054.74,1.63393e+06,15408.4,523.438,1471.41,5671.52,13.0024
1.3659e+06,1.07325e+06,763609,110265,121257,99453,731546,100970,655232,1172.08,-6960.75,2.18219e+06,34436.8,3036.31,2393.28,7569.15,13.0413
1.43649e+06,1.08693e+06,792962,123217,160894,132427,728980,113664,650427,1829.88,-5627,2.04677e+06,20678.8,2832.93,2333.46,6820.32,13.1087
1.37534e+06,1.16182e+06,710271,134409,167826,143353,702433,121136,665741,1960.48,-5272.9,2.10298e+06,29003.5,3882.12,1899.65,7826.81,13.1885
1.21549e+06,942113,774106,235749,253005,147627,1.02829e+06,149377,946930,1843.85,-1607.54,2.03358e+06,33032.4,6508.02,3320.88,8004.32,13.2194
1.49282e+06,1.21208e+06,738973,122415,168312,151273,667583,115035,638493,1971.23,-3314.19,1.82293e+06,29790.2,1253.56,3152.64,6455.67,13.3693
2.00926e+06,1.44936e+06,831782,200660,324554,265890,732379,174509,689913,2701.63,-5331.44,2.86515e+06,67414.9,2433.55,3440.57,10680,13.4176
1.50382e+06,1.19348e+06,756014,161171,193159,152847,758245,138655,697433,3004.24,-8767.04,2.70079e+06,24750.6,1781.79,3139.13,9015.59,13.5124
