"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.52419e+06,1.15849e+06,789406,140691,203996,171817,712373,130786,645440,3125.62,-5526.74,1.64147e+06,27973,2408.57,3531.27,5832.23,0.7715
1.45419e+06,1.13171e+06,770970,183699,214827,180166,715430,165938,664220,2262.84,-5676.86,1.95536e+06,25312.2,2364.32,3462.57,7533.63,1.7607
1.36035e+06,1.09377e+06,746237,219148,526564,520289,607236,212509,618745,3335.88,-5940.17,2.20079e+06,27045.9,2420.88,3271.26,8335.06,2.12
1.28518e+06,1.0113e+06,762497,151798,217289,163829,795790,130042,700382,2026.83,-5148.24,1.56872e+06,20155.6,1814.89,2749.33,5595.5,2.1627
1.06278e+06,791450,805692,109178,158175,130149,729203,97040,675050,1939.89,-3514.23,1.49134e+06,23413.3,2836.68,3212.54,5800.87,2.7823
1.12834e+06,802225,843905,313732,416910,236177,1.05915e+06,203915,923127,2278.43,-5212.05,1.85216e+06,33953.2,775.897,2924.77,7935.08,3.5866
1.5191e+06,1.25875e+06,724102,169593,225775,175962,769853,137228,741509,1724.66,-2805.94,1.37362e+06,22664.3,2998.75,3675.13,4909.83,5.0961
1.28129e+06,1.10546e+06,695435,242471,346992,310667,670155,226788,641492,1765.74,-1833.63,1.74891e+06,12221.7,435.709,1769.15,16103.8,5.4832
1.15983e+06,917738,758274,193635,290815,266008,655955,180141,644943,2622.42,-2196.74,1.46472e+06,26576.7,2126.25,2930.44,5531.23,5.8042
1.21094e+06,1.02292e+06,710278,135516,156134,133638,701000,124920,650892,2064.99,-4090.78,1.88244e+06,15223.9,8547.47,1859.47,20171.6,7.8652
1.42621e+06,1.1673e+06,733080,135229,166783,136390,733705,120300,674457,3961.09,-4301.18,1.60565e+06,27231.6,9673.9,3673.45,6415.81,7.9285
1.01241e+06,776520,782268,134410,146008,116272,753450,120048,671781,2826.82,-4307.13,1.5858e+06,25575.8,9440.34,3650.16,5293.36,7.9449
1.10359e+06,841179,787173,177361,201251,154453,781795,150101,708965,3673.55,-3833.73,1.81155e+06,36391.5,7055.91,3843.94,6885.33,7.9508
1.23101e+06,932198,792325,188212,256954,202124,762762,163785,689483,4425.43,-4808.47,1.87254e+06,58883.7,5625.83,4416.02,7158.97,8.0647
1.23064e+06,983190,751009,140719,238127,209499,681989,129870,650124,2201.76,-4060.42,1.44551e+06,31814.7,2272.43,4116.28,5203.96,8.183
1.14383e+06,859623,798371,153452,180109,141419,764151,138900,662860,1237.96,-4011.71,1.60109e+06,26309.4,3524.08,3511.2,5144.62,8.1942
1.15728e+06,882821,786532,162669,262001,218867,718246,148247,658372,3491.38,-5369.66,1.74865e+06,40130.7,4045.75,3987.89,5561.88,8.205
1.34183e+06,1.02888e+06,782498,246649,274228,224199,733888,222647,664682,2474.38,-8588.4,2.35561e+06,26517.4,2630.03,3066.64,7563.93,8.26
1.34241e+06,1.07706e+06,747817,137244,202880,171673,709068,124224,662887,2618.24,-3531.26,1.81102e+06,31953.9,4750.79,2986.68,7035.19,8.2855
1.52246e+06,1.21815e+06,749888,161620,238591,210117,681310,149491,648681,3059.74,-5071.7,1.94329e+06,38948.8,4124.86,4173.3,7344.37,8.2964
1.26059e+06,985510,767472,190341,299466,253632,708425,170297,670620,3088.37,-2877.13,1.53017e+06,45349.9,5629.56,2808.76,6003.03,8.3616
1.31329e+06,988898,796822,151024,246710,195777,756094,133540,678555,1394.78,-3089.33,2.07448e+06,34011.2,2351.44,3603.54,7712.61,8.3819
1.22743e+06,942972,780996,188042,232788,190816,731975,173797,649178,2346.65,-6353.58,1.94309e+06,34532.2,3872.94,3620.68,7145.47,8.4126
959876,669629,860067,142584,148165,103764,856742,108954,785195,2453.85,-2573.74,1.2382e+06,28286.4,6022.42,3261.3,4747.85,8.4186
1.27473e+06,973167,785924,163045,201777,158627,763215,144328,677811,3475.45,-6004.34,1.8396e+06,62758,3429.51,3965.5,6192.81,8.5517
1.59666e+06,1.18123e+06,811015,265406,311655,252337,741045,230344,691330,2095.15,-5375.8,1.9025e+06,21332.4,5287.6,2973.52,6765.92,8.7025
1.21628e+06,918228,794754,239012,593712,469858,758159,188120,762316,2788.4,-1769.54,1.33476e+06,34950.3,4581.82,2938.23,5052.81,8.7154
1.49206e+06,1.19938e+06,746415,127397,183138,156133,703778,115321,662831,2459.67,-5195.31,2.13216e+06,25642.1,3305.36,3737.53,8624.22,8.8044
1.06169e+06,807511,788862,182708,371601,272621,817841,149910,731269,3365.44,-1114.6,1.23562e+06,48483.5,5950.79,2646.37,5365.58,8.8914
1.34927e+06,1.07271e+06,754691,133305,224772,189163,712946,122797,651342,2299.2,-2085.51,1.53234e+06,33395.2,3500.03,3755.33,6533.48,8.9293
1.25475e+06,1.05112e+06,716236,129843,123670,107877,687841,120603,645967,2551.39,-8508.2,2.46485e+06,23158.7,2113.87,2565.02,8370.79,8.9586
1.30382e+06,983241,795625,135336,176876,138566,765883,119712,678308,2095.26,-4032.78,1.88103e+06,32154.7,2020.14,3508.56,5752.72,9.0116
1.4397e+06,1.13771e+06,759260,156184,196805,163444,722467,141117,664064,3263.05,-5384.54,2.13812e+06,36218.8,1731.42,2134.72,7787.87,9.0394
1.34656e+06,1.10903e+06,728510,103765,156599,138056,680590,95900,649205,1689.86,-1887.14,1.26199e+06,23750.1,2347.02,2594.61,4104.54,9.0539
1.40447e+06,1.0561e+06,797918,137016,198603,155405,766783,122531,670929,1586.1,-1097.74,1.41203e+06,21398.4,3345.71,2996.57,4305.23,9.2716
1.78428e+06,1.35107e+06,792388,215418,295954,233214,761413,186431,693290,2979.48,-8104.56,2.99358e+06,61171,5853.81,4954.08,11788.6,9.2733
1.19014e+06,959429,744281,150910,142395,118039,723801,138575,653406,1584.26,-5241.98,1.73063e+06,17074.1,2801.5,2306.44,5975.25,9.3062
1.0432e+06,842928,742553,135759,133031,106226,751404,120917,673649,1628.91,-4362.78,1.71361e+06,22343.6,3264.14,2709.02,5820.24,9.3257
1.13586e+06,900786,756578,141830,143669,118471,727617,127035,669880,1928.28,-4900.84,1.67763e+06,27392.1,4256.66,2802.35,5665.72,9.3408
1.03561e+06,793780,782793,183179,279419,178163,941001,150288,731311,1442.08,-5134.04,1.60685e+06,22370.2,581.509,2877.93,5783.65,9.3756
1.14636e+06,894688,768776,134296,159740,130484,734529,122326,658713,1865.54,-4172.43,1.60556e+06,24470.4,753.667,2696.72,5870.59,9.3935
1.11798e+06,810091,828040,194109,253070,186225,815368,161504,721130,2641.92,-5484.95,1.76896e+06,26425.6,1680.51,3201.22,6687.57,9.6249
850664,639629,797960,96483.6,117092,92504,759485,82206,704209,3145.45,-4542.22,1.53501e+06,24825.8,1149.79,1800.8,5695.16,9.7535
1.46797e+06,1.06173e+06,829573,177970,242888,185830,784226,156456,682504,1884.54,-2496.76,1.87792e+06,46998.8,4238.52,1933.04,6745.5,9.8475
1.33543e+06,995478,804896,173951,261502,202824,773584,152901,682603,2779.9,-4438.27,2.2869e+06,31218.4,1959.42,3770.65,7761.6,9.974
1.33505e+06,1.04193e+06,768796,203680,295727,239637,740437,177901,686944,2218.86,-4873.21,1.86536e+06,31441.8,3278.44,3295.69,7239.87,10.1117
1.43531e+06,1.09875e+06,783786,113444,189920,159614,713922,104184,653332,1759.11,-1593.38,1.57842e+06,17343.3,2279.67,2132.78,4975.03,10.1458
1.13212e+06,880369,771579,194872,191974,158367,727325,175281,667063,3250.18,-5887.94,1.935e+06,50474.3,2639.19,2596.72,6005.5,10.1537
1.32296e+06,1.01103e+06,785114,157404,166979,128685,778545,139522,676898,2130.07,-6093.48,1.98726e+06,32227.8,1729.2,3107.19,6944.71,10.2486
1.19644e+06,929455,772347,133644,233346,191342,731715,119485,671102,2484.81,-3881.86,1.81303e+06,24462.4,1359.04,3651.72,5916.44,10.2647
1.27718e+06,902767,848847,158503,230066,167743,822922,128819,738260,1992.48,-7193.56,2.28094e+06,36300.6,1327.67,3299.78,7456.36,10.3467
1.40587e+06,1.12188e+06,751878,104255,149084,130711,684335,98745,633480,1348.33,-5391.52,1.98142e+06,26478.5,2233.97,2630.36,7205.35,10.5639
1.3896e+06,1.09295e+06,762851,116995,201872,168795,717575,106850,656965,1696.22,-3490.25,1.56534e+06,29814.6,2889.46,2068.17,6057.72,10.5953
1.18048e+06,950879,744878,145569,152046,128916,707654,133934,652125,1656.47,-5044.94,1.7161e+06,21498.1,3390.87,1952.37,5984.92,10.6094
1.2806e+06,987425,778144,159676,184027,147626,747944,145226,659700,2813.86,-4111.44,1.50404e+06,29469,773.827,2428.76,5446.89,10.6152
1.09008e+06,828839,789112,204849,329066,269556,732463,177859,691050,3506.59,-3669.94,2.23226e+06,37335.4,4159.04,3243.3,8115,10.6513
1.25514e+06,923106,815815,219359,297023,225884,788962,186094,707253,2709.56,-2180.41,952750,65044,3559.77,3163,4596.18,10.7021
1.46804e+06,1.20871e+06,728729,131741,170615,145329,704393,119633,660725,1543.66,-3241.48,1.95693e+06,27866.8,2392.03,2864.83,7756.65,10.881
1.28001e+06,943050,814384,206206,336432,237211,850969,163476,756830,2945.2,-2639.19,1.91643e+06,30738.5,3178.59,3556.27,6519.25,10.9284
1.26789e+06,995118,764467,159564,227378,190611,715735,144619,662003,2080.13,-3736.38,1.5125e+06,27348,2786.65,2877.75,5884.68,10.9508
1.15084e+06,956436,721956,129714,127512,113288,675334,119942,648884,1802.03,-4272.61,1.50347e+06,25978.5,1416.07,1280.44,5286.51,10.9989
869551,657486,793524,118559,166924,131420,762096,100515,707708,2004.45,-5609.99,1.70972e+06,26940,1995.93,3546.23,5658.34,11.1415
1.32185e+06,1.07251e+06,739485,158530,208729,176419,709886,141846,670570,1321.28,-6132.33,2.24702e+06,57518.3,2055.91,3322.79,8400.34,11.1602
1.48717e+06,1.2038e+06,741242,152210,238316,199403,717089,134428,679369,1867.5,-5874.8,2.33118e+06,28864.1,1532.82,2213.95,8927.65,11.1964
1.49005e+06,1.1707e+06,763673,156388,214247,176516,728252,141819,661638,1469.6,-7314.19,2.07069e+06,20006.5,2500.22,2935.44,7709.53,11.2558
1.27559e+06,995802,768580,131027,131861,101057,782891,110407,712056,1188.06,-5682.06,1.77858e+06,19294.7,-279.361,2500.8,6612.8,11.2711
1.59561e+06,1.30153e+06,735567,124467,165467,146838,676122,114361,653023,3671.62,-2942.13,2.22737e+06,56530.4,15006.8,4178.67,7539.65,11.3724
1.1684e+06,933999,750576,155937,168031,138587,727473,140531,665777,1597.56,-3728.53,1.31685e+06,22940.4,2533.1,2857.37,4684.75,11.4869
1.4771e+06,1.16494e+06,760776,197407,286731,240697,714752,173839,681345,2921.55,-3435.04,1.75754e+06,44080.1,4479.09,2594.35,6921.01,11.7041
1.3073e+06,991525,791082,224458,404630,351235,691212,208300,646544,2748.34,-1153.25,1.72324e+06,29692,3224.39,3419.65,5804.13,11.713
1.31633e+06,1.00338e+06,787135,129738,212339,165553,769562,113828,683862,2391.75,-2719.15,1.66031e+06,23043.5,1232.95,2289.69,5700.11,11.7135
1.46868e+06,1.12835e+06,780967,168478,262355,202402,777724,141466,714564,1831.79,-5194.92,1.78731e+06,31755.5,2517.68,2886.01,6259.5,11.7287
1.24098e+06,979850,759903,165785,313388,266133,706538,149794,664053,1546.27,-4188.86,1.70617e+06,24731.5,406.235,2018.24,6002.64,11.7691
