FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.57E+06,1.07E+06,884274,361419,583460,404832,864743,278176,779548,2053.61,31946.3,56609.3,14549.4,14176,10424.5,1452.27,0.0011
1.29E+06,906495,855437,298937,516106,393597,786753,245373,730977,1401.81,6397.93,50420.2,12913.8,11375.5,4408.74,1537.3,0.0088
2.20E+06,1.51E+06,874774,418270,714546,514763,832864,338452,741500,3437.69,4906.08,38698.4,11464.6,7010.69,3136.31,3422.48,0.0905
1.10E+06,786562,838670,307800,394897,278790,849880,233381,791325,2895.6,58489.9,52162.3,16823.2,8803.56,6637.93,1235.9,0.1098
1.50E+06,1.03E+06,869835,337339,615983,434915,849798,252986,800058,1231.59,87975.9,52843.4,13037,10744,10342,2124.93,0.1547
1.27E+06,856154,893002,358284,518435,326921,951486,249495,861622,3092.3,16001.9,75429,33356.1,21544.2,10478.6,2980.42,0.2986
1.23E+06,900043,821686,254645,290177,207600,838661,200450,762220,1731.29,27099.2,42937.4,13352.7,7133.7,5952.19,1244.54,0.2996
1.42E+06,992883,856966,351898,491719,360032,819459,281354,750438,1475.96,30287.1,59362.9,26489.7,9744.94,6473.95,1604.45,0.3258
1.68E+06,1.03E+06,978234,513368,844544,565154,896616,394094,781592,4903.31,229543,152146,42031.6,25837.5,13378.5,3614.59,0.3322
1.46E+06,1.02E+06,854690,341400,428297,292928,877273,260815,785383,2740.89,14437.3,45585.7,16262.4,11669.3,6938.06,1466.14,0.3652
1.43E+06,991168,866675,294095,517691,361833,858448,222722,792275,3544.58,233957,65990.2,21151.7,11097.7,10147.9,3640.77,0.3739
1.61E+06,1.09E+06,884544,428446,574404,409090,842462,328904,781588,3395.01,215411,51346.4,17606.8,15866.4,9482.28,2578.01,0.3926
1.86E+06,1.32E+06,846264,372030,669653,485101,828264,288585,773492,4040.91,32972,58016.7,19217.2,15976,9889.43,2069.46,0.403
