FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.03E+06,741962,831574,79420.6,144341,104715,827049,62715,759824,1776.67,10709.1,3922.88,2605.79,80.781,242.418,1607.92,0.1536
1.70E+06,1.19E+06,859401,366530,596445,422355,847314,281914,780090,2526.06,52341.2,45101.9,13283.9,13168.5,7860.27,1049.48,0.2004
992892,662670,898992,286566,408242,286340,855434,209333,821370,1653.94,1498,13308.7,5049.75,2719.81,838.978,2187.47,0.2713
936170,579755,968861,393179,610600,414381,884114,303623,776975,3188.82,22121.7,49813.6,13798,9653.38,9185.95,738.26,0.4776
739604,582716,761541,140487,212623,184911,689921,133316,632273,2798.07,16481.4,3321.81,3709.28,-440.27,5.04376,2324,0.524
1.39E+06,911356,914985,324927,384418,257900,894343,239430,814252,2961.52,4492.98,106310,41681.5,14580.6,7510.98,1071.01,0.5335
1.24E+06,823125,904232,502050,942275,655473,862529,380715,791222,3679.66,27633.2,52372.3,26331.4,12001.5,13754.2,2348.41,0.5506
1.43E+06,900642,954605,428167,553117,365678,907547,315049,815428,4648.24,5705.99,122033,40118,16053,9906.62,2450.24,0.5859
1.51E+06,1.03E+06,876075,266481,497714,357212,835998,197245,810609,2624,4754.09,71144,16000.2,27103.1,10804.7,328.542,0.6762
1.14E+06,755295,907459,328365,419092,282109,891342,252009,781795,2630.81,1460.46,55049.1,15315.9,8033.13,8560.96,400.228,0.7028
1.34E+06,926073,867343,131806,249859,183386,817484,107905,732900,3317.13,12016.4,4079.16,2258.45,-72.3159,93.0529,1551.22,0.7808
1.13E+06,721659,939598,588605,941389,622712,907054,453230,779214,3889.8,17242.8,58903.7,19195.8,13606.5,10265.5,1804.62,0.8133
1.36E+06,989602,822809,412374,518861,381216,816642,330672,748247,4185.62,42615.2,37990.7,13622.2,7174.78,6674.56,1889.38,0.9184
1.26E+06,943994,801443,307700,445404,331322,806595,247320,746482,2106.92,12355.3,34600.2,10428.9,10668.6,5420.44,601.113,0.9508
1.48E+06,1.15E+06,771802,378177,553356,432314,767992,309073,734151,3357.5,98340.8,64481.1,22074,9550.94,8958.98,1450.66,0.9754
1.55E+06,1.00E+06,929938,268526,386630,245039,946697,184537,873080,2766.8,4492.96,76193.9,24839,17224,8594.5,-45.6191,1.1625
1.33E+06,929375,860102,439941,529482,356899,890138,332911,792899,1526.26,98845.9,45813,9632.99,7886.12,8480.5,1313.5,1.252
1.33E+06,949244,838123,252339,300070,221559,812614,197608,766181,3795.82,28425.6,34800.5,11809.1,7788.87,10611.6,1237.41,1.2976
1.52E+06,1.04E+06,878370,426709,597998,412728,869334,328239,779997,2193.4,92064,55123.8,35942.4,11466.2,7280.87,1466.96,1.3601
1.32E+06,798886,990172,606272,999276,656615,913116,446903,813964,3526.9,98561.3,64091.5,50678.6,9568.17,11124.9,1705.42,1.385
1.58E+06,1.11E+06,852748,370273,589676,406745,869846,279645,794449,5737.26,7277.67,75077.3,16890.7,12184.3,10216.5,1655.9,1.4304
1.53E+06,1.03E+06,888753,373840,718002,504779,853445,279954,801218,4481.63,5771.29,88812.2,23970.9,14646.4,8749.54,1596.22,1.4443
999485,673568,890320,352880,681601,491925,831348,270213,783560,3670.49,111102,40217.8,18289.8,11188.8,8146.62,1193.24,1.6108
1.42E+06,973151,874793,348760,682316,477468,857418,261289,800861,3126.94,4232.47,114498,24855.2,18921.9,7061.07,1169.56,1.6554
1.37E+06,896190,919643,429348,686040,457461,899801,301245,855147,3919.16,4691.79,72811.7,26434.4,15066.5,10630.2,1069.03,1.7448
1.91E+06,1.20E+06,953108,506111,827082,542767,914294,356507,851782,5123.64,49394.1,131290,23593.6,31786.4,14572.9,1944.86,1.7838
1.28E+06,888670,864858,358345,598186,439586,816476,279242,769966,2357.33,4831.68,86542.4,23865.5,12620.8,9684.52,1152.01,1.8913
980267,700150,840048,166335,198267,136592,870915,124095,804230,1648.79,16088.9,4480.49,3460.98,1241.26,-5.63839,2013.7,1.8926
1.25E+06,850846,884350,365425,672298,492977,818251,290517,754706,3626.77,52324,37669.1,13822.3,10320.3,11544.4,989.917,1.896
1.30E+06,873988,894392,453893,756868,531899,853773,360418,755612,3944.72,10932.6,58310.3,14290.8,10977.7,9640.89,1039.86,1.9118
1.27E+06,857544,888534,510999,683833,453656,904429,372959,822073,3752.18,9073.84,88130,26140,16821.4,11744.1,2423.89,1.9835
1.54E+06,957255,962906,522293,755540,497635,910956,385904,812056,3735.43,97581.3,64706.7,38159.8,16628.7,14816.8,2303.04,2.4215
1.23E+06,800110,925660,494732,639274,425558,901321,365850,811369,4769.88,118585,67661.6,19063.7,10807.2,10008.8,2104.81,2.521
1.26E+06,821803,918329,422921,650777,454509,859094,332001,764312,2641.4,23664.8,53045.3,21421.8,8150.27,8271.33,696.251,2.6153
1.33E+06,936335,849651,327759,546612,391332,838079,256635,766284,2853.01,60759.2,59930.2,13476.1,9247.78,10513.4,896.351,2.6587
1.06E+06,769887,822293,81493.4,154278,123730,748137,70144,697080,2005.73,7586.42,2239.86,1972.95,-548.197,187.451,864.828,2.6847
1.12E+06,764813,878363,322497,512328,350981,875822,241881,799974,2077.92,8901.58,34984,9408.77,10492.1,6635.34,2004.36,2.6964
1.40E+06,1.07E+06,788266,403576,630888,488816,774387,345919,700007,4051.41,21372.5,4918.49,3905.27,-616.382,-131.295,2905.74,2.7134
1.02E+06,659981,930417,449651,752734,539846,836610,349467,772005,4945.93,49481.5,54554.6,21151.6,8825.08,10243.4,1500.73,2.8466
1.51E+06,1.08E+06,834353,336400,537137,388980,828532,256519,786842,4379.96,29074.6,64318.1,15703,9425.66,10592.3,1766.16,3.0836
1.37E+06,1.03E+06,799805,310307,370511,288921,769437,261075,713144,2741.91,52552.2,23195.4,10806.9,6848.6,5713.79,201.423,3.0847
1.16E+06,862895,808215,424003,569459,407810,837830,327894,775866,3147.46,5273.62,51804.4,16193.2,8613.75,6459.27,1060.41,3.2439
1.55E+06,1.01E+06,919982,637303,943893,598428,946373,442195,864735,4241.29,82445.7,163861,30524.9,16444.8,21136.5,2693,3.3419
2.01E+06,1.23E+06,979226,428446,696847,400415,1.04E+06,278015,924654,4156.58,4435.39,53613.7,19901.6,9253.31,583.352,2199.38,3.3765
1.04E+06,620576,1.00E+06,118133,172673,106431,973438,80082,885094,3349.03,14454.6,4411.01,4729.79,-541.09,718.843,2656.42,3.4289
1.44E+06,987413,875108,279443,427970,299495,857383,222030,755150,2099.51,2248.42,75557.2,17996.6,8908.4,5755.93,719.721,3.4853
1.68E+06,1.13E+06,895638,472674,603495,422076,857896,376734,752797,3531.5,49729,48390.5,17678.4,10769.6,8682.26,1901.99,3.5419
1.50E+06,1.04E+06,865370,492954,703962,471546,895728,354224,834986,7126.5,109828,59283.5,21360.7,9652.89,10623.4,2908.17,3.7056
1.51E+06,1.09E+06,836872,387322,580446,407692,854241,296593,783543,2116.22,15347.6,121848,19392.1,19586.2,13078.7,1180.84,3.7785
1.50E+06,934263,961715,402450,706402,465345,910811,299695,805719,3273.62,6423.63,80535.9,24119.4,16254.2,11606.8,1012.56,3.9044
