"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.38698e+06,1.0485e+06,793695,197673,259677,205990,756378,175165,677097,3145.25,-5753.74,1.67861e+06,30012.6,1927.69,3370.16,5890.02,0.2959
1.35045e+06,1.05161e+06,770504,204487,333012,289829,689396,186660,657304,4832.22,-3270.56,1.20291e+06,101406,11052.8,4554.19,3528.28,0.3715
1.20767e+06,913829,792927,184385,201760,163382,740937,165572,668174,3801.13,-3879.12,1.1516e+06,59572.1,3582.4,3195.16,4876.84,0.6321
805424,494629,977004,212654,338989,227368,894556,154775,824373,8198.1,-2094.86,1.44053e+06,60589.5,7709.05,7773.98,6371.06,0.8436
706957,429564,987452,269079,406108,269643,903658,205918,784039,8026.9,-1388.4,1.30301e+06,36770.4,4370.08,7543.59,4890.33,1.2618
1.51094e+06,1.17455e+06,771842,145880,259977,208073,749671,129428,676268,2137.5,-4413.63,1.47386e+06,31245.1,2175.52,4388.97,5603.05,2.8449
1.21132e+06,991772,732821,132909,127545,106141,720992,121395,656907,776.053,-2345.68,2.02966e+06,5287.98,412.696,2165.52,11220.2,4.0623
1.41707e+06,1.01226e+06,839942,190678,278930,217313,770124,166340,687790,2482.38,-445.443,710674,34703.5,2818,3807.1,3109.37,4.7156
1.32656e+06,975926,815570,259522,400849,297847,807493,213240,730226,5361.44,-4083.31,1.50491e+06,53056.7,-440.959,4383.44,5372.31,5.1649
1.05598e+06,758197,835649,225934,251302,198227,760650,193733,699729,6396.35,-3709.01,1.56218e+06,32896.7,6870.19,4620.58,5371.64,7.2599
1.50256e+06,1.07211e+06,840903,217902,241539,184168,786909,183785,711380,9591.06,-3928.97,1.65379e+06,56063.2,15873.8,6580.78,5608.38,7.2605
1.52955e+06,1.10248e+06,832421,180064,276497,216794,765234,158451,681843,2211.24,-2657.18,1.47991e+06,28348.4,14863.2,4282.34,4569.74,7.3101
1.209e+06,783941,925322,267895,314546,217379,868195,209238,768202,12269.9,-2091.52,1.38914e+06,43153.3,12119,8747.79,5757.88,7.4291
1.55051e+06,1.08033e+06,861129,270547,291214,203474,858727,202394,802042,7721.64,-1852.83,1.40948e+06,65724.4,16100.5,6753.27,5006,7.4548
