"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.59673e+06,1.30142e+06,736147,114528,146573,132005,666216,107573,638793,2195.57,-6546.72,2.29221e+06,12608.4,1058.31,5607.49,7554.2,1.7509
1.32174e+06,803106,987475,422248,634755,381459,998412,293611,862871,12127.2,2498.98,650564,70228.1,17847.8,12101.9,4279.73,2.3248
1.51567e+06,1.08630e+06,837151,208000,309403,242599,765220,179579,694959,6554.33,-2964.15,1.13454e+06,30372,5578.87,5262.09,4456.3,2.4323
2.39418e+06,1.36804e+06,1.05005e+06,662556,1.11597e+06,652896,1.02556e+06,430107,924266,30276.5,4516.5,1.40245e+06,107124,19843.6,20804.9,7513.44,2.5701
1.5935e+06,1.02216e+06,935369,394198,436000,300397,870848,292835,807686,14563,-1573.65,1.42913e+06,70967.5,13905.8,14950.8,6906.36,2.6649
1.27574e+06,977943,782709,418416,700084,581747,722050,367962,682271,6955.32,5570.89,14361.4,21577.1,17662.6,1353.12,11414.6,3.3926
1.8235e+06,1.15553e+06,946841,336219,519260,352400,884097,251862,800959,20585.5,-1268.36,1.56492e+06,71127.5,11240.4,11868.5,5804.6,3.7633
1.15943e+06,796705,873170,444105,984580,729155,810182,306936,868139,11717.8,-1746.29,1.13435e+06,70330.1,8021.24,5839.14,4946.46,4.1869
1.24017e+06,954406,779646,380724,510672,404164,758116,333259,685456,2501.33,3868.37,21713.2,8066.72,3505.48,692.987,10292.3,4.4164
1.53101e+06,1.09423e+06,839502,334541,627398,487386,772362,289114,694275,2706.42,4742.77,18548.8,11399.4,5783.59,927.363,9709.3,5.6151
823819,431221,1.14626e+06,316106,489035,307228,955060,217821,870730,14332.8,1572.49,1.06411e+06,74732.4,13175.3,12289.3,9631.24,5.6678
1.09587e+06,881390,746007,417187,689802,619222,668389,383446,652796,7828.07,3929.17,20897.8,59251.9,12861,842.745,8878.56,5.7944
1.24584e+06,956031,781880,359724,641186,500583,768528,303991,710002,3169.93,4742.33,22177.2,10517.4,3184.21,296.817,9395.04,5.8502
1.46703e+06,831270,1.05888e+06,481644,553809,316444,1.05006e+06,293902,983274,26621.5,1754.84,1.20948e+06,100328,32830.7,15843.4,6685.25,7.5303
1.551e+06,1.0404e+06,894469,363104,506975,335301,907199,272409,799763,10728.7,-356.746,945479,48415.9,16901.4,7755.55,4447.7,7.6916
1.04203e+06,613739,1.01871e+06,506752,555737,334750,996093,321207,946590,14096.5,46.0745,1.59072e+06,58703.2,22160.1,12361.2,8166.25,7.6956
1.13679e+06,627565,1.08686e+06,698256,882920,511762,1.03515e+06,442880,945976,23799.8,1261.42,1.6719e+06,126851,42700.5,16467.9,10073.5,7.7591
1.52104e+06,1.06031e+06,860714,224715,346568,255233,814709,188755,714307,6850.84,845.962,1.32059e+06,44398.7,8913.71,7432.19,4024.07,7.8755
1.73015e+06,1.10955e+06,935597,363812,375105,221110,1.01788e+06,234947,929090,16454.9,308.73,1.51265e+06,58486.4,19829.4,11518.5,7939.32,7.948
2.2729e+06,1.28081e+06,1.06475e+06,588631,854058,486321,1.0537e+06,366271,964255,35922.3,6304.87,1.43215e+06,94736.2,35799,23842.3,15960,7.9614
1.44187e+06,860934,1.00486e+06,499211,561134,346970,970345,335973,891520,20117.2,2592.83,836370,75494.1,20911.8,11882.7,4674.55,8.0099
657474,320612,1.23041e+06,311966,474816,250199,1.13865e+06,194391,962902,9659.5,2188.51,839046,47162,18449.7,7827.66,5307.69,8.0379
1.72734e+06,1.02982e+06,1.00639e+06,436808,501450,311707,965234,295063,888233,25452.7,2437.61,1.02488e+06,61260.2,19533.5,12634.6,7341.08,8.2099
937390,689885,815258,342153,405400,284344,855444,262836,781063,8422.87,-904.047,1.22761e+06,43033.1,18123.2,6959.02,5544.87,8.2966
1.51104e+06,1.08636e+06,834551,541843,688985,511846,807647,461493,704466,2148.19,2321.68,1.41356e+06,12544.4,5173.97,1270.55,27010,8.344
2.32888e+06,1.32961e+06,1.05093e+06,593761,812738,490348,994484,398199,894669,35480.5,4004.67,1.30463e+06,138279,27654.1,17583.9,8088.12,8.4458
1.74736e+06,1.08378e+06,967365,565308,870834,530373,985156,384603,881910,13548.8,2181.92,1.30727e+06,65070.4,15109.7,12429.1,8460.71,8.4933
1.31849e+06,865853,913655,315604,403188,265232,912080,224345,844069,13553.8,-1896.42,1.54822e+06,67897.6,18450.7,11148.6,7532.07,8.6112
2.39339e+06,1.45358e+06,987933,457411,609139,381637,957673,311279,881674,29827.3,3962.05,1.38465e+06,108196,21262.6,15762.3,10528.2,8.6321
1.36697e+06,808066,1.015e+06,504995,564163,333893,1.01379e+06,322679,939005,26970.3,77.6377,1.27315e+06,102805,23164.2,14069,7558.35,8.6434
2.0358e+06,1.19206e+06,1.02468e+06,704261,917192,523471,1.05128e+06,439466,961523,25461.7,2823.84,1.57183e+06,86227.5,29069.2,15852,9455.02,8.6771
1.68923e+06,1.13555e+06,892554,211759,322424,236795,816970,175721,723052,11446.9,938.783,1.76202e+06,36260.3,10013.1,8338.17,5860.53,8.7202
1.83301e+06,1.044e+06,1.05346e+06,599129,911185,540880,1.01078e+06,394194,911930,18952.4,4340.99,1.40382e+06,95449,22861.9,17151.4,9460.42,8.721
1.77686e+06,1.0454e+06,1.01982e+06,541596,684098,403905,1.01623e+06,346813,936983,21874.1,1745.43,1.44457e+06,100317,30240.9,14824.9,9567.21,8.7797
