"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.61534e+06,1.10872e+06,874168,314510,479369,335736,856689,237800,793548,9434.93,3929.36,24599.7,123691,39536.8,10801.1,1462.75,0.003
1.73278e+06,1.11510e+06,932351,291245,477681,335430,854451,229397,761767,22497.5,1635.01,1428.39,122121,37688.9,14717.4,599.291,0.0603
1.42e+06,1.01937e+06,835814,229713,410686,309675,795711,196972,699734,9308.56,2178.65,10827.7,43692.3,7502.84,7840.97,336.95,0.0977
1.30678e+06,932630,840705,323818,400586,295843,812430,269079,722058,8758.93,1847,50419.3,87503.5,14262,9851.67,781.043,0.1124
1.12889e+06,722819,937069,428490,600616,367502,980593,307151,837027,12336.8,4248.62,6131.81,209438,14535.7,11378.6,1135.12,0.1144
1.84496e+06,1.31325e+06,842929,190236,367941,276093,799602,158007,722383,6363.03,1247.6,1695.78,194847,20355.6,15837.5,232.837,0.123
1.16091e+06,781278,891548,300144,569685,447182,764367,246296,731178,10028.5,1999.79,181240,44412.1,29090.2,12656.2,1270.54,0.1263
751443,485319,929010,336924,494084,344081,861571,258764,781231,9877.91,2981.62,23884.5,81220.6,26724.2,9711.04,969.103,0.1354
1.17612e+06,746806,944917,281187,451834,298187,909163,208466,809304,11863.9,1823.55,1167.63,88299,9645.56,10893,717.425,0.1412
1.18144e+06,848047,835877,376662,483625,348823,831870,295410,765029,16070.5,1092.66,1400.32,67628.1,17343.1,10041.8,1297.22,0.1994
2.10804e+06,1.31917e+06,958805,295511,363487,233019,935942,211443,838554,49045.8,1881.35,13484.8,130181,36394.6,26614.3,1834.84,0.2
1.58595e+06,1.02577e+06,927662,399244,505110,350037,865811,298163,803407,22332.9,2967.65,4513.86,98773.9,33487,12862.3,879.768,0.2199
1.80019e+06,1.16784e+06,924884,292035,359865,234009,922695,204894,855178,9349.25,1705.26,22064.2,85330.5,11729.1,8550.94,202.267,0.2543
1.69489e+06,1.17536e+06,865213,177732,313127,237835,789943,153012,696933,9800.11,2060.43,19711.3,192414,16986.1,7605.37,651.491,0.2563
1.47334e+06,1.04398e+06,846761,335960,548318,387284,849482,257801,781905,19763.9,5524.76,18363.6,66746.3,14151.7,10359.1,1198.66,0.2678
1.85907e+06,1.23404e+06,903892,290473,540313,386590,838583,222682,782659,9281.31,1787.39,9036.71,83020.2,10114.6,9532.11,756.289,0.2687
1.2948e+06,1.01105e+06,768386,223841,264340,211174,751058,194627,690063,5171.27,953.356,6399.46,44181.4,6937.48,4448.41,216.542,0.2939
1.14847e+06,779302,884228,317232,476658,350837,815178,263323,722835,3218.85,1275.67,18691.5,42704,5078.14,5848.09,563.2,0.3126
