FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.61E+06,1.05E+06,923829,429859,516894,325906,951612,296867,868792,3270.15,1.41E+06,84246.1,19804.4,16573.6,10390.6,7058.5,0.3603
2.12E+06,1.20E+06,1.06E+06,309455,507303,304670,999054,201723,920434,4771.98,294340,63237.8,35849.9,18764.9,14370.5,3774.02,0.3635
2.21E+06,1.31E+06,1.02E+06,361326,664143,411119,969272,245998,881290,4841.42,179218,83362.7,19530.1,20279.1,14368.3,4732.64,0.555
1.27E+06,840848,908983,383791,541186,362228,896429,274581,838640,3853.39,183912,71462.4,22605.4,19365.5,12595.8,3600.37,0.6655
1.72E+06,1.06E+06,973962,312765,386828,244467,949400,227497,824885,3036.82,195310,62038.1,17806.1,22169.2,10449.3,1834.52,0.6655
1.34E+06,891031,902846,293958,473414,342938,828278,227783,774310,1883.75,336242,60297.7,10096.4,14519.5,9376.2,2493.22,0.6943
2.48E+06,1.42E+06,1.04E+06,499139,737019,434961,1.02E+06,332917,899574,4868.79,308840,88196,23469.9,27830.1,13599.4,6255.3,1.4685
1.92E+06,1.22E+06,942658,343254,464122,283796,981245,232023,887639,4006.69,327705,75763.4,21139.8,20455.7,13062.7,3843.67,1.4851
1.67E+06,1.01E+06,988337,322599,498428,324790,920770,241762,800618,2335.99,119259,71783.9,29142.1,12476.8,8318,3324.5,1.5428
1.55E+06,1.04E+06,891536,270780,451761,321173,843959,215695,753230,1922.59,256116,60527.5,25491.4,11203.8,5361.75,2383.89,1.5785
2.23E+06,1.28E+06,1.04E+06,459668,726067,427613,1.02E+06,303601,908432,4528.79,335725,83527.2,25818.8,20384.1,19669.3,4346.25,1.7697
1.43E+06,897656,956244,349050,491261,316902,930119,252932,828009,2436.38,336403,63907.6,15298.6,17188.3,12332.6,3464.11,1.7887
1.75E+06,950248,1.11E+06,529165,660014,323127,1.23E+06,272913,1.16E+06,4716.15,374570,95277.2,41038.9,18309.2,24286.9,5528.37,1.8981
702497,394762,1.07E+06,342043,595962,408598,875132,260342,788293,2288.39,13022.2,5498.61,4489.76,498.947,139.75,2110.91,1.9943
933103,641055,873345,355342,509855,365981,835870,279937,761619,1993.94,182991,40846.1,9904.7,10427.4,7688.65,1629.01,2.1585
1.62E+06,967632,1.01E+06,586191,761250,457499,998363,376491,934191,3980.52,624867,85445.4,18351.9,21144.1,14999.9,4707.38,2.2704
765780,463632,991019,436320,559536,345704,971124,292282,895682,2869.7,290769,76003.2,19591.3,11570.1,12914.7,2879.66,2.4084
1.48E+06,941442,944394,357337,407336,276157,885009,259996,824637,2163.01,319587,47896.1,12718.9,15468.3,9407.73,3563.39,2.5168
1.68E+06,1.17E+06,859496,255232,372454,267944,834027,196048,781131,3079.2,23858.9,171623,26213.8,9115.27,15012.4,1322.82,2.5526
1.70E+06,1.17E+06,874295,293676,530744,375930,847090,222658,791374,2468.29,217094,51038.8,21853.1,15850.3,8795.45,5150.14,2.6518
1.47E+06,940505,937199,440875,514325,334656,922126,317410,833386,4789.72,320315,79212.4,25900.8,22401.2,16363.3,3173.58,2.9034
1.40E+06,898138,933201,376158,651727,472775,827108,292922,770494,914.281,898399,44960.7,19681.4,9758.59,10830.7,4581.55,2.983
1.48E+06,958362,928799,294233,415674,282031,884316,215402,819583,2119.51,297356,61147.1,12807.3,10715.1,9445.89,3061.39,3.1165
1.70E+06,1.14E+06,891036,275110,446820,315713,849165,208291,792477,3381.82,131979,71151.8,12152.3,16814.9,9813.81,2214.97,3.5361
1.48E+06,974995,913586,269003,444984,306560,870925,207775,776810,1977.49,408734,54820.6,9967.08,13270.2,7729.13,2332.37,4.0172
1.89E+06,1.12E+06,1.01E+06,473130,543502,341242,955630,329712,860988,2312.17,623753,77685.3,18538.3,21494.9,12400.7,5571.72,4.0536
1.67E+06,1.10E+06,908243,350352,565849,384218,883637,259036,811512,2178.43,631627,75228.5,16351.5,18699.4,10832.3,4955.82,4.4549
1.84E+06,1.20E+06,919046,302096,470891,301376,937482,214730,844120,2705.46,355318,54510.3,14330.3,19401.5,12152.2,3441.28,4.8911
1.19E+06,783588,909903,357838,488888,355994,823983,287541,746685,2843.07,440756,53232.1,12809.6,8018.44,9734.83,2612.65,5.4415
2.31E+06,1.49E+06,933232,403520,622476,393658,948756,271996,890130,4854.23,357775,92614.7,21247.8,27804.6,13475.1,5444.16,6.2067
