FSC-A,FSC-H,FSC-W,SSC-A,SSC-B-A,SSC-B-H,SSC-B-W,SSC-H,SSC-W,Comp-BV650-A,Comp-Cell Trace Violet-A,Comp-FITC-A,Comp-PE-A,Comp-Alexa Fluor 647-A,Comp-PE-Cy7-A,Comp-Viability eFluor780-A,Time
1.59E+06,1.10E+06,871840,308349,414552,291043,854621,242013,764460,1883.29,31686.8,65589,22795.7,10180.5,8054.92,1443.99,0.0181
1.75E+06,1.19E+06,884484,397735,519120,361380,861896,300538,794046,2401.37,29220.1,69967.7,22947.3,16992.9,9951.21,2794.27,0.0213
1.58E+06,1.11E+06,852636,237445,369230,262280,844662,191277,744821,1454.76,19165.4,41558.6,10458,9073.25,4666.7,1862.16,0.0237
1.44E+06,1.10E+06,784335,211699,339823,273691,744979,181581,699518,1751.77,99056.6,28593.7,7743.37,4684.43,3864.12,1663.15,0.0247
2.14E+06,1.42E+06,902122,320386,377410,262954,861162,242398,793041,2360.39,17961.8,71412.4,24668.8,14456.7,5542.31,2243.67,0.0261
1.26E+06,852883,883032,431268,636858,434202,880040,327979,788956,2429.66,33004.3,63992.4,16397.2,10567.8,8329.97,2946.1,0.0304
1.69E+06,1.16E+06,874707,341334,590519,405835,873043,263944,775924,1466.89,16245.4,73314.4,20721.2,19127.5,8840.63,2244.8,0.0386
1.85E+06,1.31E+06,844658,310482,515569,381589,810666,247833,751673,1393.89,34595.1,55141.2,14826.2,14834.7,6816.29,2778.83,0.0713
1.88E+06,1.25E+06,903654,296329,507966,354435,859903,225645,787952,2676.32,34812.7,59055.1,12833,15833.4,7303.44,3285.04,0.1047
1.45E+06,1.04E+06,836037,343013,491475,369922,797155,272699,754708,2793.21,40947.1,56165.2,23738.5,11019.2,7231.34,2904.42,0.1886
1.69E+06,1.17E+06,867384,323131,548825,395042,833570,248756,779394,3303.78,33556.3,78748.5,50531.8,12893.3,14393.5,3443.64,0.1935
1.77E+06,1.17E+06,904726,351638,602543,412560,876298,267061,790017,3022.31,18510.9,58191.1,18805.4,16099.3,9162.98,2545.88,0.2322
1.38E+06,963405,856886,345349,559305,392852,854223,263759,785602,1839.92,16575.7,55506.4,27663.1,18446,8103.09,1848.3,0.2771
1.48E+06,1.03E+06,859943,332985,602149,438875,823217,257397,776198,1899.3,279873,51470.7,14922.7,14398.5,10456.7,3501.55,0.2936
2.07E+06,1.40E+06,889288,428866,661930,469810,845359,322640,797544,2643.74,30558.6,63771.5,13570.8,13622.5,7477.45,3229.98,0.322
1.55E+06,1.02E+06,908256,332613,580582,391406,889995,252375,790758,3456.78,37671.2,68319.5,26424,18786.2,10875.9,3644.11,0.3527
1.62E+06,1.18E+06,822986,309310,564074,411460,822545,237080,782800,3543.27,249757,68955.2,20265.1,14039.3,7964,3066.68,0.3623
1.34E+06,1.03E+06,779922,103771,128464,106935,720799,93957,662671,1543.52,9281.81,27225.8,8307.23,5656.82,1715.96,570.944,0.3652
1.59E+06,1.04E+06,917384,497993,693136,431595,963593,352993,846464,2848.93,32752.7,49295.2,28392,15358.3,10698.9,3396.52,0.3746
1.85E+06,1.36E+06,818592,234858,370280,245796,903871,172449,817140,1758.68,40474.9,62337.3,11199.5,18290.3,8647.73,2303.73,0.3824
1.38E+06,881895,937047,411914,636722,414983,920599,286280,863309,4038.89,35042.8,74854,26385.5,25924.2,14190.9,4556.31,0.3904
1.53E+06,1.08E+06,848035,269248,461533,342666,808133,213366,757145,2828.4,6388.61,50409.7,13817.9,12152.5,7293.03,2223.59,0.4232
1.35E+06,906619,890819,508078,594119,423915,840903,388570,784535,4513.05,94803.8,54089.1,21350.6,13572.3,8707.89,2498.87,0.4318
1.63E+06,1.20E+06,819802,349107,460300,324262,851720,262199,798875,2388.57,66613,73227.6,16585,11781.3,8193.03,2808.29,0.4425
1.07E+06,716040,900481,434296,527241,375090,843383,321115,811477,3271.18,36336.8,71899.6,26073.4,11886.6,9061.31,2549.46,0.4454
1.87E+06,1.32E+06,846939,278992,517037,367533,844066,210032,796999,2300.9,11393.7,53021.3,19882.5,18368.2,7179.47,2448.04,0.4593
1.87E+06,1.37E+06,819944,258373,412764,305958,809452,209980,738279,1308.94,64302,60325.4,23827.1,15274.5,6332.91,2174.34,0.4625
1.45E+06,981462,885931,360841,602147,412722,875379,263682,821081,2583.81,14549.5,68717.7,21649,15054,9680.39,3155.95,0.4633
1.53E+06,1.15E+06,798300,277433,494339,367567,806936,224727,740719,864.1,79024.9,41955.3,15963.3,15549.5,8163.78,1474.69,0.5049
1.62E+06,1.17E+06,825660,367108,533080,387750,824882,275944,798224,2514.87,62920.8,58831.3,17516.3,14278.5,7463.5,2492.58,0.5086
1.70E+06,1.11E+06,920327,304988,518394,351066,885977,232398,787411,2696.45,18622.1,62715.4,9804.93,14107.6,6509.08,2940.05,0.5259
1.50E+06,1.03E+06,874514,389417,493607,351902,841609,304494,767339,2814,37239.1,58230.5,10870.6,14298.8,8529.63,3051.28,0.5274
1.64E+06,1.17E+06,841794,355137,569484,405522,842594,273661,778636,1675.58,76405.8,54214.3,18506,13096.2,8032.01,2628.59,0.543
1.59E+06,1.05E+06,908505,335113,535114,359924,892045,246386,816068,2163.96,3167.81,116215,44368.9,21675.8,10968.9,2938.6,0.5803
1.50E+06,1.07E+06,838691,321597,481485,365305,790821,270729,712737,1849.49,32807.4,59137.9,12104.1,13000.3,7671.68,2095,0.587
1.72E+06,1.17E+06,885692,426064,642268,471277,817696,343694,743797,3266.21,52790.6,65559.3,30988.3,13911.6,9693.04,2781.89,0.5913
1.61E+06,1.09E+06,880527,343084,624756,442608,846920,265091,776526,3929.95,32297.6,63973.6,36849.2,11401.8,8071.29,2931.38,0.6057
1.55E+06,998580,930407,404487,606192,389462,933892,278795,870505,3878.21,30433.2,105021,15664.4,23803.9,12606.5,3670.83,0.6101
1.52E+06,1.04E+06,870659,267735,330023,237942,832194,212513,755913,1715.63,16856.5,51132.6,7621.9,12182.4,6985.13,1812.93,0.6353
1.61E+06,976436,991972,448590,757291,493521,920679,325726,826321,3629.7,20014.9,66098.5,21938.1,17376.4,12445.8,3549.16,0.6434
1.47E+06,1.02E+06,862375,422140,540905,379021,856267,320506,790264,3078.94,37801,79953.7,17274.4,14332,9450.13,2335.1,0.6646
1.71E+06,1.12E+06,919259,457899,777981,509524,916127,333472,823875,6224.28,47256,84870.1,33981.5,14796.7,10381.9,4859.27,0.6687
1.64E+06,1.18E+06,836393,258387,418027,303018,827727,200513,773178,1731.86,20150.3,76771.9,25279.4,19375,6941.1,2326.29,0.6899
1.78E+06,1.30E+06,822626,273918,461437,343015,807142,212803,772314,2641,17997.3,67524.1,19228.3,22834.6,7726.36,2238.73,0.6988
1.46E+06,996543,880741,237509,456916,325950,841078,185754,767174,2044.21,34515.6,48403.6,10577.8,12959.2,6392.97,1930.92,0.7157
1.48E+06,1.05E+06,848363,267746,321508,228180,845405,213881,751108,1992.34,11053,60455.1,13638.5,11451.8,5847.83,2125.46,0.7364
1.98E+06,1.14E+06,1.04E+06,454671,726530,447468,974188,311888,874682,4912.3,12963.2,179742,25262.5,45337.8,118490,3219.08,0.7719
1.35E+06,881042,917119,361410,628583,437545,861968,277267,782084,2073.21,26343.5,48971,25854.7,13510.1,5806.37,2115.39,0.7872
2.76E+06,1.67E+06,991763,265382,402410,251076,961645,184373,863625,3125.55,11044,63088.7,24804.5,19793.3,9683.78,2952.1,0.789
1.59E+06,1.04E+06,918170,386424,631321,448081,845367,290083,799269,3471.24,26337.1,104741,31511.3,23259.8,10373.8,3759.54,0.7915
1.52E+06,1.10E+06,828700,241201,347540,257353,810265,199761,724470,1677.65,14400.8,48759.5,8405.05,9694.76,5304.7,1843.04,0.8032
1.38E+06,942839,880192,282726,505494,370839,817865,221222,766810,2973.48,10663.2,77691.9,19543,23554.2,7860.11,2848.85,0.8084
1.70E+06,1.22E+06,832069,278257,463730,348290,798869,220536,757038,1343.01,10279.5,52804,23435.8,16171.8,5471.12,1596.21,0.8947
1.65E+06,1.21E+06,816493,316232,518330,369203,842350,242687,781826,2379.02,82708.9,60298.8,20435.4,13129.7,7284.06,3425.34,0.901
2.19E+06,1.44E+06,913754,246099,387535,282517,823034,191457,771240,2717.69,7993.82,62913.9,49216.3,19451,18579.6,4241.06,0.9237
1.44E+06,1.04E+06,835931,330272,593948,449637,792570,265361,746769,2627.59,68985.4,68337,22546.6,13131.9,7938.48,2979.86,0.9296
1.55E+06,1.09E+06,856438,281783,507067,371671,818574,223021,758088,2471.82,11445.2,61040,15838.6,12438,7221.32,2995.19,0.9517
1.67E+06,1.03E+06,972116,197146,411721,269405,916957,139177,849908,3959.11,54896,55005.3,18879,7328.05,4732.26,3095.52,1.017
