"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.23153e+06,960241,769515,145903,141219,115721,732207,132407,661157,2026.64,-5723.24,1.85217e+06,23786.1,3857.51,3856.58,6852.89,0.0178
1.44017e+06,1.13339e+06,762400,157829,219548,184918,712362,142815,663078,2369.41,-6006.56,2.27086e+06,37623.1,4130.13,5420.58,8669.38,0.0517
1.39597e+06,1.16448e+06,719275,137314,136758,119460,686881,128381,641750,1915.69,-7278.74,2.33717e+06,17478.6,1273.3,4523.87,7572.28,0.0599
1.33277e+06,1.01335e+06,789130,129742,171506,141873,725324,118098,659158,2187.46,-5270.11,1.82307e+06,31272.8,5333.11,3060.61,6603.4,0.1097
1.58221e+06,1.20875e+06,785376,139481,299971,234085,768876,121140,690843,2171.12,-2009.12,1.12825e+06,19489.3,4614.91,1966.52,4448.17,0.2157
1.07922e+06,849996,761806,151340,144449,118759,729793,138918,653653,1694.48,-6703.11,1.98404e+06,24116,121.542,3377.77,6450.79,0.3482
1.26896e+06,1.02846e+06,740309,152485,235658,213898,661037,141881,644843,1584.4,-5659.38,2.02812e+06,31036.1,2303.78,4073.79,7503.4,0.3668
1.63953e+06,1.3289e+06,740253,156673,201299,174647,691563,144521,650453,2060.72,-8420.04,2.736e+06,21315.7,3728.85,3937.66,9353.9,0.3847
1.4993e+06,1.16671e+06,771042,105989,165972,134718,739199,95548,665563,2770.47,-2836.86,1.07394e+06,24455.6,3056.04,3685.3,4184.16,0.4147
1.12309e+06,864192,779750,172679,199411,169973,703916,157173,659193,2487.01,-6096.54,1.85998e+06,26987.5,3204.24,4666.53,6355.57,0.4832
1.35708e+06,1.02045e+06,797930,158824,248510,203893,731295,142778,667432,1396.2,-5073.09,2.22993e+06,28442.4,2728.94,3548.82,7941.94,0.6663
1.46604e+06,1.18706e+06,741010,85991.4,148085,130077,683064,79642,647835,1641.08,-2183.74,966573,21554.7,1270.22,3074.08,3422.99,0.7272
1.49277e+06,1.2569e+06,712600,146903,181892,166132,656920,138858,634761,1868.94,-7882.39,2.47995e+06,22132.2,1552.53,3200.18,8119.4,0.8099
1.36032e+06,1.12338e+06,726553,127590,128810,105618,731749,113888,672187,1835.39,-6349.11,1.91777e+06,26859.7,2851.22,4446.05,6920.38,0.8424
1.60532e+06,1.22943e+06,783448,110757,150861,120528,751001,100345,662256,2823.06,-7994.02,2.26831e+06,26138,2097.68,3473.22,7911.52,1.0957
1.33134e+06,1.07281e+06,744591,128560,193209,167922,690354,116410,662624,1828.78,-5075.66,1.80402e+06,29664.1,2068.27,4318.41,6717.19,1.1362
1.58032e+06,1.18958e+06,797081,115510,168260,131332,768707,104711,661882,2479.59,-2293.51,933688,26850.6,2758.1,3432.34,3764.32,1.377
1.50088e+06,1.1716e+06,768632,108261,148503,126453,704625,102622,632967,1746.64,-6103.09,1.74182e+06,17574,2242.71,2680.18,5746.96,1.506
1.22164e+06,975058,751731,112712,164857,140710,702964,102026,662843,2009.62,-897.795,1.26253e+06,30381.1,1027.49,1793.19,6591.62,1.5861
1.51827e+06,1.21148e+06,751944,139557,146030,124226,705310,130961,639384,1628.37,-8713.59,2.70665e+06,18390.2,-65.7373,3628.82,8848.13,1.6522
1.29706e+06,1.00313e+06,775806,166177,169361,134581,755057,148427,671753,2488.5,-9537.55,2.67802e+06,30760.5,3718.98,4584.9,8947.96,1.689
1.5852e+06,1.28887e+06,737949,106009,150666,131230,688863,100292,634203,2013.98,-4285.17,1.37837e+06,19126.7,279.847,3057.68,4593.34,1.6961
1.27811e+06,997025,769154,184690,241567,195264,742279,163224,678908,2374.29,-5673,2.01851e+06,34528.2,1539.58,4539.11,7747.09,2.0966
1.57433e+06,1.27031e+06,743593,131267,179732,156969,687011,121317,649212,2051.89,-6961.85,2.52118e+06,22990.3,1697.03,3838.63,8460.18,2.5822
1.06756e+06,842072,760669,244056,383557,355471,647407,227128,644718,2158.68,-7339.48,2.32724e+06,34261.8,2954.76,5824.48,7781.36,2.7073
1.39375e+06,1.14199e+06,732276,149296,168203,147633,683600,140112,639327,2802.81,-7728.34,2.21929e+06,23238.8,2189.03,3865.73,7374.41,3.0015
1.35744e+06,1.10265e+06,738641,127864,135524,115679,702932,117106,655118,1870.7,-5990.11,1.96874e+06,23169.3,1851.14,4048.17,6248.75,3.1984
1.58565e+06,1.26093e+06,754514,159628,198658,169013,705239,147057,651292,2459.58,-12755.4,4.00038e+06,28174.9,2901.59,3659.48,14020.5,3.251
1.72973e+06,1.31303e+06,790418,355991,877835,756065,696634,325203,656804,2549.76,-3775.77,1.97906e+06,28153.7,4241.4,4082.79,9735.81,3.3689
1.34668e+06,1.09551e+06,737567,145273,190108,157410,724634,133410,653352,1449.94,-2874.8,1.11278e+06,26082.2,3257.56,3139.69,4423.7,3.3895
1.40658e+06,1.1399e+06,740369,219659,266042,247444,645096,214776,613640,1453.93,-7722.92,2.36917e+06,17401.8,933.388,3547.51,7617.38,3.394
1.49969e+06,1.18724e+06,757903,138734,196833,169461,696916,125769,661853,1980.06,-6519.09,2.37043e+06,36261.5,2122.33,4582.79,8492.93,3.4925
1.49819e+06,1.19835e+06,750128,134104,191270,166450,689468,124866,644388,2393.1,-6976.47,2.32126e+06,25180.8,2854.97,3688.43,8303.74,3.7171
1.48046e+06,1.12578e+06,789034,159463,228021,177177,772180,140989,678618,2298.81,-6791.36,2.4008e+06,29976.6,2956.1,2988.18,10120.5,3.741
1.56321e+06,1.24447e+06,753672,140454,191303,167514,685206,130051,647994,1092.61,-6937.08,2.49112e+06,26959,2914.71,3496.85,8795.86,3.8147
1.37054e+06,1.05078e+06,782587,144254,160306,130199,738742,131348,658955,1800.49,-5656.12,2.17785e+06,27682,1595.1,4438.84,8078.09,3.882
1.33731e+06,1.02772e+06,780747,145090,226742,182442,745692,126408,688676,2417.79,-6258.89,2.19962e+06,36149.9,3568.49,4337.74,8180.4,3.9725
1.13547e+06,855341,796504,170528,196286,155518,757288,154168,663672,1659.78,-5720.19,2.01058e+06,26694,3078.85,4000.85,7399.64,3.9836
1.65663e+06,1.27924e+06,777006,187281,252620,216719,699394,176770,635678,1931.48,-9049.29,2.42146e+06,26933.8,3813.09,3516.46,8728.94,4.011
1.07854e+06,859285,753094,173354,220779,192144,689417,160000,650078,2272.35,-6099.39,2.05919e+06,28608,3256.48,3725.87,7380.3,4.0303
1.37603e+06,1.0748e+06,768155,397204,660112,509042,778064,337826,705460,1943.65,-5892.24,2.02151e+06,29272.2,2533.73,3153.97,7491.28,4.0745
1.39139e+06,1.05354e+06,792404,130378,157240,129392,729131,118213,661742,2477.49,-6162.98,1.94717e+06,30689.4,1662.78,4217.52,7073.23,4.097
1.12884e+06,882760,767260,134439,173172,146611,708701,121938,661510,1976.56,-7286.73,2.02964e+06,26033.5,2250.06,4385.32,6264.32,4.2543
1.17363e+06,920453,765034,166781,260507,225698,692537,152746,655132,2306.02,-4669.46,1.79541e+06,30526.5,2711.02,4876.27,6828.47,4.2949
1.55543e+06,1.24397e+06,750225,113853,168278,148402,680360,105212,649280,1912.33,-5083.97,1.86337e+06,23185.7,1241.05,3183.71,6026.27,4.3311
1.15246e+06,913967,756568,154559,229989,201978,683210,141884,653602,1835.84,-3565.96,1.49329e+06,26984,361.243,3321.68,5581.35,4.4183
1.14838e+06,873356,788941,122669,189126,159453,711654,109842,670064,2032.91,-3849.47,1.70704e+06,32422.1,4071.33,4003.91,5642.67,4.4834
1.50328e+06,1.19332e+06,755843,136492,189143,161741,701651,123957,660676,1968.05,-7353.62,2.45449e+06,25528.1,1607.7,3738.87,8767.67,4.4873
1.3551e+06,1.08370e+06,750262,157068,167419,145432,690709,146478,643378,2318.3,-7564.88,2.43251e+06,25800.4,4355.15,4563.45,7281.15,4.6354
1.54508e+06,1.12999e+06,820402,199168,248842,191574,779360,174828,683532,4305.07,-6249.58,2.46372e+06,47114.8,4140.4,6073.94,8227.48,4.9849
1.53048e+06,1.27945e+06,717716,99822.4,142363,119776,713148,91292,656065,2074.28,-2562.65,889602,23889.8,1676.25,3663.13,2801.64,5.0143
1.62458e+06,1.22275e+06,797179,228038,527999,426083,743515,195965,698201,3512.08,-2569.73,1.35216e+06,32491.5,5030.38,4620.46,6413.58,5.0453
1.42067e+06,1.16372e+06,732476,133230,140969,118986,710851,120045,665901,2146.84,-8277.25,2.26848e+06,20342.8,1556.2,4072.44,6644.05,5.2005
1.24951e+06,978117,766482,147139,284016,215976,789020,122298,721871,2805.18,-4094.18,1.59584e+06,28804.8,1623.85,3654.35,6553.28,5.431
1.41753e+06,1.02913e+06,826447,273798,482708,387734,746967,235072,698846,4407.24,-6939.68,3.45966e+06,85140.9,13512.3,8371.07,13065.7,5.4349
1.1951e+06,910391,787640,174448,196654,160664,734406,160538,651988,1784.29,-6527.96,2.10024e+06,29595.1,2767.88,4465.06,7492.3,5.6564
1.48124e+06,1.16298e+06,764193,120716,181946,151198,722019,108808,665667,2119.16,-5688.03,2.13832e+06,31014.2,2296.79,3733.75,7540.01,5.702
1.48687e+06,1.24682e+06,715514,141033,171525,152564,674570,131052,645694,1575.91,-10313.4,3.11682e+06,21222,3433.11,3561.04,10793.8,5.9008
1.66281e+06,1.32407e+06,753497,193304,341494,269493,760304,172230,673415,2074.39,-9921.35,3.2316e+06,21835.3,1137.67,2919.13,11036.5,6.0668
1.25046e+06,989289,758399,212402,250706,201824,745321,185997,685178,2604.97,-8251.64,2.45916e+06,42914.4,4630.4,5358.35,8658.1,6.2175
1.38957e+06,1.11442e+06,748135,113065,130999,113511,692436,105706,641770,1868.19,-7688.54,2.14865e+06,19554.4,1595.08,2726.79,7578.47,6.2499
1.59988e+06,1.33781e+06,717537,125966,161434,145000,668002,118182,639521,1652.91,-6962.63,2.39454e+06,26151.8,1170.9,3331.48,8618.94,6.5599
1.3768e+06,1.12449e+06,734624,169885,177398,143463,741925,150782,676016,2355.64,-8521.13,2.33561e+06,23391.5,1825.6,3875.23,8168.96,6.7474
1.14254e+06,859109,797947,159592,199000,162628,734191,147002,651388,2111.51,-5430.9,1.92421e+06,30577.5,2785.17,3522.32,6732.68,6.8749
1.27353e+06,1.02161e+06,747954,127487,197075,170766,692439,113882,671678,1795.02,-3273.25,1.39918e+06,28482.5,3863.59,2736.72,5128.06,6.9637
1.22107e+06,967686,757106,168323,221454,185356,716850,150528,670932,2893.01,-6839.18,2.05657e+06,34398.7,3982.15,5741.69,7593.21,7.0439
1.67365e+06,1.20889e+06,830671,166551,240803,185667,778177,145869,685071,2563.62,-4117.48,2.70771e+06,42256.4,3454.12,5489.94,8237.88,7.4082
1.47399e+06,1.1828e+06,747716,140122,193445,175813,660173,131514,639272,2269.73,-7384.64,2.6145e+06,35452.3,-553.729,4960.18,8412.79,7.679
1.35291e+06,1.11228e+06,729803,149683,135420,110122,737836,133627,672091,2132.48,-10018.9,3.01114e+06,25627.7,-1589.11,5002.18,9550.48,7.713
1.61064e+06,1.29541e+06,746008,153747,168151,146263,689789,139325,662106,2471.65,-9125.2,2.85798e+06,38796.1,-418.937,5477.62,10785.2,7.7827
1.02965e+06,780968,791055,175215,244572,202036,726323,156623,671225,3801.18,-6671.89,2.23857e+06,31293.4,9843.68,4564.36,9683.48,9.633
1.43946e+06,1.12195e+06,769800,145154,226945,192574,707088,130698,666365,3790.76,-6724.8,2.19778e+06,27144.2,11285.1,4255.67,8128.82,9.6708
1.72698e+06,1.3254e+06,781790,331494,892355,827308,647175,310340,640898,4209.81,-12777.7,3.99604e+06,37644.4,15250.5,4206.53,14129.6,9.6802
1.41653e+06,968237,877800,271494,331336,256228,775877,223759,728000,7093.26,-1806.52,2.03299e+06,48600.4,17731.1,7456.27,10850.8,9.6995
1.31447e+06,1.08095e+06,729618,184112,265380,204720,777783,159627,692032,2719.14,-4827.32,1.87714e+06,26657.3,6176.09,4137.19,7952.02,9.7538
1.48521e+06,1.1826e+06,753531,137446,231550,190297,730070,121609,678138,2644.45,-5964.21,1.7571e+06,25559,7074.15,4169.96,7009.26,9.7887
1.68037e+06,1.3198e+06,763921,132703,211717,179625,707198,119666,665365,2551.26,-5333.47,2.67714e+06,29802.4,4485.29,4620.11,9924.31,9.8566
1.51603e+06,1.23547e+06,736250,161106,264386,247658,640526,153193,630993,2807.72,-5404.97,2.09622e+06,22201.1,4362.71,3572.61,8405.52,9.8689
1.52692e+06,1.17089e+06,782442,141995,183821,146510,752798,130205,654331,2657.07,-4263.04,2.37955e+06,20430.1,9038.09,4313.72,7568.38,9.925
1.30989e+06,1.0512e+06,747654,126850,123986,104661,710788,116776,651763,1667.51,-8114.48,2.13447e+06,17025.2,2276.6,2777.75,7986.24,9.949
1.52965e+06,1.24681e+06,736110,126926,172245,147301,701605,115835,657448,2049.28,-4860.47,1.90901e+06,26734.4,4847.85,3063.39,6460.29,9.9613
1.47803e+06,1.2324e+06,719587,104055,117455,105512,667914,98562,633440,1769.02,-6123.81,2.07133e+06,17739.5,2560.83,2452.57,7074.31,9.9683
1.34009e+06,1.01268e+06,793989,142692,188630,153152,738992,129346,661909,1485.56,-3358.48,1.84025e+06,26083,2953.6,3131.12,6024.2,9.9721
1.48348e+06,1.1319e+06,786369,109664,136286,111145,735722,99608,660575,2396.52,-5331.11,2.05116e+06,21198.2,2855.69,3181.38,6821.4,10.0554
1.56798e+06,1.23175e+06,763781,167303,179499,146803,733631,151813,661221,2011.81,-7166.79,2.37219e+06,23273.6,4381.6,3839.71,8846.67,10.1297
1.39006e+06,1.13637e+06,733948,133235,167114,141910,706565,123071,649550,2771.88,-6283.47,2.08417e+06,28270.2,7060.17,4418.94,7185.48,10.1523
1.29987e+06,1.00851e+06,773338,170224,250196,215186,697619,153556,665127,2655.29,-4840.99,2.26542e+06,40414.5,5605.89,5319.57,8381.02,10.1523
1.16804e+06,955601,733383,137794,158629,140368,678056,128280,644501,819.862,-6601.61,2.06699e+06,23310.4,3848.44,3355.43,7972.87,10.2641
1.33879e+06,1.08664e+06,739232,131276,175078,155599,675113,122439,643306,2636.16,-6036.26,2.04191e+06,26463.5,4710.47,3031.32,7559.75,10.3016
1.34127e+06,1.05126e+06,765523,155305,184259,146994,752108,138673,671963,2373.55,-7790.41,2.42026e+06,22578.5,8336.02,2440.27,8277.42,10.3166
1.45593e+06,1.15573e+06,755847,194376,214019,152976,839421,150653,774132,2539.98,-2862.11,2.21418e+06,23904.3,6413.99,4851.63,9120.13,10.3922
857338,623185,825442,122352,174150,117044,892744,91145,805436,2249.1,-8412.28,2.52373e+06,31600.9,7080.51,2738.68,8969.26,10.4063
1.48846e+06,1.16532e+06,766377,180722,276587,243889,680440,168288,644333,2116.45,-6820.13,2.71921e+06,42113.4,5381.62,5417.33,10736.4,10.4316
1.45348e+06,1.16301e+06,749857,130831,156601,133896,701741,121189,647735,2627.71,-7163.76,2.11042e+06,21134.9,2407.01,3561.43,7799.45,10.448
1.1798e+06,971097,728951,140810,205183,167173,736423,124047,681079,1777.19,-4823.03,1.74999e+06,26524.5,3460.85,3366.01,6158.82,10.4486
1.26282e+06,982887,770883,123789,139469,116403,718891,114976,645991,2139.06,-5880.33,1.89273e+06,19800.2,2242.87,2710.72,6073.2,10.4839
1.44161e+06,1.20693e+06,716669,114300,134721,123753,653175,108617,631392,1639.19,-6617.35,2.01408e+06,21382.6,1942.54,3090.71,6844.9,10.4974
1.45292e+06,1.15271e+06,756266,137386,235168,193611,728784,120572,683673,1482.29,-5178.14,2.16425e+06,23403.2,3270.84,3486.68,8424.78,10.4985
1.40406e+06,1.17165e+06,719016,169321,181976,161513,676016,159368,637472,1481.42,-7367.72,2.27694e+06,13728.4,2013.75,2909.11,8202.48,10.5564
1.78167e+06,1.40451e+06,761117,371121,892937,741949,722101,325080,684978,2187.5,-8116.2,2.64365e+06,29150.8,3980.56,2672.7,11092.4,10.5601
1.62147e+06,1.2854e+06,756871,125793,229210,182126,755114,111089,679420,1929.28,-4938.6,1.89918e+06,19333.6,3586.88,3409.13,7428.95,10.5785
1.19132e+06,952580,750376,176686,194346,156429,745434,155520,681659,1495.22,-7833.34,2.49411e+06,22449.5,2844.31,3667.92,8395.73,10.5884
1.28378e+06,957763,804237,144381,203333,166590,732337,130934,661619,2463.89,-3026.29,1.31289e+06,30305.5,8631.41,4769.35,4848.68,10.603
1.17752e+06,895954,788559,133598,200310,163238,736264,115482,694122,2407.8,-6241.98,2.20182e+06,27795.3,4433.69,3757.11,8165.7,10.6312
1.42735e+06,1.17282e+06,730210,99887.9,161286,144933,667701,94700,632869,1813.05,-2595.36,1.13507e+06,20658.6,4031.89,2523.28,3662.48,10.6312
1.38466e+06,1.08355e+06,766737,141072,203976,172787,708303,127130,665799,1216.54,-6331.86,2.22972e+06,27773.4,996.3,3047.16,9089.69,10.6655
1.45104e+06,1.2162e+06,715855,212721,337482,341015,593784,210721,605694,2160.39,-7504.61,2.33771e+06,22177.3,1493.06,3344.3,8624.29,10.6963
1.51149e+06,1.23805e+06,732517,220989,622400,445098,839006,184914,717053,1981.05,-2471.95,1.17907e+06,24870.3,2491.73,3445.14,5191.59,10.7075
1.48874e+06,1.16608e+06,766020,95793.4,160854,137469,702067,89841,639753,1618.93,-880.764,1.17034e+06,15371.3,3115.38,2414.59,4364.31,10.771
1.48747e+06,1.09832e+06,812586,208337,362779,295460,736707,181124,690148,3446.91,-6628.69,2.49915e+06,63315.8,4663.32,6046.33,9817.17,10.7996
1.31556e+06,1.08071e+06,730385,155134,222962,195495,684301,143416,649026,1786.8,-5693.83,1.93047e+06,22845.2,5294.52,2800.11,6436.82,10.8184
1.39298e+06,1.04634e+06,798771,143086,180846,144811,749303,130620,657261,1296.58,-3073.44,1.91301e+06,24503.9,1767.64,4168.48,6815.89,10.8672
1.38615e+06,1.06775e+06,778920,131420,119882,100234,717612,122168,645441,1586.57,-8953.88,2.54508e+06,21122.4,2962.89,3114.74,8952.09,10.9088
1.29242e+06,1.04455e+06,742375,174837,224524,194506,692597,161669,648870,1568.16,-5577.62,1.94383e+06,27947.6,-916.016,3971.24,7418.29,10.9218
1.60149e+06,1.21633e+06,789995,146552,222418,149812,890789,123016,714795,2243.63,-5903.41,2.38056e+06,34766.4,4460.71,3835.81,8728.96,10.9231
