"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.38847e+06,1.0565e+06,788535,142323,153836,120943,763183,128799,662999,2746.44,-5932.04,1.81102e+06,23165.7,4605.02,2823.28,5913.37,0.942
1.43931e+06,1.12766e+06,765817,126746,193484,160869,721644,114700,663015,2093.47,-4733.18,1.54356e+06,31767.1,2758.2,2895.48,5683.89,1.0307
1.55949e+06,1.26848e+06,737649,126088,164190,137934,714210,113860,664438,2626.51,-5949.77,2.09748e+06,28143.6,1712.29,3260.04,7597.09,1.3592
1.2463e+06,916045,816310,183347,258888,199731,777709,162240,678060,2896.36,-1593.1,1.70738e+06,26518,2915.46,3132.88,6321.02,1.379
1.35563e+06,1.07145e+06,759136,154600,186096,113624,982692,122035,760112,2023.1,-4664.69,1.72615e+06,19739.5,1595.9,2912.81,5689.19,1.399
1.4503e+06,1.11213e+06,782443,119560,148764,118668,752171,107960,664469,1921.73,-5601.57,1.79172e+06,19562.4,3573.6,3479.26,6219.64,1.4371
1.28304e+06,1.04486e+06,736773,145490,186082,153498,727364,127321,685622,2186.08,-3462.2,1.78521e+06,26163.6,3526.9,2514.95,6706.93,1.4917
1.61322e+06,1.2018e+06,805407,127956,206401,160806,770123,112783,680720,2493.01,-773.436,1.73066e+06,23937.8,1865.4,3907.79,5530.74,1.5615
1.54208e+06,1.25288e+06,738498,98020.4,166634,146874,680722,91417,643340,2218.26,-1167.18,627251,22302.5,3159.65,3395.87,2910.74,1.5685
1.41476e+06,1.14257e+06,742940,135984,154451,130852,708208,123623,659992,2668.51,-6747.12,2.20307e+06,23055.2,1037.78,3724.47,7802.83,1.7308
1.52504e+06,1.13578e+06,805632,160562,251141,200580,751244,143653,670623,2842.25,-4718.32,1.98259e+06,31501.9,988.001,4018.2,7358.86,1.799
1.21286e+06,983268,740102,158689,169004,145647,696222,145459,654574,2036.56,-5728.79,1.95451e+06,23813.4,3286.56,2892.53,6265.63,1.9201
1.59438e+06,1.19011e+06,803813,129967,182381,142062,770287,114590,680514,3002.06,-3999.46,1.9989e+06,30019.8,1763.39,3521.41,7277.96,1.9465
1.42922e+06,1.16972e+06,733111,110211,136016,113405,719629,99190,666663,1987.46,-5024.99,1.68074e+06,30417.5,4109.48,3432.04,6167.31,2.1296
1.53992e+06,1.23393e+06,748787,107391,184351,151966,727863,94923,678809,2894.73,-3226.05,1.25018e+06,28326,4583.07,3169.96,4718.1,2.1854
1.55774e+06,1.29637e+06,720970,103055,127712,115553,663133,95269,649038,2165.51,-4631.72,1.91847e+06,20943.5,2010.66,3170.28,7636.06,2.1993
1.51326e+06,1.19438e+06,760190,168349,196757,159755,738970,150251,672269,1812.97,-6486.77,2.2534e+06,28686.1,2361.91,4320.81,8274.26,2.2039
1.51411e+06,1.2463e+06,728935,133016,161125,138763,696691,121598,656338,2771.89,-5926.62,2.05123e+06,23594.3,658.547,3362.18,7626.14,2.2443
1.5094e+06,1.18284e+06,765647,136492,228696,181120,757606,118646,690248,2553.23,-5635.79,1.9738e+06,30817.2,4756.53,3247.29,8055.38,2.5935
1.4776e+06,1.11117e+06,797861,155932,208642,169142,740118,143355,652639,2952.13,-5408.1,2.24702e+06,36680.6,8267.49,4280.13,8527.46,2.8906
1.28924e+06,1.03637e+06,746399,176661,286066,248846,689742,161427,656623,2046.25,-5466.69,1.93129e+06,33235.5,2989.83,4511.42,7611.12,2.97
1.13784e+06,895744,762164,128994,117274,97004,725373,117834,656825,1523.39,-4989.26,1.87408e+06,22670,4785.13,3110.87,6749.94,2.9747
1.46561e+06,1.11958e+06,785439,142878,199272,164589,726436,132372,647622,2106.54,-4739.1,1.90106e+06,22903,4426.64,2401.53,6505.26,2.9985
1.47683e+06,1.13009e+06,784092,108219,148462,122462,727384,101152,641920,1307.84,-2093.01,1.43142e+06,20329.9,2388.83,2928.06,4945.43,3.0844
1.23766e+06,994289,746862,122747,111309,95465,699578,112737,653273,2532.35,-5338.47,1.69462e+06,24255,1633.49,3912.06,5624.91,3.1346
1.4486e+06,1.20814e+06,719425,105719,140557,122617,687787,98559,643587,2054.69,-4857.44,1.69945e+06,19391.6,2113.93,2411.98,6195.5,3.5827
1.24286e+06,962493,774774,139209,133450,103350,774747,121244,688905,1991.44,-6301.88,2.21906e+06,24898.5,2417.87,2797.46,7789.57,3.6322
1.11888e+06,871620,770209,194579,265278,212566,748788,168493,692891,1759.57,-4906.08,1.59677e+06,26101.2,2307.51,3467.01,6146.1,3.7255
1.15817e+06,882775,787181,196999,233489,177756,788122,175067,675167,2280.44,-6364.88,2.13498e+06,29113.2,1490.96,4025.16,8119.22,3.8618
1.52031e+06,1.18387e+06,770511,140956,195748,161388,727742,128961,655809,1910.56,-7300,2.30722e+06,26282.1,2006.14,2731.54,8434.85,4.1412
1.50156e+06,1.23996e+06,726581,110641,147640,131592,673170,102126,650027,2362.64,-5676.93,1.63835e+06,23666.3,1751.78,2529.63,6075.95,4.2069
1.32549e+06,1.0537e+06,754766,138208,222651,186903,714759,123881,669390,2136.63,-3146.5,1.65201e+06,29925.2,2348.2,2873.91,5753.42,4.5569
1.3618e+06,1.00889e+06,809884,163835,270400,212633,763006,146816,669553,2700.88,-2112.42,1.52676e+06,37802.7,4050.63,4114.58,5397.02,4.6371
1.29113e+06,969385,799145,168877,212202,165796,767938,148875,680614,3238.34,-6026.7,1.98495e+06,29989.1,2843.18,3438.34,7435.37,4.8446
1.33438e+06,1.05373e+06,759803,124178,187477,154373,728664,109772,678742,2962.28,-4003.19,1.60227e+06,32452.6,2241.78,2402.98,6675.35,4.928
1.31929e+06,1.05896e+06,747501,121663,146076,120605,726715,107994,675944,2431.06,-5497.61,1.9951e+06,21484,1455.71,2789.41,6970.82,4.9412
1.35592e+06,1.03773e+06,783973,128009,195439,158299,740773,116687,658219,1510.66,-3770.71,1.63432e+06,25172.4,855.789,3392.04,5864.3,5.3927
1.48567e+06,1.22732e+06,726300,120925,155684,130300,716886,108826,666707,2328.92,-5126.15,1.99197e+06,24921.3,4199.25,3473.48,7020.48,5.5628
1.46107e+06,1.08496e+06,807994,122132,174552,138871,754160,109578,668739,1640.44,-1570.75,1.83467e+06,27207.1,14307,3155.32,6115.86,5.6365
1.38525e+06,1.13606e+06,731607,131563,174394,153461,681843,120647,654286,2024.55,-3541.81,1.47246e+06,29523.5,2505.59,3087.71,5895.54,5.7128
1.52759e+06,1.20348e+06,761588,188268,315338,230334,821427,148315,761628,2857.2,-4612.77,1.96769e+06,43097.4,4192.31,4838.6,7398.77,6.0133
1.27632e+06,1.03659e+06,738759,120919,117048,97673,719018,112160,646859,1994.26,-6389.08,2.07907e+06,16148.7,2.38802,2684.54,7214.19,6.3722
1.61117e+06,1.28839e+06,750319,105725,163195,133491,733512,91754,691356,1654.69,-2818.76,1.70855e+06,31393.9,4153.49,3733.09,7052.72,6.4474
1.24181e+06,962975,773737,158238,188620,151205,748469,140923,673722,2948.57,-5542.31,1.83616e+06,35093.1,2358.89,3096.28,6560.22,6.5049
1.53928e+06,1.17091e+06,788761,128974,179317,149559,719382,118673,652079,1696.7,-1593.73,969646,24731.2,2705.2,2263.13,4339.34,6.7391
839719,663981,758804,109696,114073,96172,711681,101240,650116,1686.74,-3205.91,1.35318e+06,19257.2,1587.09,1883.97,4765.98,6.8023
1.5077e+06,1.19629e+06,756191,108117,186693,158933,704800,98596,657941,2441.74,-830.096,834425,24585.3,1634.46,2566.79,4099.92,6.9775
1.36175e+06,1.12778e+06,724473,113531,158733,141655,672337,104246,653441,1478.44,-3151.35,1.47694e+06,26665.6,2966.25,2604.18,5627.33,6.9847
1.14326e+06,909969,753826,103780,88780.9,71707,742864,92725,671532,3134.06,-3312.49,1.47602e+06,21817,8250.21,3160.55,4913.85,8.3697
1.3761e+06,1.10345e+06,748254,142220,199873,168615,711227,127597,668764,3164.38,-4243.62,1.71991e+06,30589,5913.55,3962.97,6867.7,8.386
1.22297e+06,886360,827861,154199,221541,172405,771001,138364,668666,2112.33,-1433.43,1.67448e+06,24079.5,4120.77,4137.21,5298.48,8.4371
1.46677e+06,1.14563e+06,768194,104643,144231,121833,710305,97085,646710,2202.91,-5396.23,1.69248e+06,22336.1,3070.03,3056.42,7146.37,8.4522
1.24278e+06,1.04998e+06,710176,140048,161565,145696,665352,131988,636639,1646.98,-5086.26,1.66058e+06,18102,4475.31,3124.48,5719.05,8.4983
