"FSC-A","FSC-H","FSC-W","SSC-A","SSC-B-A","SSC-B-H","SSC-B-W","SSC-H","SSC-W","Comp-Alexa Fluor 647-A","Comp-BV650-A","Comp-Cell Trace Violet-A","Comp-FITC-A","Comp-PE-A","Comp-PE-Cy7-A","Comp-Viability eFluor780-A","Time"
1.32633e+06,1.06675e+06,746004,157418,223522,196258,683351,143918,656281,1955.09,-2406.17,1.24721e+06,26014,4998.09,3636.52,4673.23,0.0599
1.33946e+06,1.0074e+06,797773,185905,283382,219474,774711,164144,679545,2006.38,-3812.08,1.2891e+06,26727,3246.55,2836.7,4645.91,0.2352
1.24499e+06,992252,752827,170420,210575,161421,782705,141167,724333,5608.31,-772.589,1.54941e+06,32738.8,15485.1,5994.88,5351.91,0.2504
1.19938e+06,868120,828951,106333,148691,110776,805363,90680,703573,2813.66,-952.745,1.45215e+06,21491.2,4178.97,3501.2,4273.89,1.8051
1.48095e+06,1.09405e+06,812185,162131,255135,195565,782763,137825,705812,3284.74,-3407.44,1.63328e+06,32594.9,2957.23,4284.85,5620.07,2.3045
1.36322e+06,1.0654e+06,767718,133298,217298,165429,788126,113445,705001,1845.3,-4433.98,1.90903e+06,30563.8,6290.43,4386.01,7181.08,2.5573
1.47403e+06,1.11888e+06,790452,169278,290348,222171,784121,147640,687935,2627.21,-3000.87,1.39867e+06,27206.8,2043.08,3227.45,5101.74,2.5694
1.34161e+06,1.05847e+06,760501,104511,109156,88566,739491,91277,686991,872.252,-2978.56,1.28904e+06,16820.5,2358.48,2200.77,4453.22,2.5755
1.44178e+06,1.10723e+06,781290,160079,279050,229459,729674,143780,668018,2831.09,-2956.24,1.44121e+06,29708,6151.49,3781.33,6345.73,2.6641
1.57833e+06,1.26604e+06,748003,112941,172176,147641,699707,102021,664222,1698.8,-4716.74,1.62367e+06,21771.8,1847.13,8140.96,5680.64,3.0915
1.48053e+06,1.15094e+06,771823,127909,192612,156522,738346,115221,666074,2713.65,-3801.98,1.51172e+06,28992.2,3393.72,3830.07,5304.76,3.1621
1.43354e+06,1.18423e+06,726315,118085,186492,157736,709384,105315,672755,3128.1,-3393.73,1.19019e+06,29991.6,2287.3,4227.86,4367.55,3.8226
1.60536e+06,1.17759e+06,817956,176580,207593,145271,857402,142614,742900,2496.39,-5676.98,1.7208e+06,22026,2827.33,3941.84,5615.3,3.9867
1.47943e+06,1.15235e+06,770302,135575,228526,186443,735428,119848,678737,2787.28,-2845.35,1.31873e+06,26172.1,3169.52,3129.69,4378.04,4.0854
1.24193e+06,1.02972e+06,723650,168056,231560,191376,725983,148034,681151,1691.9,-3582.22,1.42392e+06,22638.5,2279.89,2841.52,4806.71,5.2946
1.4279e+06,1.19431e+06,717353,114903,149563,130372,688321,104798,657852,3079.27,-3311.85,1.29226e+06,19417.7,2179.1,3223.31,4199.47,5.813
1.33178e+06,1.06518e+06,750172,156767,252231,200629,754322,136687,688145,2476.33,-3314.69,1.52092e+06,30649.3,2105.37,3944.03,5814.18,6.3384
1.56565e+06,1.16034e+06,809581,225416,243029,195887,744395,193504,698951,2929.2,-3970.65,1.42208e+06,22072.4,9190.75,3665.61,4524.14,7.8063
1.61439e+06,1.22224e+06,792508,218186,336332,270809,745171,185685,705021,2497.11,-3217.22,1.71392e+06,35959.2,6797.37,4268.88,6728.78,7.9288
1.08234e+06,776404,836428,139286,210627,165239,764808,119480,699463,5302.38,-2707.3,1.55878e+06,28232.6,4449.47,4386.09,6440.72,8.1609
1.30679e+06,1.03009e+06,761166,146766,189115,150305,754924,130547,674545,1726.07,-2881.01,1.21607e+06,25746.3,3299.63,2071.76,4657.18,10.5352
1.13907e+06,890691,767317,205172,332021,246788,807223,161161,763851,1917.69,-3422.38,1.51593e+06,26050.8,1440.19,3200.64,5525.65,10.8813
1.25356e+06,1.0334e+06,727821,136758,206188,179293,690004,124741,657801,1709.48,-2500.32,1.13886e+06,22855,1064.43,2788.06,3888.72,11.0153
1.3802e+06,1.16496e+06,710855,152077,197569,136947,865601,120693,756019,2074.26,-3374.39,1.41726e+06,25936.3,3697.61,3092.81,5598.23,11.129
1.58866e+06,1.30804e+06,728720,110454,141729,120429,706120,97704,678295,1601.73,-4173.87,1.73324e+06,21595.4,996.894,3554.26,6065.87,11.3485
1.31143e+06,1.04598e+06,752264,167882,254951,196659,777848,142293,707900,1347.49,-4326.4,1.53999e+06,23071.4,3059.03,3421.29,6169.45,11.4891
1.14683e+06,902781,762196,213226,346572,272963,761799,186968,684264,2385.77,-3545.64,1.36995e+06,26485.7,1601.89,3810.01,5023.41,11.5116
1.22412e+06,982522,747540,193159,289178,221498,783334,158404,731645,1403.57,-2874.28,1.38454e+06,22752,1291.12,2963.11,4674.58,11.5404
1.2877e+06,959554,805188,367066,635561,484046,787811,321156,685772,2620.98,-1216.23,626278,25738.2,4996.8,2791.15,3193.69,11.5427
1.24065e+06,1.02353e+06,727279,141716,223739,192973,695658,128867,659826,1477.72,-2755.52,1.25987e+06,29585.1,1131.29,3292.69,4320.47,11.7645
1.155e+06,864902,801247,183644,221690,176338,754313,164813,668552,2130.46,-5006.96,1.51813e+06,31864.5,2841.25,4300.99,5101.78,11.7752
