"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
25860.1,24571,68974.4,101.25,155,42809.8,48558.5,174.739,-168.277,-160.17,-167.265,62.1851,0.519692
27106.9,25893,68608.3,172.5,165,68514.9,74430.7,227.729,544.017,41.385,-398.534,55.6355,0.555854
27585.4,26696,67719.3,258.75,284,59709.3,47706.7,241.488,320.18,-141.937,-188.806,-86.588,0.582717
16385.8,14873,72202.1,144.75,169,56132.2,67277.1,248.01,118.943,-240.094,-250.741,5.83348,0.617845
25841,24438,69298.4,181.5,182,65356,62014,398.563,137.657,788.788,-617.187,375.533,0.648841
23849.1,22524,69391.5,287.25,296,63598.7,80633.9,336.009,739.901,146.679,40.0742,79.7052,0.662272
24688.6,24189,66889.6,126.75,137,60632.8,58822.4,201.748,232.196,-194.147,-448.727,-203.633,0.671571
24169.2,22928,69083.8,232.5,212,71873.2,85120.8,287.715,533.954,-57.9138,-826.204,22.1204,0.685002
22205,21160,68772.7,263.25,264,65349.8,56426.2,726.786,10.507,-234.751,-520.544,-6.89522,0.685002
20658,20198,67028.6,173.25,162,70087.1,50624.8,287.68,-50.8214,28.5687,-497.4,-4.41408,0.695334
15762.8,14110,73212.6,122.25,122,65670.3,61967.5,202.943,302.441,-140.653,-547.332,108.473,0.712898
31688.6,23764,87390.3,401.25,320,82176,117325,479.817,103.083,-411.002,-355.6,126.542,0.714965
25149.3,24093,68409.3,190.5,189,66056.1,73931.5,335.983,-3.9613,-331.966,-633.209,46.3505,0.735628
37150.1,28408,85703.6,324,268,79230.1,117982,435.114,254.809,-61.5751,-974.948,63.8324,0.737695
26467.3,25204,68820.9,149.25,148,66089.5,64143.4,267.327,404.552,-51.8746,-348.912,-81.5132,0.755259
15251.9,14401,69408.5,220.5,197,73353.7,50757.8,379.974,-200.822,-247.867,-8.37842,-91.12,0.765591
13735.9,13405,67153.9,92.25,105,57578.1,30539.9,235.233,231.398,-504.475,5.41956,123.207,0.765591
26306.9,25172,68490.9,126,128,64512,60863.4,178.001,160.17,106.951,-55.6501,62.2244,0.76869
24013.4,23449,67113.5,119.25,109,71698.8,62454.9,262.246,31.03,-42.7476,-469.663,-37.5401,0.773856
22148.3,21013,69076.8,201,197,66866.7,56921.8,331.754,-395.123,-186.75,-646.92,177.586,0.793487
25279.3,24425,67828.3,109.5,121,59307.4,59190.7,261.907,63.36,-195.376,-474.212,42.5859,0.800719
25656.2,24292,69216.4,136.5,112,79872,83332.9,258.823,7.82551,-52.3446,-518.344,128.743,0.805885
20845.4,19620,69629.3,250.5,244,67281.8,100320,909.973,170.408,107.273,-738.474,-22.4148,0.860644
21042.1,19784,69703.6,303,312,63645.5,76920.4,258.886,379.334,179.914,-598.703,94.0902,0.896805
19412.6,18392,69172.6,103.5,136,49874.8,74715.7,382.566,-106.919,353.952,-692.431,196.263,0.90817
22110,20833,69553.2,218.25,213,67151.3,62991.6,352.696,-177.827,147.815,-323.047,3.67836,0.920569
22224.8,21877,66578,291.75,293,65256.4,68767.2,254.333,-192.913,-377.13,-615.699,37.0931,0.939166
25907.6,24616,68974.8,149.25,184,53159,57944.8,651.727,123.29,-190.08,-307.589,595.827,0.942266
25799.4,24804,68166,287.25,272,69210.4,62556.2,357.957,192.063,139.424,-889.743,45.0818,0.949498
28072.4,27073,67955.4,169.5,161,68996,63013.9,267.856,20.1973,-193.44,-564.753,-132.847,0.964996
19535.3,18112,70686.2,139.5,132,69259.6,59322.1,281.13,424.866,-292.92,-446.921,10.7711,0.964996
24512.4,23496,68371,137.25,156,57659.1,60844.3,627.751,444.132,-354.956,-785.005,7.43371,0.977394
25652.9,24452,68754.6,444,420,69280.9,50361.1,661.473,149.019,408.887,-627.32,-136.162,0.991858
27087.7,25733,68986.2,183.75,177,68035.2,77478,216.731,-23.4185,-93.4598,-494.894,-66.5841,1.00839
17734.9,16141,72007.4,109.5,121,59307.4,78098.9,219.131,181.915,-62.414,-348.991,159.304,1.01149
21332.5,19665,71093.2,231.75,229,66323,67994,725.734,-237.447,48.3663,-513.329,-12.1455,1.04042
22235.4,21197,68746.5,150.75,157,62927.1,65637.4,285.329,479.285,-60.5713,-430.443,186.124,1.04558
27297.6,25857,69187.3,167.25,149,73563.1,62924,264.99,500.642,-356.187,-666.979,465.489,1.06521
22009,20876,69092.9,209.25,220,62333.7,68275.1,183.189,742.52,30.853,-219.158,-60.908,1.07761
14836.1,13797,70471.9,165,177,61092.9,48791.2,332.029,408.969,-206.949,-228.954,149.683,1.07968
25894.4,25401,66809.1,107.25,125,56229.9,66040.7,249.63,87.2459,-388.319,-328.273,-87.5296,1.08278
18396.8,17164,70243.3,417.75,428,63966.5,49284.5,965.447,252.997,739.688,-540.554,351.754,1.08278
27277.1,25981,68805.5,158.25,173,59948.4,92371.4,254.645,297.781,-46.2619,-484.618,88.8995,1.10861
25554.5,24257,69041.6,233.25,225,67939,63238.1,439.63,-190.425,-236.504,-857.873,-5.40989,1.10964
26675.9,25508,68536.6,123,100,80609.3,56051.5,219.762,182.925,-299.849,-586.523,76.8695,1.11171
25973.6,24932,68274,161.25,164,64437.1,98923.6,290.748,16.312,-418.853,-1104.93,-116.822,1.12411
11002.2,9491,75970.9,262.5,259,66421.6,65130.7,236.304,109.344,-78.1902,-367.93,249.235,1.12721
23151.5,21928,69192.6,149.25,152,64350.3,61065.1,270.251,47.9052,-171.596,-887.631,-14.2038,1.12927
19314.2,17553,72111.8,146.25,117,81920,63428.8,395.739,196.783,250.612,-423.471,124.416,1.15614
24254.3,23121,68748.4,164.25,177,60815.2,65537.9,228.043,-162.726,-142.328,-399.642,245.879,1.16027
22853.8,21753,68852.5,205.5,185,72798.1,58231.1,269.973,-139.61,-436.106,-436.394,98.3642,1.1613
6047.58,5834,67935.2,507.75,490,67910,-13708.5,7297.61,181942,3093.08,54727.3,19802.1,1.1675
