"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
18735.4,17037,72069.3,363.75,349,68305.8,685.917,2869.33,548.656,120.217,295.85,-20.3319,0.579295
22022.2,19057,75733.2,497.25,449,72578.6,711.718,5382.6,1544.75,989.553,108.587,221.938,0.584865
21788.6,20202,70682.9,445.5,442,66054.9,1315.37,2505.06,745.206,196.951,55.9968,338.628,0.585979
25236.4,22620,73116.5,462,440,68812.8,10.5976,18062.1,1173.22,854.436,-251.692,59.5414,0.585979
17393,15060,75688.3,709.5,644,72201.5,1532.37,4414.27,762.47,472.309,127.098,311.907,0.589321
17037.2,15221,73356.1,561,501,73384.6,716.692,2179.32,601.491,86.4945,387.406,510.861,0.590435
22984.5,19901,75690.3,632.25,585,70829.3,658.555,4507.59,3007.42,1464.4,67.7197,176.061,0.594891
18386.3,16636,72431.1,556.5,536,68042.5,734.721,3715.11,1549.45,393.647,452.343,309.668,0.597119
26316.8,24005,71847.6,426.75,401,69744.4,578.838,2476.85,157.831,185.132,166.173,205.262,0.600462
25633.1,23504,71472.5,528,480,72089.6,606.871,2506.66,153.077,336.428,-119.928,233.867,0.601576
15914.6,14196,73469.9,524.25,468,73412.9,1489.65,3532.88,1134.56,1166.96,-93.9423,30.1491,0.60269
12679.9,11381,73015.7,505.5,481,68874.1,666.73,3083.76,1338.43,574.791,75.6317,196.361,0.603804
22143,20182,71903.9,517.5,466,72778.7,2502.29,2841.03,803.173,1089.45,54.9925,259.22,0.603804
22902.7,21040,71337.9,462.75,420,72206.6,1460.06,2149.63,851.017,475.546,335.609,165.559,0.604918
18232.5,16594,72007.1,618,530,76417.4,123.206,4713.27,2533.93,953.987,-262.909,495.637,0.610488
26961,24969,70764.4,332.25,313,69566.6,512.822,6913.11,320.316,1066.12,50.7043,352.63,0.610488
16671.6,14836,73644.5,496.5,464,70126.4,1351.39,3121.02,1522.81,331.4,501.116,372.773,0.610488
23576.5,21068,73339.2,675.75,636,69632,713.738,3571.57,1175.19,1125.73,95.9237,543.979,0.611602
23734.9,22101,70381.1,520.5,485,70333,214.932,4055.31,1272.31,917.735,765.037,377.271,0.61383
23115.8,21165,71576.7,312.75,317,64657.4,279.076,3127.55,1036.65,708.874,154.014,58.8057,0.61383
31650.3,27124,76472.3,351.75,320,72038.4,604.254,4547.82,1325.73,1195.17,292.064,272.232,0.617172
17532.9,15784,72797.5,517.5,492,68932.7,285.436,3944.85,1479.96,780.302,199.024,616.238,0.618286
13778.2,11856,76161.1,680.25,608,73323.8,639.16,3985.29,2208.99,920.436,435.58,449.585,0.621628
23420.8,21964,69882.7,457.5,428,70053.1,3375.09,3798.86,1311.31,365.133,-299.299,494.306,0.623856
26193.4,24732,69408.5,150,168,58514.3,669.055,2160.69,523.936,-18.8923,232.22,161.714,0.626084
28019,25129,73073,471.75,425,72745,424.536,10957.9,832.249,1738.14,230.183,172.471,0.629426
20326.7,18365,72536.3,460.5,397,76018.5,714.077,2927.1,430.889,277.37,3.69792,419.685,0.63054
22114.6,20368,71155.9,549.75,500,72056.8,2664.25,2888.28,497.733,74.8888,104.976,418.741,0.632768
19853.5,17302,75200.4,642,566,74335.9,1173.08,3958.08,1094.21,732.912,182.571,31.2262,0.633882
12011.3,10599,74268.8,407.25,387,68965.2,-55.4358,3050.61,1693.25,597.136,-21.8577,191.483,0.637225
16280.2,14953,71352.9,348,345,66105.9,696.105,2159.4,-21.7445,-152.141,85.045,183.111,0.639453
31315.7,25865,79346.8,693.75,633,71825.6,451.829,6320.52,796.934,1801.16,651.696,-16.2958,0.640567
25900.4,23834,71217.9,291.75,282,67801.9,360.526,4163.51,204.896,571.192,354.63,120.057,0.641681
24049.1,22236,70879.7,535.5,508,69083.7,6672.9,2270.55,511.072,837.705,456.28,158.734,0.641681
18210.1,16784,71104.3,465.75,416,73373.5,249.86,2648.89,891.947,551.441,215.232,297.19,0.642795
16133,14426,73290.9,593.25,574,67733.9,1465.92,2164.85,369.531,89.3923,592.901,506.269,0.642795
17217.4,15340,73556.8,309.75,284,71478.1,1738.24,7363.29,-110.66,854.507,178.13,126.539,0.648365
15405.1,13405,75314.1,515.25,473,71389.9,-1467.05,1658.73,651.209,78755.1,-2343.1,8408.67,0.649479
20204.6,18317,72289.5,471,445,69365.1,499.055,2605.8,282.884,501.995,85.9148,328.348,0.649479
32745.2,30967,69299.3,237.75,215,72470.6,612.404,3868.7,-137.096,563.181,99.7825,119.797,0.652821
18800.8,16337,75419.4,789.75,721,71785.1,729.192,3228.34,1142.14,2071.89,1001.03,387.643,0.653935
24611.4,21807,73964,430.5,399,70709.9,607.034,7665.53,413.766,143.304,-269.182,254.069,0.655049
25743.3,23968,70390.2,229.5,224,67145.1,125.808,2657.34,-564.453,181.063,378.03,51.6613,0.655049
35574.7,31625,73720.8,306,297,67521.9,464.681,6276.59,961.501,272.118,245.341,73.1941,0.655049
22109.3,20566,70454,636,598,69700.5,734.221,2818.55,847.796,542.755,377.459,239.781,0.656163
21596.5,18867,75017.2,814.5,711,75076.1,6610.19,5272.33,2195.41,829.963,157.331,210.826,0.657277
15580.6,13825,73858.3,633,577,71896.5,776.141,2779.13,118.435,220.152,646.059,193.093,0.658391
22901.3,21436,70016,516.75,456,74266.9,1405.43,3196.44,656.365,692.405,196.571,58.9097,0.668417
31888.6,26568,78660.4,447.75,408,71920.9,638.952,5622.36,487.414,672.664,-66.5285,-36.2193,0.669531
27329.3,25181,71127.1,460.5,461,65464.9,1298.82,3843.39,1588.12,867.585,926.319,323.847,0.671759
25179,23692,69649.3,265.5,252,69046.9,676.531,4256.65,308.966,1069.35,29.8758,229.165,0.672873
22762.7,21288,70076.1,558.75,524,69882.1,1895.6,3457.61,599.494,461.998,89.9678,426.464,0.67733
16753.4,14840,73986.1,620.25,568,71564.6,1168.44,3675.55,973.229,997.15,212.874,244.326,0.679558
18637.1,16260,75116.8,572.25,496,75610.8,488.713,4975.05,1548.59,946.256,-240.395,286.325,0.680672
24020.7,22608,69631.1,458.25,420,71504.5,30127.6,1955.85,110.77,955.796,374.842,190.543,0.680672
16253.2,14748,72224.5,475.5,440,70823.6,409.629,1945.93,138.919,161.705,298.233,13.2363,0.680672
24371.8,21672,73700.2,672.75,600,73482.2,2739.59,3997.68,1101.67,966.208,254.797,309.518,0.680672
24336.8,21373,74624,733.5,665,72286.7,1150,4893.34,976.248,868.346,-103.117,453.792,0.6829
10521.1,8825,78131.2,588.75,557,69271.7,288.897,4380.84,2173.11,864.865,283.143,33.4819,0.686242
19359.1,17564,72234.1,577.5,556,68070.2,1717.45,3022.19,136.699,546.307,622.06,143.14,0.686242
