"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
19970.9,17704,73927.7,451.5,444,66643,380.813,3790.25,670.975,1211.19,50.0671,-17.0157,0.578341
19528.1,18325,69838.6,549.75,513,70230.8,57.2356,3307.7,473.012,1099.01,17.9697,269.109,0.581646
24491.9,23169,69278.1,398.25,389,67094.4,6937.33,1724.73,474.321,65.9842,441.324,507.804,0.581646
23044.6,20783,72667.5,681.75,655,68212.5,2387.11,2803.4,1235.05,1466.65,98.0278,410.99,0.581646
14269.2,12584,74312.3,607.5,572,69603.4,1300.02,3163.24,1109.57,166.596,356.802,76.8176,0.58495
15059.2,13297,74221.3,746.25,661,73988.3,804.835,3522.09,1221.15,568.335,230.521,77.8008,0.590458
17912.4,14824,79189.6,645,604,69984.6,905.084,3949.5,4423.71,686.191,-35.2864,158.33,0.590458
14188.7,13021,71413,416.25,393,69413.1,301.612,1823.44,434.398,-57.7376,183.809,265.125,0.590458
15690.2,14384,71487.2,511.5,496,67584,311.74,2529.42,745.649,361.097,151.023,30.2078,0.59156
23074.3,21517,70279.1,300.75,297,66363.5,1711.18,3317.5,813.65,676.762,-53.2299,-68.9273,0.593763
17399.6,15654,72843.9,613.5,566,71035.9,10375.1,2702.14,812.156,593.118,1014.85,471.206,0.600373
23286.1,21936,69569.6,234,240,63897.6,1214.05,4251.53,621.855,418.581,-406.326,72.9215,0.600373
35433.4,29433,78896.6,800.25,733,71548.7,1104.66,7855.41,1120.66,1463.27,-43.1033,525.875,0.602576
21066.5,19443,71008.4,482.25,467,67676.1,2951.52,2311.26,1114.9,356.664,506.725,217.254,0.605881
16605.6,14569,74697.3,788.25,713,72452.7,281.434,5213.65,3059.05,979.403,443.444,386.329,0.611389
21732.5,20424,69734.6,409.5,412,65138.3,830.624,1598.92,447.831,-40.3837,12.7742,145.846,0.61249
