"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
15882.2,14369,72437.8,610.5,565,70813.7,1437.65,4083.4,1191.56,1333.69,525.434,277.472,0.546109
18018.7,16177,72996.9,597,549,71265.9,1645,2667.4,517.93,995.381,977.663,246.273,0.549372
33325.4,27849,78423.4,555.75,521,69907.2,817.057,7661.84,2520.75,826.397,-85.1294,191.137,0.549372
16524.4,14996,72215.5,455.25,436,68429.5,446.07,2050.2,33.1184,194.06,-88.6494,263.179,0.551548
18079.4,15716,75391.4,704.25,628,73493.2,1851.13,3758.79,1230.47,1063.99,161.591,594.542,0.552636
16501.3,14660,73767.4,664.5,612,71158,-172.18,3325.34,1290.94,23478.1,-584.603,981.159,0.552636
20102.3,16805,78394.7,658.5,593,72774.8,1293.98,7034.25,3273.09,812.28,556.597,386.328,0.554812
35034.8,31235,73508.5,549,499,72102.7,506.615,3936.47,103.003,372.242,527.966,-47.6225,0.554812
12710.3,11161,74633.2,576.75,557,67859.8,360.773,3753.71,1511.08,1803.71,43.2984,247.156,0.556987
20992.6,18865,72927.2,510.75,481,69589.4,1394.92,2689.14,399.217,594.592,303.208,136.689,0.558075
18056.3,15376,76960,667.5,612,71479.2,1745.77,3598.05,1164.71,1102.05,918.799,658.688,0.562427
17149.4,15410,72933.5,531.75,482,72300.4,350.84,3096.91,225.246,21.9312,-41.7864,59.448,0.56569
21804.4,20183,70800.9,507.75,467,71254.6,618.139,4951.44,935.199,785.59,22.9034,430.56,0.567866
26795.3,21374,82158.7,1136.25,986,75522.6,485.552,7280.33,1439.57,847.389,457.289,414.773,0.570042
12361.1,10950,73981.7,545.25,502,71182.3,807.196,2729.27,1100.72,259.828,724.449,48.2645,0.570042
14634.2,13292,72153.6,493.5,460,70308.7,1245.1,3295.88,749.659,376.662,201.666,457.846,0.572218
23189.8,21476,70765.7,459,400,75202.6,1585.65,3074.54,1073.14,884.121,25.6905,162.472,0.573305
13766.3,11208,80494.9,262.5,252,68266.7,687.632,4985.01,3225.73,51.2228,-274.781,317.505,0.576569
21424.9,19673,71372.1,282.75,265,69925.7,668.699,5188.4,104.159,421.992,205.147,1.12797,0.580921
13220.5,11972,72370.2,378,340,72860.6,506.949,2019.35,558.767,691.976,313.625,-60.2954,0.589623
17987.6,16392,71915.4,421.5,396,69756.1,2647.87,2922.57,569.416,389.173,86.2252,291.033,0.590711
10866.2,9756,72994.1,448.5,412,71342,305.782,1784.45,1379.74,420.19,292.674,13.2343,0.596151
22735,20497,72691.7,548.25,497,72294,356.1,3161.65,567.357,101.59,118.836,473.022,0.597239
21197.2,19900,69808.1,295.5,300,64553,1028.02,3347.48,1743.1,1087.85,742.76,127.669,0.598326
24111.8,21952,71983.9,363.75,336,70948.6,1394.43,4019.75,1403.79,1427.36,258.254,252.297,0.602678
36746.2,31975,75315,561,503,73092.8,1159.35,3582.07,991.379,128.808,48.928,221.622,0.604854
20007.9,18340,71496.1,695.25,640,71193.6,5371.31,2465.5,896.352,306.462,736.994,247.245,0.605941
12817.2,10361,81072.1,745.5,701,69696.3,1694.13,3428.72,454.039,1312.88,160.452,687.628,0.607029
19277.3,18015,70128,411,395,68190.6,1186.82,2144.4,104.307,739.8,280.704,102.036,0.608117
22611.6,20575,72023,374.25,347,70682.6,5319.04,1943.56,289.892,241.971,865.128,514.64,0.609205
21833.5,20216,70779.5,333,316,69061.7,4719.56,2689.93,1590.3,484.489,-145.919,140.345,0.611381
14452,12333,76796.2,558.75,509,71941.5,505.348,2451.31,730.734,111.05,377.06,75.6819,0.612469
16534.3,14968,72394,609.75,572,69861.1,631.777,3642.19,628.158,1293.19,488.697,44.0251,0.613557
18639.1,17280,70690.4,381,368,67851.1,1535.07,2865.03,112.079,-101.638,688.897,194.923,0.613557
18853.6,17468,70734.3,540.75,508,69761,580.302,2387.47,588.192,571.387,236.701,76.0989,0.614644
25148.6,22166,74354.5,759,706,70455.8,2872.9,6265.78,2642.75,1578.08,614.496,383.11,0.614644
14334.5,12848,73118.7,399.75,388,67520.7,375.381,1612.43,158.072,671.776,262.199,596.535,0.615732
16531,14821,73097.4,600.75,545,72239.9,1312.64,2469.05,929.895,133.948,145.55,-205.039,0.61682
32270.7,26200,80721.1,847.5,728,76293.6,840.637,5358.78,443.962,809.066,232.011,271.4,0.617908
16304.6,13321,80214.8,877.5,777,74012.7,2821.22,5118.37,1930.53,2745.28,987.986,617.096,0.617908
23621.4,22190,69763.5,271.5,282,63095.8,5742.44,2912.56,426.878,154.368,553.666,-43.777,0.621172
16619.5,15845,68739.2,575.25,561,67200.7,3419.16,584.216,371.913,751.408,970.117,83.2811,0.622259
16667.6,14113,77398.9,857.25,737,76229,5122.83,3788.12,1050.99,1449.9,100.707,329.041,0.623347
22422.2,20332,72273.3,531.75,488,71411.4,2785.99,2627,1066.59,691.752,28.8223,231.922,0.623347
14060.6,12641,72896,507,485,68508.8,168.151,3037.41,1030.71,959.546,347.526,330.353,0.628787
22201.1,20636,70506.4,342.75,328,68483.1,764.069,2265.51,135.634,733.123,306.051,231.639,0.63205
22962.7,19128,78674.5,336,300,73400.3,271.044,6155.09,2493.48,392.934,105.643,12.514,0.633138
21991.2,21177,68055.7,339,329,67528,32225.1,2039.02,369.75,204.446,377.483,440.266,0.634226
20205.2,18856,70225.4,475.5,456,68338.5,1538.43,3044.05,858.485,605.571,-53.8334,80.1783,0.634226
17386.4,15584,73115.6,548.25,512,70176,705.919,1949.76,385.459,384.246,-176.382,79.8298,0.636402
17587,15413,74779.9,564.75,545,67910.9,200.9,4229.88,1163.35,1411.04,180.248,273.87,0.63749
33410.5,29413,74443,435.75,405,70511.9,1373.79,6379.27,-803.312,372.125,20.9519,346.771,0.642929
16272.3,14931,71423.3,526.5,496,69565.9,1221.27,2419.52,55.025,410.68,409.36,213.606,0.645105
35761.4,32666,71746.2,243,234,68056.6,588.528,3945.78,-247.502,-116.289,-50.11,133.114,0.645105
25089.2,22328,73640.7,390,376,67976.2,1265.32,3369.23,827.288,1094.76,186.341,278.162,0.646192
21185.3,19789,70160.3,325.5,317,67293.3,1188.03,4872.11,88.9542,27.9608,-41.2458,45.6705,0.646192
23576.5,21324,72458.8,465,444,68635.7,1138.58,3334.03,449.604,1333.21,123.31,229.508,0.648368
19826.4,18176,71486.7,395.25,384,67456,796.522,1972.28,399.64,259.066,-74.213,195.838,0.649456
21663.8,20245,70129,414,385,70472.5,923.866,2135.07,-18.8347,32.4934,294.352,51.1021,0.651632
24676.1,22888,70655.9,267.75,264,66466.9,758.629,1464.02,582.348,862.301,375.548,91.2761,0.65272
23383.1,22248,68879.8,311.25,332,61440,756.58,1859.11,698.444,600.186,-62.3635,186.412,0.654895
12470,11331,72124,397.5,387,67314.1,712.445,1561.83,-418.33,474.893,678.455,341.015,0.654895
