"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
19901,18011,72413,374.25,351,69877.1,42801.4,2002.53,54.3428,1330.74,-361.309,340.104,0.470301
22179.3,20744,70070.5,246,236,68313,51640.5,1242.44,883.683,609.475,-302.857,140.133,0.568235
11720.9,10892,70523.6,179.25,172,68298.4,21052.9,155.36,533.768,448.931,92.0032,-7.55339,0.57254
8025.6,6525,80607.8,459,429,70118.9,40798.8,683.934,796.17,587.088,-340.988,151.988,0.625274
11187,8410,87176.1,690.75,650,69644.6,39204,1121.04,2396.74,453.851,-440.101,268.9,0.65756
24280.7,22612,70372.5,269.25,228,77392.8,42968.9,933.69,1020.12,1548.53,-278.756,256.028,0.661865
20885.7,15606,87707.6,574.5,486,77470,42031.9,1507.25,2025.52,2224.95,-242.7,454.539,0.682313
18137.5,16030,74152,360,318,74191.7,37510.5,1130.27,1429.07,846.857,-79.4574,200.547,0.730742
20093.7,18221,72271.6,186.75,153,79992.5,34209.9,766.875,786.234,-163.773,40.3114,-17.013,0.731818
26074.6,24937,68525.8,115.5,141,53683.7,58209.4,247.988,-38.4251,-204.704,-310.811,240.613,0.7598
20229,18289,72487.7,283.5,245,75834.5,47242.2,850.961,1197.48,115.791,-3.39685,385.494,0.769485
19106.3,17288,72429,339.75,312,71364.9,41494.9,1283.95,945.518,367.405,-264.367,173.275,0.77379
7941.12,5823,89374.8,564.75,507,73000.9,39992.9,1265.86,948.542,542.705,-107.776,343.33,0.820067
19633,17129,75116.5,326.25,301,71033.6,61965,929.442,1043.9,1426.73,-228.722,262.044,0.831905
19489.1,17383,73476.4,351.75,343,67207.8,48216.7,1112.5,1175.01,823.796,-172.838,66.4437,0.839439
19557.8,16434,77993.1,418.5,374,73333.7,44885.3,1460.95,790.864,997.757,-83.0756,527.525,0.843744
21080.4,17889,77227.6,578.25,517,73300.2,58070.5,1546.45,1185.46,1457.69,-155.722,247.033,0.893249
14929.2,11805,82880.1,346.5,317,71634.8,38728.9,953.816,560.666,121.788,87.8047,121.486,0.911544
17891.3,17165,68308.9,219.75,217,66366.5,33519.2,162.331,251.348,-347.553,-63.3379,193.9,0.953516
21898.8,18728,76631.8,345,348,64971,43854.3,1398.59,2113.57,1000.79,-337.093,527.122,1.00195
11870.8,9264,83976.9,435.75,372,76767,57402.3,1370.75,1540.14,492.229,-426.202,209.096,1.01486
7309.5,5217,91822,488.25,389,82256.9,41265.2,1782.36,1860.92,1285.3,-76.043,250.759,1.05145
7944.42,7736,67301.6,486,472,67479.9,-6216.75,3147.74,59693.2,766.153,29394.1,8301.97,1.07836
19863.4,18600,69987.4,240.75,252,62610.3,43034.1,1151.94,683.458,243.561,-312.77,120.944,1.08158
23134.3,21635,70077.7,222.75,215,67898.3,45048.3,760.662,599.304,386.859,-359.937,282.58,1.10634
21174.1,19389,71569.8,247.5,249,65141.2,35757.6,2070.18,716.235,268.336,-22.9849,404.766,1.11279
20812.4,18825,72454.9,310.5,281,72416.1,34550.4,1564.85,1876.13,333.166,-441.751,292.122,1.12678
18061.6,16536,71582.2,268.5,268,65658.3,41482.5,3003.82,1479.26,394.73,-567.406,115.925,1.17091
19002.7,16392,75973.8,291,280,68110.6,40763.7,1044.47,1457.27,557.737,-173.479,296.134,1.17414
19128.1,16372,76568.6,366,336,71387.4,41948.7,848.135,1388.22,1564.97,-219.022,250.351,1.19243
18988.2,17269,72060.4,389.25,353,72266,39878.3,2230.95,1366.87,471.237,166.691,269.974,1.20427
14135.2,11897,77865.5,404.25,377,70273,44178.6,1631.84,1545.9,705.817,-104.259,251.278,1.22795
