"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
33454.1,27679,79209.8,662.25,623,69664.9,1407.66,13965.7,1480.18,1273.15,-383.093,416.184,0.563883
21019,17341,79436.2,586.5,505,76112.6,814.145,3965.6,1375.14,782.788,275.054,505.94,0.564941
18599.5,17261,70617.8,435,413,69027,3659.71,2517.68,795.72,22.5335,664.492,62.0814,0.567057
22779.9,20804,71760.4,579,516,73537.5,657.656,5252.56,1068.11,452.778,410.134,523.955,0.567057
23681.5,20617,75277.1,523.5,461,74421,640.094,5109.96,2285.37,1006.54,39.829,293.65,0.570231
23648.5,21405,72404.8,423,397,69828,699.509,8004.48,683.118,1766.69,290.808,398.957,0.570231
17706.5,15616,74309.2,531,496,70160.5,524.731,3622.94,1247.17,577.123,342.871,319.48,0.572347
16110.6,13940,75740.6,603.75,564,70154.9,429.883,3602.83,2223.06,977.345,23.8994,432.691,0.572347
16010.9,13648,76882.6,760.5,676,73728,1483.01,6657.76,2458.31,1526.41,-49.4359,727.141,0.575521
23293.4,21131,72242.4,471.75,431,71732.3,783.027,3416.88,-177.712,1853.72,-144.821,390.114,0.575521
20147.8,18492,71404.3,597.75,540,72544.7,576.866,4498.87,1481.95,800.856,42.7901,232.287,0.576579
28067.2,24094,76343,525.75,494,69748.1,319.018,10880,1345.43,2183.26,-238.116,693.063,0.578695
27303.5,25009,71548.8,393,353,72962.2,848.291,2861.61,650.264,574.331,60.2861,202.638,0.580811
25277.3,22480,73691.1,575.25,512,73632,2488.17,4520.31,2231.36,673.7,670.399,627.461,0.582926
18970.4,17094,72729.8,519.75,470,72473.1,376.485,3880.47,2152.12,664.174,132.883,256.87,0.585042
32101.1,25544,82358.9,1096.5,972,73930.3,483.161,9210.08,3881.02,3028.57,267.312,1116.01,0.587158
8503.44,7217,77217.9,386.25,341,74232.5,846.097,3354.1,4287.45,114.335,-54.8585,-103.632,0.587158
25718.9,23396,72042.8,346.5,320,70963.2,1697.95,4919.77,2621.1,779.275,-173.104,111.944,0.590332
15659.2,11147,92064.1,354.75,367,63348.5,456.939,4606.86,2545.7,1084.09,166.606,110.524,0.59139
