time,replicate,genotype,counts,cohort number
0,1,WT,8961,8936
24,1,WT,5343,5322
48,1,WT,17709,6303
72,1,WT,58114,5015
96,1,WT,35717,2960
120,1,WT,15729,1695
144,1,WT,6206,780
0,2,WT,7462,7462
24,2,WT,5214,5214
48,2,WT,20371,7373
72,2,WT,65925,5817
96,2,WT,37871,3204
120,2,WT,15484,1796
144,2,WT,4945,656
0,3,WT,7121,7093
24,3,WT,5272,5259
48,3,WT,19949,7240
72,3,WT,52129,4546
96,3,WT,34844,2948
120,3,WT,12220,1310
144,3,WT,4373,599
0,1,BaxBak KO,8614,8607
24,1,BaxBak KO,7992,7984
48,1,BaxBak KO,25729,11875
72,1,BaxBak KO,74507,8657
96,1,BaxBak KO,123274,11324
120,1,BaxBak KO,102816,9503
144,1,BaxBak KO,93794,8460
0,2,BaxBak KO,8785,8770
24,2,BaxBak KO,7676,7668
48,2,BaxBak KO,24861,11403
72,2,BaxBak KO,67822,7932
96,2,BaxBak KO,124654,11542
120,2,BaxBak KO,83940,7548
144,2,BaxBak KO,84459,7566
0,3,BaxBak KO,11071,11039
24,3,BaxBak KO,8918,8911
48,3,BaxBak KO,23571,10597
72,3,BaxBak KO,86310,10198
96,3,BaxBak KO,121330,11219
120,3,BaxBak KO,83435,7746
144,3,BaxBak KO,81507,7409
