"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
21741.1,19987,71287.4,537.75,519,67903.6,6058.81,859.457,265.91,144.363,704.123,-82.0572,0.615795
16016.2,12173,86226.8,369.75,361,67124.5,219.562,2085.28,1006.54,469.685,421.188,-65.2707,0.66809
19422.5,16864,75478.6,897,804,73116.7,1381.89,3360.27,2769.05,1138.07,388.757,564.59,0.762006
18324.2,16137,74418.9,734.25,685,70247.9,820.004,2908.18,1849.87,820.285,313.908,285.657,0.85699
15042.7,13684,72043.2,591.75,560,69251.7,426.484,836.382,490.101,306.527,658.503,149.808,0.924226
19371.7,17567,72268.5,635.25,603,69041,5804.52,2110.52,776.456,382.893,492.824,434.071,1.11419
21059.3,17284,79850.8,1019.25,880,75906.3,280.584,4599.94,4054.42,2125.49,55.1503,505.602,1.13234
16880.2,14968,73908.2,730.5,680,70403,9629.29,2229.45,1567.74,935.252,337.488,488.372,1.25293
15393.2,13080,77126,810,764,69481.9,1850.99,2677.81,1481.64,624.716,653.412,178.444,1.4461
18621.9,16260,75055.7,782.25,688,74513.9,4512.08,3969.34,2240.56,931.36,114.356,751.529,1.5667
34795.9,26405,86361.7,706.5,613,75532.1,449.668,5498.19,3079.3,3736.98,233.153,710.536,1.56777
22830.7,19395,77145.4,784.5,711,72310.8,3114.28,3939.88,1546.14,734.05,534.853,538.69,1.62753
20547.8,18561,72551,594,565,68899.8,2545.84,2277.44,127.578,477.267,149.521,385.561,1.70864
19670,16933,76129,907.5,801,74249.6,849.276,3154.24,1735.33,898.124,350.273,666.671,1.76094
14974.7,10881,90192.5,642.75,613,68716.6,1165.2,2507.03,540.921,455.254,144.203,838.056,1.87513
10721.7,9817,71575.6,651.75,605,70600.1,73.1965,639.051,7132.79,1268.39,960.092,761.339,1.88901
12056.2,10344,76384,650.25,616,69179.8,265.042,3778.57,3965.77,1511.77,-232.631,369.757,1.89114
13308.2,11009,79223.3,757.5,709,70019.1,20811.8,3393.86,654.44,970.591,-175.861,691.279,1.97652
25101.8,21213,77550.1,726,669,71119.8,3053.02,6149.7,3817.66,1633.87,226.123,746.936,2.19637
24100.6,21473,73555.4,762.75,673,74275.8,133.826,4413.92,2268.98,2940.72,-46.5951,489.055,2.27535
17922.3,14586,80526.2,994.5,890,73231,3866.56,4530.12,2638.48,1438.15,844.778,957.38,2.28068
20701.6,17466,77676.5,1020.75,910,73512,2775.91,3869.13,2160.41,1793.65,561.222,1054.94,2.38954
11375.1,9221,80845.7,795.75,689,75689.8,-115.204,4570.72,7056.5,2257.04,-319.576,462.815,2.40128
21572.8,18340,77087.9,717.75,676,69583.5,2302.97,3206.07,2352.83,1608.16,494.081,304.056,2.43757
17197,15396,73202.1,666.75,612,71398.9,1948.66,2918.24,1554.07,867.844,-309.41,17.3705,2.51121
22601,19961,74203.8,598.5,589,66593,2934.6,2722.26,1472.33,397.18,812.911,341.258,2.55283
50484.7,37652,87872.3,878.25,772,74555.7,2103.8,7502.5,10626.2,4748.92,-155.22,1055.07,2.58591
22441.3,20068,73286.5,712.5,640,72960,843.65,2778.72,1142.27,787.126,577.188,50.183,2.64354
18194.2,15172,78590.6,987,880,73504.6,2529.09,4019.11,2312.76,1700.4,895.517,484.572,2.71078
20246.8,17596,75408.9,885.75,812,71488.3,5777.26,4849.31,1532.88,1149.47,79.14,452.846,2.78122
17704.5,16092,72103,634.5,620,67068.7,1543.39,3679.95,1339.19,148.825,103.87,365.134,2.91355
19826.4,17340,74933.3,794.25,732,71109.2,3303.79,3854.02,1069.21,812.309,997.774,555.603,2.94023
11161.3,7657,95528.9,943.5,781,79171.9,-15471.6,-1768.83,17252.2,117668,256190,8567.85,2.94984
12154.6,10624,74977.5,710.25,660,70525.7,2848.94,2719.03,2835.06,467.11,-1.35577,1206.58,3.16542
15412.3,12609,80106.4,1050.75,917,75094.8,771.843,3588.8,2006.85,492.799,426.998,489.479,3.17503
11460.9,8971,83725.5,960.75,847,74337.3,1731.54,3337.04,1671.45,2737.87,538.634,468.789,3.19104
8750.28,6892,83206.4,751.5,664,74172.1,35.8845,3940.53,3303.64,1243.18,-201.481,542.099,3.22946
10190.4,9380,71198.1,641.25,564,74512.3,296.797,551.112,290.863,741.014,701.598,0.638809,3.31697
20184.8,17476,75694.1,893.25,800,73175,189.942,4006.88,2522.63,2432.36,148.663,168.645,3.52935
24546.1,20272,79353.3,858.75,752,74839.1,1419.8,4636.33,2085.32,2564.35,451.23,430.024,3.53575
20395.3,17969,74385.2,773.25,709,71474.9,1654.52,4214.47,2252.64,470.267,756.979,57.003,3.57524
16834,14700,75049.7,816.75,744,71944.3,856.026,3292.83,836.686,1418.54,231.616,365.404,3.66169
17952.7,15345,76672.9,936.75,837,73346.3,292.605,3134.1,1463.77,1596,348.158,680.279,3.71932
9090.18,8136,73222,762.75,712,70207.3,470.433,975.81,1910.98,907.863,863.471,-20.7066,3.71932
16321.1,13820,77396.7,919.5,892,67556.5,11879.4,992.705,2138.23,33.6923,382.025,641.648,3.73426
11823.2,9945,77913.3,738,681,71021.4,2002.43,3842.47,3140.51,756.066,-68.866,731.497,3.82284
16253.2,13692,77794.9,934.5,844,72563.3,16721,3619.66,2354.83,918.976,128.938,440.073,3.82497
13039.6,11529,74123,760.5,697,71506.6,3261.86,2772.23,991.411,383.265,237.777,462.112,3.82818
16668.3,14212,76862.8,939.75,816,75474.8,729.784,4182.2,1569.23,1088.97,376.332,319.632,3.84418
19673.9,16833,76596.7,657.75,577,74707.6,1599.07,4130.95,1225.42,1456.37,-223.076,396.788,3.88047
11500.5,9161,82272.3,668.25,537,81553.9,318.212,1933.61,3006.17,770.428,606.387,401.766,3.89221
15750.9,11298,91365.8,1395,1058,86410.9,5615.72,8104.86,103977,3706.78,56342.7,20173.4,3.98292
23675.5,20863,74370.9,712.5,667,70006.6,708.556,4750.7,1376.29,2458.68,30.7674,650.411,3.98506
15375.4,13252,76036.8,902.25,820,72109.6,7275.66,3214.77,1695.46,1034.84,195.481,520.3,4.05123
22055.9,19182,75354.7,591,538,71992.2,3212.27,3294.4,1176.04,1717.83,229.305,527.101,4.0555
15658.5,13886,73901.5,713.25,666,70185.5,2863.94,3075.34,1437.14,832.792,-46.0064,222.455,4.16969
7181.46,6532,72052.1,555.75,532,68461.7,717.184,538.203,942.444,-35.6169,629.064,210.487,4.26681
11609.4,7759,98058.2,930,815,74783.4,833.312,5797.56,5742.53,2593.24,493.52,481.019,4.29029
21615,18228,77713.4,759,692,71881.3,23252.6,3681.73,2280.42,1406.77,614.061,729.31,4.29136
12592.8,11531,71570.7,585.75,527,72842,270.91,2759.94,1916.86,1075.35,-154.616,566.292,4.34472
20777.5,18669,72937.6,662.25,621,69889.2,664.393,3637.72,1691.46,299.565,108.505,381.997,4.43116
20860.6,18576,73596.1,684,624,71837.5,2982.74,2442.95,1312.81,572.17,861.814,827.194,4.46745
19952.5,17472,74840,659.25,596,72491,2489.22,3859.91,2530.02,677.759,247.484,495.761,4.56137
15764.8,14172,72901.4,670.5,648,67811.6,4859.39,2770.44,1288.34,770.408,586.294,410.029,4.59232
13966.3,12453,73499.8,524.25,501,68577.3,1122.55,4166.87,987.174,337.396,186.374,314.51,4.64461
8085.66,7306,72529.7,664.5,637,68365.3,441.369,444.117,330.688,274.812,872.389,313.846,4.71505
16924.4,14248,77846.5,917.25,840,71563,540.094,4737.75,4364.91,769.219,272.464,674.491,4.79189
20881.1,18399,74377,743.25,687,70901.9,1374.34,3132.51,1478.11,1209.96,803.742,375.035,4.8079
16795.7,14556,75619.8,805.5,732,72116.5,1458.13,3062.54,1649,1279.47,803.956,786.093,4.85059
18784.9,16606,74135.2,734.25,666,72252,770.017,3033.29,2315.01,2100.14,253.479,456.376,4.92529
