"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
22349.6,18725,78221.7,842.25,737,74895.1,5058.69,1478.68,1949.69,834.998,863.534,334.209,0.693262
14716.7,11736,82180.7,692.25,620,73173.1,606.575,6033.12,12417.4,989.247,-22.3823,184.749,2.99096
20858,14764,92586.6,820.5,700,76817.6,7416.51,1952.82,1741.82,4242.74,405.008,786.873,3.04971
26190.8,19435,88316.9,1038,943,72138.2,2953.54,9050.93,6094.48,2805.81,434.979,1149.76,4.51421
20597.9,17097,78955.8,522.75,493,69490.8,30311.4,937.534,1259.87,1242.15,707.486,549.36,4.64881
32131.4,25593,82279,595.5,541,72138.1,9443.73,1902.84,3470.32,1568.67,361.652,1130.27,4.81224
15991.1,13548,77354.2,681.75,636,70250.3,21660,1233.15,139.38,-280.685,174.516,169.736,5.45957
7415.1,5645,86086.1,696,633,72058.5,4910.8,1226.46,1580.92,735.217,619.33,99.0051,6.09942
33221.8,26362,82589.4,951.75,858,72696.8,8119.28,1127.68,729.444,614.549,102.603,135.864,6.34511
14865.8,11481,84857.4,816.75,777,68888.7,363.246,361.747,1777.05,-316.315,862.049,333.614,6.46154
18344.7,14633,82159.4,420.75,365,75546,771.721,2364.25,1403.37,502.796,766.04,102.626,7.15694
53233.6,37004,94279.5,1301.25,1100,77526.1,849.09,7300.79,4386.02,27530.3,461.927,1718.21,7.46138
23576.5,16936,91232.3,933.75,792,77265.5,7222.49,2064.33,3368.76,2262.17,414.165,1426.71,7.5447
14960.2,11728,83597.6,1230.75,1024,78768,-1415.51,287.788,5697.63,105.97,28760.1,141.922,7.68357
18088.6,15520,76382.5,761.25,688,72513.5,1147.57,2386.65,1471.07,1190.98,423.234,427.559,8.42383
15979.9,11316,92546.8,488.25,432,74069.3,2346.36,2958.06,3404.81,1440.03,114.553,485.064,8.44092
15694.8,13513,76117.4,344.25,333,67750.1,477.747,82.5579,807.4,42.8723,472.619,-88.2096,8.97395
16496.7,13300,81287.8,806.25,772,68443.5,2991.69,2331.24,2338.31,2348.92,889.848,459.083,10.8882
16603,14140,76951.3,687,664,67806.1,4188.1,3534.43,3085.89,1826.05,579.057,379.881,10.9715
12328.8,8585,94115.4,686.25,633,71049.1,57519,594.355,935.395,671.084,167.516,260.039,11.3539
27662.6,23276,77886.9,411.75,392,68837.9,951.992,2702.67,645.558,1192.41,438.87,626.943,12.2149
28910,21152,89572.8,966,816,77583.1,8914.4,2226.99,3439.25,3980.25,607.335,1461.39,12.42
16315.9,13722,77924.2,709.5,650,71535.1,3270.07,1214.92,658.224,1687.45,768.855,300.889,12.6187
15614.9,12916,79230.5,774,676,75036.8,171.167,1039.14,2430.42,789.179,356.961,480.645,12.64
19720.8,16488,78385.6,720,652,72371,4301.92,4037.08,5271.32,2061.35,317.154,744.284,12.7041
19121.5,15880,78913.6,890.25,780,74799.3,509.146,3892.5,2524.11,1819.22,592.3,410.9,13.4786
27880.4,19912,91762.2,874.5,764,75014.7,13322.6,2489.45,5051.31,5330.47,186.393,1298.89,13.658
8051.34,6870,76805.3,681,642,69517.2,355.825,443.253,1322.93,605.443,888.856,135.499,14.3075
10262.3,8344,80603.2,819.75,748,71822.4,12262.6,1433.05,1492.91,102.493,300.058,592.87,14.9623
11501.8,8488,88805.8,521.25,472,72374.2,2837.42,3356.12,4078.43,1142.44,253.516,978.088,15.0178
25681.9,19764,85159.4,1089.75,944,75654.5,2439.79,5681.39,2631.9,1998.61,859.966,1586.71,15.4996
10670.2,8736,80046.2,627,580,70846.7,1799.74,2891.97,1894.06,422.969,-193.567,550.695,16.0283
19021.2,16281,76566.2,675,653,67744,4826.13,3295.64,1488.29,1533.31,702.578,219.103,17.1371
14199.9,12088,76985.8,652.5,616,69419.2,3397.93,1032.68,1374.36,904.066,831.349,62.9924,17.4053
14060,10505,87713.9,824.25,713,75761.6,6285.12,1181.4,769.387,752.605,512.282,81.7897,17.7717
21209.8,17972,77342.7,840,740,74392.2,5399.66,1287.24,1144.54,1097.35,385.684,-73.625,18.3581
12893.1,10656,79294.5,638.25,544,76890.4,832.837,1503.36,702.291,126.865,466.559,655.59,18.717
23053.8,18933,79800,659.25,629,68687.8,923.642,3744.98,472.497,2147.15,247.811,873.284,18.967
14008.5,11621,79000.2,682.5,609,73445.5,1294.79,851.908,1323.37,865.1,674.404,363.843,19.3579
8153.64,6099,87613.9,886.5,743,78193.4,5030.77,1775.65,946.541,755.412,418.553,617.928,21.0542
17297.9,14233,79648.6,921,793,76114.3,218.177,1530.85,2060.56,1788.23,489.672,509.376,21.4302
16228.7,13492,78829.4,867,768,73984,4652.18,2020.62,1205.81,393.868,319.212,217.257,21.8105
26224.4,16220,105958,2092.5,1416,96846.1,-2275.49,346.97,9756.08,943.713,42489.3,61.2746,22.3767
17645.8,13937,82975.7,966.75,849,74625.4,182.042,4531.89,5199,2174.79,208.322,609.624,23.0988
21911.3,18205,78878.4,834.75,749,73039,5301.07,1559.05,1133.41,1231.55,798.138,297.43,23.3188
30787,23450,86040.9,1098.75,974,73929.9,1153.6,4964.49,2783.48,1921.15,364.778,1467.92,24.1915
17511.1,14618,78506.6,520.5,442,77175.3,60731.2,505.205,989.653,459.434,-405.833,8.94461,24.5056
11034.5,9178,78792.7,647.25,586,72386,767.056,2824.68,2554.62,340.163,309.276,945.554,25.2886
16993,14323,77752.9,675.75,615,72009.7,446.915,1619.45,2040.55,569.374,588.411,340.675,25.3238
21067.2,16872,81831.5,942,844,73145.6,11994.3,2336.73,1115.97,1139.29,820.632,129.696,25.8643
32107.7,25814,81514.3,884.25,757,76552.5,1253.1,895.98,592.185,500.734,703.765,182.466,26.0951
