"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
14795.2,12451,77874.8,783.75,707,72650.4,9356.57,1394.39,448.194,1821.86,569.275,184.626,1.70387
22688.2,16773,88647.9,1222.5,1061,75511.6,861.113,5319.3,8162,5361.58,204.568,1027.99,1.85867
11633.8,9056,84191,960.75,868,72538.8,103.073,6496.39,7259.94,2279.55,68.4146,598.488,3.6757
16449.2,13756,78366.8,831,744,73199.5,24632.8,1758.11,521.618,669.332,375.064,278.167,4.723
27800.5,22429,81231.2,793.5,713,72935.2,77.3021,5995.04,3295.58,2010.47,193.407,1071.11,4.87246
25262.2,21105,78445,588.75,513,75213.1,281.369,4692.85,6880.82,4475.81,29.5693,502.081,4.96855
13513.5,9641,91859.9,1072.5,925,75986.3,-1558.31,166.142,5457.88,409.696,25904.2,205.876,5.73614
20413.1,13829,96738.4,981.75,817,78751.5,33802.7,2789.15,4251.04,2053.96,380.963,346.272,5.85251
24179.8,19424,81581.8,585,532,72065,840.601,3388.42,2423.46,1909.11,656.917,858.945,6.32225
12507.7,10653,76945.6,711,669,69650.4,1549.76,1381.72,1227.05,693.772,530.781,227.184,6.81974
9383.88,6816,90226.2,855,752,74512.3,577.159,4600.92,3620.23,2807.37,19.3839,437.134,7.05781
10301.9,7991,84488.6,1100.25,995,72468.3,285.174,997.313,1301.32,220.009,945.32,211.234,7.37275
18432.5,15536,77754.3,813,720,74001.1,5337.6,1224.02,1698.58,1084.22,1029.11,-106.296,8.58019
12080.6,7713,102647,1161.75,977,77928.8,1091.74,3908.96,3567.41,1146.93,533.663,540.036,8.61969
12894.4,10433,80997.7,709.5,625,74396.5,1452.99,2840.98,2206.66,1115.92,91.2595,362.72,9.51006
16690.7,14109,77528.1,707.25,653,70980.6,21523,1164.6,583.348,-77.7811,634.1,578.388,10.8648
18757.2,13653,90036.8,1548,1185,85611.6,-1316.53,297.104,7505.98,671.702,30372.2,116.34,11.6314
31205.5,21346,95806.3,673.5,566,77983.2,8627.06,2261.51,1835.88,5645.41,813.125,604.047,12.0872
19276.6,15904,79433.6,641.25,576,72960,5473.41,4002.49,1372.52,747.049,640.988,1043.8,12.195
13933.9,10833,84295.5,976.5,885,72311.8,715.062,4010.33,2716.67,510.097,899.981,471.168,12.4224
36439.3,27664,86324.6,636.75,580,71948.4,707.02,3964.47,1495.71,4142.62,122.291,96.3652,12.4929
29125.1,22973,83086.5,782.25,697,73551.7,2105.97,4867.47,2459.49,3678.11,-97.2009,578.561,13.8861
23564,20145,76658.7,627,565,72727.6,5460.97,2950.83,1081.17,688.594,456.174,286.981,14.5971
12284.6,8592,93701.4,828.75,740,73395.9,1918.78,3675.8,1409.89,1438.8,414.699,687.892,14.8608
31765.1,24857,83749.5,636,541,77044.2,980.951,2647.81,623.718,1395.35,580.443,388.301,14.8896
19290.5,16531,76475.8,728.25,675,70706.1,412.999,1954.7,1546.1,79.1796,590.956,194.624,14.927
12731.4,10365,80498.3,603.75,557,71036.6,5132.71,3761.05,1805.74,1961.3,65.756,805.531,15.1576
28738.4,21304,88405.9,690,604,74867.3,948.565,4377.94,4599.93,2071.46,288.205,489.642,15.6786
30199.6,22905,86407.4,990.75,845,76840,9443.15,2726.73,2064.21,3710.29,505.092,630.878,16.7558
8951.58,6534,89784.3,554.25,470,77283.7,359.93,1138.88,1070.42,720.014,344.422,171.018,17.0483
22285.6,18312,79756.8,823.5,748,72150.9,17191.3,1079.42,982.857,661.24,547.654,133.812,18.0476
14837.5,12577,77314.8,700.5,613,74890.6,787.147,2955.42,2411.77,887.294,384.005,647.032,18.0497
20105.6,16717,78820.3,752.25,685,71970,16948.9,1953.98,1870.63,2120.05,-127.273,648.891,18.0796
16424.1,12128,88750.8,937.5,788,77969.5,843.582,3540.85,716.286,1502.19,240.994,25.0135,18.3198
6450.18,5453,77520.5,858,717,78423.8,-9054.64,4753.05,73898.1,2128.73,42621.3,14730.4,19.0361
17633.2,15145,76303.1,385.5,377,67013.6,1240.38,2804.4,1944.11,945.878,244.928,290.359,19.6265
29987.8,25048,78460.5,670.5,604,72751.5,25662.3,506.496,682.57,71.2581,963.988,64.9495,20.6226
13013.9,10593,80513.3,755.25,673,73545.4,3611.29,3642.01,708.19,1448.77,304.32,709.777,21.2749
8925.84,5992,97624.1,546.75,460,77895.2,1909.72,3009.94,1614.14,508.952,-72.5412,789.44,21.5012
11977,8876,88432.4,549.75,492,73228.5,16177.4,1951.07,1248.97,1291.03,187.771,689.252,21.8834
19718.2,16396,78814.9,724.5,668,71079.1,109.075,6644.3,1445.8,122.055,972.601,414.248,21.9314
22814.2,19685,75953.9,516.75,465,72829.5,2023.12,3344.24,2204.23,1589.23,-228.967,863.543,22.0361
9732.36,8305,76799.5,609,529,75446.9,-3219.35,5243.42,121299,2048.53,19171.2,5440.18,22.3211
23244.5,19959,76324.2,594,531,73311.5,2472.27,2301.53,1019.27,896.633,-165.557,499.274,22.3232
15318.6,11524,87115.6,859.5,708,79559.6,21519.6,1801.59,2325.42,2402.54,271.137,1378.57,22.5677
19771,16613,77993.7,823.5,721,74852.8,20704.6,1520.28,1005.69,915.369,408.983,249.39,23.9684
26871.2,22309,78938.3,717,629,74704.8,3569.71,3610.96,1205.15,1308.73,964.436,258.227,24.5171
23942.8,18345,85533.8,1159.5,1101,69018.2,17226.3,2121.07,1456.8,3858.96,544.753,997.539,24.6901
