"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
13978.8,10374,88308.7,519,438,77655.7,654.329,1874.65,835.513,529.311,649.15,308.585,1.42499
22747.6,19125,77949.5,733.5,677,71005.4,1635.64,4525.2,3934.71,3115.18,365.781,264.587,1.75557
12525.5,10868,75530.9,449.25,404,72876.4,1357.52,2020.22,45.0875,96.9807,606.724,21.8443,2.91569
22448.6,18629,78973.1,575.25,529,71265.8,1827.56,3772.32,3392.59,2192.03,602.368,172.5,4.16205
24393.6,20407,78338.8,711,627,74315.9,2119.98,2782.8,2722.53,1937.5,604.282,237.824,4.47518
24846.4,21048,77362.8,618.75,588,68963.3,3072.28,3087.02,1847.61,1205.4,960.053,189.28,5.10451
17233.9,12983,86993.9,789.75,659,78538.8,7775.12,1200.52,1909.23,2853.92,180.537,309.309,5.45255
23144.9,19328,78478,760.5,672,74166.9,8452.25,3228.98,1795.74,2132.22,452.828,234.98,6.20098
22958.1,17900,84054.9,982.5,844,76290.4,1413.31,4851.74,818.895,137.449,486.385,79.5692,6.69274
15017,12468,78934.3,889.5,772,75510.7,4606,1614.27,1128.45,465.387,476.239,15.2071,7.11778
11046.4,8629,83896,688.5,581,77661.9,2137.9,1823.46,1230.83,912.707,317.939,381.28,7.49353
42265.1,35169,78759.3,812.25,741,71837.5,1266.39,7363.13,3018.52,2649.88,251.845,617.432,8.07359
10752.1,7817,90142.9,574.5,477,78931.7,1608.84,224.124,1040.48,-118.068,934.62,160.476,8.43087
20825,15777,86504.8,776.25,629,80878.1,645.728,567.185,884.901,1109.61,958.352,13.2619,8.97294
26271.3,20461,84146.2,1233,957,84436.7,-1978.36,5533.9,80362.4,3596.6,27650.6,8933.14,9.245
7188.06,5632,83642.9,949.5,752,82747.9,-1397.25,704.848,3131.89,408.538,23557.1,286.119,10.2398
13064,10609,80701.8,1362,833,107155,-22435.1,-92.1135,2161.51,8058.43,194590,597.04,10.2922
21434.8,18432,76212.7,333.75,324,67508.1,410.656,1538.92,1106.66,782.747,342.262,93.3385,11.0119
15240.7,12850,77728.9,624,578,70751.7,498.298,381.132,372.315,979.918,917.721,98.8117,11.2377
9393.78,6545,94061.2,858.75,485,116039,1271.36,207.126,814.523,-165.177,846.08,67.6983,12.7048
19750.5,16056,80615.9,698.25,600,76267.5,211.97,2010.79,1080.93,1217.76,450.323,382.127,12.7356
7974.12,6413,81489.5,760.5,569,87592.5,-2305.07,1449.49,3909.22,789.463,40795.8,1411.24,12.8537
10078.9,7777,84933.5,642,561,74998.4,1580.42,3222.19,-419.937,1080.1,25.795,4.37015,13.1791
19749.8,16638,77793.3,616.5,590,68479.6,463.933,2533.45,434.161,387.685,788.165,93.6245,14.5394
21149.7,17824,77764.1,585,544,70475.3,1145.13,2053.74,1137.44,2337.09,494.206,651.198,14.8649
15204.4,11624,85722.4,778.5,700,72885.4,1788.61,3643.21,1470.2,2124.05,466.701,416.423,14.9029
12392.8,9960,81543.8,796.5,712,73313.8,178.097,5592.18,3687.74,1561.04,-47.1697,443.076,15.4172
11227.9,8221,89506.5,776.25,653,77905.5,764.853,513.84,334.37,413.508,1012.41,100.767,15.6934
13623.1,8993,99277.3,1212,993,79989.6,1289.02,6889.84,1578.78,455.106,530.134,304.045,15.7201
10692.7,8272,84714,924.75,740,81897.9,-11131.5,9047.19,165836,3441.33,57855.9,18085.5,16.5332
17018.1,13701,81402.7,848.25,753,73825.9,5551.46,3343.03,2546.26,2335.05,749.874,529.198,17.3535
16152.2,13731,77091.9,528,519,66672.5,297.189,4490.43,1188.71,1574.75,379.972,161.69,19.3021
19017.2,16256,76667.9,528.75,480,72192,3822.47,2636.94,2110.36,-8.51055,927.731,110.883,19.9612
31623.2,24543,84442,867,767,74080.5,4397.69,4310.02,1321.69,1993.97,703.428,192.755,21.4036
29789.8,23979,81417.1,812.25,619,85996.1,2744.7,2739.02,2379.84,2166.61,535.451,371.342,21.4847
19721.5,16449,78574.1,710.25,657,70847.7,3630.12,3376.95,2257.82,846.376,258.558,-66.6974,21.9252
15004.4,12765,77033.4,734.25,681,70660.5,2772.35,4678.86,978.008,1234.84,507.405,-11.1366,22.9056
14176.8,11769,78943.9,822,749,71923.4,4274.03,1388.17,1714.87,1203.17,310.576,127.175,23.2126
18926.2,12958,95720.4,1770.75,1326,87517.2,-1230.47,407.682,6468.7,1548.19,30026.6,472.732,23.3697
