"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
10216.1,6488,103194,681.75,588,75985,1090.72,4176.26,1201.92,2368.35,148.78,618.913,0.526608
27441.5,23662,76003.9,600,542,72549.1,37692,3615.64,4680.42,3394.59,-485.166,860.853,0.527634
18766.4,15049,81724.9,422.25,393,70413.7,1725.61,4055.46,1402.79,2555.49,-145.356,283.813,0.538926
18269.5,15976,74944.1,600.75,552,71323.8,6448.14,4505.17,1279.05,260.051,252.526,537.18,0.543032
26468,22304,77771.1,611.25,564,71026.4,997.389,5859.59,1666.89,1432.9,-213.604,479.659,0.545085
17773.8,15304,76112.4,697.5,652,70109.4,4444.21,4369.64,3579.62,1130.19,376.355,794.934,0.549191
26617.8,22689,76884.1,493.5,453,71395.2,1298.73,3720.67,1490.64,1074.38,146.949,490.93,0.552271
27091,22946,77374.6,503.25,470,70172.3,3088.38,5335.4,6564.05,1390.85,-132.406,546.645,0.55535
27682.4,22121,82012.2,686.25,617,72891.5,1574.01,5799.23,6911.14,2470.57,-44.2543,788.664,0.556377
28756.9,23204,81219.2,565.5,516,71822.9,2027.77,6303.09,2859.42,3710.3,-372.154,1073.19,0.559456
30631.9,20241,99179.6,1341.75,1105,79577.3,11220.5,2843.08,3319.08,5904.49,219.448,1054.18,0.563563
34693.6,28257,80464.2,612.75,529,75911.5,2015.36,5246.32,1920.32,2060.43,71.7589,580.658,0.564589
22970.6,15753,95563,732,621,77250.2,120.65,8793.66,3796.11,4172.83,-360.452,1383.28,0.571775
9854.46,6941,93044.5,798,713,73348.9,3821.94,6000.59,2506.91,1189.64,119.083,445.998,0.571775
25310.3,20015,82874.8,567.75,507,73388.7,767.645,5701.3,3162.13,2824.24,-52.7997,866.744,0.572801
25990.8,19446,87593,879.75,758,76062.4,6794.09,5390,1597.39,1603,255.862,843.354,0.574854
21201.8,18137,76610.5,686.25,605,74337.3,5146.12,5209.05,1366.8,854.031,154.636,820.244,0.583066
8754.24,6337,90534.6,814.5,689,77473.2,1489.12,4886.53,2713.17,1766.17,-218.056,433.155,0.585119
25606,21383,78479,534,499,70132.7,3590.39,5187.17,955.038,2088.69,13.1302,416.506,0.588199
32322.8,25861,81911.4,869.25,753,75653.6,1289.27,7840.66,2238.46,2399.37,99.9568,893.587,0.593332
19738,16977,76194.1,513.75,481,69998.2,3533.71,5115.3,1867.17,1796.78,-294.706,386.682,0.600517
27004.6,24568,72035.6,382.5,376,66668.9,1229.86,3405.27,1318.88,946.807,-129.824,372.853,0.601544
30313.1,26592,74706.8,381.75,340,73583.4,584.15,4378.4,1556.19,2091.88,519.303,332.655,0.607703
24814.7,21984,73974.5,405,368,72125.2,4634.2,3300.92,2212.26,540.599,405.55,457.12,0.614889
10757.3,9449,74610.3,578.25,537,70570.2,717.908,1062.64,692.938,666.933,304.822,1058.59,0.617968
24320.3,19537,81581.5,471.75,433,71400.9,796.381,4757.14,4381.46,2499.81,121.663,717.885,0.624127
30712.4,26680,75441.2,741,668,72697.9,2519.07,5436.64,1537.23,1868.94,151.671,363.862,0.628234
18869.4,15582,79362.4,668.25,618,70864.8,3722.23,5353.47,1791.71,1939.61,124.111,505.375,0.62926
32192.2,24293,86845.8,1105.5,929,77987.1,830.018,10329.1,4437.72,3622.15,-5.18231,1370.81,0.636446
35224.9,27806,83021.5,679.5,618,72057.8,2236.74,6674.19,4453.78,2210.92,74.7053,466.738,0.639525
28076.4,20853,88237.4,684.75,609,73687.6,511.6,6686.79,5479.54,3831.34,192.623,1104.83,0.640552
25666.1,22209,75737.4,465.75,437,69847.6,1052.37,4015.69,1783.67,2995.66,86.755,421.021,0.643631
37957.3,25904,96030.2,1188,996,78169.5,8971.73,11433,2991.79,8619.67,295.477,1809.03,0.644658
24103.9,20165,78337.2,747.75,673,72815.1,8639.62,4769.5,1244.8,1655.4,359.842,628.356,0.645685
28521.9,21960,85118.9,558.75,508,72083.1,406.407,6266.66,3192.14,1776.71,483.254,364.115,0.658003
22791.1,19949,74872.9,645.75,589,71850.4,2199.48,4412.22,2160.85,2896.9,21.8793,531.949,0.664162
19598,12421,103404,794.25,661,78747.3,740.118,5274.38,2014.68,1975.05,45.1618,613.033,0.673401
19631,17177,74899,641.25,601,69925.1,839.91,3873.97,1135.26,866.268,10.6663,366.839,0.680586
32970.3,23749,90982.4,609,565,70639.7,465.73,11110.6,6314.82,6887.3,-329.322,2085.91,0.683666
11261.6,8081,91330.1,871.5,737,77496.1,30879.2,4678.61,835.244,1666.52,424.64,1166.35,0.683666
36316.5,29596,80417.6,723.75,632,75050.1,2037.24,5818.71,1218.32,3177.1,362.382,507.264,0.685719
20535.9,16672,80724.6,573.75,528,71214.5,981.25,5113.04,1454.48,2239.32,-25.3151,904.812,0.687772
23501.3,14717,104653,1202.25,989,79667,3459.89,9666.2,2648.91,3413.52,-219.375,1175.46,0.689825
19854.8,16708,77879,749.25,692,70957.9,2546.58,5078.49,1925.7,2334.91,-339.077,624.851,0.690852
16943.5,12440,89261.3,910.5,792,75341.6,891.015,7207.32,3369.42,2894.32,32.8309,839.213,0.692905
8129.88,5548,96034.6,616.5,488,82792.9,927.478,6613.18,4627.55,2454.34,236.2,1148.09,0.70317
34419.7,27232,82833.7,750,672,73142.9,512.992,6354.03,4137.41,2398.5,-81.2767,952.235,0.70317
17951.3,14128,83271.5,486.75,436,73164.3,1181.32,3511.18,627.098,2049.93,238.235,265.276,0.704196
33743.8,26108,84703.4,874.5,764,75014.7,4228.73,8644.12,3603.35,2973.66,-91.0879,804.643,0.70625
39811.9,29611,88112.9,918.75,815,73878.8,943.935,9070.37,2708.44,4393.89,337.202,1205.6,0.708303
28298.8,24339,76198.3,645.75,579,73091.3,1830.66,6904.73,3371.27,1557.55,-131.305,468.879,0.715488
19751.8,17361,74561.1,633,561,73947,3896.51,4473.16,1538.54,989.107,245.973,845.874,0.718568
43616.8,34589,82641,828.75,733,74096.8,3990.59,6919.11,3895.4,2398.31,306.676,774.437,0.721647
25400.1,21520,77352.3,632.25,560,73991.3,1937.68,5153.94,1980.89,1783.78,98.4451,645.435,0.721647
31656.2,26457,78414.9,535.5,509,68948,1125.39,4172.42,2876.35,956.226,-26.3203,720.879,0.72678
30567.9,22792,87894.8,707.25,620,74758.6,2142.02,6360.57,1659.54,4083.56,-126.105,793.069,0.727807
21244.7,12769,109037,1222.5,1029,77859.8,1105.76,7648.3,2246.92,4452.82,191.517,954.245,0.746284
22805,14132,105756,927.75,756,80424.6,1940.44,6831.28,3127.17,3501.25,345.371,666.732,0.75039
21007.8,18801,73228.4,595.5,545,71608.6,981.132,4914.51,1106.55,810.792,-116.837,456.401,0.757576
31949.3,22964,91178.7,858.75,724,77733.5,1603.94,7495.84,2712.18,8757.25,458.737,1062.04,0.759629
22418.2,18011,81572.4,990.75,859,75587.7,6912.88,5272.38,2026.23,1394.18,347.505,895.03,0.760655
15191.9,8820,112882,867.75,708,80323.2,2241.38,5570.02,1272.14,2939.48,274.369,860.957,0.763735
10358,7560,89791.6,440.25,392,73602.6,6801.71,3635.23,406.99,1992.13,391.964,328.786,0.768868
15269.8,11956,83700.2,588,512,75264,962.166,5173.9,3903.66,1796.94,170.234,602.835,0.768868
27848,24925,73221.6,463.5,429,70806.4,4384.45,3772.94,522.466,579.278,49.3593,717.488,0.769894
31829.2,23687,88063.3,660,579,74704.2,1235.52,5526.51,2370.71,2737.74,315.824,958.581,0.769894
26533.3,23200,74952.1,419.25,388,70814.3,2091.82,4677.41,1483.03,1056.82,-115.894,517.604,0.770921
36942.2,28861,83886.3,723,653,72561.3,1181.81,6698.55,1719.26,2767.06,256.529,514.544,0.770921
23711.2,20209,76893.2,681.75,609,73364.8,2197.99,4718.67,665.532,1173.59,-54.6967,1176.43,0.776053
26569,21728,80137.3,600.75,580,67880.6,1254.61,5601.13,5551.72,2379.06,-3.35992,385.434,0.776053
45558.5,33453,89251.2,778.5,649,78612.9,1043.57,8357.16,2241.33,3854.6,194.827,1591.25,0.776053
24594.2,21384,75374.5,583.5,536,71343.8,3687,4997.41,2909.25,2612.36,-256.274,876.037,0.780159
39625.1,30268,85795.9,897.75,796,73913.2,1043.59,8913.43,3299.85,2836.45,399.736,748.622,0.782212
28597.1,24984,75013.7,648,552,76933.6,2460.29,4478.89,1208.6,3361.26,42.6861,300.396,0.784265
26823.1,18898,93019.2,963.75,834,75731.8,3999.72,8350.91,3519.96,2735.9,683.488,1386.69,0.784265
12154.6,7881,101074,964.5,825,76617.5,3419,6915.62,1803.12,1388.98,-25.6183,1034.85,0.785292
39310.9,29216,88180.5,728.25,628,75997.8,2781.57,6886.8,1505.62,4919.79,146.586,816.746,0.788372
20705.5,16377,82857.5,720.75,637,74152.4,8783.99,3984.45,768.591,2492.37,-236.354,749.985,0.788372
24635.8,20880,77324.4,632.25,560,73991.3,1891.03,4884.88,1396.74,2514.07,141.896,587.362,0.79761
24291.3,20031,79474.5,848.25,715,77749.5,1619.96,5931.02,4170.14,3418.83,107.191,826.779,0.801716
18203.5,16049,74333.7,570.75,529,70708.3,2390.15,3892.78,2235.56,1353.12,551.725,729.206,0.801716
22309.3,18489,79077.5,591,541,71592.9,888.265,4140.18,1588.3,1977.56,247.736,538.249,0.805822
42077.6,30656,89953,816,672,79579.4,1248.5,7801.75,4064.74,4889.47,5.51312,880.895,0.810955
35411.6,25397,91378.4,1005,837,78690.2,1681.25,9470.54,5090.67,8185.87,151.464,839.117,0.810955
31258.3,25463,80451.7,512.25,439,76471.1,700.57,6647.43,5223.89,1555.59,315.69,622.626,0.813008
29086.9,25861,73710.9,372.75,341,71638,1084.65,3689.02,2343.26,1436.4,-6.84711,178.677,0.815061
21467.2,19044,73874.8,456.75,400,74833.9,1870.77,4065.49,617.853,588.192,167.791,403.173,0.829433
30548.1,23533,85072,678.75,589,75522.2,517.466,6228.52,2614.21,2975.28,530.026,562.731,0.836618
23886.1,16000,97837.3,559.5,464,79024.6,1956.82,5788,1391.6,2127.51,89.541,930.39,0.843804
19765,15510,83515.2,360,322,73270.1,960.764,4721.35,4958.72,1871.7,194.474,800.912,0.853043
28547.6,19863,94190.1,1123.5,983,74903,2931.87,10024.9,5386.19,3699.51,147.783,816.912,0.858175
5630.46,5136,71845.4,437.25,384,74624,-112.772,2129.11,7501.52,2009.37,771.734,224.57,0.860228
23981.8,20441,76888.1,536.25,489,71868.5,1147.1,4885.98,1788.82,1520.7,259.319,319.862,0.863308
38204.1,28525,87773.7,946.5,825,75187.7,1029.47,8743.97,3429.21,4710.53,42.6744,1020.71,0.864334
22301.4,19314,75672.8,632.25,578,71687.1,1878.62,5756.55,1618.01,2209.43,-287.06,726.965,0.873573
33541.2,28017,78457.9,448.5,401,73299,869.322,4957.87,4035.5,2041,531.075,376.411,0.876653
11252.3,7529,97945.7,865.5,749,75729.5,3280.75,4391.58,1264.09,1487.79,190.338,469.96,0.878706
39664.7,27652,94006.4,1304.25,1076,79438,1004.64,10631.7,4127.19,6722.91,466.046,1968.46,0.879732
25609.3,20107,83470.1,591,527,73494.8,1755.78,4163.05,8020.66,920.226,205.527,815.493,0.880759
22501.4,19545,75449,522,493,69391.1,1868.33,4560.84,1783.08,2411.86,-161.141,774.582,0.882812
31128.9,23864,85487.1,1021.5,892,75050.5,2121.4,6885.73,2413.47,2559.86,219.99,1211.98,0.888971
8768.76,5905,97319.1,660,549,78786.5,2651.42,4762.44,1997.3,935.952,525.912,781.486,0.889998
18433.8,12012,100573,811.5,668,79614.5,1681.51,5608.66,1552.17,3138.24,94.5943,1077.37,0.891024
24757.3,21484,75520.9,383.25,376,66799.7,1110.22,4066.11,505.971,1008.36,-3.92796,609.836,0.899236
14359,9665,97364.6,717.75,613,76734.9,1479.95,5749.7,1302.06,2701.23,44.7667,449.293,0.906422
19255.5,14214,88780.7,1408.5,1026,89968.3,6614.73,6523.39,1613.45,1928.03,-30.0323,1448.07,0.91874
19004.7,17659,70530.2,447.75,447,65646,42493.2,400.636,1485.78,-34.9383,303.993,224.142,0.919767
25255.6,20037,82604.6,623.25,533,76632.9,1833.3,5625.61,2026.39,3185.81,495.282,1087.95,0.919767
20003.3,16493,79484.3,394.5,393,65786.1,2248.55,3937.21,1381.57,1026.18,-43.5578,727.263,0.920793
21418.3,18620,75385.1,512.25,456,73620.2,3316.26,4547.7,1396.74,1742.72,143.761,520.391,0.925926
39410.6,30389,84991.7,819.75,693,77522.6,2158.47,6786.44,1518.41,3380.37,244.19,921.319,0.927979
28905.4,24494,77339,536.25,490,71721.8,1060.17,5229.33,1795.85,1638.47,-191.87,580.615,0.932085
40476.5,31760,83522.3,669,592,74060.1,890.61,8181.76,6306.2,3124.02,79.8575,789.547,0.960828
30348.8,22814,87180.6,1371.75,1166,77100.4,3718.82,9082.01,3090.07,1641.29,405.384,1071.21,0.960828
14149.1,10304,89991.7,534.75,432,81123.6,992.152,5011.04,1826.56,2896.21,-2.01157,399.634,0.964934
32060.8,27289,76995.8,531.75,493,70687.2,514.842,4843.37,1570.73,2850.31,360.987,726.046,0.96904
16541.6,10053,107835,1066.5,865,80802.5,997.276,6389.9,1649.32,3305.09,-5.79614,710.625,0.976226
25969,22261,76452.3,479.25,417,75319.2,2268.84,5986.15,5611.4,1786.11,-111.772,273.528,0.979305
23208.9,20033,75925.6,546,485,73778.7,2882.78,4398.59,2278.86,938.984,288.9,1166.21,0.990597
13261.4,8909,97552.8,1104,953,75920,3127.7,7624.31,5008.23,2589.95,-159.784,563.047,0.99265
18744,15079,81464.7,1239.75,1075,75579.8,4109.3,7669.88,4049.16,2056.24,357.707,1352.67,0.993677
29935,23468,83595.4,579,488,77756.9,779.579,7266.36,5069.39,3643.28,59.2701,726.463,0.998809
23519.8,15853,97230.2,966.75,829,76425.7,2714.45,7362,4078.06,1598.15,631.956,980.835,1.00497
22958.8,19320,77879.2,704.25,616,74924.9,2061.27,5062.07,1899.29,1641.97,443.69,917.368,1.00702
37719.7,30996,79752.1,554.25,468,77614,1182.39,5383.25,1583.85,3176.53,-168.926,801.717,1.00702
16895.3,12491,88644.1,739.5,671,72226.3,1024.18,5260.89,3464.6,2009.44,353.39,637.017,1.0101
17907.8,14660,80054.9,861.75,788,71669.6,3352.73,5902.35,2847.98,1380.42,217.945,854.476,1.0101
16643.9,13176,82784.9,452.25,380,77996.5,3714.09,4195.91,1133.33,2161.11,50.3362,425.186,1.01113
16200.4,13557,78314.3,757.5,673,73764.5,4088.53,4889.52,3424.59,1231.35,-43.7901,738.617,1.01215
28769.4,21564,87434.2,973.5,875,72913.5,2098.49,6554.16,3933.5,3093.8,481.846,654.27,1.02447
33915.4,25642,86681.3,1016.25,890,74832.5,1985.46,7406.24,2476.53,3486.32,-245.076,1392.55,1.02653
38762.5,22148,114698,1750.5,1392,82414.3,2111.7,11948.4,3281.49,3338.8,591.589,948.044,1.03474
25133.5,20682,79641.5,450,410,71929.8,2339.88,3159.17,1580.24,2259.25,252.344,-56.0477,1.03884
27376.8,22881,78412.9,549,517,69592.4,917.657,4670.94,1421.72,2994.78,29.8594,630.358,1.04398
37829.9,29706,83458.5,900.75,762,77469.2,894.794,6867.44,3395.97,3224.54,549.003,826.984,1.04398
26110.9,16548,103409,1374,1168,77094.6,1841.1,8327.26,3006,4016.76,67.4388,1098.84,1.045
26728,23583,74275.9,372.75,347,70399.3,1170.72,3700.71,316.093,1043.48,77.3274,676.577,1.04911
28348.3,25124,73946.6,567.75,500,74416.1,1976.99,4094.91,711.045,1024.58,220.119,332.031,1.05014
11508.4,9021,83606.7,732.75,681,70516.2,1994.36,4526.22,1767.46,1081.94,244.245,78.7264,1.05014
26099.7,21244,80515.4,819.75,732,73392.3,2111.69,6685.56,4853.34,2101.22,364.173,1176.71,1.05116
26986.1,23787,74349.8,431.25,415,68102.2,2447.65,3917.93,885.331,1349.4,295.813,116.312,1.05424
32317.6,24417,86741.4,717,629,74704.8,813.193,8426.17,1459.93,4617.05,52.7806,995.308,1.05629
22830.7,14815,100995,683.25,555,80680.1,1137.5,5504.28,2411.75,5531.6,129.007,1020.01,1.05835
18250.3,15001,79731.5,905.25,809,73333.1,3645.64,7029.71,4027.78,1691.63,499.229,884.518,1.05937
20508.8,16664,80656.9,715.5,636,73728,1600.64,5776.53,2113.08,4699.16,57.5121,679.223,1.06451
10618.7,7723,90108.7,399,383,68273.8,2225.89,5691.01,3170.33,649.955,-29.0638,259.039,1.06451
24602.2,19281,83622.6,447,417,70250.8,918.806,4887.53,2332.85,3549.28,130.753,667.456,1.06759
27876.4,22039,82894.4,733.5,631,76181.7,4264.02,8729.02,3471.02,2463.74,43.7073,656.382,1.06759
20290.4,15428,86190.7,808.5,692,76569.2,8502.37,2287.32,1406.42,1002.66,252.415,1089.14,1.06861
36428,21444,111329,2201.25,1268,113771,439.083,20165.2,11691.4,10064.3,98.5784,2542.77,1.07477
15994.4,11712,89498.9,777,656,77624.2,823.187,6207.69,1959.21,1492.11,650.619,772.795,1.08196
24655.6,19852,81393.9,632.25,568,72949.2,1770.93,7007.75,4258.7,2463.61,-82.1942,748.799,1.08504
21745,14249,100013,1126.5,989,74647.4,282.978,9678.12,8217.74,4951.04,-34.282,1161.43,1.09633
26820.4,24385,72081.3,378.75,357,69528.7,1334.3,3040.01,849.014,-181.153,199.691,532.715,1.09633
21750.3,18208,78285.8,636.75,576,72448,2210.64,5100.8,1344.27,1880.75,-55.5339,580.375,1.09736
16067.7,11697,90024.2,480.75,417,75555,965.624,10273,1951.74,791.861,550.6,436.221,1.10351
24083.4,21236,74323.3,563.25,496,74421.7,2149.24,5388.78,2111.87,1362.98,119.113,675.836,1.1302
24286,21288,74765.5,426.75,408,68547.8,1833.78,3958.54,582.388,1069.37,122.819,471.173,1.13431
24618,21881,73733.6,492,461,69943,3585.25,4103.56,1184.78,2101.86,-141.143,794.74,1.14355
28554.9,21535,86899.2,914.25,799,74989.1,2084.8,6683.02,2679.66,3697.85,197.175,889.748,1.14458
37699.2,28108,87898.6,675,604,73239.7,1595.19,8219.14,9335.4,4686.41,-59.5441,786.122,1.14766
9446.58,7205,85925.2,686.25,581,77408.1,3828.18,7053.2,2341.27,2444.05,129.054,506.058,1.15074
23608.2,19477,79436.6,1135.5,997,74640.1,46091.2,-1355.42,49892.7,254186,244689,26693.9,1.16408
23983.1,20625,76206.3,571.5,481,77866.6,1906.61,5211.33,1631.39,2123.46,323.132,519.409,1.16408
30425.3,24493,81409.2,730.5,681,70299.6,1028.2,5884.43,4990.92,798.527,-204.35,1361.92,1.16613
47656,37412,83480.7,822.75,724,74474.8,1836.65,6681.58,4038.23,2191.8,592.277,443.034,1.16716
17376.5,10981,103705,1470,1109,86869.2,899.386,8415.93,4814.22,4775.66,118.246,1610.52,1.17332
18465.5,14128,85656.4,666,564,77388.3,851.139,5471.98,1626.71,2725.58,-112.414,677.861,1.1805
18704.4,15813,77519.2,827.25,753,71998.2,7477.35,5615.02,1288.72,2324.28,167.912,643.206,1.18461
16124.5,11584,91223.5,774,660,76855.9,1702.83,4769.08,2017.13,2324.02,271.761,614.614,1.18872
