"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","Comp-450_50 (V)-A","Comp-525_50 (B)-A","Comp-586_15 (YG)-A","Comp-670_30 (R)-A","Comp-670_30 (V)-A","Comp-780_60 (YG)-A","Time"
18001.5,15525,75990.1,712.5,625,74711,8376.45,3897.12,1571.34,1057.49,-13.7434,416.735,0.546957
11606.1,8675,87679.2,852.75,759,73630.9,702.714,4556.81,7274.34,1395.56,-54.071,671.86,0.554277
36232.7,28428,83528.4,734.25,652,73803.4,2481.93,7561.96,8271.08,4336.99,-163.161,560.46,0.557415
26488.4,23341,74373.3,481.5,409,77153,4190.69,5082.24,3321.25,747.361,48.5579,370.38,0.558461
20632.3,12206,110778,1233.75,1002,80693.7,1003.57,7872.57,2136.17,2404.11,360.098,929.574,0.57101
30103.9,21993,89705.4,905.25,797,74437.2,445.48,7305.58,4358.33,3523.24,89.4799,987.855,0.574148
13611.2,10975,81277.7,864,763,74211.1,1932.88,5996.81,2524.64,2199.52,15.1296,558.193,0.574148
17810.1,15160,76992.3,839.25,748,73530.9,6911.63,4631.26,2399.68,673.399,430.942,554.63,0.575193
17074.9,15312,73081.1,688.5,628,71849.6,4941.17,3833.09,1073.77,1539.74,132.411,455.782,0.575193
30383.1,25624,77707.9,705,636,72646,4297.45,5457.45,1002.61,3128.02,53.8066,830.068,0.577285
23290.1,17037,89589.6,525.75,473,72844.7,1000.52,7713.37,5495.36,1675.8,-94.2241,65.4374,0.578331
24854.9,22617,72020.8,424.5,377,73793.2,3744.28,3987.31,1200.83,1905.06,-38.5586,537.749,0.579377
27141.2,18000,98818,1113.75,916,79684.2,1856.91,8705.74,3532.78,5093.02,-72.4854,999.063,0.581468
20479.1,17365,77288.9,802.5,721,72944,4739.89,4577.43,2276.52,943.355,622.207,829.144,0.586697
41089,31091,86610.5,885.75,755,76885.5,1187.48,6819.28,2375.24,4777.48,414.864,404.344,0.589835
18837.7,16216,76131.5,621.75,568,71737.7,912.091,4627.4,2390.51,1095.24,-64.9915,622.235,0.591926
27017.1,20064,88247.2,759,660,75366.4,2022.96,7629.26,1457.65,5901.63,-54.5728,822.429,0.600293
25129.5,19517,84382.2,994.5,873,74657,1672.34,7144.6,4698.99,808.171,66.522,571.762,0.604476
25902.4,23808,71301.1,349.5,336,68169.1,1970.49,2799.3,1034.57,959.891,28.3149,268.028,0.606568
28793.8,21353,88373.1,1023.75,873,76852.8,4137.93,8409.99,2837.69,3002.5,-129.986,1069.32,0.608659
29683.5,24824,78365.2,580.5,552,68919.7,1020.57,4463.51,761.453,3870.41,-204.172,520.439,0.613888
23757.4,20689,75255.6,483,465,68072.9,4296.2,3105.11,1146.45,155.622,293.197,246.934,0.614934
34126,26672,83851.2,763.5,672,74459.4,15131.9,8527.17,2439.32,2802.14,-277.988,1305.6,0.61598
27719.3,24408,74427,432.75,412,68836.7,549.229,5254.72,2195.35,1863.96,-193.815,341.052,0.61598
14925.9,11928,82007.4,688.5,616,73249.2,2390.85,4861.92,2403.47,2455.23,-138.072,583.906,0.619117
10228,7301,91809.8,541.5,469,75666.8,1747.02,3694.39,1603.19,1120.03,244.291,549.022,0.623301
16636,14323,76119.1,562.5,499,73875.8,1609.53,4749.82,3570.81,793.37,-231.361,263.775,0.627484
21879.7,19075,75172,732.75,659,72870.3,926.862,5710.19,2576.78,1425.95,104.761,574.319,0.637942
19973.6,15462,84658.4,1032.75,882,76737.3,3243.31,9063.79,2915.04,1467.3,-5.13416,984.213,0.641079
18146.7,15508,76687,708.75,644,72125.2,3697.11,6811.2,2318.58,2412.18,-96.3379,527.748,0.641079
26200.7,20257,84765.2,903,789,75005.1,798.508,7469.35,2042.14,2527.41,366.481,435.864,0.641079
31746.7,24903,83546.1,924,839,72175.5,1683.23,9226.91,4641.29,3906.47,318.551,1386.98,0.646308
40994.6,31765,84578,711.75,609,76593.2,1461.21,8450.63,1123.15,2135.48,641.487,754.12,0.649446
36766.6,27916,86313.8,831,732,74399.5,1192.3,8365.18,1729.8,3654.83,98.4561,1078.32,0.654675
27097.6,17433,101868,935.25,697,87937.7,10903,3165,2415.1,3558.74,86.0363,1039.41,0.655721
19932,14928,87504.3,655.5,564,76168.2,1148.24,5572.22,1581.63,2745.52,359.445,740.148,0.656766
19675.3,18092,71271.2,441.75,456,63488,967.487,3243.5,1071.61,702.732,-155.841,240.592,0.656766
24006.2,21055,74721.9,529.5,491,70674.8,3320.39,3825.24,585.635,1774.47,155.49,654.217,0.664087
15830.1,11557,89767.4,774.75,673,75444.3,3749.25,5415.06,3596.6,1590.89,132.958,809.293,0.667224
31256.3,23169,88411.7,1049.25,933,73701.7,274.95,8541.01,3289.15,4013.63,-65.895,1264.07,0.669316
24257.6,20414,77875.4,769.5,702,71837.5,14864,6200.12,2388.98,1100.08,629.711,730.717,0.672454
44177.8,30161,95992.6,1108.5,929,78198.8,1615.95,11538.6,9385.05,5085.29,165.441,1273.19,0.675591
31406.8,22489,91523.6,1299,1113,76488.1,1002.03,8784.69,3155.58,3871.46,786.458,1048.99,0.676637
39004.7,26594,96119.8,1599.75,1330,78828,1178.04,13452.6,3885.34,5787.49,194.425,1407.81,0.68082
